adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
17.3300,17.3300,2020-05-12,0.0000,18.8700,17.3100,18.6500,1.0000,1580963
18.5100,18.5100,2020-05-11,0.0000,19.1600,18.5000,19.1600,1.0000,1040773
19.6300,19.6300,2020-05-08,0.0000,20.1400,19.4050,19.9500,1.0000,1488661
19.4900,19.4900,2020-05-07,0.0000,19.5400,17.9700,17.9700,1.0000,2016012
17.6200,17.6200,2020-05-06,0.0000,18.4400,17.6100,18.2900,1.0000,996306
18.1000,18.1000,2020-05-05,0.0000,19.4100,17.9200,19.4000,1.0000,1342276
18.9800,18.9800,2020-05-04,0.0000,19.1000,17.3700,17.7200,1.0000,1383760
18.0200,18.0200,2020-05-01,0.0000,20.0000,17.6100,19.8700,1.0000,2009669
20.5200,20.5200,2020-04-30,0.0000,22.1520,20.3200,21.5700,1.0000,1545655
21.9100,21.9100,2020-04-29,0.0000,22.2150,21.1700,21.5000,1.0000,1398471
20.5900,20.5900,2020-04-28,0.0000,21.1885,19.8200,20.8200,1.0000,1168872
20.2200,20.2200,2020-04-27,0.0000,20.5000,18.6300,18.6800,1.0000,1006291
18.4700,18.4700,2020-04-24,0.0000,18.6300,18.0100,18.4400,1.0000,458747
18.2200,18.2200,2020-04-23,0.0000,19.0700,18.1600,18.4200,1.0000,747257
18.3000,18.3000,2020-04-22,0.0000,18.4800,17.5500,18.1300,1.0000,854805
17.5000,17.5000,2020-04-21,0.0000,18.0200,17.3600,17.9200,1.0000,710229
18.5600,18.5600,2020-04-20,0.0000,19.1900,18.3050,18.7600,1.0000,790926
19.3300,19.3300,2020-04-17,0.0000,19.5150,17.9000,18.2197,1.0000,1386300
17.5800,17.5800,2020-04-16,0.0000,18.0300,17.0450,17.9600,1.0000,959685
17.8800,17.8800,2020-04-15,0.0000,18.2300,17.1200,18.0300,1.0000,1267132
18.9600,18.9600,2020-04-14,0.0000,20.1020,18.2900,19.8600,1.0000,1517249
