adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0200,0.0200,2020-05-12,0.0000,0.0244,0.0200,0.0244,1.0000,13000
0.0150,0.0150,2020-05-11,0.0000,0.0200,0.0150,0.0200,1.0000,6000
0.0210,0.0210,2020-05-08,0.0000,0.0210,0.0210,0.0210,1.0000,21069
0.0208,0.0208,2020-05-05,0.0000,0.0208,0.0200,0.0200,1.0000,1165
0.0197,0.0197,2020-05-01,0.0000,0.0197,0.0197,0.0197,1.0000,5000
0.0100,0.0100,2020-04-30,0.0000,0.0119,0.0100,0.0119,1.0000,7987
0.0159,0.0159,2020-04-28,0.0000,0.0159,0.0159,0.0159,1.0000,13989
0.0197,0.0197,2020-04-27,0.0000,0.0197,0.0100,0.0100,1.0000,70000
0.0182,0.0182,2020-04-24,0.0000,0.0182,0.0182,0.0182,1.0000,5000
0.0182,0.0182,2020-04-23,0.0000,0.0182,0.0182,0.0182,1.0000,5000
0.0202,0.0202,2020-04-20,0.0000,0.0224,0.0202,0.0224,1.0000,11834
0.0190,0.0190,2020-04-17,0.0000,0.0190,0.0190,0.0190,1.0000,100
0.0190,0.0190,2020-04-16,0.0000,0.0300,0.0190,0.0300,1.0000,1100
0.0300,0.0300,2020-04-15,0.0000,0.0350,0.0202,0.0298,1.0000,22300
0.0337,0.0337,2020-04-14,0.0000,0.0337,0.0337,0.0337,1.0000,20000
0.0350,0.0350,2020-04-13,0.0000,0.0350,0.0200,0.0200,1.0000,18100
0.0220,0.0220,2020-04-09,0.0000,0.0220,0.0220,0.0220,1.0000,1000
0.0236,0.0236,2020-04-07,0.0000,0.0236,0.0236,0.0236,1.0000,950
0.0349,0.0349,2020-04-06,0.0000,0.0349,0.0348,0.0348,1.0000,1500
0.0319,0.0319,2020-04-02,0.0000,0.0322,0.0319,0.0322,1.0000,31250
0.0198,0.0198,2020-04-01,0.0000,0.0198,0.0198,0.0198,1.0000,5000
0.0198,0.0198,2020-03-31,0.0000,0.0198,0.0095,0.0095,1.0000,42200
0.0191,0.0191,2020-03-30,0.0000,0.0215,0.0191,0.0215,1.0000,10000
0.0157,0.0157,2020-03-27,0.0000,0.0200,0.0148,0.0148,1.0000,3146
0.0158,0.0158,2020-03-26,0.0000,0.0235,0.0120,0.0205,1.0000,55550
0.0205,0.0205,2020-03-23,0.0000,0.0205,0.0205,0.0205,1.0000,1000
0.0205,0.0205,2020-03-20,0.0000,0.0205,0.0195,0.0195,1.0000,1935
0.0192,0.0192,2020-03-18,0.0000,0.0192,0.0160,0.0160,1.0000,4800
0.0160,0.0160,2020-03-13,0.0000,0.0160,0.0160,0.0160,1.0000,20000
0.0156,0.0156,2020-03-12,0.0000,0.0156,0.0130,0.0130,1.0000,2600
0.0100,0.0100,2020-03-09,0.0000,0.0134,0.0100,0.0134,1.0000,3000
0.0139,0.0139,2020-03-05,0.0000,0.0200,0.0139,0.0167,1.0000,149405
0.0150,0.0150,2020-03-03,0.0000,0.0200,0.0150,0.0200,1.0000,25033
0.0200,0.0200,2020-03-02,0.0000,0.0200,0.0200,0.0200,1.0000,5000
0.0219,0.0219,2020-02-28,0.0000,0.0220,0.0219,0.0220,1.0000,21500
0.0228,0.0228,2020-02-25,0.0000,0.0228,0.0228,0.0228,1.0000,500
0.0219,0.0219,2020-02-24,0.0000,0.0219,0.0219,0.0219,1.0000,1000
0.0300,0.0300,2020-02-21,0.0000,0.0300,0.0238,0.0240,1.0000,10800
0.0239,0.0239,2020-02-20,0.0000,0.0239,0.0239,0.0239,1.0000,126
0.0332,0.0332,2020-02-19,0.0000,0.0332,0.0250,0.0250,1.0000,30000
0.0330,0.0330,2020-02-18,0.0000,0.0331,0.0330,0.0331,1.0000,19380
0.0332,0.0332,2020-02-14,0.0000,0.0332,0.0332,0.0332,1.0000,1200
0.0332,0.0332,2020-02-12,0.0000,0.0332,0.0234,0.0234,1.0000,2200
0.0290,0.0290,2020-02-10,0.0000,0.0390,0.0290,0.0390,1.0000,21300
0.0388,0.0388,2020-02-05,0.0000,0.0389,0.0369,0.0369,1.0000,12600
0.0396,0.0396,2020-02-04,0.0000,0.0396,0.0396,0.0396,1.0000,500
0.0350,0.0350,2020-02-03,0.0000,0.0352,0.0347,0.0347,1.0000,25500
0.0387,0.0387,2020-01-29,0.0000,0.0387,0.0387,0.0387,1.0000,2900
