adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0220,0.0220,2020-05-12,0.0000,0.0260,0.0220,0.0260,1.0000,33800
0.0300,0.0300,2020-05-11,0.0000,0.0300,0.0240,0.0263,1.0000,28827
0.0200,0.0200,2020-05-08,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0201,0.0201,2020-05-07,0.0000,0.0224,0.0201,0.0224,1.0000,2600
0.0200,0.0200,2020-05-06,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0200,0.0200,2020-05-05,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0200,0.0200,2020-05-04,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0170,0.0170,2020-05-01,0.0000,0.0170,0.0170,0.0170,1.0000,5000
0.0200,0.0200,2020-04-30,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0200,0.0200,2020-04-29,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0230,0.0230,2020-04-28,0.0000,0.0230,0.0230,0.0230,1.0000,1500
0.0200,0.0200,2020-04-27,0.0000,0.0222,0.0200,0.0200,1.0000,19300
0.0200,0.0200,2020-04-24,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0200,0.0200,2020-04-23,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0200,0.0200,2020-04-22,0.0000,0.0243,0.0200,0.0243,1.0000,200
0.0200,0.0200,2020-04-21,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0200,0.0200,2020-04-20,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0200,0.0200,2020-04-17,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0238,0.0238,2020-04-16,0.0000,0.0238,0.0193,0.0193,1.0000,6200
0.0238,0.0238,2020-04-15,0.0000,0.0238,0.0238,0.0238,1.0000,5050
0.0200,0.0200,2020-04-14,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0200,0.0200,2020-04-13,0.0000,0.0240,0.0200,0.0240,1.0000,84329
0.0260,0.0260,2020-04-09,0.0000,0.0260,0.0260,0.0260,1.0000,2000
0.0200,0.0200,2020-04-08,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0200,0.0200,2020-04-07,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0245,0.0245,2020-04-06,0.0000,0.0300,0.0162,0.0190,1.0000,55000
0.0300,0.0300,2020-04-03,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-04-02,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-04-01,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-03-31,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0330,0.0330,2020-03-30,0.0000,0.0330,0.0190,0.0190,1.0000,3000
0.0400,0.0400,2020-03-27,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0390,0.0390,2020-03-26,0.0000,0.0400,0.0250,0.0250,1.0000,4400
0.0400,0.0400,2020-03-25,0.0000,0.0400,0.0350,0.0363,1.0000,4000
0.0400,0.0400,2020-03-24,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-23,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0353,0.0353,2020-03-20,0.0000,0.0353,0.0250,0.0250,1.0000,51000
0.0258,0.0258,2020-03-19,0.0000,0.0258,0.0210,0.0210,1.0000,6000
0.0251,0.0251,2020-03-18,0.0000,0.0252,0.0251,0.0252,1.0000,10650
0.0200,0.0200,2020-03-17,0.0000,0.0200,0.0200,0.0200,1.0000,0
0.0163,0.0163,2020-03-16,0.0000,0.0198,0.0163,0.0198,1.0000,42400
0.0199,0.0199,2020-03-13,0.0000,0.0357,0.0199,0.0357,1.0000,11500
0.0400,0.0400,2020-03-12,0.0000,0.0400,0.0304,0.0304,1.0000,22000
0.0400,0.0400,2020-03-11,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-10,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-09,0.0000,0.0400,0.0331,0.0400,1.0000,2000
0.0307,0.0307,2020-03-06,0.0000,0.0307,0.0307,0.0307,1.0000,1000
0.0350,0.0350,2020-03-05,0.0000,0.0406,0.0298,0.0300,1.0000,61740
0.0600,0.0600,2020-03-04,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0600,0.0600,2020-03-03,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0600,0.0600,2020-03-02,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0556,0.0556,2020-02-28,0.0000,0.0556,0.0556,0.0556,1.0000,1000
0.0300,0.0300,2020-02-27,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-02-26,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-02-25,0.0000,0.0428,0.0300,0.0428,1.0000,23250
0.0300,0.0300,2020-02-24,0.0000,0.0337,0.0253,0.0270,1.0000,18600
0.0389,0.0389,2020-02-21,0.0000,0.0389,0.0389,0.0389,1.0000,100
0.0389,0.0389,2020-02-20,0.0000,0.0389,0.0389,0.0389,1.0000,1000
0.0366,0.0366,2020-02-19,0.0000,0.0366,0.0300,0.0300,1.0000,7500
0.0375,0.0375,2020-02-18,0.0000,0.0375,0.0359,0.0359,1.0000,3000
0.0414,0.0414,2020-02-14,0.0000,0.0600,0.0253,0.0600,1.0000,11500
0.0500,0.0500,2020-02-13,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-02-12,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0450,0.0450,2020-02-11,0.0000,0.0450,0.0450,0.0450,1.0000,500
0.0600,0.0600,2020-02-10,0.0000,0.0600,0.0600,0.0600,1.0000,1000
0.0400,0.0400,2020-02-07,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0375,0.0375,2020-02-06,0.0000,0.0375,0.0364,0.0364,1.0000,23000
0.0366,0.0366,2020-02-05,0.0000,0.0366,0.0240,0.0240,1.0000,4400
0.0400,0.0400,2020-02-04,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0433,0.0433,2020-02-03,0.0000,0.0433,0.0433,0.0433,1.0000,1000
0.0400,0.0400,2020-01-31,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0372,0.0372,2020-01-29,0.0000,0.0372,0.0308,0.0370,1.0000,46550
0.0391,0.0391,2020-01-28,0.0000,0.0392,0.0342,0.0392,1.0000,19996
0.0450,0.0450,2020-01-27,0.0000,0.0490,0.0450,0.0490,1.0000,11000
0.0400,0.0400,2020-01-24,0.0000,0.0400,0.0321,0.0393,1.0000,4369
0.0368,0.0368,2020-01-23,0.0000,0.0368,0.0368,0.0368,1.0000,1511
0.0400,0.0400,2020-01-22,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0387,0.0387,2020-01-21,0.0000,0.0387,0.0387,0.0387,1.0000,700
0.0341,0.0341,2020-01-17,0.0000,0.0362,0.0341,0.0350,1.0000,27000
0.0350,0.0350,2020-01-16,0.0000,0.0433,0.0350,0.0433,1.0000,5000
0.0500,0.0500,2020-01-15,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-01-14,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0460,0.0460,2020-01-13,0.0000,0.0460,0.0460,0.0460,1.0000,1000
0.0500,0.0500,2020-01-10,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0498,0.0498,2020-01-09,0.0000,0.0498,0.0498,0.0498,1.0000,1000
0.0475,0.0475,2020-01-08,0.0000,0.0475,0.0475,0.0475,1.0000,2000
0.0500,0.0500,2020-01-07,0.0000,0.0500,0.0350,0.0365,1.0000,68000
0.0600,0.0600,2020-01-06,0.0000,0.0600,0.0320,0.0320,1.0000,2000
0.0528,0.0528,2020-01-03,0.0000,0.0528,0.0528,0.0528,1.0000,6000
0.0500,0.0500,2020-01-02,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0512,0.0512,2019-12-31,0.0000,0.0550,0.0400,0.0550,1.0000,55165
0.0499,0.0499,2019-12-30,0.0000,0.0499,0.0341,0.0383,1.0000,95438
0.0479,0.0479,2019-12-27,0.0000,0.0500,0.0383,0.0400,1.0000,85429
0.0400,0.0400,2019-12-26,0.0000,0.0400,0.0400,0.0400,1.0000,2600
0.0400,0.0400,2019-12-24,0.0000,0.0400,0.0400,0.0400,1.0000,100
0.0500,0.0500,2019-12-23,0.0000,0.0500,0.0400,0.0400,1.0000,3700
0.0486,0.0486,2019-12-20,0.0000,0.0486,0.0486,0.0486,1.0000,5000
0.0487,0.0487,2019-12-19,0.0000,0.0487,0.0487,0.0487,1.0000,5000
0.0500,0.0500,2019-12-18,0.0000,0.0500,0.0370,0.0370,1.0000,23500
0.0400,0.0400,2019-12-17,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-12-16,0.0000,0.0506,0.0400,0.0400,1.0000,8280
0.0600,0.0600,2019-12-13,0.0000,0.0600,0.0600,0.0600,1.0000,0
