adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0140,0.0140,2020-05-11,0.0000,0.0140,0.0140,0.0140,1.0000,20000
0.0197,0.0197,2020-05-08,0.0000,0.0197,0.0197,0.0197,1.0000,2000
0.0195,0.0195,2020-05-07,0.0000,0.0195,0.0195,0.0195,1.0000,2196
0.0194,0.0194,2020-05-06,0.0000,0.0194,0.0194,0.0194,1.0000,1000
0.0240,0.0240,2020-05-01,0.0000,0.0240,0.0240,0.0240,1.0000,200
0.0197,0.0197,2020-04-28,0.0000,0.0197,0.0197,0.0197,1.0000,2575
0.0195,0.0195,2020-04-24,0.0000,0.0195,0.0195,0.0195,1.0000,2600
0.0193,0.0193,2020-04-21,0.0000,0.0193,0.0193,0.0193,1.0000,21000
0.0238,0.0238,2020-04-20,0.0000,0.0238,0.0238,0.0238,1.0000,1000
0.0177,0.0177,2020-04-17,0.0000,0.0239,0.0177,0.0239,1.0000,6000
0.0280,0.0280,2020-04-16,0.0000,0.0280,0.0280,0.0280,1.0000,1000
0.0217,0.0217,2020-04-13,0.0000,0.0217,0.0217,0.0217,1.0000,1000
0.0239,0.0239,2020-04-06,0.0000,0.0262,0.0231,0.0262,1.0000,9347
0.0231,0.0231,2020-04-03,0.0000,0.0231,0.0159,0.0159,1.0000,3500
0.0194,0.0194,2020-03-31,0.0000,0.0194,0.0159,0.0180,1.0000,5500
0.0232,0.0232,2020-03-27,0.0000,0.0232,0.0232,0.0232,1.0000,5000
0.0226,0.0226,2020-03-24,0.0000,0.0226,0.0226,0.0226,1.0000,1799
0.0199,0.0199,2020-03-17,0.0000,0.0307,0.0199,0.0307,1.0000,41000
0.0311,0.0311,2020-03-16,0.0000,0.0311,0.0272,0.0272,1.0000,2000
0.0313,0.0313,2020-03-12,0.0000,0.0313,0.0313,0.0313,1.0000,1000
0.0402,0.0402,2020-03-06,0.0000,0.0402,0.0309,0.0309,1.0000,860
0.0398,0.0398,2020-03-05,0.0000,0.0398,0.0398,0.0398,1.0000,350
0.0295,0.0295,2020-02-26,0.0000,0.0295,0.0295,0.0295,1.0000,5000
0.0320,0.0320,2020-02-05,0.0000,0.0320,0.0320,0.0320,1.0000,10000
0.0289,0.0289,2020-01-31,0.0000,0.0289,0.0289,0.0289,1.0000,260
0.0283,0.0283,2020-01-27,0.0000,0.0283,0.0283,0.0283,1.0000,500
0.0260,0.0260,2020-01-16,0.0000,0.0260,0.0260,0.0260,1.0000,25000
0.0302,0.0302,2020-01-08,0.0000,0.0302,0.0302,0.0302,1.0000,700
0.0397,0.0397,2019-12-30,0.0000,0.0397,0.0397,0.0397,1.0000,500
0.0293,0.0293,2019-12-17,0.0000,0.0293,0.0293,0.0293,1.0000,5000
0.0350,0.0350,2019-12-09,0.0000,0.0400,0.0314,0.0400,1.0000,35040
0.0252,0.0252,2019-12-06,0.0000,0.0252,0.0136,0.0150,1.0000,12382
0.0210,0.0210,2019-11-25,0.0000,0.0210,0.0210,0.0210,1.0000,53000
0.0210,0.0210,2019-11-22,0.0000,0.0210,0.0206,0.0206,1.0000,47000
0.0206,0.0206,2019-11-20,0.0000,0.0206,0.0206,0.0206,1.0000,200
0.0140,0.0140,2019-11-15,0.0000,0.0140,0.0140,0.0140,1.0000,75
0.0140,0.0140,2019-11-12,0.0000,0.0140,0.0140,0.0140,1.0000,391
0.0211,0.0211,2019-10-24,0.0000,0.0211,0.0211,0.0211,1.0000,282
0.0280,0.0280,2019-10-23,0.0000,0.0280,0.0280,0.0280,1.0000,100
0.0200,0.0200,2019-10-21,0.0000,0.0200,0.0200,0.0200,1.0000,1250
0.0205,0.0205,2019-10-07,0.0000,0.0205,0.0205,0.0205,1.0000,600
0.0262,0.0262,2019-10-01,0.0000,0.0262,0.0262,0.0262,1.0000,2000
0.0253,0.0253,2019-09-30,0.0000,0.0360,0.0253,0.0360,1.0000,27500
0.0397,0.0397,2019-09-26,0.0000,0.0397,0.0397,0.0397,1.0000,1500
0.0415,0.0415,2019-09-13,0.0000,0.0415,0.0415,0.0415,1.0000,4000
0.0391,0.0391,2019-09-09,0.0000,0.0393,0.0391,0.0393,1.0000,4414
0.0540,0.0540,2019-08-22,0.0000,0.0540,0.0540,0.0540,1.0000,20000
0.0589,0.0589,2019-07-29,0.0000,0.0589,0.0589,0.0589,1.0000,15000
0.0600,0.0600,2019-07-26,0.0000,0.0600,0.0600,0.0600,1.0000,1000
0.0735,0.0735,2019-07-24,0.0000,0.0735,0.0735,0.0735,1.0000,5000
0.0764,0.0764,2019-07-18,0.0000,0.0764,0.0764,0.0764,1.0000,1000
0.0775,0.0775,2019-07-16,0.0000,0.0775,0.0775,0.0775,1.0000,2000
0.0770,0.0770,2019-07-12,0.0000,0.0770,0.0770,0.0770,1.0000,27300
0.0839,0.0839,2019-07-11,0.0000,0.0839,0.0814,0.0814,1.0000,52469
0.0707,0.0707,2019-07-10,0.0000,0.0707,0.0707,0.0707,1.0000,50000
0.0590,0.0590,2019-07-03,0.0000,0.0590,0.0590,0.0590,1.0000,15000
0.0660,0.0660,2019-06-28,0.0000,0.0660,0.0660,0.0660,1.0000,2000
0.0644,0.0644,2019-06-25,0.0000,0.0644,0.0644,0.0644,1.0000,4500
0.0634,0.0634,2019-06-20,0.0000,0.0634,0.0634,0.0634,1.0000,29401
0.0634,0.0634,2019-06-19,0.0000,0.0634,0.0634,0.0634,1.0000,7700
0.0705,0.0705,2019-06-13,0.0000,0.0705,0.0705,0.0705,1.0000,21000
0.0701,0.0701,2019-06-12,0.0000,0.0768,0.0701,0.0768,1.0000,2000
0.0770,0.0770,2019-06-07,0.0000,0.0770,0.0770,0.0770,1.0000,10500
0.0720,0.0720,2019-06-03,0.0000,0.0720,0.0720,0.0720,1.0000,500
0.0726,0.0726,2019-05-31,0.0000,0.0726,0.0726,0.0726,1.0000,1400
0.0741,0.0741,2019-05-30,0.0000,0.0741,0.0741,0.0741,1.0000,1000
0.0720,0.0720,2019-05-23,0.0000,0.0720,0.0720,0.0720,1.0000,3000
0.0775,0.0775,2019-05-22,0.0000,0.0775,0.0775,0.0775,1.0000,500
0.0800,0.0800,2019-05-21,0.0000,0.0800,0.0800,0.0800,1.0000,3000
0.0700,0.0700,2019-05-10,0.0000,0.0750,0.0700,0.0750,1.0000,33000
0.0919,0.0919,2019-05-01,0.0000,0.1050,0.0919,0.1050,1.0000,4100
0.1032,0.1032,2019-04-30,0.0000,0.1032,0.0780,0.0780,1.0000,650
0.0760,0.0760,2019-04-29,0.0000,0.0760,0.0760,0.0760,1.0000,20
0.0760,0.0760,2019-04-25,0.0000,0.0850,0.0760,0.0850,1.0000,30400
0.0873,0.0873,2019-04-24,0.0000,0.0874,0.0851,0.0874,1.0000,21100
0.0948,0.0948,2019-04-23,0.0000,0.0948,0.0948,0.0948,1.0000,1000
0.1000,0.1000,2019-04-22,0.0000,0.1040,0.1000,0.1040,1.0000,25000
0.0851,0.0851,2019-04-18,0.0000,0.0851,0.0851,0.0851,1.0000,2000
0.0842,0.0842,2019-04-17,0.0000,0.0842,0.0842,0.0842,1.0000,200
0.1000,0.1000,2019-04-16,0.0000,0.1009,0.1000,0.1009,1.0000,11500
0.0998,0.0998,2019-04-15,0.0000,0.0998,0.0998,0.0998,1.0000,1000
0.1000,0.1000,2019-04-12,0.0000,0.1000,0.1000,0.1000,1.0000,3400
0.1100,0.1100,2019-04-09,0.0000,0.1336,0.1100,0.1336,1.0000,72199
0.1400,0.1400,2019-04-08,0.0000,0.1400,0.1316,0.1330,1.0000,7500
0.1212,0.1212,2019-04-02,0.0000,0.1212,0.1212,0.1212,1.0000,700
0.1114,0.1114,2019-04-01,0.0000,0.1200,0.1111,0.1200,1.0000,8000
0.1179,0.1179,2019-03-29,0.0000,0.1292,0.1172,0.1292,1.0000,13666
0.1300,0.1300,2019-03-28,0.0000,0.1380,0.1291,0.1380,1.0000,17300
0.1210,0.1210,2019-03-27,0.0000,0.1330,0.1210,0.1330,1.0000,3000
0.1316,0.1316,2019-03-26,0.0000,0.1316,0.1316,0.1316,1.0000,266
0.1316,0.1316,2019-03-25,0.0000,0.1316,0.1316,0.1316,1.0000,105
0.1500,0.1500,2019-03-22,0.0000,0.1500,0.1246,0.1368,1.0000,23266
0.1515,0.1515,2019-03-21,0.0000,0.1515,0.1370,0.1400,1.0000,10439
0.1459,0.1459,2019-03-20,0.0000,0.1550,0.1369,0.1550,1.0000,55008
0.1369,0.1369,2019-03-19,0.0000,0.1369,0.1369,0.1369,1.0000,500
0.1370,0.1370,2019-03-18,0.0000,0.1496,0.1370,0.1390,1.0000,18070
0.1400,0.1400,2019-03-15,0.0000,0.1459,0.1329,0.1459,1.0000,3550
0.1447,0.1447,2019-03-14,0.0000,0.1447,0.1290,0.1290,1.0000,149250
0.1260,0.1260,2019-03-13,0.0000,0.1320,0.1254,0.1320,1.0000,5865
0.1254,0.1254,2019-03-12,0.0000,0.1289,0.1254,0.1289,1.0000,6700
0.1330,0.1330,2019-03-11,0.0000,0.1339,0.1330,0.1339,1.0000,4000
0.1444,0.1444,2019-03-08,0.0000,0.1502,0.1361,0.1361,1.0000,48005
0.1546,0.1546,2019-03-07,0.0000,0.1546,0.1546,0.1546,1.0000,980
0.1492,0.1492,2019-03-06,0.0000,0.1492,0.1492,0.1492,1.0000,7800
0.1359,0.1359,2019-01-29,0.0000,0.1359,0.1359,0.1359,1.0000,500
0.1451,0.1451,2019-01-28,0.0000,0.1451,0.1451,0.1451,1.0000,250
0.1710,0.1710,2019-01-22,0.0000,0.1710,0.1710,0.1710,1.0000,5000
0.1114,0.1114,2019-01-16,0.0000,0.1114,0.1114,0.1114,1.0000,7000
0.1010,0.1010,2018-12-26,0.0000,0.1010,0.1010,0.1010,1.0000,2
0.1010,0.1010,2018-11-23,0.0000,0.1010,0.1010,0.1010,1.0000,500
0.2000,0.2000,2018-11-12,0.0000,0.2000,0.2000,0.2000,1.0000,2
0.2000,0.2000,2018-09-14,0.0000,0.2000,0.1550,0.1550,1.0000,16945
0.1540,0.1540,2018-09-10,0.0000,0.1540,0.1540,0.1540,1.0000,13000
0.1580,0.1580,2018-09-07,0.0000,0.1580,0.1580,0.1580,1.0000,1000
0.1588,0.1588,2018-08-13,0.0000,0.1588,0.1588,0.1588,1.0000,2000
0.1930,0.1930,2018-07-30,0.0000,0.1930,0.1930,0.1930,1.0000,2500
0.1650,0.1650,2018-07-03,0.0000,0.1800,0.1650,0.1800,1.0000,12000
0.1812,0.1812,2018-06-29,0.0000,0.2201,0.1812,0.2201,1.0000,1000
0.2099,0.2099,2018-06-28,0.0000,0.2099,0.2099,0.2099,1.0000,155
0.2240,0.2240,2018-06-26,0.0000,0.2240,0.2240,0.2240,1.0000,1000
0.3496,0.3496,2018-05-17,0.0000,0.3496,0.3496,0.3496,1.0000,1000
0.3811,0.3811,2018-04-17,0.0000,0.3811,0.3811,0.3811,1.0000,100
0.4155,0.4155,2018-03-26,0.0000,0.4155,0.4000,0.4000,1.0000,2000
0.5090,0.5090,2018-03-06,0.0000,0.5090,0.5090,0.5090,1.0000,100
0.6895,0.6895,2018-02-28,0.0000,0.6895,0.6895,0.6895,1.0000,83
0.6895,0.6895,2018-02-20,0.0000,0.6895,0.6895,0.6895,1.0000,72
0.6895,0.6895,2018-02-06,0.0000,0.6895,0.6895,0.6895,1.0000,3000
0.4950,0.4950,2017-12-12,0.0000,0.4950,0.4950,0.4950,1.0000,300
0.4590,0.4590,2017-11-07,0.0000,0.4590,0.4590,0.4590,1.0000,100
0.4857,0.4857,2017-09-22,0.0000,0.4857,0.4857,0.4857,1.0000,1000
