adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
4.0000,4.0000,2020-05-12,0.0000,4.1300,3.9900,4.1300,1.0000,112801
4.0000,4.0000,2020-05-11,0.0000,4.2500,4.0000,4.0200,1.0000,97097
4.1700,4.1700,2020-05-08,0.0000,4.2500,4.0000,4.0000,1.0000,63011
4.0200,4.0200,2020-05-07,0.0000,4.1300,3.8900,3.9300,1.0000,82765
3.8600,3.8600,2020-05-06,0.0000,3.8800,3.6400,3.8400,1.0000,79007
3.8500,3.8500,2020-05-05,0.0000,4.1500,3.8100,4.0600,1.0000,72103
3.9000,3.9000,2020-05-04,0.0000,4.0500,3.8300,3.8300,1.0000,62914
4.0000,4.0000,2020-05-01,0.0000,4.1900,3.8400,4.1900,1.0000,76639
4.3300,4.3300,2020-04-30,0.0000,4.4500,4.1200,4.4500,1.0000,87529
4.4100,4.4100,2020-04-29,0.0000,4.5100,3.8050,3.8500,1.0000,118070
3.6900,3.6900,2020-04-28,0.0000,3.8800,3.5600,3.6900,1.0000,48676
3.6100,3.6100,2020-04-27,0.0000,3.6800,3.3000,3.3400,1.0000,121034
3.4100,3.4100,2020-04-24,0.0000,3.8972,3.3400,3.7500,1.0000,84543
3.6300,3.6300,2020-04-23,0.0000,4.0097,3.5700,3.5700,1.0000,98155
3.5700,3.5700,2020-04-22,0.0000,3.6600,3.2000,3.2700,1.0000,78078
3.1300,3.1300,2020-04-21,0.0000,3.2200,3.0200,3.0600,1.0000,91068
3.0900,3.0900,2020-04-20,0.0000,3.3000,3.0200,3.0900,1.0000,101262
3.1500,3.1500,2020-04-17,0.0000,3.3500,3.0760,3.1800,1.0000,85509
3.1600,3.1600,2020-04-16,0.0000,3.3500,3.1200,3.2900,1.0000,105455
3.1800,3.1800,2020-04-15,0.0000,3.4500,3.1300,3.4500,1.0000,96963
3.4600,3.4600,2020-04-14,0.0000,3.7250,3.3550,3.6000,1.0000,82128
3.6000,3.6000,2020-04-13,0.0000,3.8400,3.5600,3.7700,1.0000,86614
3.6500,3.6500,2020-04-09,0.0000,4.1800,3.4400,3.9000,1.0000,66350
3.7000,3.7000,2020-04-08,0.0000,3.7900,3.3500,3.3900,1.0000,84156
3.3700,3.3700,2020-04-07,0.0000,3.7307,3.2200,3.6325,1.0000,110274
