adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
65.5000,65.5000,2020-05-12,0.0000,66.5000,65.5000,66.5000,1.0000,49
65.5000,65.5000,2020-05-11,0.0000,65.5000,60.8800,60.8800,1.0000,18
64.0000,64.0000,2020-05-08,0.0000,66.1800,64.0000,66.1800,1.0000,144
62.8400,62.8400,2020-05-07,0.0000,65.4900,62.5300,64.0000,1.0000,348
60.5400,60.5400,2020-05-06,0.0000,60.5500,59.2212,59.2212,1.0000,731
60.2900,60.2900,2020-05-05,0.0000,60.2900,57.7700,57.7700,1.0000,24
57.3400,57.3400,2020-05-04,0.0000,59.9100,57.3400,57.3900,1.0000,26
61.3200,61.3200,2020-05-01,0.0000,62.5300,58.5600,58.8300,1.0000,111
61.6200,61.6200,2020-04-30,0.0000,63.0500,61.6200,63.0500,1.0000,274
63.5000,63.5000,2020-04-29,0.0000,63.5000,61.2100,61.2100,1.0000,51
58.7100,58.7100,2020-04-28,0.0000,58.7100,58.7100,58.7100,1.0000,6
61.1100,61.1100,2020-04-27,0.0000,61.1100,58.1500,58.1500,1.0000,34
58.0000,58.0000,2020-04-24,0.0000,58.0000,58.0000,58.0000,1.0000,4
59.0100,59.0100,2020-04-23,0.0000,59.0100,58.7050,58.7050,1.0000,38
59.5500,59.5500,2020-04-22,0.0000,59.5500,56.7900,56.7900,1.0000,451
60.0000,60.0000,2020-04-21,0.0000,60.0000,60.0000,60.0000,1.0000,450
60.0000,60.0000,2020-04-20,0.0000,63.3100,60.0000,62.3600,1.0000,122
60.7400,60.7400,2020-04-17,0.0000,64.0600,60.7400,61.8200,1.0000,50
61.4600,61.4600,2020-04-16,0.0000,62.1500,58.6900,62.1500,1.0000,37
60.3250,60.3250,2020-04-15,0.0000,60.3250,60.3250,60.3250,1.0000,14
66.1300,66.1300,2020-04-14,0.0000,66.1300,66.1300,66.1300,1.0000,1
66.3100,66.3100,2020-04-13,0.0000,66.3100,60.0200,65.0000,1.0000,19
64.8300,64.8300,2020-04-09,0.0000,64.8300,61.4250,64.5600,1.0000,250
60.0000,60.0000,2020-04-08,0.0000,60.8100,60.0000,60.8100,1.0000,120
55.5000,55.5000,2020-04-07,0.0000,55.5000,55.5000,55.5000,1.0000,0
55.5000,55.5000,2020-04-06,0.0000,55.5000,55.5000,55.5000,1.0000,5
53.0000,53.0000,2020-04-03,0.0000,54.0200,50.4900,54.0200,1.0000,2026
57.5000,57.5000,2020-04-02,0.0000,57.8500,53.7200,53.7200,1.0000,14
59.1200,59.1200,2020-04-01,0.0000,59.9300,58.0000,58.0000,1.0000,243
57.4400,57.4400,2020-03-31,0.0000,62.0000,57.4400,62.0000,1.0000,51
62.0000,62.0000,2020-03-30,0.0000,62.0000,57.0400,61.7500,1.0000,2438
64.0000,64.0000,2020-03-27,0.0000,64.0000,57.9400,57.9600,1.0000,72
64.5400,64.5400,2020-03-26,0.0000,64.5400,60.4900,61.8700,1.0000,117
58.3700,58.3700,2020-03-25,0.0000,60.7800,54.4900,60.7800,1.0000,167
55.2700,55.2700,2020-03-24,0.0000,55.4900,55.1599,55.4900,1.0000,61
47.7316,47.7316,2020-03-23,0.0000,47.7316,46.1800,46.1800,1.0000,120
48.0000,48.0000,2020-03-20,0.0000,51.4900,47.1400,51.0400,1.0000,271
49.1899,49.1899,2020-03-19,0.0000,49.3700,43.5600,43.5600,1.0000,32
43.2300,43.2300,2020-03-18,0.0000,47.8600,43.2300,43.2301,1.0000,1104
