adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0100,0.0100,2020-05-12,0.0000,0.0100,0.0100,0.0100,1.0000,37200
0.0022,0.0022,2020-05-05,0.0000,0.0022,0.0022,0.0022,1.0000,1500
0.0011,0.0011,2020-05-01,0.0000,0.0011,0.0011,0.0011,1.0000,250
0.0240,0.0240,2020-04-29,0.0000,0.0240,0.0240,0.0240,1.0000,10000
0.0240,0.0240,2020-04-13,0.0000,0.0240,0.0240,0.0240,1.0000,20000
0.0260,0.0260,2020-04-07,0.0000,0.0260,0.0260,0.0260,1.0000,20000
0.0260,0.0260,2020-04-06,0.0000,0.0260,0.0260,0.0260,1.0000,30000
0.0230,0.0230,2020-03-30,0.0000,0.0230,0.0230,0.0230,1.0000,20000
0.0250,0.0250,2020-03-27,0.0000,0.0250,0.0250,0.0250,1.0000,10000
0.0260,0.0260,2020-03-24,0.0000,0.0260,0.0260,0.0260,1.0000,20000
0.0260,0.0260,2020-03-23,0.0000,0.0260,0.0260,0.0260,1.0000,10000
0.0260,0.0260,2020-03-20,0.0000,0.0260,0.0260,0.0260,1.0000,10000
0.0270,0.0270,2020-03-19,0.0000,0.0270,0.0270,0.0270,1.0000,77
0.0270,0.0270,2020-03-18,0.0000,0.0270,0.0270,0.0270,1.0000,190
0.0251,0.0251,2020-03-13,0.0000,0.0251,0.0251,0.0251,1.0000,50
0.0251,0.0251,2020-03-10,0.0000,0.0251,0.0251,0.0251,1.0000,4500
0.0146,0.0146,2020-03-06,0.0000,0.0146,0.0146,0.0146,1.0000,190
0.0011,0.0011,2020-03-05,0.0000,0.0011,0.0010,0.0010,1.0000,260000
0.0207,0.0207,2020-03-04,0.0000,0.0240,0.0207,0.0240,1.0000,30000
0.0260,0.0260,2020-03-03,0.0000,0.0260,0.0260,0.0260,1.0000,30000
0.0260,0.0260,2020-02-26,0.0000,0.0260,0.0260,0.0260,1.0000,6000
0.0280,0.0280,2020-02-04,0.0000,0.0280,0.0278,0.0280,1.0000,6000
0.0275,0.0275,2019-12-17,0.0000,0.0275,0.0275,0.0275,1.0000,200
0.0290,0.0290,2019-12-12,0.0000,0.0290,0.0290,0.0290,1.0000,200
0.0337,0.0337,2019-12-10,0.0000,0.0337,0.0337,0.0337,1.0000,400
0.0249,0.0249,2019-12-09,0.0000,0.0249,0.0249,0.0249,1.0000,100
0.0330,0.0330,2019-12-06,0.0000,0.0330,0.0330,0.0330,1.0000,37000
0.0350,0.0350,2019-12-04,0.0000,0.0350,0.0350,0.0350,1.0000,25000
0.0350,0.0350,2019-12-02,0.0000,0.0350,0.0319,0.0319,1.0000,30363
0.0400,0.0400,2019-11-29,0.0000,0.0500,0.0400,0.0500,1.0000,34000
0.1000,0.1000,2019-11-27,0.0000,0.1850,0.0600,0.0600,1.0000,137276
0.0319,0.0319,2019-11-26,0.0000,0.0319,0.0319,0.0319,1.0000,1000
0.0335,0.0335,2019-11-25,0.0000,0.0335,0.0335,0.0335,1.0000,2500
0.0207,0.0207,2019-10-31,0.0000,0.0600,0.0207,0.0600,1.0000,14029
0.0600,0.0600,2019-10-30,0.0000,0.0600,0.0600,0.0600,1.0000,3863
0.0207,0.0207,2019-10-29,0.0000,0.0207,0.0207,0.0207,1.0000,5000
0.0207,0.0207,2019-10-25,0.0000,0.0207,0.0207,0.0207,1.0000,9200
0.0286,0.0286,2019-10-22,0.0000,0.0286,0.0286,0.0286,1.0000,17510
0.0600,0.0600,2019-10-21,0.0000,0.0600,0.0600,0.0600,1.0000,9200
0.0207,0.0207,2019-10-16,0.0000,0.0207,0.0207,0.0207,1.0000,12200
0.0560,0.0560,2019-09-20,0.0000,0.0560,0.0560,0.0560,1.0000,12200
0.0351,0.0351,2019-09-18,0.0000,0.0351,0.0351,0.0351,1.0000,20000
0.0350,0.0350,2019-09-17,0.0000,0.0350,0.0350,0.0350,1.0000,12200
0.0665,0.0665,2019-09-13,0.0000,0.0665,0.0665,0.0665,1.0000,7200
0.0665,0.0665,2019-09-12,0.0000,0.0665,0.0665,0.0665,1.0000,5000
0.0479,0.0479,2019-09-11,0.0000,0.0479,0.0479,0.0479,1.0000,10500
0.0413,0.0413,2019-09-10,0.0000,0.0413,0.0350,0.0350,1.0000,9200
0.0665,0.0665,2019-09-09,0.0000,0.0665,0.0665,0.0665,1.0000,15000
0.0665,0.0665,2019-09-05,0.0000,0.0665,0.0665,0.0665,1.0000,2000
0.0550,0.0550,2019-08-29,0.0000,0.0550,0.0550,0.0550,1.0000,5000
0.0550,0.0550,2019-08-28,0.0000,0.0550,0.0550,0.0550,1.0000,8200
0.0325,0.0325,2019-08-27,0.0000,0.0325,0.0325,0.0325,1.0000,10000
0.0207,0.0207,2019-08-23,0.0000,0.0207,0.0207,0.0207,1.0000,8200
0.0550,0.0550,2019-08-22,0.0000,0.0550,0.0550,0.0550,1.0000,10000
0.0590,0.0590,2019-08-20,0.0000,0.0590,0.0590,0.0590,1.0000,1030
0.0374,0.0374,2019-08-19,0.0000,0.0700,0.0374,0.0700,1.0000,27950
0.0700,0.0700,2019-08-16,0.0000,0.0700,0.0700,0.0700,1.0000,8000
0.0700,0.0700,2019-08-15,0.0000,0.0700,0.0700,0.0700,1.0000,200
0.0500,0.0500,2019-08-13,0.0000,0.0500,0.0500,0.0500,1.0000,8000
0.0700,0.0700,2019-08-07,0.0000,0.0700,0.0700,0.0700,1.0000,12000
0.0528,0.0528,2019-08-06,0.0000,0.0528,0.0528,0.0528,1.0000,10000
0.0500,0.0500,2019-08-02,0.0000,0.0584,0.0500,0.0584,1.0000,19500
0.0700,0.0700,2019-07-31,0.0000,0.0700,0.0700,0.0700,1.0000,7000
0.0625,0.0625,2019-07-23,0.0000,0.0669,0.0625,0.0625,1.0000,15400
0.0710,0.0710,2019-07-19,0.0000,0.0710,0.0710,0.0710,1.0000,3000
0.0719,0.0719,2019-07-18,0.0000,0.0719,0.0719,0.0719,1.0000,7500
0.0710,0.0710,2019-07-17,0.0000,0.0710,0.0700,0.0700,1.0000,20000
0.0647,0.0647,2019-07-16,0.0000,0.0688,0.0647,0.0688,1.0000,57500
0.0680,0.0680,2019-07-15,0.0000,0.0680,0.0680,0.0680,1.0000,7500
0.0710,0.0710,2019-07-09,0.0000,0.0710,0.0710,0.0710,1.0000,30000
0.0750,0.0750,2019-07-08,0.0000,0.0750,0.0750,0.0750,1.0000,7500
0.0750,0.0750,2019-07-03,0.0000,0.0750,0.0750,0.0750,1.0000,5000
0.0790,0.0790,2019-07-02,0.0000,0.0790,0.0790,0.0790,1.0000,7500
0.0775,0.0775,2019-06-28,0.0000,0.0775,0.0700,0.0700,1.0000,30000
0.0680,0.0680,2019-06-17,0.0000,0.0680,0.0680,0.0680,1.0000,2600
0.0762,0.0762,2019-06-11,0.0000,0.0762,0.0762,0.0762,1.0000,26527
0.0900,0.0900,2019-06-06,0.0000,0.0900,0.0900,0.0900,1.0000,30000
0.0960,0.0960,2019-06-05,0.0000,0.0960,0.0960,0.0960,1.0000,6000
0.0980,0.0980,2019-05-22,0.0000,0.0980,0.0980,0.0980,1.0000,20000
0.0950,0.0950,2019-05-20,0.0000,0.0950,0.0950,0.0950,1.0000,1600
0.1003,0.1003,2019-05-15,0.0000,0.1060,0.0972,0.1060,1.0000,10765
0.1160,0.1160,2019-05-10,0.0000,0.1160,0.1150,0.1150,1.0000,3000
0.1175,0.1175,2019-05-08,0.0000,0.1200,0.1150,0.1200,1.0000,5200
0.1200,0.1200,2019-05-07,0.0000,0.1239,0.1200,0.1239,1.0000,3600
0.1112,0.1112,2019-05-01,0.0000,0.1200,0.1112,0.1200,1.0000,15600
0.1360,0.1360,2019-04-30,0.0000,0.1360,0.1360,0.1360,1.0000,600
0.1200,0.1200,2019-04-29,0.0000,0.1200,0.1200,0.1200,1.0000,16500
0.1050,0.1050,2019-04-25,0.0000,0.1050,0.1050,0.1050,1.0000,3230
0.1206,0.1206,2019-04-24,0.0000,0.1206,0.1206,0.1206,1.0000,1173
0.1082,0.1082,2019-04-23,0.0000,0.1082,0.1082,0.1082,1.0000,3500
0.1116,0.1116,2019-04-17,0.0000,0.1116,0.1116,0.1116,1.0000,6714
0.1400,0.1400,2019-04-12,0.0000,0.1400,0.1000,0.1000,1.0000,15230
0.1400,0.1400,2019-04-11,0.0000,0.1400,0.1400,0.1400,1.0000,100
0.1300,0.1300,2019-04-09,0.0000,0.1400,0.1300,0.1400,1.0000,9462
0.1500,0.1500,2019-04-08,0.0000,0.1500,0.0900,0.0900,1.0000,18750
0.3540,0.3540,2019-04-05,0.0000,0.3540,0.1160,0.1160,1.0000,5100
