adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.9900,0.9900,2020-05-11,0.0000,0.9900,0.9900,0.9900,1.0000,0
0.9900,0.9900,2020-05-08,0.0000,0.9900,0.9900,0.9900,1.0000,0
0.9900,0.9900,2020-05-07,0.0000,0.9900,0.9900,0.9900,1.0000,0
0.9900,0.9900,2020-05-06,0.0000,0.9900,0.9900,0.9900,1.0000,0
0.9900,0.9900,2020-05-05,0.0000,0.9900,0.9900,0.9900,1.0000,0
0.9900,0.9900,2020-05-04,0.0000,0.9900,0.9900,0.9900,1.0000,500
1.0400,1.0400,2020-05-01,0.0000,1.0400,1.0400,1.0400,1.0000,1
1.0400,1.0400,2020-04-30,0.0000,1.0700,0.9000,0.9600,1.0000,38654
0.9600,0.9600,2020-04-29,0.0000,0.9600,0.9600,0.9600,1.0000,0
0.9600,0.9600,2020-04-28,0.0000,0.9600,0.9600,0.9600,1.0000,1000
1.0000,1.0000,2020-04-27,0.0000,1.0000,0.9900,0.9900,1.0000,3000
0.9800,0.9800,2020-04-24,0.0000,0.9800,0.9800,0.9800,1.0000,0
0.9800,0.9800,2020-04-23,0.0000,0.9800,0.9800,0.9800,1.0000,2200
0.9800,0.9800,2020-04-22,0.0000,1.0000,0.9800,1.0000,1.0000,1250
0.9500,0.9500,2020-04-21,0.0000,0.9500,0.9500,0.9500,1.0000,500
0.9800,0.9800,2020-04-20,0.0000,1.0000,0.9600,1.0000,1.0000,3000
0.9100,0.9100,2020-04-17,0.0000,0.9100,0.9100,0.9100,1.0000,0
0.9100,0.9100,2020-04-16,0.0000,0.9100,0.9100,0.9100,1.0000,0
0.9100,0.9100,2020-04-15,0.0000,0.9100,0.9100,0.9100,1.0000,120
1.0500,1.0500,2020-04-14,0.0000,1.0500,1.0500,1.0500,1.0000,0
1.0500,1.0500,2020-04-13,0.0000,1.0500,1.0500,1.0500,1.0000,63
1.0500,1.0500,2020-04-09,0.0000,1.0500,1.0500,1.0500,1.0000,900
0.8000,0.8000,2020-04-08,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2020-04-07,0.0000,0.8000,0.8000,0.8000,1.0000,50
0.8000,0.8000,2020-04-06,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2020-04-03,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2020-04-02,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2020-04-01,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2020-03-31,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2020-03-30,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2020-03-27,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2020-03-26,0.0000,0.8500,0.8000,0.8500,1.0000,1100
0.8000,0.8000,2020-03-25,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2020-03-24,0.0000,0.8000,0.8000,0.8000,1.0000,289
0.8801,0.8801,2020-03-23,0.0000,0.8801,0.8801,0.8801,1.0000,153
0.9010,0.9010,2020-03-20,0.0000,0.9010,0.9010,0.9010,1.0000,2500
0.9000,0.9000,2020-03-19,0.0000,0.9000,0.9000,0.9000,1.0000,0
0.9010,0.9010,2020-03-18,0.0000,0.9610,0.9010,0.9500,1.0000,13538
0.9600,0.9600,2020-03-17,0.0000,0.9600,0.9600,0.9600,1.0000,0
0.9610,0.9610,2020-03-16,0.0000,0.9950,0.9610,0.9900,1.0000,4501
1.0600,1.0600,2020-03-13,0.0000,1.0600,1.0600,1.0600,1.0000,0
1.0600,1.0600,2020-03-12,0.0000,1.0600,1.0600,1.0600,1.0000,10
