adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
4.9690,4.9690,2020-05-12,0.0000,5.1500,4.8900,5.1499,1.0000,27944
5.0500,5.0500,2020-05-11,0.0000,5.2400,4.9800,4.9800,1.0000,61267
4.8600,4.8600,2020-05-08,0.0000,4.9800,4.6900,4.6900,1.0000,90796
4.6750,4.6750,2020-05-07,0.0000,4.7900,4.5800,4.7300,1.0000,53414
4.6740,4.6740,2020-05-06,0.0000,4.7100,4.5700,4.6300,1.0000,25517
4.6100,4.6100,2020-05-05,0.0000,4.7499,4.6100,4.6450,1.0000,65682
4.5900,4.5900,2020-05-04,0.0000,4.6540,4.5900,4.6500,1.0000,92535
4.7000,4.7000,2020-05-01,0.0000,4.8870,4.6400,4.8870,1.0000,51103
4.8800,4.8800,2020-04-30,0.0000,5.0100,4.8800,4.9700,1.0000,46530
4.8700,4.8700,2020-04-29,0.0000,4.8800,4.7100,4.8000,1.0000,42884
4.7701,4.7701,2020-04-28,0.0000,5.1300,4.6200,4.6200,1.0000,399701
4.9600,4.9600,2020-04-27,0.0000,5.0600,4.5400,4.5400,1.0000,266805
4.5400,4.5400,2020-04-24,0.0000,4.6600,4.4000,4.4000,1.0000,76747
4.7501,4.7501,2020-04-23,0.0000,4.9200,4.4000,4.4000,1.0000,487943
4.5700,4.5700,2020-04-22,0.0000,4.6200,4.4500,4.4500,1.0000,76807
4.4900,4.4900,2020-04-21,0.0000,4.6200,4.2100,4.2100,1.0000,216975
4.6700,4.6700,2020-04-20,0.0000,4.8000,4.6600,4.6600,1.0000,79931
4.7825,4.7825,2020-04-17,0.0000,5.1200,4.7500,5.1200,1.0000,89327
4.4900,4.4900,2020-04-16,0.0000,5.0700,4.4600,5.0700,1.0000,72065
4.6900,4.6900,2020-04-15,0.0000,4.7650,4.6100,4.7500,1.0000,62178
4.9100,4.9100,2020-04-14,0.0000,5.1300,4.5800,4.5800,1.0000,81210
4.9200,4.9200,2020-04-13,0.0000,5.0400,4.7700,5.0400,1.0000,173387
5.1000,5.1000,2020-04-09,0.0000,5.2000,4.8600,4.9000,1.0000,72130
4.7600,4.7600,2020-04-08,0.0000,4.7800,4.5700,4.6725,1.0000,110664
4.8825,4.8825,2020-04-07,0.0000,5.0500,4.7700,4.8550,1.0000,98660
4.7400,4.7400,2020-04-06,0.0000,4.9000,4.4900,4.4900,1.0000,147102
4.5000,4.5000,2020-04-03,0.0000,4.5400,4.4500,4.4950,1.0000,88682
4.5120,4.5120,2020-04-02,0.0000,4.6700,4.4300,4.4300,1.0000,97417
4.3020,4.3020,2020-04-01,0.0000,4.4600,4.3020,4.4599,1.0000,85367
4.6200,4.6200,2020-03-31,0.0000,4.8800,4.3900,4.4375,1.0000,112077
4.6100,4.6100,2020-03-30,0.0000,4.7520,4.5300,4.6325,1.0000,198515
4.7200,4.7200,2020-03-27,0.0000,4.8580,4.7100,4.7500,1.0000,78529
4.6700,4.6700,2020-03-26,0.0000,4.7000,3.9500,4.0875,1.0000,68372
4.2600,4.2600,2020-03-25,0.0000,4.5000,4.0000,4.0000,1.0000,132712
4.1400,4.1400,2020-03-24,0.0000,4.2300,3.7000,3.7000,1.0000,266998
4.0950,4.0950,2020-03-23,0.0000,4.6100,4.0400,4.3500,1.0000,225065
4.4100,4.4100,2020-03-20,0.0000,4.6800,4.4100,4.5100,1.0000,257963
4.8300,4.8300,2020-03-19,0.0000,4.9500,4.7700,4.8400,1.0000,210957
5.1800,5.1800,2020-03-18,0.0000,5.7900,4.9100,5.0200,1.0000,113445
5.5600,5.5600,2020-03-17,0.0000,5.7000,5.3000,5.4775,1.0000,412427
5.8000,5.8000,2020-03-16,0.0000,6.0800,5.6000,5.6000,1.0000,79760
6.7800,6.7800,2020-03-13,0.0000,6.7800,6.4000,6.6550,1.0000,140601
6.1500,6.1500,2020-03-12,0.0000,6.7070,6.1400,6.1400,1.0000,111297
6.8700,6.8700,2020-03-11,0.0000,7.0500,6.6300,6.8225,1.0000,76782
7.2200,7.2200,2020-03-10,0.0000,7.2700,6.9501,7.1500,1.0000,150916
6.7600,6.7600,2020-03-09,0.0000,7.2700,6.7000,6.7000,1.0000,61539
7.6600,7.6600,2020-03-06,0.0000,7.8800,7.5800,7.5800,1.0000,156073
8.2200,8.2200,2020-03-05,0.0000,8.4900,8.1800,8.3225,1.0000,94260
8.3800,8.3800,2020-03-04,0.0000,8.3900,8.2500,8.3900,1.0000,96046
8.1900,8.1900,2020-03-03,0.0000,8.5900,8.1300,8.1300,1.0000,155232
8.1100,8.1100,2020-03-02,0.0000,8.3700,7.7900,7.8950,1.0000,206121
7.7850,7.7850,2020-02-28,0.0000,7.9500,7.4300,7.4300,1.0000,87770
8.3300,8.3300,2020-02-27,0.0000,8.5600,8.1500,8.3000,1.0000,54579
8.5900,8.5900,2020-02-26,0.0000,8.7300,8.5401,8.5700,1.0000,59872
8.7690,8.7690,2020-02-25,0.0000,8.9300,8.6400,8.6400,1.0000,165847
8.5500,8.5500,2020-02-24,0.0000,8.8000,8.5300,8.7500,1.0000,55401
8.9000,8.9000,2020-02-21,0.0000,9.0000,8.8400,8.8400,1.0000,106242
9.0500,9.0500,2020-02-20,0.0000,9.0730,8.8700,9.0150,1.0000,66577
9.0700,9.0700,2020-02-19,0.0000,9.3400,8.9400,8.9400,1.0000,184679
8.9500,8.9500,2020-02-18,0.0000,8.9800,8.8000,8.9800,1.0000,62796
8.8850,8.8850,2020-02-14,0.0000,8.9900,8.7000,8.7000,1.0000,35225
8.6700,8.6700,2020-02-13,0.0000,8.7200,8.6700,8.6700,1.0000,25300
8.9000,8.9000,2020-02-12,0.0000,8.9900,8.5600,8.7700,1.0000,42582
8.7600,8.7600,2020-02-11,0.0000,9.0400,8.7300,9.0300,1.0000,20165
9.0000,9.0000,2020-02-10,0.0000,9.0800,8.8550,8.8550,1.0000,19935
9.3500,9.3500,2020-02-07,0.0000,9.6200,9.1300,9.6200,1.0000,18955
9.5000,9.5000,2020-02-06,0.0000,9.5200,9.4000,9.4200,1.0000,35056
9.4150,9.4150,2020-02-05,0.0000,9.4400,9.2100,9.2700,1.0000,43644
9.3500,9.3500,2020-02-04,0.0000,9.4400,9.1700,9.3000,1.0000,101890
9.1100,9.1100,2020-02-03,0.0000,9.2700,9.0501,9.2700,1.0000,43725
9.1200,9.1200,2020-01-31,0.0000,9.4000,9.0400,9.0400,1.0000,38770
9.7200,9.7200,2020-01-30,0.0000,9.7200,9.4800,9.6450,1.0000,72482
10.1100,10.1100,2020-01-29,0.0000,10.1100,9.7600,9.9300,1.0000,10951
9.9900,9.9900,2020-01-28,0.0000,10.0500,9.7975,9.9000,1.0000,79129
9.8300,9.8300,2020-01-27,0.0000,9.8300,9.6600,9.6600,1.0000,173155
10.1800,10.1800,2020-01-24,0.0000,10.4100,10.0601,10.0601,1.0000,23480
10.3500,10.3500,2020-01-23,0.0000,10.3700,10.1200,10.1700,1.0000,172005
10.3000,10.3000,2020-01-22,0.0000,10.3700,10.1600,10.3100,1.0000,329026
10.2700,10.2700,2020-01-21,0.0000,10.3800,10.2600,10.2600,1.0000,177542
10.4300,10.4300,2020-01-17,0.0000,10.4500,10.3200,10.4500,1.0000,43944
10.4200,10.4200,2020-01-16,0.0000,10.5700,10.2200,10.2200,1.0000,54685
10.4100,10.4100,2020-01-15,0.0000,10.6200,10.1900,10.1900,1.0000,46366
10.2550,10.2550,2020-01-14,0.0000,10.3900,10.1900,10.3000,1.0000,91215
10.1200,10.1200,2020-01-13,0.0000,10.2100,10.0250,10.0500,1.0000,185129
9.9300,9.9300,2020-01-10,0.0000,9.9865,9.7000,9.8900,1.0000,209627
9.8900,9.8900,2020-01-09,0.0000,10.0300,9.8700,9.9050,1.0000,46604
