adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
20.7200,20.7200,2020-05-12,0.0000,20.7200,20.7200,20.7200,1.0000,3629
21.2695,21.2695,2020-05-11,0.0000,21.3701,21.1700,21.3700,1.0000,1850
21.1300,21.1300,2020-05-08,0.0000,21.1300,21.1300,21.1300,1.0000,0
21.1250,21.1250,2020-05-07,0.0000,21.1400,21.1250,21.1400,1.0000,200
20.9000,20.9000,2020-05-06,0.0000,21.4100,20.9000,21.4100,1.0000,2953
21.5100,21.5100,2020-05-05,0.0000,21.5100,21.4100,21.4100,1.0000,1850
21.8100,21.8100,2020-05-04,0.0000,21.8100,21.8100,21.8100,1.0000,344
21.5431,21.5431,2020-05-01,0.0000,21.5462,21.5100,21.5300,1.0000,3540
21.8800,21.8800,2020-04-30,0.0000,21.9400,21.8700,21.9400,1.0000,575
22.1700,22.1700,2020-04-29,0.0000,22.6900,22.1700,22.6900,1.0000,900
22.4100,22.4100,2020-04-28,0.0000,22.4100,21.9700,21.9700,1.0000,425
21.7300,21.7300,2020-04-27,0.0000,21.7300,21.6200,21.6200,1.0000,778
21.1713,21.1713,2020-04-24,0.0000,21.1713,21.1713,21.1713,1.0000,351
21.6501,21.6501,2020-04-23,0.0000,21.6501,21.4200,21.4200,1.0000,755
21.1800,21.1800,2020-04-22,0.0000,21.1800,21.1800,21.1800,1.0000,11
21.1800,21.1800,2020-04-21,0.0000,21.1800,21.1800,21.1800,1.0000,510
21.9800,21.9800,2020-04-20,0.0000,21.9800,21.6600,21.6600,1.0000,2092
21.9000,21.9000,2020-04-17,0.0000,22.1200,21.9000,22.1200,1.0000,475
21.1980,21.1980,2020-04-16,0.0000,21.2600,21.1800,21.2500,1.0000,1170
21.0000,21.0000,2020-04-15,0.0000,21.0000,21.0000,21.0000,1.0000,110
21.4600,21.4600,2020-04-14,0.0000,21.9200,21.4400,21.9200,1.0000,812
21.3100,21.3100,2020-04-13,0.0000,21.3100,21.2465,21.2465,1.0000,807
21.5400,21.5400,2020-04-09,0.0000,21.5400,21.5400,21.5400,1.0000,100
21.2200,21.2200,2020-04-08,0.0000,21.2200,21.2200,21.2200,1.0000,100
21.8400,21.8400,2020-04-07,0.0000,22.8500,21.8400,22.8500,1.0000,1210
22.0300,22.0300,2020-04-06,0.0000,22.0300,22.0000,22.0000,1.0000,300
21.3100,21.3100,2020-04-03,0.0000,21.3100,21.3100,21.3100,1.0000,370
21.6000,21.6000,2020-04-02,0.0000,21.6000,21.6000,21.6000,1.0000,0
21.6000,21.6000,2020-04-01,0.0000,22.0090,21.3100,21.3100,1.0000,1439
22.6200,22.6200,2020-03-31,0.0000,22.6200,21.7700,21.7700,1.0000,1625
22.0400,22.0400,2020-03-30,0.0000,22.0700,21.2900,21.3700,1.0000,4094
21.3000,21.3000,2020-03-27,0.0000,21.6370,21.1500,21.2600,1.0000,894
21.3700,21.3700,2020-03-26,0.1410,21.3700,21.3700,21.3700,1.0000,1031
21.5578,21.7000,2020-03-25,0.0000,21.7000,20.1585,20.2715,1.0000,1615
19.5543,19.6833,2020-03-24,0.0000,19.7600,19.6400,19.6400,1.0000,1106
18.8379,18.9622,2020-03-23,0.0000,19.5200,18.9400,19.1100,1.0000,3144
20.1073,20.2400,2020-03-20,0.0000,20.7600,20.2400,20.5500,1.0000,502
20.0378,20.1700,2020-03-19,0.0000,20.1700,19.3700,19.3700,1.0000,5329
19.1238,19.2500,2020-03-18,0.0000,20.3620,18.6300,20.3620,1.0000,3859
20.5643,20.7000,2020-03-17,0.0000,21.3200,20.6900,20.6900,1.0000,1534
20.2464,20.3800,2020-03-16,0.0000,21.1800,20.3800,20.6000,1.0000,23541
21.0245,21.1632,2020-03-13,0.0000,21.2700,20.1500,20.7500,1.0000,5183
19.9086,20.0400,2020-03-12,0.0000,22.1700,19.9900,20.2000,1.0000,7491
22.4221,22.5700,2020-03-11,0.0000,22.5700,22.5700,22.5700,1.0000,191248
22.4221,22.5700,2020-03-10,0.0000,22.8200,22.5251,22.5600,1.0000,2286
22.3513,22.4988,2020-03-09,0.0000,22.8600,22.4988,22.7897,1.0000,1594
23.7284,23.8850,2020-03-06,0.0000,24.0300,23.6832,23.7200,1.0000,24565
23.8560,24.0134,2020-03-05,0.0000,24.7200,23.7478,23.9703,1.0000,107690
24.0936,24.2526,2020-03-04,0.0000,24.2526,24.0300,24.0300,1.0000,1645
23.7757,23.9326,2020-03-03,0.0000,23.9326,23.9326,23.9326,1.0000,250
23.6043,23.7600,2020-03-02,0.0000,23.7600,23.3300,23.3300,1.0000,10168
23.0877,23.2400,2020-02-28,0.0000,23.6000,23.2400,23.6000,1.0000,901
23.9233,24.0811,2020-02-27,0.0000,24.2700,23.9800,24.2700,1.0000,13032
24.6255,24.7880,2020-02-26,0.0000,24.7880,24.7880,24.7880,1.0000,10
24.6255,24.7880,2020-02-25,0.0000,24.7880,24.7880,24.7880,1.0000,1384
24.5778,24.7400,2020-02-24,0.0000,24.7400,24.7400,24.7400,1.0000,1265
25.0845,25.2500,2020-02-21,0.0000,25.2500,25.2500,25.2500,1.0000,11
25.0845,25.2500,2020-02-20,0.0000,25.2500,25.2500,25.2500,1.0000,45
25.0845,25.2500,2020-02-19,0.0000,25.2500,25.1900,25.2400,1.0000,700
24.9364,25.1009,2020-02-18,0.0000,25.1500,25.1009,25.1200,1.0000,445
24.6672,24.8300,2020-02-14,0.0000,24.8300,24.8300,24.8300,1.0000,217
24.6830,24.8459,2020-02-13,0.0000,24.8459,24.8459,24.8459,1.0000,120
24.7914,24.9550,2020-02-12,0.0000,24.9550,24.7952,24.7952,1.0000,620
24.8163,24.9800,2020-02-11,0.0000,24.9800,24.9800,24.9800,1.0000,4400
24.8163,24.9800,2020-02-10,0.0000,24.9800,24.9800,24.9800,1.0000,110
24.8163,24.9800,2020-02-07,0.0000,24.9881,24.9800,24.9881,1.0000,395
25.0150,25.1800,2020-02-06,0.0000,25.1800,25.1800,25.1800,1.0000,77
25.0150,25.1800,2020-02-04,0.0000,25.1800,25.1800,25.1800,1.0000,125
24.7554,24.9187,2020-02-03,0.0000,24.9187,24.9187,24.9187,1.0000,841
24.6474,24.8100,2020-01-31,0.0000,24.8400,24.8100,24.8400,1.0000,200
24.9653,25.1300,2020-01-30,0.0000,25.1300,25.1300,25.1300,1.0000,215
25.1749,25.3410,2020-01-29,0.0000,25.3410,25.3410,25.3410,1.0000,281
25.1739,25.3400,2020-01-28,0.0000,25.3400,25.3400,25.3400,1.0000,0
25.1752,25.3413,2020-01-27,0.0000,25.3413,25.3413,25.3413,1.0000,6
25.1752,25.3413,2020-01-24,0.0000,25.3546,25.3413,25.3546,1.0000,1180
25.4745,25.6426,2020-01-23,0.0000,25.6426,25.6426,25.6426,1.0000,170
25.7799,25.9500,2020-01-22,0.0000,25.9500,25.9500,25.9500,1.0000,80
25.7799,25.9500,2020-01-21,0.0000,26.0100,25.9500,25.9600,1.0000,448
