adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
24.5100,24.5100,2019-06-18,0.0000,24.5100,24.4900,24.4900,1.0000,1672007
24.2500,24.2500,2019-06-17,0.0000,24.3500,24.1700,24.3500,1.0000,476582
24.3200,24.3200,2019-06-14,0.0000,24.3700,24.3050,24.3600,1.0000,893607
24.3500,24.3500,2019-06-13,0.0000,24.4000,24.3300,24.3500,1.0000,912455
24.3400,24.3400,2019-06-12,0.0000,24.3600,24.2800,24.3400,1.0000,694499
24.3400,24.3400,2019-06-11,0.0000,24.3700,24.3200,24.3300,1.0000,489800
24.3400,24.3400,2019-06-10,0.0000,24.3700,24.2900,24.3600,1.0000,428554
24.3500,24.3500,2019-06-07,0.0000,24.3800,24.2900,24.3200,1.0000,531253
24.3000,24.3000,2019-06-06,0.0000,24.3200,24.1800,24.2500,1.0000,732434
24.2100,24.2100,2019-06-05,0.0000,24.3250,24.2000,24.3100,1.0000,1167805
24.2600,24.2600,2019-06-04,0.0000,24.3550,24.2500,24.3300,1.0000,1162351
24.2900,24.2900,2019-06-03,0.0000,24.3100,24.1100,24.2400,1.0000,622910
24.2600,24.2600,2019-05-31,0.0000,24.2827,24.1900,24.1900,1.0000,1511076
24.2800,24.2800,2019-05-30,0.0000,24.3000,24.2500,24.2500,1.0000,503852
24.2200,24.2200,2019-05-29,0.0000,24.6300,24.0500,24.2500,1.0000,1392983
24.2700,24.2700,2019-05-28,0.0000,24.2900,24.1600,24.2000,1.0000,1034697
24.1700,24.1700,2019-05-24,0.0000,24.2100,24.1000,24.1500,1.0000,577084
24.1000,24.1000,2019-05-23,0.0000,24.1200,24.0200,24.0200,1.0000,1549116
24.0700,24.0700,2019-05-22,0.0000,24.2000,24.0200,24.0200,1.0000,778321
24.1100,24.1100,2019-05-21,0.0000,24.1500,23.8900,23.9200,1.0000,1319279
23.4900,23.4900,2019-05-20,0.0000,23.9900,23.4400,23.9900,1.0000,2659856
23.9100,23.9100,2019-05-17,0.0000,24.0500,23.7700,24.0100,1.0000,942538
24.0400,24.0400,2019-05-16,0.0000,24.1000,24.0300,24.1000,1.0000,924251
24.0900,24.0900,2019-05-15,0.0000,24.1100,24.0000,24.0600,1.0000,647323
24.0100,24.0100,2019-05-14,0.0000,24.1300,24.0000,24.0600,1.0000,1252303
23.9900,23.9900,2019-05-13,0.0000,24.2000,23.9900,24.0500,1.0000,866233
24.1600,24.1600,2019-05-10,0.0000,24.1700,24.0750,24.1100,1.0000,531557
24.2100,24.2100,2019-05-09,0.0000,24.2700,24.0600,24.1900,1.0000,1626094
24.2000,24.2000,2019-05-08,0.0000,24.3400,24.1900,24.2400,1.0000,516113
24.2400,24.2400,2019-05-07,0.0000,24.3800,24.2100,24.3400,1.0000,795793
24.3800,24.3800,2019-05-06,0.0000,24.4300,24.3200,24.3700,1.0000,431158
24.4600,24.4600,2019-05-03,0.0000,24.4800,24.3800,24.3800,1.0000,787590
24.3900,24.3900,2019-05-02,0.0000,24.4150,24.3300,24.3800,1.0000,458422
24.4200,24.4200,2019-05-01,0.0000,24.4200,24.3400,24.3800,1.0000,457342
24.3500,24.3500,2019-04-30,0.0000,24.3600,24.2950,24.3400,1.0000,473008
24.4100,24.4100,2019-04-29,0.0000,24.4200,24.3700,24.4000,1.0000,322964
24.4000,24.4000,2019-04-26,0.0000,24.4250,24.3800,24.3800,1.0000,302449
24.3900,24.3900,2019-04-25,0.0000,24.4000,24.3000,24.3600,1.0000,236008
24.3900,24.3900,2019-04-24,0.0000,24.4500,24.3200,24.3500,1.0000,492207
24.3800,24.3800,2019-04-23,0.0000,24.3900,24.2800,24.2800,1.0000,567612
24.3000,24.3000,2019-04-22,0.0000,24.3000,24.2400,24.2700,1.0000,304090
24.2800,24.2800,2019-04-18,0.0000,24.2900,24.2300,24.2300,1.0000,348038
24.2200,24.2200,2019-04-17,0.0000,24.2700,24.2100,24.2500,1.0000,450286
24.2200,24.2200,2019-04-16,0.0000,24.2800,24.2200,24.2600,1.0000,334656
24.2400,24.2400,2019-04-15,0.0000,24.2800,24.1800,24.2200,1.0000,478024
24.1800,24.1800,2019-04-12,0.0000,24.3000,24.1500,24.2600,1.0000,2010314
24.2600,24.2600,2019-04-11,0.0000,24.2600,24.1800,24.2400,1.0000,662434
24.2600,24.2600,2019-04-10,0.0000,24.2600,24.1400,24.1600,1.0000,527997
24.1200,24.1200,2019-04-09,0.0000,24.1900,24.1200,24.1400,1.0000,1683750
24.1400,24.1400,2019-04-08,0.0000,24.2100,24.1100,24.1600,1.0000,1131671
24.1400,24.1400,2019-04-05,0.0000,24.2800,24.1200,24.2100,1.0000,2513682
24.1400,24.1400,2019-04-04,0.0000,24.3000,24.0900,24.1400,1.0000,2417067
24.1300,24.1300,2019-04-03,0.0000,24.3300,24.0900,24.2200,1.0000,2275217
24.2100,24.2100,2019-04-02,0.0000,24.2900,24.0900,24.1700,1.0000,1838034
24.1200,24.1200,2019-04-01,0.0000,24.3400,24.0600,24.3000,1.0000,5352296
24.3300,24.3300,2019-03-29,0.0000,24.3500,24.0400,24.0700,1.0000,3614367
24.1300,24.1300,2019-03-28,0.0000,24.1500,23.8100,23.9900,1.0000,17761023
