adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
8.0160,8.0160,2020-05-12,0.0000,8.2996,7.9300,8.0600,1.0000,4577
7.9200,7.9200,2020-05-11,0.0000,8.3700,7.9200,8.1600,1.0000,4520
8.1600,8.1600,2020-05-08,0.0000,8.1600,7.9769,8.1300,1.0000,2288
7.9200,7.9200,2020-05-07,0.0000,8.1200,7.9200,7.9600,1.0000,5059
8.0000,8.0000,2020-05-06,0.0000,8.0850,8.0000,8.0850,1.0000,2484
8.1600,8.1600,2020-05-05,0.0000,8.3100,7.9200,7.9200,1.0000,7004
7.9705,7.9705,2020-05-04,0.0000,8.4000,7.9705,8.0900,1.0000,9762
8.1800,8.1800,2020-05-01,0.0000,8.2400,8.1700,8.2400,1.0000,1505
8.0800,8.0800,2020-04-30,0.0000,8.3265,8.0800,8.0800,1.0000,2264
8.0800,8.0800,2020-04-29,0.0000,8.4400,8.0800,8.1700,1.0000,10210
8.1700,8.1700,2020-04-28,0.0000,8.4500,8.1500,8.1500,1.0000,3356
8.1500,8.1500,2020-04-27,0.0000,8.1700,8.1300,8.1700,1.0000,1236
8.0800,8.0800,2020-04-24,0.0000,8.1500,7.9500,7.9850,1.0000,11115
7.8893,7.8893,2020-04-23,0.0000,8.6400,7.8500,7.9200,1.0000,11098
8.0000,8.0000,2020-04-22,0.0000,8.1000,7.9500,8.0800,1.0000,3231
7.9200,7.9200,2020-04-21,0.0000,8.1800,7.9200,8.0000,1.0000,1930
7.9000,7.9000,2020-04-20,0.0000,8.1300,7.7500,8.1300,1.0000,16294
8.0000,8.0000,2020-04-17,0.0000,8.0000,7.9000,8.0000,1.0000,1034
7.8900,7.8900,2020-04-16,0.0000,9.0000,7.8100,8.5500,1.0000,66212
8.0300,8.0300,2020-04-15,0.0000,8.2443,7.8100,7.8100,1.0000,7733
7.8006,7.8006,2020-04-14,0.0000,8.0405,7.8006,7.9000,1.0000,2621
7.9900,7.9900,2020-04-13,0.0000,8.1700,7.4950,8.0000,1.0000,81028
8.2100,8.2100,2020-04-09,0.0000,8.3700,7.5000,7.6400,1.0000,14630
7.8200,7.8200,2020-04-08,0.0000,7.8200,7.6500,7.8000,1.0000,5104
7.8550,7.8550,2020-04-07,0.0000,7.8550,7.6100,7.7750,1.0000,6775
7.6600,7.6600,2020-04-06,0.0000,7.6900,7.6600,7.6900,1.0000,611
7.6010,7.6010,2020-04-03,0.0000,7.6500,7.5300,7.5792,1.0000,4245
7.5100,7.5100,2020-04-02,0.0000,7.9190,7.5100,7.6000,1.0000,5124
7.5100,7.5100,2020-04-01,0.0000,7.5400,7.5100,7.5400,1.0000,554
7.7155,7.7155,2020-03-31,0.0000,7.7673,7.5148,7.6400,1.0000,1248
7.7064,7.7064,2020-03-30,0.0000,7.7064,7.7064,7.7064,1.0000,273
7.9600,7.9600,2020-03-27,0.0000,7.9900,7.7927,7.7927,1.0000,1805
7.8800,7.8800,2020-03-26,0.0000,8.1460,7.7000,7.7000,1.0000,24119
8.0400,8.0400,2020-03-25,0.0000,8.1450,7.3475,7.7600,1.0000,25464
7.7600,7.7600,2020-03-24,0.0000,8.1610,7.6600,7.7500,1.0000,112266
8.3100,8.3100,2020-03-23,0.0000,8.3100,7.1486,8.0000,1.0000,46737
8.0000,8.0000,2020-03-20,0.0000,8.0500,8.0000,8.0000,1.0000,2906
8.1100,8.1100,2020-03-19,0.0000,8.1100,8.0000,8.0100,1.0000,3458
8.0000,8.0000,2020-03-18,0.0000,8.4580,8.0000,8.4580,1.0000,90253
8.6000,8.6000,2020-03-17,0.0000,8.6000,8.1700,8.3400,1.0000,6715
8.1550,8.1550,2020-03-16,0.0000,8.3650,8.1500,8.1500,1.0000,21274
8.5400,8.5400,2020-03-13,0.0000,8.5400,8.1500,8.4000,1.0000,3869
8.1505,8.1505,2020-03-12,0.0000,8.5023,7.7535,8.0100,1.0000,40624
8.1700,8.1700,2020-03-11,0.0000,8.2402,8.1500,8.2402,1.0000,19936
8.1700,8.1700,2020-03-10,0.0000,8.7300,8.1700,8.2700,1.0000,7051
8.3576,8.3576,2020-03-09,0.0000,8.3576,8.1000,8.3000,1.0000,11031
8.7584,8.7584,2020-03-06,0.0000,8.7584,8.4700,8.4700,1.0000,428
8.4700,8.4700,2020-03-05,0.0000,8.6300,8.4700,8.4900,1.0000,6088
8.5000,8.5000,2020-03-04,0.0000,8.5000,8.3800,8.4100,1.0000,5071
8.4400,8.4400,2020-03-03,0.0000,8.5161,8.3500,8.5000,1.0000,10116
8.5673,8.5673,2020-03-02,0.0000,8.6500,8.5673,8.6500,1.0000,1643
8.5100,8.5100,2020-02-28,0.0000,8.6700,8.5000,8.6600,1.0000,16472
8.7100,8.7100,2020-02-27,0.0000,8.8500,8.7000,8.8500,1.0000,9756
8.7700,8.7700,2020-02-26,0.0000,9.0000,8.7700,9.0000,1.0000,20647
9.0000,9.0000,2020-02-25,0.0000,9.0027,8.9100,8.9200,1.0000,6360
8.8700,8.8700,2020-02-24,0.0000,8.8800,8.8200,8.8200,1.0000,823
8.7900,8.7900,2020-02-21,0.0000,9.0148,8.7873,9.0148,1.0000,642
9.0300,9.0300,2020-02-20,0.0000,9.0300,8.9700,8.9700,1.0000,1101
8.8800,8.8800,2020-02-19,0.0000,8.8800,8.7000,8.7000,1.0000,3208
8.7000,8.7000,2020-02-18,0.0000,9.0575,8.7000,8.9500,1.0000,3815
8.8846,8.8846,2020-02-14,0.0000,8.8846,8.7967,8.7967,1.0000,222
