adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
30.6300,30.6300,2020-05-12,0.0000,31.0180,30.6300,31.0180,1.0000,9634
30.7600,30.7600,2020-05-11,0.0000,30.7600,30.7600,30.7600,1.0000,5386
29.8800,29.8800,2020-05-08,0.0000,29.8800,29.4200,29.4200,1.0000,7031
28.5825,28.5825,2020-05-07,0.0000,29.1900,28.5825,28.7700,1.0000,6015
28.8015,28.8015,2020-05-06,0.0000,28.8015,28.8015,28.8015,1.0000,75
28.8015,28.8015,2020-05-05,0.0000,28.9800,28.8015,28.9800,1.0000,389
28.1000,28.1000,2020-05-04,0.0000,29.0600,28.0900,28.7350,1.0000,847
29.0000,29.0000,2020-05-01,0.0000,29.0000,28.9300,28.9300,1.0000,565
28.8700,28.8700,2020-04-30,0.0000,29.0600,28.8700,29.0600,1.0000,2930
28.1700,28.1700,2020-04-29,0.0000,28.7475,28.1700,28.7475,1.0000,3354
26.0850,26.0850,2020-04-28,0.0000,26.0850,26.0850,26.0850,1.0000,130
26.0850,26.0850,2020-04-27,0.0000,26.0850,26.0850,26.0850,1.0000,212
26.0850,26.0850,2020-04-24,0.0000,26.0850,26.0850,26.0850,1.0000,486
25.4100,25.4100,2020-04-23,0.0000,26.2300,25.4000,26.2300,1.0000,21149
26.4400,26.4400,2020-04-22,0.0000,26.4400,25.4900,26.1300,1.0000,2094
25.1400,25.1400,2020-04-21,0.0000,25.9650,25.1400,25.1600,1.0000,3177
26.9800,26.9800,2020-04-20,0.0000,27.5075,26.9800,27.5075,1.0000,897
27.2300,27.2300,2020-04-17,0.0000,27.2300,26.2800,26.2800,1.0000,7061
25.5500,25.5500,2020-04-16,0.0000,25.7800,25.1700,25.5900,1.0000,729
26.1500,26.1500,2020-04-15,0.0000,26.1500,25.5550,25.5550,1.0000,2749
25.1550,25.1550,2020-04-14,0.0000,25.1550,25.1550,25.1550,1.0000,1865
23.7500,23.7500,2020-04-13,0.0000,24.8500,23.7500,24.8500,1.0000,1163
25.7775,25.7775,2020-04-09,0.0000,25.7775,25.5175,25.5175,1.0000,1198
25.1100,25.1100,2020-04-08,0.0000,25.7200,25.1100,25.7200,1.0000,6886
23.9300,23.9300,2020-04-07,0.0000,25.3700,23.9000,23.9000,1.0000,1370
22.4550,22.4550,2020-04-06,0.0000,23.0725,22.4550,23.0725,1.0000,787
22.2400,22.2400,2020-04-03,0.0000,22.2400,22.1000,22.1000,1.0000,10964
24.4700,24.4700,2020-04-02,0.0000,24.4700,24.4700,24.4700,1.0000,186
