adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0080,0.0080,2020-05-12,0.0000,0.0080,0.0080,0.0080,1.0000,0
0.0084,0.0084,2020-05-11,0.0000,0.0084,0.0084,0.0084,1.0000,75
0.0084,0.0084,2020-05-08,0.0000,0.0098,0.0080,0.0080,1.0000,26866
0.0071,0.0071,2020-05-07,0.0000,0.0098,0.0071,0.0098,1.0000,24917
0.0106,0.0106,2020-05-06,0.0000,0.0106,0.0106,0.0106,1.0000,48
0.0106,0.0106,2020-05-05,0.0000,0.0106,0.0106,0.0106,1.0000,9356
0.0100,0.0100,2020-05-04,0.0000,0.0100,0.0090,0.0090,1.0000,4900
0.0093,0.0093,2020-05-01,0.0000,0.0093,0.0093,0.0093,1.0000,4000
0.0098,0.0098,2020-04-30,0.0000,0.0100,0.0098,0.0100,1.0000,2300
0.0066,0.0066,2020-04-29,0.0000,0.0066,0.0066,0.0066,1.0000,1013
0.0100,0.0100,2020-04-28,0.0000,0.0100,0.0100,0.0100,1.0000,20165
0.0085,0.0085,2020-04-27,0.0000,0.0100,0.0085,0.0100,1.0000,61628
0.0076,0.0076,2020-04-24,0.0000,0.0208,0.0057,0.0060,1.0000,1128261
0.0060,0.0060,2020-04-23,0.0000,0.0060,0.0060,0.0060,1.0000,0
0.0060,0.0060,2020-04-22,0.0000,0.0060,0.0060,0.0060,1.0000,100
0.0060,0.0060,2020-04-21,0.0000,0.0060,0.0060,0.0060,1.0000,0
0.0060,0.0060,2020-04-20,0.0000,0.0060,0.0060,0.0060,1.0000,0
0.0060,0.0060,2020-04-17,0.0000,0.0060,0.0060,0.0060,1.0000,35000
0.0060,0.0060,2020-04-16,0.0000,0.0060,0.0060,0.0060,1.0000,10000
0.0080,0.0080,2020-04-15,0.0000,0.0080,0.0080,0.0080,1.0000,0
0.0080,0.0080,2020-04-14,0.0000,0.0080,0.0080,0.0080,1.0000,0
0.0078,0.0078,2020-04-13,0.0000,0.0078,0.0078,0.0078,1.0000,4024
0.0063,0.0063,2020-04-09,0.0000,0.0063,0.0063,0.0063,1.0000,100
0.0050,0.0050,2020-04-08,0.0000,0.0077,0.0050,0.0051,1.0000,255322
0.0050,0.0050,2020-04-07,0.0000,0.0087,0.0050,0.0075,1.0000,316526
0.0050,0.0050,2020-04-06,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2020-04-03,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2020-04-02,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0045,0.0045,2020-04-01,0.0000,0.0045,0.0045,0.0045,1.0000,102
0.0074,0.0074,2020-03-31,0.0000,0.0074,0.0074,0.0074,1.0000,102
0.0074,0.0074,2020-03-30,0.0000,0.0075,0.0074,0.0075,1.0000,7600
0.0050,0.0050,2020-03-27,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2020-03-26,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2020-03-25,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2020-03-24,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0046,0.0046,2020-03-23,0.0000,0.0046,0.0046,0.0046,1.0000,18016
0.0046,0.0046,2020-03-20,0.0000,0.0046,0.0046,0.0046,1.0000,41010
0.0050,0.0050,2020-03-19,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0054,0.0054,2020-03-18,0.0000,0.0055,0.0049,0.0055,1.0000,101972
0.0055,0.0055,2020-03-17,0.0000,0.0055,0.0041,0.0041,1.0000,30124
0.0041,0.0041,2020-03-16,0.0000,0.0041,0.0041,0.0041,1.0000,5583
0.0071,0.0071,2020-03-13,0.0000,0.0071,0.0071,0.0071,1.0000,2400
0.0040,0.0040,2020-03-12,0.0000,0.0040,0.0040,0.0040,1.0000,0
0.0041,0.0041,2020-03-11,0.0000,0.0041,0.0041,0.0041,1.0000,26500
0.0041,0.0041,2020-03-10,0.0000,0.0041,0.0041,0.0041,1.0000,200
0.0051,0.0051,2020-03-09,0.0000,0.0051,0.0051,0.0051,1.0000,12000
0.0074,0.0074,2020-03-06,0.0000,0.0074,0.0051,0.0053,1.0000,6549
0.0070,0.0070,2020-03-05,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0070,0.0070,2020-03-04,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0070,0.0070,2020-03-03,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0073,0.0073,2020-03-02,0.0000,0.0073,0.0073,0.0073,1.0000,22
0.0070,0.0070,2020-02-28,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0070,0.0070,2020-02-27,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0073,0.0073,2020-02-26,0.0000,0.0073,0.0073,0.0073,1.0000,12000
0.0073,0.0073,2020-02-25,0.0000,0.0073,0.0073,0.0073,1.0000,1000
0.0074,0.0074,2020-02-24,0.0000,0.0075,0.0074,0.0075,1.0000,2600
0.0075,0.0075,2020-02-21,0.0000,0.0075,0.0075,0.0075,1.0000,3074
0.0063,0.0063,2020-02-20,0.0000,0.0063,0.0063,0.0063,1.0000,627
0.0062,0.0062,2020-02-19,0.0000,0.0062,0.0062,0.0062,1.0000,26000
0.0056,0.0056,2020-02-18,0.0000,0.0056,0.0056,0.0056,1.0000,24
0.0060,0.0060,2020-02-14,0.0000,0.0060,0.0060,0.0060,1.0000,0
0.0056,0.0056,2020-02-13,0.0000,0.0056,0.0056,0.0056,1.0000,34523
0.0062,0.0062,2020-02-12,0.0000,0.0062,0.0062,0.0062,1.0000,2200
0.0060,0.0060,2020-02-11,0.0000,0.0060,0.0060,0.0060,1.0000,0
0.0062,0.0062,2020-02-10,0.0000,0.0097,0.0062,0.0070,1.0000,122883
0.0071,0.0071,2020-02-07,0.0000,0.0071,0.0071,0.0071,1.0000,10377
0.0071,0.0071,2020-02-06,0.0000,0.0071,0.0071,0.0071,1.0000,10000
0.0084,0.0084,2020-02-05,0.0000,0.0099,0.0071,0.0099,1.0000,44976
0.0070,0.0070,2020-02-04,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0070,0.0070,2020-02-03,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0071,0.0071,2020-01-31,0.0000,0.0077,0.0071,0.0077,1.0000,35323
0.0070,0.0070,2020-01-29,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0071,0.0071,2020-01-28,0.0000,0.0071,0.0071,0.0071,1.0000,1500
0.0070,0.0070,2020-01-27,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0070,0.0070,2020-01-24,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0070,0.0070,2020-01-23,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0071,0.0071,2020-01-22,0.0000,0.0071,0.0071,0.0071,1.0000,10000
0.0100,0.0100,2020-01-21,0.0000,0.0100,0.0100,0.0100,1.0000,20000
0.0100,0.0100,2020-01-17,0.0000,0.0100,0.0100,0.0100,1.0000,4300
0.0071,0.0071,2020-01-16,0.0000,0.0071,0.0071,0.0071,1.0000,100
0.0071,0.0071,2020-01-15,0.0000,0.0071,0.0071,0.0071,1.0000,70000
0.0070,0.0070,2020-01-14,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0070,0.0070,2020-01-13,0.0000,0.0070,0.0070,0.0070,1.0000,24
0.0070,0.0070,2020-01-10,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0070,0.0070,2020-01-09,0.0000,0.0070,0.0070,0.0070,1.0000,35
0.0070,0.0070,2020-01-08,0.0000,0.0095,0.0070,0.0072,1.0000,56024
0.0072,0.0072,2020-01-07,0.0000,0.0072,0.0072,0.0072,1.0000,24
0.0072,0.0072,2020-01-06,0.0000,0.0072,0.0072,0.0072,1.0000,2154
0.0070,0.0070,2020-01-03,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0072,0.0072,2020-01-02,0.0000,0.0072,0.0072,0.0072,1.0000,12
0.0072,0.0072,2019-12-31,0.0000,0.0072,0.0072,0.0072,1.0000,25024
0.0070,0.0070,2019-12-30,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0073,0.0073,2019-12-27,0.0000,0.0073,0.0073,0.0073,1.0000,24
0.0073,0.0073,2019-12-26,0.0000,0.0127,0.0070,0.0096,1.0000,252831
0.0130,0.0130,2019-12-24,0.0000,0.0130,0.0130,0.0130,1.0000,12134
0.0150,0.0150,2019-12-23,0.0000,0.0150,0.0150,0.0150,1.0000,0
0.0150,0.0150,2019-12-20,0.0000,0.0150,0.0150,0.0150,1.0000,0
0.0150,0.0150,2019-12-19,0.0000,0.0150,0.0150,0.0150,1.0000,0
0.0148,0.0148,2019-12-18,0.0000,0.0148,0.0100,0.0100,1.0000,40100
0.0148,0.0148,2019-12-17,0.0000,0.0148,0.0148,0.0148,1.0000,24
0.0148,0.0148,2019-12-16,0.0000,0.0148,0.0148,0.0148,1.0000,93
0.0148,0.0148,2019-12-13,0.0000,0.0148,0.0148,0.0148,1.0000,6300
0.0096,0.0096,2019-12-12,0.0000,0.0148,0.0096,0.0148,1.0000,40100
0.0148,0.0148,2019-12-11,0.0000,0.0148,0.0139,0.0139,1.0000,35100
0.0139,0.0139,2019-12-10,0.0000,0.0140,0.0096,0.0140,1.0000,43900
0.0146,0.0146,2019-12-09,0.0000,0.0146,0.0096,0.0104,1.0000,210200
0.0150,0.0150,2019-12-06,0.0000,0.0150,0.0135,0.0142,1.0000,94800
0.0133,0.0133,2019-12-05,0.0000,0.0142,0.0126,0.0126,1.0000,20100
0.0128,0.0128,2019-12-04,0.0000,0.0129,0.0081,0.0081,1.0000,179030
0.0090,0.0090,2019-12-03,0.0000,0.0090,0.0090,0.0090,1.0000,0
0.0090,0.0090,2019-12-02,0.0000,0.0090,0.0090,0.0090,1.0000,0
0.0094,0.0094,2019-11-29,0.0000,0.0094,0.0071,0.0085,1.0000,64736
0.0090,0.0090,2019-11-27,0.0000,0.0090,0.0090,0.0090,1.0000,0
0.0093,0.0093,2019-11-26,0.0000,0.0093,0.0093,0.0093,1.0000,1000
0.0093,0.0093,2019-11-25,0.0000,0.0093,0.0093,0.0093,1.0000,24
0.0093,0.0093,2019-11-22,0.0000,0.0093,0.0084,0.0084,1.0000,40100
0.0100,0.0100,2019-11-21,0.0000,0.0100,0.0100,0.0100,1.0000,0
0.0098,0.0098,2019-11-20,0.0000,0.0098,0.0074,0.0083,1.0000,57287
0.0085,0.0085,2019-11-19,0.0000,0.0085,0.0084,0.0084,1.0000,217888
0.0084,0.0084,2019-11-18,0.0000,0.0100,0.0084,0.0100,1.0000,11081
0.0092,0.0092,2019-11-15,0.0000,0.0109,0.0087,0.0098,1.0000,145100
0.0148,0.0148,2019-11-14,0.0000,0.0167,0.0100,0.0138,1.0000,48500
0.0140,0.0140,2019-11-13,0.0000,0.0140,0.0093,0.0093,1.0000,5124
0.0100,0.0100,2019-11-12,0.0000,0.0190,0.0100,0.0115,1.0000,109801
0.0115,0.0115,2019-11-11,0.0000,0.0214,0.0112,0.0160,1.0000,222021
0.0142,0.0142,2019-11-08,0.0000,0.0310,0.0105,0.0234,1.0000,2201313
0.0120,0.0120,2019-11-07,0.0000,0.0239,0.0084,0.0084,1.0000,1539484
0.0062,0.0062,2019-11-06,0.0000,0.0062,0.0062,0.0062,1.0000,38000
0.0060,0.0060,2019-11-05,0.0000,0.0060,0.0060,0.0060,1.0000,0
0.0060,0.0060,2019-11-04,0.0000,0.0060,0.0060,0.0060,1.0000,0
0.0062,0.0062,2019-11-01,0.0000,0.0062,0.0062,0.0062,1.0000,12
0.0062,0.0062,2019-10-31,0.0000,0.0090,0.0062,0.0090,1.0000,60090
0.0080,0.0080,2019-10-30,0.0000,0.0080,0.0080,0.0080,1.0000,0
0.0080,0.0080,2019-10-29,0.0000,0.0080,0.0080,0.0080,1.0000,0
0.0080,0.0080,2019-10-28,0.0000,0.0080,0.0080,0.0080,1.0000,0
0.0080,0.0080,2019-10-25,0.0000,0.0080,0.0080,0.0080,1.0000,74
0.0080,0.0080,2019-10-24,0.0000,0.0080,0.0080,0.0080,1.0000,5072
0.0072,0.0072,2019-10-23,0.0000,0.0072,0.0072,0.0072,1.0000,2000
0.0073,0.0073,2019-10-22,0.0000,0.0073,0.0073,0.0073,1.0000,24
0.0073,0.0073,2019-10-21,0.0000,0.0073,0.0073,0.0073,1.0000,8
0.0073,0.0073,2019-10-18,0.0000,0.0074,0.0073,0.0074,1.0000,11024
0.0074,0.0074,2019-10-17,0.0000,0.0083,0.0074,0.0083,1.0000,57200
0.0080,0.0080,2019-10-16,0.0000,0.0080,0.0080,0.0080,1.0000,0
0.0083,0.0083,2019-10-15,0.0000,0.0083,0.0083,0.0083,1.0000,48
0.0083,0.0083,2019-10-14,0.0000,0.0090,0.0083,0.0090,1.0000,7524
