adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
3.3820,3.3820,2020-05-12,0.0000,3.4400,3.3700,3.4200,1.0000,1123124
3.4700,3.4700,2020-05-11,0.0000,3.4900,3.4000,3.4200,1.0000,423763
3.5800,3.5800,2020-05-08,0.0000,3.5900,3.4900,3.5300,1.0000,365840
3.5000,3.5000,2020-05-07,0.0000,3.5400,3.4500,3.4800,1.0000,739281
3.5900,3.5900,2020-05-06,0.0000,3.6950,3.5600,3.6800,1.0000,316868
3.6900,3.6900,2020-05-05,0.0000,3.7800,3.6300,3.7600,1.0000,334348
3.6500,3.6500,2020-05-04,0.0000,3.6500,3.5050,3.5200,1.0000,961017
3.8800,3.8800,2020-05-01,0.0000,4.0900,3.8800,4.0400,1.0000,284285
4.1000,4.1000,2020-04-30,0.0000,4.2050,4.0200,4.0900,1.0000,941342
4.4100,4.4100,2020-04-29,0.0000,4.4100,4.2500,4.3000,1.0000,615345
3.9200,3.9200,2020-04-28,0.0000,3.9800,3.8800,3.9050,1.0000,737162
3.8000,3.8000,2020-04-27,0.0000,3.8300,3.7500,3.7800,1.0000,446917
3.8200,3.8200,2020-04-24,0.0000,3.8200,3.7400,3.8000,1.0000,321488
3.8050,3.8050,2020-04-23,0.0870,3.9200,3.7900,3.8400,1.0000,876261
3.7248,3.8100,2020-04-22,0.0000,3.8500,3.7800,3.8400,1.0000,475230
3.6808,3.7650,2020-04-21,0.0000,3.8300,3.7400,3.7700,1.0000,521202
3.9008,3.9900,2020-04-20,0.0000,4.0900,3.9800,4.0100,1.0000,475448
4.0475,4.1400,2020-04-17,0.0000,4.1500,4.0400,4.1500,1.0000,426940
3.7346,3.8200,2020-04-16,0.0000,3.9000,3.7800,3.8850,1.0000,681949
3.7737,3.8600,2020-04-15,0.0000,3.9300,3.8200,3.9200,1.0000,457173
4.0963,4.1900,2020-04-14,0.0000,4.2500,4.1000,4.1000,1.0000,1658869
4.0963,4.1900,2020-04-13,0.0000,4.2800,4.1900,4.2800,1.0000,637179
4.1550,4.2500,2020-04-09,0.0000,4.3700,4.2000,4.2300,1.0000,2657756
3.9106,4.0000,2020-04-08,0.0000,4.0600,3.8700,4.0300,1.0000,10670434
3.9497,4.0400,2020-04-07,0.0000,4.3700,4.0200,4.3300,1.0000,3106380
3.5782,3.6600,2020-04-06,0.0000,3.6800,3.5200,3.6400,1.0000,8452739
3.0307,3.1000,2020-04-03,0.0000,3.2500,3.0400,3.2500,1.0000,4472192
3.4218,3.5000,2020-04-02,0.0000,3.6100,3.2600,3.4200,1.0000,772630
3.6173,3.7000,2020-04-01,0.0000,3.8600,3.6900,3.8500,1.0000,691177
4.1257,4.2200,2020-03-31,0.0000,4.3500,4.1700,4.3000,1.0000,787617
