adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0763,0.0763,2020-05-06,0.0000,0.0763,0.0763,0.0763,1.0000,300
0.0800,0.0800,2020-04-28,0.0000,0.0800,0.0800,0.0800,1.0000,1250
0.0800,0.0800,2020-04-13,0.0000,0.0800,0.0800,0.0800,1.0000,30000
0.0775,0.0775,2020-04-08,0.0000,0.0775,0.0775,0.0775,1.0000,22500
0.0769,0.0769,2020-04-07,0.0000,0.0769,0.0769,0.0769,1.0000,48500
0.0829,0.0829,2020-04-02,0.0000,0.0829,0.0829,0.0829,1.0000,850
0.0979,0.0979,2020-03-27,0.0000,0.0979,0.0979,0.0979,1.0000,845
0.1019,0.1019,2020-03-24,0.0000,0.1019,0.1019,0.1019,1.0000,1000
0.1039,0.1039,2020-03-20,0.0000,0.1039,0.1039,0.1039,1.0000,375
0.1050,0.1050,2020-03-12,0.0000,0.1050,0.1050,0.1050,1.0000,5000
0.1546,0.1546,2020-03-05,0.0000,0.1550,0.1546,0.1550,1.0000,27500
0.1900,0.1900,2020-03-04,0.0000,0.1900,0.1900,0.1900,1.0000,27500
0.1900,0.1900,2020-03-02,0.0000,0.1900,0.1851,0.1851,1.0000,16150
0.1850,0.1850,2020-02-26,0.0000,0.1850,0.1700,0.1700,1.0000,61000
0.2100,0.2100,2020-02-20,0.0000,0.2100,0.2100,0.2100,1.0000,28600
0.2100,0.2100,2020-02-19,0.0000,0.2100,0.1866,0.1866,1.0000,44500
0.2085,0.2085,2020-02-18,0.0000,0.2085,0.2085,0.2085,1.0000,100
0.2133,0.2133,2020-02-13,0.0000,0.2133,0.2133,0.2133,1.0000,20000
0.2133,0.2133,2020-02-12,0.0000,0.2133,0.1981,0.1981,1.0000,53500
0.2125,0.2125,2020-02-06,0.0000,0.2125,0.2124,0.2124,1.0000,65000
0.2150,0.2150,2020-01-24,0.0000,0.2150,0.2150,0.2150,1.0000,650
0.2692,0.2692,2020-01-17,0.0000,0.2883,0.2692,0.2883,1.0000,63000
0.3009,0.3009,2020-01-15,0.0000,0.3009,0.2300,0.2300,1.0000,82500
0.1708,0.1708,2020-01-09,0.0000,0.1708,0.1708,0.1708,1.0000,1100
0.1734,0.1734,2020-01-06,0.0000,0.1829,0.1734,0.1829,1.0000,43500
0.1692,0.1692,2019-12-24,0.0000,0.1709,0.1692,0.1709,1.0000,87500
0.1730,0.1730,2019-12-19,0.0000,0.1730,0.1650,0.1650,1.0000,80000
0.1600,0.1600,2019-12-17,0.0000,0.1692,0.1600,0.1650,1.0000,127300
0.1400,0.1400,2019-12-16,0.0000,0.1400,0.1400,0.1400,1.0000,32800
0.1500,0.1500,2019-12-09,0.0000,0.1500,0.1500,0.1500,1.0000,42000
0.1566,0.1566,2019-12-06,0.0000,0.1597,0.1500,0.1500,1.0000,74000
0.1351,0.1351,2019-12-04,0.0000,0.1533,0.1351,0.1533,1.0000,9800
0.1789,0.1789,2019-11-27,0.0000,0.1900,0.1789,0.1900,1.0000,49635
0.1780,0.1780,2019-11-26,0.0000,0.1780,0.1750,0.1750,1.0000,28625
0.1680,0.1680,2019-11-25,0.0000,0.1680,0.1680,0.1680,1.0000,9000
0.1630,0.1630,2019-11-22,0.0000,0.1670,0.1336,0.1336,1.0000,73900
