adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
47.7800,47.7800,2018-12-31,0.0000,49.2550,47.3800,48.8400,1.0000,17831547
48.8900,48.8900,2018-12-28,0.0000,49.4000,48.6200,48.8900,1.0000,3549910
48.7800,48.7800,2018-12-27,0.0000,48.8100,47.5068,47.6800,1.0000,2606989
47.9100,47.9100,2018-12-26,0.0000,47.9100,46.5400,47.1500,1.0000,1561577
47.1500,47.1500,2018-12-24,0.0000,50.0500,46.9200,49.8600,1.0000,1118334
49.8100,49.8100,2018-12-21,0.0000,50.8900,49.5100,49.7800,1.0000,6149539
49.6000,49.6000,2018-12-20,0.0000,50.1700,48.8400,49.0400,1.0000,2432362
49.1100,49.1100,2018-12-19,0.0000,49.4600,48.6800,48.9100,1.0000,2035433
48.7500,48.7500,2018-12-18,0.0000,49.8400,48.6500,49.2000,1.0000,2084599
48.9300,48.9300,2018-12-17,0.0000,51.1600,48.7700,50.8900,1.0000,3170989
50.9800,50.9800,2018-12-14,0.0000,51.2700,47.3901,47.8400,1.0000,6555112
47.9600,47.9600,2018-12-13,0.0000,48.6300,47.8200,48.1700,1.0000,1816938
48.0000,48.0000,2018-12-12,0.0000,48.3100,47.0200,47.1900,1.0000,2360376
46.9400,46.9400,2018-12-11,0.0000,47.5500,46.4400,47.3100,1.0000,1462219
47.1900,47.1900,2018-12-10,0.0000,47.8000,46.3200,46.8400,1.0000,2869238
46.8600,46.8600,2018-12-07,0.1237,47.9800,46.6300,47.1900,1.0000,1659314
47.2253,47.3500,2018-12-06,0.0000,47.4800,45.7400,47.1500,1.0000,1448147
47.1755,47.3000,2018-12-04,0.0000,48.9299,46.8500,47.1800,1.0000,2974082
47.1057,47.2300,2018-12-03,0.0000,47.5700,46.3100,46.3600,1.0000,2000182
46.5372,46.6600,2018-11-30,0.0000,46.8100,45.9800,45.9800,1.0000,1509370
45.9886,46.1100,2018-11-29,0.0000,46.1400,44.2100,45.5300,1.0000,1694414
45.4101,45.5300,2018-11-28,0.0000,46.9500,45.4400,46.9500,1.0000,1436853
46.8663,46.9900,2018-11-27,0.0000,46.9900,45.9800,46.5600,1.0000,1688041
46.5072,46.6300,2018-11-26,0.0000,46.8100,45.2000,45.2900,1.0000,2244425
43.9440,44.0600,2018-11-23,0.0000,44.4200,43.4742,43.7000,1.0000,431291
43.5151,43.6300,2018-11-21,0.0000,44.1200,42.3800,43.6300,1.0000,2164019
44.3828,44.5000,2018-11-20,0.0000,44.5700,42.5100,43.7500,1.0000,2357399
43.5949,43.7100,2018-11-19,0.0000,43.8400,42.9100,42.9100,1.0000,757761
42.8469,42.9600,2018-11-16,0.0000,43.6100,42.4400,42.4400,1.0000,1393641
42.1687,42.2800,2018-11-15,0.0000,42.3000,40.3920,40.9600,1.0000,1134710
41.1913,41.3000,2018-11-14,0.0000,42.0000,40.7427,41.0200,1.0000,1654569
