adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
185.0000,185.0000,2020-05-12,0.0000,185.0000,185.0000,185.0000,1.0000,10
175.0500,175.0500,2020-05-11,0.0000,175.0500,175.0500,175.0500,1.0000,0
175.0500,175.0500,2020-05-08,0.0000,175.0500,175.0500,175.0500,1.0000,0
175.0500,175.0500,2020-05-07,0.0000,175.0500,175.0500,175.0500,1.0000,0
175.0500,175.0500,2020-05-06,0.0000,175.0500,175.0500,175.0500,1.0000,0
175.0500,175.0500,2020-05-05,0.0000,175.0500,175.0500,175.0500,1.0000,0
175.0500,175.0500,2020-05-04,0.0000,175.0500,175.0000,175.0000,1.0000,315
155.0000,155.0000,2020-05-01,0.0000,155.0000,155.0000,155.0000,1.0000,0
155.0000,155.0000,2020-04-30,0.0000,155.0000,155.0000,155.0000,1.0000,0
155.0000,155.0000,2020-04-29,0.0000,155.0000,155.0000,155.0000,1.0000,200
130.0100,130.0100,2020-04-28,0.0000,130.0100,130.0100,130.0100,1.0000,0
130.0100,130.0100,2020-04-27,0.0000,130.0100,130.0100,130.0100,1.0000,0
130.0100,130.0100,2020-04-24,0.0000,130.0100,130.0100,130.0100,1.0000,0
130.0100,130.0100,2020-04-23,0.0000,130.0100,130.0100,130.0100,1.0000,0
130.0101,130.0101,2020-04-22,0.0000,130.0101,130.0101,130.0101,1.0000,40
175.0000,175.0000,2020-04-21,0.0000,175.0000,175.0000,175.0000,1.0000,0
175.0000,175.0000,2020-04-20,0.0000,175.0000,175.0000,175.0000,1.0000,0
175.0000,175.0000,2020-04-17,0.0000,175.0000,175.0000,175.0000,1.0000,0
175.0000,175.0000,2020-04-16,0.0000,175.0000,175.0000,175.0000,1.0000,0
175.0000,175.0000,2020-04-15,0.0000,175.0000,175.0000,175.0000,1.0000,0
175.0000,175.0000,2020-04-14,0.0000,175.0000,175.0000,175.0000,1.0000,1
175.0000,175.0000,2020-04-13,0.0000,175.0000,175.0000,175.0000,1.0000,0
175.0000,175.0000,2020-04-09,0.0000,175.0000,175.0000,175.0000,1.0000,0
175.0000,175.0000,2020-04-08,0.0000,175.0000,175.0000,175.0000,1.0000,2
