adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0223,0.0223,2020-05-12,0.0000,0.0250,0.0201,0.0235,1.0000,207637
0.0286,0.0286,2020-05-11,0.0000,0.0302,0.0210,0.0302,1.0000,98695
0.0287,0.0287,2020-05-08,0.0000,0.0290,0.0210,0.0290,1.0000,226245
0.0255,0.0255,2020-05-07,0.0000,0.0324,0.0250,0.0250,1.0000,252524
0.0338,0.0338,2020-05-06,0.0000,0.0339,0.0250,0.0255,1.0000,340614
0.0255,0.0255,2020-05-05,0.0000,0.0400,0.0255,0.0400,1.0000,267903
0.0400,0.0400,2020-05-04,0.0000,0.0400,0.0250,0.0298,1.0000,146703
0.0250,0.0250,2020-05-01,0.0000,0.0348,0.0250,0.0348,1.0000,752167
0.0397,0.0397,2020-04-30,0.0000,0.0404,0.0312,0.0404,1.0000,383190
0.0423,0.0423,2020-04-29,0.0000,0.0596,0.0311,0.0596,1.0000,759034
0.0341,0.0341,2020-04-28,0.0000,0.0495,0.0328,0.0350,1.0000,329993
0.0350,0.0350,2020-04-27,0.0000,0.0546,0.0305,0.0546,1.0000,594110
0.0548,0.0548,2020-04-24,0.0000,0.0694,0.0400,0.0694,1.0000,86156
0.0498,0.0498,2020-04-23,0.0000,0.0500,0.0302,0.0500,1.0000,193075
0.0420,0.0420,2020-04-22,0.0000,0.0500,0.0340,0.0500,1.0000,447549
0.0500,0.0500,2020-04-21,0.0000,0.0789,0.0496,0.0700,1.0000,368817
0.0700,0.0700,2020-04-20,0.0000,0.0899,0.0695,0.0697,1.0000,172743
0.0551,0.0551,2020-04-17,0.0000,0.0900,0.0502,0.0878,1.0000,383898
0.0900,0.0900,2020-04-16,0.0000,0.1850,0.0825,0.1850,1.0000,343182
0.1900,0.1900,2020-04-15,0.0000,0.1900,0.1500,0.1800,1.0000,15844
0.1800,0.1800,2020-04-14,0.0000,0.2050,0.1500,0.2000,1.0000,90040
0.2050,0.2050,2020-04-09,0.0000,0.2100,0.1800,0.1900,1.0000,34708
0.1800,0.1800,2020-04-08,0.0000,0.1850,0.1800,0.1800,1.0000,8395
0.1800,0.1800,2020-04-07,0.0000,0.1900,0.1700,0.1750,1.0000,30472
0.1700,0.1700,2020-04-06,0.0000,0.1700,0.1400,0.1400,1.0000,8200
0.1500,0.1500,2020-04-03,0.0000,0.1500,0.1500,0.1500,1.0000,2407
0.1500,0.1500,2020-04-02,0.0000,0.1899,0.1500,0.1500,1.0000,9983
0.1650,0.1650,2020-04-01,0.0000,0.1650,0.1400,0.1400,1.0000,13132
0.1500,0.1500,2020-03-31,0.0000,0.1600,0.1450,0.1450,1.0000,5206
0.1500,0.1500,2020-03-30,0.0000,0.1750,0.1445,0.1750,1.0000,13802
0.1550,0.1550,2020-03-27,0.0000,0.1900,0.1500,0.1500,1.0000,83306
0.1800,0.1800,2020-03-26,0.0000,0.1900,0.1500,0.1600,1.0000,32742
0.1900,0.1900,2020-03-25,0.0000,0.2000,0.1400,0.2000,1.0000,24979
0.2000,0.2000,2020-03-24,0.0000,0.2000,0.1850,0.2000,1.0000,7491
0.1899,0.1899,2020-03-23,0.0000,0.2000,0.1600,0.2000,1.0000,21260
0.2051,0.2051,2020-03-20,0.0000,0.2350,0.1600,0.2350,1.0000,18285
0.2000,0.2000,2020-03-19,0.0000,0.2000,0.1151,0.1550,1.0000,38282
0.1625,0.1625,2020-03-18,0.0000,0.2000,0.1402,0.2000,1.0000,4747
0.1800,0.1800,2020-03-17,0.0000,0.1900,0.1402,0.1800,1.0000,68099
0.2200,0.2200,2020-03-16,0.0000,0.2200,0.1800,0.1800,1.0000,7136
0.2299,0.2299,2020-03-13,0.0000,0.2299,0.1800,0.1800,1.0000,19435
0.2494,0.2494,2020-03-12,0.0000,0.2494,0.1756,0.1756,1.0000,37346
0.2496,0.2496,2020-03-11,0.0000,0.2550,0.1700,0.2000,1.0000,61937
