adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0260,0.0260,2020-05-11,0.0000,0.0260,0.0260,0.0260,1.0000,373
0.0340,0.0340,2020-04-17,0.0000,0.0340,0.0322,0.0322,1.0000,6000
0.0300,0.0300,2020-04-03,0.0000,0.0300,0.0300,0.0300,1.0000,900
0.0268,0.0268,2020-03-24,0.0000,0.0268,0.0260,0.0260,1.0000,50000
0.0261,0.0261,2020-03-19,0.0000,0.0261,0.0261,0.0261,1.0000,1360
0.0300,0.0300,2020-03-13,0.0000,0.0301,0.0279,0.0300,1.0000,112022
0.0300,0.0300,2020-03-12,0.0000,0.0300,0.0300,0.0300,1.0000,200
0.0300,0.0300,2020-03-11,0.0000,0.0357,0.0300,0.0357,1.0000,17000
0.0350,0.0350,2020-03-05,0.0000,0.0350,0.0350,0.0350,1.0000,987
0.0365,0.0365,2020-03-02,0.0000,0.0415,0.0365,0.0415,1.0000,3564
0.0300,0.0300,2020-02-27,0.0000,0.0350,0.0280,0.0350,1.0000,38000
0.0300,0.0300,2020-02-26,0.0000,0.0300,0.0300,0.0300,1.0000,10000
0.0350,0.0350,2020-02-25,0.0000,0.0350,0.0300,0.0350,1.0000,66500
0.0450,0.0450,2020-02-18,0.0000,0.0450,0.0450,0.0450,1.0000,400
0.0350,0.0350,2020-02-14,0.0000,0.0350,0.0350,0.0350,1.0000,10000
0.0330,0.0330,2020-02-11,0.0000,0.0520,0.0300,0.0520,1.0000,195875
0.0590,0.0590,2020-02-10,0.0000,0.0600,0.0400,0.0479,1.0000,266095
0.0425,0.0425,2020-02-07,0.0000,0.0479,0.0329,0.0350,1.0000,264458
0.0224,0.0224,2020-01-31,0.0000,0.0224,0.0224,0.0224,1.0000,100
0.0222,0.0222,2020-01-30,0.0000,0.0250,0.0221,0.0250,1.0000,110000
0.0222,0.0222,2020-01-28,0.0000,0.0222,0.0222,0.0222,1.0000,5000
0.0220,0.0220,2020-01-24,0.0000,0.0302,0.0220,0.0302,1.0000,110000
0.0380,0.0380,2020-01-22,0.0000,0.0380,0.0380,0.0380,1.0000,10000
0.0281,0.0281,2020-01-06,0.0000,0.0281,0.0281,0.0281,1.0000,16832
0.0350,0.0350,2019-12-30,0.0000,0.0350,0.0281,0.0281,1.0000,30100
0.0320,0.0320,2019-12-27,0.0000,0.0331,0.0320,0.0331,1.0000,30000
0.0330,0.0330,2019-12-24,0.0000,0.0331,0.0330,0.0331,1.0000,40000
0.0330,0.0330,2019-12-19,0.0000,0.0331,0.0330,0.0331,1.0000,28000
0.0331,0.0331,2019-12-17,0.0000,0.0331,0.0331,0.0331,1.0000,1055
0.0330,0.0330,2019-12-04,0.0000,0.0330,0.0330,0.0330,1.0000,994
0.0331,0.0331,2019-12-03,0.0000,0.0331,0.0331,0.0331,1.0000,10500
0.0331,0.0331,2019-12-02,0.0000,0.0331,0.0331,0.0331,1.0000,10000
0.0331,0.0331,2019-11-27,0.0000,0.0365,0.0331,0.0365,1.0000,6800
0.0330,0.0330,2019-11-22,0.0000,0.0343,0.0330,0.0331,1.0000,60000
0.0350,0.0350,2019-11-21,0.0000,0.0350,0.0350,0.0350,1.0000,2222
0.0350,0.0350,2019-11-20,0.0000,0.0400,0.0350,0.0400,1.0000,28100
0.0350,0.0350,2019-11-19,0.0000,0.0400,0.0350,0.0400,1.0000,84600
0.0321,0.0321,2019-11-18,0.0000,0.0400,0.0240,0.0240,1.0000,208975
0.0255,0.0255,2019-11-15,0.0000,0.0800,0.0235,0.0300,1.0000,1054732
0.0211,0.0211,2019-11-04,0.0000,0.0211,0.0211,0.0211,1.0000,125
0.0230,0.0230,2019-11-01,0.0000,0.0230,0.0230,0.0230,1.0000,40000
0.0220,0.0220,2019-10-04,0.0000,0.0220,0.0220,0.0220,1.0000,38000
0.0220,0.0220,2019-09-19,0.0000,0.0220,0.0220,0.0220,1.0000,500
0.0220,0.0220,2019-09-17,0.0000,0.0224,0.0220,0.0224,1.0000,963
0.0220,0.0220,2019-09-16,0.0000,0.0220,0.0220,0.0220,1.0000,1000
0.0220,0.0220,2019-09-09,0.0000,0.0220,0.0220,0.0220,1.0000,400
0.0220,0.0220,2019-09-05,0.0000,0.0220,0.0220,0.0220,1.0000,900
0.0220,0.0220,2019-09-03,0.0000,0.0220,0.0220,0.0220,1.0000,30
0.0220,0.0220,2019-08-27,0.0000,0.0220,0.0220,0.0220,1.0000,4450
0.0220,0.0220,2019-08-26,0.0000,0.0220,0.0220,0.0220,1.0000,2000
0.0300,0.0300,2019-08-23,0.0000,0.0300,0.0300,0.0300,1.0000,20000
0.0220,0.0220,2019-08-22,0.0000,0.0220,0.0220,0.0220,1.0000,500
0.0250,0.0250,2019-08-21,0.0000,0.0275,0.0250,0.0275,1.0000,2000
0.0257,0.0257,2019-08-20,0.0000,0.0257,0.0250,0.0250,1.0000,12500
0.0250,0.0250,2019-08-12,0.0000,0.0250,0.0250,0.0250,1.0000,50
0.0250,0.0250,2019-08-08,0.0000,0.0266,0.0250,0.0266,1.0000,42820
0.0320,0.0320,2019-06-10,0.0000,0.0320,0.0320,0.0320,1.0000,18500
0.0280,0.0280,2019-05-30,0.0000,0.0280,0.0280,0.0280,1.0000,19500
0.0290,0.0290,2019-05-15,0.0000,0.0290,0.0290,0.0290,1.0000,500
0.0293,0.0293,2019-05-14,0.0000,0.0302,0.0293,0.0302,1.0000,2060
0.0300,0.0300,2019-04-29,0.0000,0.0300,0.0300,0.0300,1.0000,4000
0.0280,0.0280,2019-04-23,0.0000,0.0280,0.0280,0.0280,1.0000,1300
