adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
23.0349,23.0349,2020-05-12,0.0000,25.4400,23.0349,25.4400,1.0000,440
24.0000,24.0000,2020-05-11,0.0000,25.5000,22.0100,24.5000,1.0000,2590
25.4900,25.4900,2020-05-08,0.0000,25.4900,25.4900,25.4900,1.0000,157
25.5000,25.5000,2020-05-07,0.1500,25.9700,25.5000,25.5000,1.0000,976
25.3509,25.5000,2020-05-06,0.0000,25.5000,25.5000,25.5000,1.0000,114
25.3509,25.5000,2020-05-05,0.0000,25.5000,25.5000,25.5000,1.0000,70
25.3509,25.5000,2020-05-04,0.0000,25.5000,25.5000,25.5000,1.0000,4
25.3509,25.5000,2020-05-01,0.0000,25.5000,25.5000,25.5000,1.0000,1789
25.8480,26.0000,2020-04-30,0.0000,26.0000,26.0000,26.0000,1.0000,246
25.8082,25.9600,2020-04-29,0.0000,26.0000,25.5000,25.7500,1.0000,777
25.3608,25.5100,2020-04-28,0.0000,25.6100,25.5100,25.6100,1.0000,406
25.0725,25.2200,2020-04-27,0.0000,25.2200,25.2200,25.2200,1.0000,121
25.0725,25.2200,2020-04-24,0.0000,25.2200,25.0000,25.1300,1.0000,538
26.7427,26.9000,2020-04-23,0.0000,26.9000,22.2500,23.6600,1.0000,717
22.8655,23.0000,2020-04-22,0.0000,23.0000,23.0000,23.0000,1.0000,0
22.8655,23.0000,2020-04-21,0.0000,23.0000,23.0000,23.0000,1.0000,436
22.8655,23.0000,2020-04-20,0.0000,23.0000,23.0000,23.0000,1.0000,269
21.8713,22.0000,2020-04-17,0.0000,22.0000,22.0000,22.0000,1.0000,11
21.8713,22.0000,2020-04-16,0.0000,23.0000,21.0002,22.4950,1.0000,2403
22.8556,22.9900,2020-04-15,0.0000,22.9900,22.9900,22.9900,1.0000,108
20.8971,21.0200,2020-04-14,0.0000,21.0200,21.0200,21.0200,1.0000,0
20.8971,21.0200,2020-04-13,0.0000,22.0000,21.0000,22.0000,1.0000,1059
22.0351,22.1647,2020-04-09,0.0000,23.5200,22.1647,23.5200,1.0000,2916
23.3626,23.5000,2020-04-08,0.0000,23.6500,21.7500,21.7500,1.0000,11584
19.3860,19.5000,2020-04-07,0.0000,19.5000,19.5000,19.5000,1.0000,293
17.8947,18.0000,2020-04-06,0.0000,18.0000,17.0000,17.5000,1.0000,32488
17.0099,17.1100,2020-04-03,0.0000,19.3100,17.1100,19.3100,1.0000,571
20.7380,20.8600,2020-04-02,0.0000,20.8600,20.1200,20.1700,1.0000,762
20.4298,20.5500,2020-04-01,0.0000,21.7400,20.3200,21.5100,1.0000,3344
20.8871,21.0100,2020-03-31,0.0000,21.2800,20.9700,21.2800,1.0000,1275
22.6170,22.7500,2020-03-30,0.0000,24.5000,22.7500,24.2100,1.0000,1580
21.8912,22.0200,2020-03-27,0.0000,22.0200,19.8400,19.8400,1.0000,880
21.7421,21.8700,2020-03-26,0.0000,21.8800,19.0000,19.2000,1.0000,29540
19.0971,19.2094,2020-03-25,0.0000,19.3610,19.0000,19.0600,1.0000,1602
18.3421,18.4500,2020-03-24,0.0000,19.0100,18.4299,19.0100,1.0000,4150
18.7570,18.8673,2020-03-23,0.0000,20.1200,18.8673,20.1200,1.0000,723
20.5292,20.6500,2020-03-20,0.0000,22.0200,20.0600,20.9300,1.0000,2195
21.8713,22.0000,2020-03-19,0.0000,22.1102,21.0100,21.9400,1.0000,5070
22.9251,23.0600,2020-03-18,0.0000,23.0650,23.0600,23.0600,1.0000,3041
