adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
9.0100,9.0100,2019-03-01,0.0000,9.0100,9.0100,9.0100,1.0000,0
9.0100,9.0100,2019-02-28,0.0000,9.0100,9.0100,9.0100,1.0000,0
9.0100,9.0100,2019-02-27,0.0000,9.0100,9.0100,9.0100,1.0000,0
9.0100,9.0100,2019-02-26,0.0000,9.0100,9.0100,9.0100,1.0000,0
9.0100,9.0100,2019-02-20,0.0000,9.0100,9.0100,9.0100,1.0000,0
9.0100,9.0100,2019-02-19,0.0000,9.0100,9.0100,9.0100,1.0000,125
9.0000,9.0000,2019-02-15,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-02-14,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-02-13,0.0000,9.0000,9.0000,9.0000,1.0000,1
9.0000,9.0000,2019-02-12,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-02-11,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-02-08,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-02-07,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-02-06,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-02-05,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-02-04,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-02-01,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-31,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-30,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-29,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-28,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-25,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-24,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-23,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-18,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-17,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-16,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-15,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-14,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-11,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-10,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-09,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-08,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-07,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2019-01-04,0.0000,9.0000,9.0000,9.0000,1.0000,56
9.0000,9.0000,2019-01-03,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2018-12-31,0.0000,9.0000,9.0000,9.0000,1.0000,326
8.0100,8.0100,2018-12-27,0.0000,8.0100,8.0100,8.0100,1.0000,0
8.0100,8.0100,2018-12-26,0.0000,8.0100,8.0100,8.0100,1.0000,0
8.0100,8.0100,2018-12-24,0.0000,8.0100,8.0100,8.0100,1.0000,0
