adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
4.5500,4.5500,2020-05-12,0.0000,4.6100,4.5500,4.6100,1.0000,12290
4.6100,4.6100,2020-05-11,0.0000,4.6100,4.4750,4.5000,1.0000,3948
4.5000,4.5000,2020-05-08,0.0000,4.5000,4.2600,4.4500,1.0000,137816
4.4500,4.4500,2020-05-07,0.0000,4.5000,4.4500,4.5000,1.0000,4648
4.5500,4.5500,2020-05-06,0.0000,4.6700,4.4000,4.4000,1.0000,23958
4.5000,4.5000,2020-05-05,0.0000,4.5500,4.4500,4.5500,1.0000,3210
4.6000,4.6000,2020-05-04,0.0000,4.6100,4.0000,4.3800,1.0000,22935
4.4500,4.4500,2020-05-01,0.0000,4.4900,4.4050,4.4050,1.0000,3094
4.5000,4.5000,2020-04-30,0.0000,4.5100,4.3201,4.4400,1.0000,7027
4.4500,4.4500,2020-04-29,0.0000,4.5100,4.3500,4.5100,1.0000,11270
4.4500,4.4500,2020-04-28,0.0000,4.4600,4.2700,4.4500,1.0000,144294
4.5000,4.5000,2020-04-27,0.0000,4.8500,4.4800,4.7600,1.0000,51415
4.7600,4.7600,2020-04-24,0.0000,4.8250,4.7600,4.8000,1.0000,4886
4.9500,4.9500,2020-04-23,0.0000,4.9500,4.9500,4.9500,1.0000,36
4.9500,4.9500,2020-04-22,0.0000,4.9500,4.8000,4.8880,1.0000,3948
4.9000,4.9000,2020-04-21,0.0000,5.0000,4.9000,5.0000,1.0000,1929
5.0000,5.0000,2020-04-20,0.0000,5.1000,4.8500,4.9400,1.0000,24268
4.8315,4.8315,2020-04-17,0.0000,5.0000,4.7900,4.7900,1.0000,30063
4.7400,4.7400,2020-04-16,0.0000,4.8200,4.7300,4.8000,1.0000,13534
4.7200,4.7200,2020-04-15,0.0000,4.8000,4.6400,4.6400,1.0000,12079
4.8000,4.8000,2020-04-14,0.0000,4.8000,4.5000,4.7500,1.0000,27154
4.6500,4.6500,2020-04-13,0.0000,4.8200,4.5500,4.5500,1.0000,11896
4.7000,4.7000,2020-04-09,0.0000,4.9000,4.1500,4.2500,1.0000,66703
4.1500,4.1500,2020-04-08,0.0000,4.5000,4.1300,4.3500,1.0000,2218
4.4900,4.4900,2020-04-07,0.0000,4.5500,3.3700,4.5000,1.0000,8858
4.5400,4.5400,2020-04-06,0.0000,4.6900,3.4250,3.5000,1.0000,69501
3.3500,3.3500,2020-04-03,0.0000,3.5000,3.3000,3.3000,1.0000,3648
3.5000,3.5000,2020-04-02,0.0000,3.5000,3.1200,3.5000,1.0000,11112
3.2500,3.2500,2020-04-01,0.0000,3.2500,3.2500,3.2500,1.0000,2368
3.5500,3.5500,2020-03-31,0.0000,3.7800,3.3000,3.7800,1.0000,16951
3.7000,3.7000,2020-03-30,0.0000,3.9500,3.2500,3.2500,1.0000,70621
3.1000,3.1000,2020-03-27,0.0000,3.2500,2.9900,2.9900,1.0000,43919
2.6600,2.6600,2020-03-26,0.0000,2.6600,2.6500,2.6600,1.0000,63553
2.6500,2.6500,2020-03-25,0.0000,3.0000,2.6500,2.7000,1.0000,13400
2.5900,2.5900,2020-03-24,0.0000,3.1000,2.5600,2.6400,1.0000,18234
2.6500,2.6500,2020-03-23,0.0000,2.8500,2.6500,2.7600,1.0000,21489
2.8700,2.8700,2020-03-20,0.0000,3.1000,2.7400,2.7400,1.0000,20405
2.4000,2.4000,2020-03-19,0.0000,2.4000,2.2000,2.2000,1.0000,5950
2.4000,2.4000,2020-03-18,0.0000,2.4000,1.3000,2.2500,1.0000,5264
2.7400,2.7400,2020-03-17,0.0000,2.7400,2.2500,2.2500,1.0000,1735
2.2500,2.2500,2020-03-16,0.0000,2.2500,2.0600,2.2500,1.0000,10401
2.5200,2.5200,2020-03-13,0.0000,2.7000,2.5000,2.5500,1.0000,13099
2.5000,2.5000,2020-03-12,0.0000,2.5000,2.5000,2.5000,1.0000,110
2.5000,2.5000,2020-03-11,0.0000,2.5000,2.5000,2.5000,1.0000,1104
2.5000,2.5000,2020-03-10,0.0000,2.5000,2.1100,2.5000,1.0000,3701
2.1600,2.1600,2020-03-09,0.0000,2.5000,2.1600,2.1800,1.0000,10820
2.4000,2.4000,2020-03-06,0.0000,2.4000,1.8300,1.8300,1.0000,18460
1.7100,1.7100,2020-03-05,0.0000,1.7100,1.7100,1.7100,1.0000,1005
1.6000,1.6000,2020-03-04,0.0000,1.7450,1.6000,1.6600,1.0000,4900
1.8000,1.8000,2020-03-03,0.0000,1.8000,1.7000,1.7000,1.0000,1996
1.7550,1.7550,2020-03-02,0.0000,1.7550,1.7550,1.7550,1.0000,10
1.7550,1.7550,2020-02-28,0.0000,1.7550,1.6600,1.6600,1.0000,934
1.8500,1.8500,2020-02-27,0.0000,1.8500,1.8500,1.8500,1.0000,20
1.8500,1.8500,2020-02-26,0.0000,1.8500,1.8500,1.8500,1.0000,100
1.7000,1.7000,2020-02-25,0.0000,1.7500,1.6600,1.6600,1.0000,1256
1.9500,1.9500,2020-02-24,0.0000,1.9500,1.9500,1.9500,1.0000,1
1.9500,1.9500,2020-02-21,0.0000,1.9500,1.9500,1.9500,1.0000,55
1.9500,1.9500,2020-02-20,0.0000,2.1000,1.6500,1.8900,1.0000,20506
1.8900,1.8900,2020-02-19,0.0000,1.8900,1.8900,1.8900,1.0000,5008
1.7100,1.7100,2020-02-18,0.0000,1.7100,1.6400,1.6400,1.0000,245
1.6500,1.6500,2020-02-14,0.0000,1.6500,1.6500,1.6500,1.0000,159
1.6700,1.6700,2020-02-13,0.0000,1.6800,1.6700,1.6800,1.0000,400
1.6500,1.6500,2020-02-12,0.0000,1.6500,1.6500,1.6500,1.0000,1200
1.6700,1.6700,2020-02-11,0.0000,1.6700,1.6700,1.6700,1.0000,72
1.6700,1.6700,2020-02-10,0.0000,1.6700,1.6700,1.6700,1.0000,1010
1.6300,1.6300,2020-02-07,0.0000,1.6300,1.6300,1.6300,1.0000,3
1.6300,1.6300,2020-02-06,0.0000,1.6300,1.6300,1.6300,1.0000,0
1.6300,1.6300,2020-02-05,0.0000,1.6300,1.6300,1.6300,1.0000,65
1.6300,1.6300,2020-02-04,0.0000,1.6300,1.6300,1.6300,1.0000,175
1.6600,1.6600,2020-02-03,0.0000,1.6600,1.6600,1.6600,1.0000,600
1.6400,1.6400,2020-01-31,0.0000,1.6400,1.6400,1.6400,1.0000,160
1.8500,1.8500,2020-01-30,0.0000,1.8500,1.8400,1.8400,1.0000,1053
1.7500,1.7500,2020-01-29,0.0000,1.7500,1.7500,1.7500,1.0000,79
1.7500,1.7500,2020-01-28,0.0000,1.8400,1.6100,1.8400,1.0000,549
1.8500,1.8500,2020-01-27,0.0000,1.8500,1.8200,1.8200,1.0000,5510
1.9500,1.9500,2020-01-24,0.0000,1.9500,1.9000,1.9000,1.0000,4350
1.7500,1.7500,2020-01-23,0.0000,1.9000,1.6600,1.7500,1.0000,9702
1.7000,1.7000,2020-01-22,0.0000,1.9000,1.5600,1.5600,1.0000,5818
1.8900,1.8900,2020-01-21,0.0000,1.9000,1.5500,1.5500,1.0000,2354
1.5200,1.5200,2020-01-17,0.0000,1.5200,1.4800,1.4800,1.0000,3850
1.4000,1.4000,2020-01-16,0.0000,1.4800,1.3000,1.4800,1.0000,6153
1.4800,1.4800,2020-01-15,0.0000,1.4800,1.3000,1.3500,1.0000,1780
1.3500,1.3500,2020-01-14,0.0000,1.3500,1.3000,1.3000,1.0000,460
1.3500,1.3500,2020-01-13,0.0000,1.3500,1.3000,1.3200,1.0000,1091
1.3900,1.3900,2020-01-10,0.0000,1.3900,1.3900,1.3900,1.0000,19
1.3900,1.3900,2020-01-09,0.0000,1.4000,1.3000,1.4000,1.0000,2215
1.3300,1.3300,2020-01-08,0.0000,1.3300,1.3300,1.3300,1.0000,100
1.2800,1.2800,2020-01-07,0.0000,1.3000,1.2800,1.3000,1.0000,323
1.3000,1.3000,2020-01-06,0.0000,1.3000,1.3000,1.3000,1.0000,2
1.3000,1.3000,2020-01-03,0.0000,1.3000,1.3000,1.3000,1.0000,0
1.3000,1.3000,2020-01-02,0.0000,1.3000,1.3000,1.3000,1.0000,0
1.3000,1.3000,2019-12-31,0.0000,1.3000,1.2000,1.2000,1.0000,2879
1.3000,1.3000,2019-12-30,0.0000,1.4000,1.2000,1.2200,1.0000,4598
1.4000,1.4000,2019-12-27,0.0000,1.4000,1.2400,1.2500,1.0000,25072
1.3800,1.3800,2019-12-26,0.0000,1.3800,1.2000,1.3100,1.0000,7731
1.3900,1.3900,2019-12-24,0.0000,1.3900,1.3900,1.3900,1.0000,0
1.3900,1.3900,2019-12-23,0.0000,1.3900,1.3900,1.3900,1.0000,246
1.2800,1.2800,2019-12-20,0.0000,1.4000,1.1700,1.1800,1.0000,33804
1.1600,1.1600,2019-12-19,0.0000,1.1800,1.1600,1.1800,1.0000,311
1.1100,1.1100,2019-12-18,0.0000,1.1100,1.1100,1.1100,1.0000,1066
1.1600,1.1600,2019-12-17,0.0000,1.1600,1.1000,1.1500,1.0000,4751
1.1300,1.1300,2019-12-16,0.0000,1.1500,1.1300,1.1500,1.0000,1201
1.1800,1.1800,2019-12-13,0.0000,1.1800,1.1500,1.1500,1.0000,1202
1.1500,1.1500,2019-12-12,0.0000,1.2000,1.1500,1.2000,1.0000,6241
1.1800,1.1800,2019-12-11,0.0000,1.1800,1.1600,1.1600,1.0000,3009
1.0800,1.0800,2019-12-10,0.0000,1.1200,1.0700,1.1000,1.0000,16850
1.1200,1.1200,2019-12-09,0.0000,1.1400,1.1000,1.1000,1.0000,6668
1.1900,1.1900,2019-12-06,0.0000,1.1900,1.1500,1.1500,1.0000,2101
1.1600,1.1600,2019-12-05,0.0000,1.2000,1.1500,1.2000,1.0000,1635
1.1600,1.1600,2019-12-04,0.0000,1.1600,1.1000,1.1000,1.0000,1431
1.1600,1.1600,2019-12-03,0.0000,1.1600,1.1200,1.1300,1.0000,5439
1.1000,1.1000,2019-12-02,0.0000,1.1000,1.1000,1.1000,1.0000,102
1.1000,1.1000,2019-11-29,0.0000,1.1000,1.1000,1.1000,1.0000,20
1.1000,1.1000,2019-11-27,0.0000,1.1600,1.1000,1.1000,1.0000,43902
1.1000,1.1000,2019-11-26,0.0000,1.1400,1.1000,1.1400,1.0000,2100
1.0900,1.0900,2019-11-25,0.0000,1.1200,1.0800,1.0800,1.0000,5269
