adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
1.0400,1.0400,2020-05-12,0.0000,1.0400,1.0400,1.0400,1.0000,50
1.0400,1.0400,2020-04-27,0.0000,1.0400,1.0400,1.0400,1.0000,1000
1.0400,1.0400,2020-04-15,0.0000,1.0400,1.0400,1.0400,1.0000,500
1.1800,1.1800,2020-04-14,0.0000,1.1800,1.1500,1.1500,1.0000,700
1.0800,1.0800,2020-04-08,0.0000,1.0800,1.0800,1.0800,1.0000,250
1.0800,1.0800,2020-04-07,0.0000,1.0800,1.0800,1.0800,1.0000,350
1.0300,1.0300,2020-04-03,0.0000,1.0300,1.0300,1.0300,1.0000,100
1.0900,1.0900,2020-03-30,0.0000,1.0900,1.0900,1.0900,1.0000,200
0.9730,0.9730,2020-03-16,0.0000,0.9730,0.9730,0.9730,1.0000,250
1.0000,1.0000,2020-03-12,0.0000,1.0000,1.0000,1.0000,1.0000,200
1.4000,1.4000,2020-03-06,0.0000,1.4000,1.4000,1.4000,1.0000,390
1.5700,1.5700,2020-03-03,0.0000,1.5700,1.5700,1.5700,1.0000,700
1.7500,1.7500,2020-02-19,0.0000,1.7500,1.7500,1.7500,1.0000,25
1.7500,1.7500,2020-02-18,0.0000,1.7500,1.7500,1.7500,1.0000,10
1.7500,1.7500,2020-02-11,0.0000,1.7500,1.7500,1.7500,1.0000,1
1.7500,1.7500,2020-02-10,0.0000,1.7500,1.7500,1.7500,1.0000,10
1.7500,1.7500,2020-02-07,0.0000,1.7800,1.7458,1.7458,1.0000,900
1.7700,1.7700,2019-12-30,0.0000,1.7700,1.7700,1.7700,1.0000,100
1.5020,1.5020,2019-11-26,0.0000,1.5020,1.5020,1.5020,1.0000,45
1.5020,1.5020,2019-11-21,0.0000,1.5020,1.5020,1.5020,1.0000,200
1.4480,1.4480,2019-11-20,0.0000,1.4480,1.4480,1.4480,1.0000,168
1.5420,1.5420,2019-11-15,0.0000,1.5420,1.5420,1.5420,1.0000,168
1.4800,1.4800,2019-11-04,0.0000,1.4800,1.4800,1.4800,1.0000,100
1.2450,1.2450,2019-10-04,0.0000,1.2450,1.2450,1.2450,1.0000,100
1.3800,1.3800,2019-08-01,0.0000,1.3800,1.3800,1.3800,1.0000,100
1.6150,1.6150,2019-06-12,0.0000,1.6150,1.6150,1.6150,1.0000,100
1.6090,1.6090,2019-06-07,0.0000,1.6090,1.6090,1.6090,1.0000,100
1.6090,1.6090,2019-06-06,0.0000,1.6090,1.6090,1.6090,1.0000,2000
1.6600,1.6600,2019-05-24,0.0000,1.6600,1.6600,1.6600,1.0000,2770
1.6150,1.6150,2019-05-21,0.0000,1.6150,1.6150,1.6150,1.0000,3000
1.7000,1.7000,2019-05-01,0.0000,1.7000,1.7000,1.7000,1.0000,1720
1.9800,1.9800,2019-04-09,0.0829,1.9800,1.9800,1.9800,1.0000,1000
1.9676,2.0500,2019-04-05,0.0000,2.0500,2.0500,2.0500,1.0000,1720
1.8716,1.9500,2019-04-03,0.0000,1.9500,1.9500,1.9500,1.0000,1000
1.7709,1.8450,2019-04-02,0.0000,1.8450,1.8450,1.8450,1.0000,1500
1.5453,1.6100,2019-03-28,0.0000,1.6100,1.6100,1.6100,1.0000,100
1.8620,1.9400,2019-03-04,0.0000,1.9400,1.9400,1.9400,1.0000,100
1.5741,1.6400,2018-12-26,0.0000,1.6400,1.6400,1.6400,1.0000,600
1.5741,1.6400,2018-12-10,0.0000,1.6400,1.6400,1.6400,1.0000,1
1.5741,1.6400,2018-12-03,0.0000,1.6400,1.6400,1.6400,1.0000,1
1.5741,1.6400,2018-11-23,0.0000,1.6400,1.6400,1.6400,1.0000,640059
1.6413,1.7100,2018-11-21,0.0000,1.7100,1.7100,1.7100,1.0000,2652
1.5971,1.6640,2018-11-20,0.0000,1.6640,1.6600,1.6600,1.0000,2897
1.7565,1.8300,2018-11-16,0.0000,1.8300,1.8300,1.8300,1.0000,9033
1.8284,1.9050,2018-11-15,0.0000,1.9050,1.9050,1.9050,1.0000,3932
1.7709,1.8450,2018-11-09,0.0000,1.8450,1.8450,1.8450,1.0000,229
1.9676,2.0500,2018-11-07,0.0000,2.0500,2.0500,2.0500,1.0000,100
1.9004,1.9800,2018-11-06,0.0000,1.9800,1.9000,1.9260,1.0000,23987
1.9580,2.0400,2018-11-02,0.0000,2.0400,1.8800,1.8800,1.0000,26244
2.0252,2.1100,2018-11-01,0.0000,2.1100,2.0900,2.0900,1.0000,71197
1.9388,2.0200,2018-10-30,0.0000,2.0200,2.0200,2.0200,1.0000,52
1.9388,2.0200,2018-10-29,0.0000,2.0200,2.0200,2.0200,1.0000,1765
1.6797,1.7500,2018-10-26,0.0000,1.7501,1.7500,1.7500,1.0000,1978
2.0156,2.1000,2018-10-25,0.0000,2.1000,2.0800,2.0800,1.0000,2122
1.9484,2.0300,2018-10-24,0.0000,2.0300,2.0300,2.0300,1.0000,120
2.1020,2.1900,2018-10-23,0.0000,2.1900,2.1900,2.1900,1.0000,100
2.1980,2.2900,2018-10-22,0.0000,2.2900,2.1800,2.1800,1.0000,2300
2.1932,2.2850,2018-10-19,0.0000,2.2850,2.2850,2.2850,1.0000,209
2.3515,2.4500,2018-10-16,0.0000,2.4500,2.4500,2.4500,1.0000,2180
2.3228,2.4200,2018-10-15,0.0000,2.4200,2.4200,2.4200,1.0000,6
2.3228,2.4200,2018-10-12,0.0000,2.4200,2.4199,2.4199,1.0000,4985
2.3995,2.5000,2018-10-03,0.0000,2.5000,2.4999,2.4999,1.0000,602
2.3995,2.5000,2018-10-02,0.0000,2.5000,2.3200,2.3760,1.0000,18643
2.3470,2.4453,2018-10-01,0.0000,2.4453,2.4453,2.4453,1.0000,62745
2.5435,2.6500,2018-09-27,0.0000,2.6500,2.5900,2.5900,1.0000,2515
2.6827,2.7950,2018-09-24,0.0000,2.7950,2.7950,2.7950,1.0000,1846
2.5435,2.6500,2018-09-21,0.0000,2.6500,2.6500,2.6500,1.0000,20000
2.5435,2.6500,2018-09-20,0.0000,2.6500,2.6500,2.6500,1.0000,177
2.4763,2.5800,2018-09-19,0.0000,2.5800,2.5800,2.5800,1.0000,1041
2.3515,2.4500,2018-09-17,0.0000,2.4500,2.4499,2.4500,1.0000,1110
2.2844,2.3800,2018-09-14,0.0000,2.3800,2.3800,2.3800,1.0000,2446
2.1730,2.2640,2018-09-10,0.0000,2.2640,2.2640,2.2640,1.0000,2446
2.1884,2.2800,2018-09-06,0.0000,2.2800,2.2800,2.2800,1.0000,13239
