adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
15.6400,15.6400,2020-05-12,0.0000,15.8800,15.6100,15.7100,1.0000,69093
15.3400,15.3400,2020-05-11,0.0000,15.4200,15.1800,15.2200,1.0000,63911
15.3400,15.3400,2020-05-08,0.0000,15.6000,15.1300,15.6000,1.0000,67233
15.1600,15.1600,2020-05-07,0.0000,15.3050,15.1000,15.2500,1.0000,105616
15.0350,15.0350,2020-05-06,0.0000,15.3500,14.9800,15.3000,1.0000,54865
15.1750,15.1750,2020-05-05,0.0000,15.3400,15.1600,15.3400,1.0000,31554
15.2900,15.2900,2020-05-04,0.0000,15.2900,15.0800,15.1150,1.0000,121649
15.4800,15.4800,2020-05-01,0.0000,15.7600,15.1400,15.4100,1.0000,90234
15.6750,15.6750,2020-04-30,0.0000,15.9100,15.5600,15.7150,1.0000,91973
15.5200,15.5200,2020-04-29,0.0000,15.6400,15.3600,15.3900,1.0000,92199
15.1050,15.1050,2020-04-28,0.0000,15.4100,15.0200,15.3600,1.0000,76155
14.8450,14.8450,2020-04-27,0.0000,14.9500,14.7900,14.9150,1.0000,89801
14.9000,14.9000,2020-04-24,0.0000,15.2700,14.7700,15.2400,1.0000,313873
15.0800,15.0800,2020-04-23,0.0000,15.3900,15.0800,15.2000,1.0000,111176
15.1700,15.1700,2020-04-22,0.0000,15.4400,15.0200,15.1700,1.0000,77646
14.7300,14.7300,2020-04-21,0.0000,14.8800,14.5650,14.5800,1.0000,128140
15.0700,15.0700,2020-04-20,0.0000,15.2600,15.0100,15.0350,1.0000,121466
15.2100,15.2100,2020-04-17,0.0000,15.4000,15.0400,15.2600,1.0000,276272
15.0000,15.0000,2020-04-16,0.0000,15.4250,14.8300,15.4250,1.0000,71920
15.0200,15.0200,2020-04-15,0.0000,15.3000,14.9050,14.9175,1.0000,84177
15.3800,15.3800,2020-04-14,0.0000,15.5700,15.0900,15.0900,1.0000,182919
15.4300,15.4300,2020-04-13,0.0000,16.0000,14.9000,16.0000,1.0000,69068
15.5500,15.5500,2020-04-09,0.0000,15.6400,15.2700,15.2875,1.0000,95373
15.1500,15.1500,2020-04-08,0.0000,15.2500,14.7050,14.8000,1.0000,124101
14.0500,14.0500,2020-04-07,0.0000,14.4500,13.9900,14.4100,1.0000,250128
13.8500,13.8500,2020-04-06,0.0000,14.0100,13.3800,13.4700,1.0000,173612
13.0800,13.0800,2020-04-03,0.0000,13.3975,13.0100,13.3600,1.0000,106221
14.2400,14.2400,2020-04-02,0.0000,14.3550,13.9160,14.1200,1.0000,115196
14.9200,14.9200,2020-04-01,0.0000,15.4050,14.6600,15.2400,1.0000,98847
16.1000,16.1000,2020-03-31,0.0000,16.5700,15.8600,15.9400,1.0000,184059
15.7800,15.7800,2020-03-30,0.0000,15.9400,15.4900,15.5700,1.0000,129501
15.6000,15.6000,2020-03-27,0.0000,15.9375,15.2900,15.3800,1.0000,264723
16.8805,16.8805,2020-03-26,0.0000,16.9400,15.0100,15.2500,1.0000,138921
15.3400,15.3400,2020-03-25,0.0000,15.7050,14.8100,14.8590,1.0000,144665
14.2750,14.2750,2020-03-24,0.0000,14.3900,13.4070,13.5200,1.0000,176269
12.5000,12.5000,2020-03-23,0.0000,12.7300,12.0800,12.6100,1.0000,213202
12.8950,12.8950,2020-03-20,0.0000,14.1400,12.8950,13.7400,1.0000,242061
13.0700,13.0700,2020-03-19,0.0000,13.7700,12.5900,12.7700,1.0000,124852
13.5000,13.5000,2020-03-18,0.0000,14.3900,12.6500,14.0500,1.0000,165986
16.2300,16.2300,2020-03-17,0.0000,16.3400,14.7520,14.7600,1.0000,198750
14.4200,14.4200,2020-03-16,0.0000,15.2800,14.3000,14.7400,1.0000,257192
16.6500,16.6500,2020-03-13,0.0000,16.8500,15.8400,16.7200,1.0000,501638
16.1000,16.1000,2020-03-12,0.0000,16.5200,15.3600,16.4600,1.0000,166174
17.9325,17.9325,2020-03-11,0.0000,18.4900,17.7400,18.3800,1.0000,98703
18.5700,18.5700,2020-03-10,0.0000,19.0800,18.0500,18.9300,1.0000,159867
18.9500,18.9500,2020-03-09,0.0000,20.0100,18.8600,19.3300,1.0000,813870
20.6100,20.6100,2020-03-06,0.0000,20.6800,20.3100,20.5300,1.0000,134628
20.9800,20.9800,2020-03-05,0.0000,21.1800,20.8600,21.0400,1.0000,61969
21.3400,21.3400,2020-03-04,0.0000,21.3400,20.6700,20.7500,1.0000,112355
20.0100,20.0100,2020-03-03,0.0000,20.4500,19.8900,20.2400,1.0000,481361
19.9900,19.9900,2020-03-02,0.0000,20.0100,19.5400,19.5550,1.0000,190066
19.7300,19.7300,2020-02-28,0.0000,19.9100,19.2200,19.5900,1.0000,369790
19.5800,19.5800,2020-02-27,0.0000,20.3100,19.5800,20.2700,1.0000,117582
20.4800,20.4800,2020-02-26,0.0000,20.8300,20.4800,20.6900,1.0000,138272
