adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0914,0.0914,2020-05-12,0.0000,0.0914,0.0914,0.0914,1.0000,300
0.1010,0.1010,2020-05-11,0.0000,0.1010,0.1010,0.1010,1.0000,637
0.0820,0.0820,2020-05-08,0.0000,0.0820,0.0820,0.0820,1.0000,0
0.0822,0.0822,2020-05-07,0.0000,0.0822,0.0822,0.0822,1.0000,1000
0.0970,0.0970,2020-05-06,0.0000,0.0970,0.0970,0.0970,1.0000,0
0.0970,0.0970,2020-05-05,0.0000,0.0970,0.0970,0.0970,1.0000,100
0.0900,0.0900,2020-05-04,0.0000,0.0900,0.0900,0.0900,1.0000,0
0.0900,0.0900,2020-05-01,0.0000,0.0900,0.0900,0.0900,1.0000,0
0.0900,0.0900,2020-04-30,0.0000,0.0990,0.0900,0.0990,1.0000,2060
0.1190,0.1190,2020-04-29,0.0000,0.1190,0.1190,0.1190,1.0000,0
0.1190,0.1190,2020-04-28,0.0000,0.1190,0.1190,0.1190,1.0000,0
0.1190,0.1190,2020-04-27,0.0000,0.1190,0.1190,0.1190,1.0000,0
0.1190,0.1190,2020-04-24,0.0000,0.1340,0.1190,0.1340,1.0000,1200
0.1520,0.1520,2020-04-23,0.0000,0.1520,0.1520,0.1520,1.0000,555
0.1710,0.1710,2020-04-22,0.0000,0.1710,0.1710,0.1710,1.0000,0
0.1710,0.1710,2020-04-21,0.0000,0.1710,0.1710,0.1710,1.0000,0
0.1710,0.1710,2020-04-20,0.0000,0.1710,0.1710,0.1710,1.0000,0
0.1710,0.1710,2020-04-17,0.0000,0.1710,0.1710,0.1710,1.0000,0
0.1714,0.1714,2020-04-16,0.0000,0.1890,0.1480,0.1480,1.0000,16750
0.1170,0.1170,2020-04-15,0.0000,0.1700,0.1170,0.1170,1.0000,6700
0.0730,0.0730,2020-04-14,0.0000,0.0730,0.0730,0.0730,1.0000,0
0.0730,0.0730,2020-04-13,0.0000,0.0730,0.0730,0.0730,1.0000,0
0.0730,0.0730,2020-04-09,0.0000,0.0730,0.0730,0.0730,1.0000,0
0.0727,0.0727,2020-04-08,0.0000,0.0727,0.0727,0.0727,1.0000,600
0.0890,0.0890,2020-04-07,0.0000,0.0890,0.0740,0.0890,1.0000,13771
0.0665,0.0665,2020-04-06,0.0000,0.0730,0.0665,0.0730,1.0000,7975
0.0770,0.0770,2020-04-03,0.0000,0.0770,0.0770,0.0770,1.0000,2000
0.0680,0.0680,2020-04-02,0.0000,0.0680,0.0680,0.0680,1.0000,0
0.0680,0.0680,2020-04-01,0.0000,0.0680,0.0680,0.0680,1.0000,0
0.0675,0.0675,2020-03-31,0.0000,0.0760,0.0675,0.0760,1.0000,33290
0.0750,0.0750,2020-03-30,0.0000,0.0750,0.0750,0.0750,1.0000,1000
0.0910,0.0910,2020-03-27,0.0000,0.0910,0.0910,0.0910,1.0000,0
0.0906,0.0906,2020-03-26,0.0000,0.0906,0.0754,0.0754,1.0000,500
0.1050,0.1050,2020-03-25,0.0000,0.1050,0.1050,0.1050,1.0000,2000
0.1030,0.1030,2020-03-24,0.0000,0.1030,0.1030,0.1030,1.0000,0
0.1030,0.1030,2020-03-23,0.0000,0.1030,0.1030,0.1030,1.0000,0
0.1025,0.1025,2020-03-20,0.0000,0.1025,0.0780,0.0780,1.0000,1350
0.0730,0.0730,2020-03-19,0.0000,0.0730,0.0730,0.0730,1.0000,1250
0.0890,0.0890,2020-03-18,0.0000,0.0890,0.0890,0.0890,1.0000,0
0.0890,0.0890,2020-03-17,0.0000,0.0890,0.0890,0.0890,1.0000,0
0.0890,0.0890,2020-03-16,0.0000,0.0890,0.0890,0.0890,1.0000,0
0.0890,0.0890,2020-03-13,0.0000,0.0890,0.0890,0.0890,1.0000,0
0.0890,0.0890,2020-03-12,0.0000,0.0890,0.0868,0.0868,1.0000,11900
0.1095,0.1095,2020-03-11,0.0000,0.1190,0.1095,0.1190,1.0000,40000
