adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
7.9900,7.9900,2020-05-12,0.0000,8.4300,7.9400,8.4300,1.0000,205813
8.4200,8.4200,2020-05-11,0.0000,8.6400,8.1400,8.6400,1.0000,154777
8.8500,8.8500,2020-05-08,0.0000,8.8700,8.4600,8.7500,1.0000,208619
8.5200,8.5200,2020-05-07,0.0000,8.5521,8.2900,8.4700,1.0000,200091
8.2700,8.2700,2020-05-06,0.0000,9.1400,8.2300,9.1400,1.0000,278609
8.9700,8.9700,2020-05-05,0.0000,9.9000,8.2000,8.2000,1.0000,516044
7.8700,7.8700,2020-05-04,0.0000,8.1600,7.6014,8.0200,1.0000,188032
8.1900,8.1900,2020-05-01,0.0000,8.4900,8.0400,8.4900,1.0000,187331
8.7800,8.7800,2020-04-30,0.0000,8.9600,8.7300,8.8000,1.0000,206639
9.0400,9.0400,2020-04-29,0.0000,9.1600,8.5800,8.6000,1.0000,441898
8.3000,8.3000,2020-04-28,0.0000,8.4200,7.5300,7.7300,1.0000,318051
7.4700,7.4700,2020-04-27,0.0000,7.6000,6.9900,7.1000,1.0000,320376
6.9800,6.9800,2020-04-24,0.0000,7.3000,6.8700,7.2900,1.0000,229181
7.1600,7.1600,2020-04-23,0.0000,7.2800,6.8300,7.0600,1.0000,326207
7.0600,7.0600,2020-04-22,0.0000,7.5900,6.9900,7.5900,1.0000,393977
7.3000,7.3000,2020-04-21,0.0000,7.4300,6.7500,6.7500,1.0000,236157
6.9600,6.9600,2020-04-20,0.0000,7.2850,6.8200,7.2300,1.0000,282431
7.3400,7.3400,2020-04-17,0.0000,7.4927,7.0100,7.0300,1.0000,227609
6.8800,6.8800,2020-04-16,0.0000,8.0700,6.8200,8.0000,1.0000,294599
8.0100,8.0100,2020-04-15,0.0000,8.5000,7.8350,8.5000,1.0000,240032
8.5500,8.5500,2020-04-14,0.0000,9.7000,8.4600,9.7000,1.0000,234456
9.4100,9.4100,2020-04-13,0.0000,9.6700,8.6800,8.8800,1.0000,339327
8.9700,8.9700,2020-04-09,0.0000,9.1000,8.6100,8.7500,1.0000,423350
8.7500,8.7500,2020-04-08,0.0000,9.1400,8.3400,8.5900,1.0000,446453
8.5400,8.5400,2020-04-07,0.0000,8.8300,8.3100,8.5600,1.0000,422170
8.3400,8.3400,2020-04-06,0.0000,8.4400,7.9200,8.1000,1.0000,611340
7.8000,7.8000,2020-04-03,0.0000,7.8700,7.4400,7.6100,1.0000,421030
7.7600,7.7600,2020-04-02,0.0000,7.9700,7.5000,7.6600,1.0000,612828
7.6200,7.6200,2020-04-01,0.0000,8.0800,7.5500,7.8900,1.0000,573540
8.2200,8.2200,2020-03-31,0.0000,8.2400,7.8700,8.1300,1.0000,599722
7.8600,7.8600,2020-03-30,0.0000,8.0300,7.5200,7.6600,1.0000,392733
7.5700,7.5700,2020-03-27,0.0000,8.4900,7.5500,8.3000,1.0000,439458
8.7400,8.7400,2020-03-26,0.0000,9.0400,7.9300,8.0200,1.0000,574880
8.0100,8.0100,2020-03-25,0.0000,8.2200,7.1300,7.1300,1.0000,476156
7.2300,7.2300,2020-03-24,0.0000,7.3400,6.8300,6.8900,1.0000,748933
6.5200,6.5200,2020-03-23,0.0000,6.9600,6.1750,6.5900,1.0000,427339
6.6600,6.6600,2020-03-20,0.0000,7.2500,6.6400,7.1000,1.0000,1170044
6.9900,6.9900,2020-03-19,0.0000,7.4400,6.5100,7.2600,1.0000,653896
7.7800,7.7800,2020-03-18,0.0000,7.8000,6.4200,7.2600,1.0000,510116
7.7300,7.7300,2020-03-17,0.0000,7.8100,6.4300,6.6400,1.0000,615945
6.5400,6.5400,2020-03-16,0.0000,6.9700,6.3000,6.6000,1.0000,545431
7.0000,7.0000,2020-03-13,0.0000,7.0000,6.6800,6.8800,1.0000,584058
