adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
52.5800,52.5800,2020-05-12,0.0000,53.9300,52.4000,52.5500,1.0000,524181
52.4600,52.4600,2020-05-11,0.0000,53.5150,51.9300,53.1900,1.0000,814403
53.4900,53.4900,2020-05-08,0.0000,53.9800,50.9592,51.9700,1.0000,968461
50.3900,50.3900,2020-05-07,0.0000,52.4800,48.4200,52.4800,1.0000,1197531
50.8400,50.8400,2020-05-06,0.0000,51.9300,49.9100,51.5600,1.0000,1127469
51.1900,51.1900,2020-05-05,0.0000,51.9500,50.9800,51.2100,1.0000,585588
50.8800,50.8800,2020-05-04,0.0000,51.1250,49.9200,50.6900,1.0000,581588
50.6600,50.6600,2020-05-01,0.0000,51.9500,50.5600,51.3300,1.0000,586679
51.7300,51.7300,2020-04-30,0.0000,52.3600,51.1200,51.7500,1.0000,513421
52.1100,52.1100,2020-04-29,0.0000,53.4600,51.7100,53.4600,1.0000,361847
52.8700,52.8700,2020-04-28,0.0000,53.7300,52.1700,53.0600,1.0000,608709
51.8600,51.8600,2020-04-27,0.0000,52.0550,50.2300,50.5700,1.0000,865201
50.1100,50.1100,2020-04-24,0.0000,50.3300,48.5800,49.5900,1.0000,483411
48.9900,48.9900,2020-04-23,0.0000,49.4800,47.8500,48.4200,1.0000,408921
48.4100,48.4100,2020-04-22,0.0000,50.0900,48.1000,49.6700,1.0000,529377
49.0400,49.0400,2020-04-21,0.0000,49.5300,48.1800,48.7500,1.0000,463937
49.0300,49.0300,2020-04-20,0.0000,50.1200,48.5700,48.8100,1.0000,465959
49.1200,49.1200,2020-04-17,0.0000,50.4700,48.3200,50.1800,1.0000,550171
49.4900,49.4900,2020-04-16,0.0000,49.8600,46.7800,47.5000,1.0000,1091381
45.3900,45.3900,2020-04-15,0.0000,45.8900,44.2100,45.1900,1.0000,489910
45.4500,45.4500,2020-04-14,0.0000,45.9400,42.9400,43.2700,1.0000,796127
42.4700,42.4700,2020-04-13,0.0000,44.7000,42.1050,44.1400,1.0000,592753
44.0200,44.0200,2020-04-09,0.0000,44.9399,43.7400,44.4200,1.0000,1118480
43.4500,43.4500,2020-04-08,0.0000,43.9900,42.6800,42.9800,1.0000,1108906
42.8000,42.8000,2020-04-07,0.0000,45.5000,42.0900,44.6600,1.0000,997951
44.1100,44.1100,2020-04-06,0.0000,45.5700,43.3000,45.4600,1.0000,682135
44.8100,44.8100,2020-04-03,0.0000,45.3500,43.3700,44.0800,1.0000,660042
44.3100,44.3100,2020-04-02,0.0000,44.7900,43.0900,43.3300,1.0000,624661
43.7900,43.7900,2020-04-01,0.0000,45.0800,42.4100,43.1200,1.0000,658652
44.1500,44.1500,2020-03-31,0.0000,44.4500,41.8200,42.2400,1.0000,851088
42.2800,42.2800,2020-03-30,0.0000,42.4200,39.9900,40.1900,1.0000,542072
39.7900,39.7900,2020-03-27,0.0000,40.9600,37.5700,37.5700,1.0000,762568
38.3400,38.3400,2020-03-26,0.0000,39.3800,37.4500,38.2300,1.0000,471636
37.9300,37.9300,2020-03-25,0.0000,39.2100,36.6500,38.3600,1.0000,866840
38.3700,38.3700,2020-03-24,0.0000,41.0000,37.7600,39.7000,1.0000,469992
38.3400,38.3400,2020-03-23,0.0000,40.4700,37.3100,39.6800,1.0000,651174
39.5900,39.5900,2020-03-20,0.0000,41.9200,38.5600,39.3900,1.0000,841158
39.5300,39.5300,2020-03-19,0.0000,40.6950,38.6500,39.6900,1.0000,711174
39.0300,39.0300,2020-03-18,0.0000,40.4600,36.2000,38.3000,1.0000,592079
40.4900,40.4900,2020-03-17,0.0000,42.1500,37.3500,37.6000,1.0000,911544
36.9500,36.9500,2020-03-16,0.0000,41.0200,34.2500,34.2500,1.0000,481574
38.0600,38.0600,2020-03-13,0.0000,38.0900,34.4000,36.7100,1.0000,648730
35.1000,35.1000,2020-03-12,0.0000,36.0700,33.5000,33.5000,1.0000,697326
37.6900,37.6900,2020-03-11,0.0000,38.7200,36.4400,37.9700,1.0000,1092244
37.3100,37.3100,2020-03-10,0.0000,37.5200,34.0600,35.6400,1.0000,747267
34.5700,34.5700,2020-03-09,0.0000,37.5300,34.4700,36.0000,1.0000,561765
39.6600,39.6600,2020-03-06,0.0000,40.8000,39.0000,39.4000,1.0000,448621
40.4500,40.4500,2020-03-05,0.0000,41.0700,40.0900,40.5900,1.0000,413349
41.5300,41.5300,2020-03-04,0.0000,41.7400,40.4300,41.2800,1.0000,499971
40.4800,40.4800,2020-03-03,0.0000,42.7500,40.0600,40.8800,1.0000,647041
40.6000,40.6000,2020-03-02,0.0000,40.6300,38.7100,38.7100,1.0000,752291
38.1100,38.1100,2020-02-28,0.0000,38.8500,36.4000,36.9200,1.0000,1165933
37.2000,37.2000,2020-02-27,0.0000,39.0400,37.0900,38.4300,1.0000,877230
39.4100,39.4100,2020-02-26,0.0000,41.5600,39.3400,41.4400,1.0000,1053661
41.2600,41.2600,2020-02-25,0.0000,44.2700,40.7950,44.0300,1.0000,683066
44.0000,44.0000,2020-02-24,0.0000,44.1600,42.7300,43.5900,1.0000,394762
44.4700,44.4700,2020-02-21,0.0000,44.8800,44.3100,44.6300,1.0000,337401
44.9800,44.9800,2020-02-20,0.0000,45.0200,44.3700,44.6700,1.0000,455075
44.8700,44.8700,2020-02-19,0.0000,45.2450,44.6350,44.9100,1.0000,474330
44.8900,44.8900,2020-02-18,0.0000,45.6300,44.1300,45.3400,1.0000,873202
45.7500,45.7500,2020-02-14,0.0000,46.4900,44.5800,45.0100,1.0000,1129513
45.5400,45.5400,2020-02-13,0.0000,47.2900,45.0800,46.0000,1.0000,1004884
46.0700,46.0700,2020-02-12,0.0000,46.7100,45.8100,46.7100,1.0000,352892
46.4100,46.4100,2020-02-11,0.0000,47.0700,46.3100,46.6100,1.0000,244124
46.4800,46.4800,2020-02-10,0.0000,46.5900,45.4800,46.0000,1.0000,271679
45.9300,45.9300,2020-02-07,0.0000,46.3500,44.8200,45.2100,1.0000,318570
45.2600,45.2600,2020-02-06,0.0000,46.5700,45.2600,45.5800,1.0000,436487
45.5200,45.5200,2020-02-05,0.0000,46.1300,44.8980,45.4000,1.0000,292066
45.0800,45.0800,2020-02-04,0.0000,45.8800,45.0500,45.5300,1.0000,337646
45.1200,45.1200,2020-02-03,0.0000,45.4200,44.6700,44.6700,1.0000,286454
44.6000,44.6000,2020-01-31,0.0000,44.8100,44.3650,44.4000,1.0000,391051
44.6300,44.6300,2020-01-30,0.0000,44.7600,43.9300,44.2900,1.0000,278410
44.2600,44.2600,2020-01-29,0.0000,45.4200,44.2100,45.1800,1.0000,195590
45.1100,45.1100,2020-01-28,0.0000,45.8800,45.0700,45.2400,1.0000,271252
45.1600,45.1600,2020-01-27,0.0000,45.8300,45.1600,45.7000,1.0000,336744
46.1900,46.1900,2020-01-24,0.0000,46.8200,45.9550,46.7400,1.0000,267520
46.7400,46.7400,2020-01-23,0.0000,46.9900,46.2300,46.6000,1.0000,263225
46.8300,46.8300,2020-01-22,0.0000,47.0850,46.7100,46.9200,1.0000,274214
46.9100,46.9100,2020-01-21,0.0000,47.1400,46.3000,46.8500,1.0000,319125
47.4100,47.4100,2020-01-17,0.0000,47.5600,47.0200,47.4100,1.0000,212774
47.4300,47.4300,2020-01-16,0.0000,47.7200,47.0200,47.1600,1.0000,218383
47.0200,47.0200,2020-01-15,0.0000,47.4900,46.3900,46.5400,1.0000,334718
46.6300,46.6300,2020-01-14,0.0000,47.0800,46.2900,46.6600,1.0000,308147
47.1000,47.1000,2020-01-13,0.0000,47.1500,45.9000,46.1500,1.0000,215670
46.0600,46.0600,2020-01-10,0.0000,46.6600,46.0100,46.4800,1.0000,200878
46.4400,46.4400,2020-01-09,0.0000,46.9200,46.2500,46.6800,1.0000,249558
46.6500,46.6500,2020-01-08,0.0000,47.0400,46.4300,46.7600,1.0000,439867
46.6800,46.6800,2020-01-07,0.0000,47.4250,46.1400,47.3900,1.0000,386103
47.2300,47.2300,2020-01-06,0.0000,47.7000,46.7500,47.2400,1.0000,394250
47.8400,47.8400,2020-01-03,0.0000,47.9800,46.9000,47.0200,1.0000,289087
47.4200,47.4200,2020-01-02,0.0000,48.6000,47.2800,48.5300,1.0000,448632
48.5000,48.5000,2019-12-31,0.0000,48.7500,47.9900,47.9900,1.0000,356911
48.0400,48.0400,2019-12-30,0.0000,48.2800,47.5599,47.8000,1.0000,350914
47.7900,47.7900,2019-12-27,0.0000,48.0700,47.5200,47.7400,1.0000,306093
47.7200,47.7200,2019-12-26,0.0000,48.3850,47.6600,47.9400,1.0000,227306
47.9300,47.9300,2019-12-24,0.0000,48.3800,47.8900,48.2800,1.0000,149232
48.1700,48.1700,2019-12-23,0.0000,48.9300,48.1500,48.4800,1.0000,312623
48.4000,48.4000,2019-12-20,0.0000,49.1900,48.2800,49.0700,1.0000,829122
48.8100,48.8100,2019-12-19,0.0000,49.2900,47.8100,48.2400,1.0000,724330
48.0000,48.0000,2019-12-18,0.0000,48.5100,47.7200,48.1900,1.0000,559708
48.1000,48.1000,2019-12-17,0.0000,49.4000,47.9800,49.3100,1.0000,659534
49.4200,49.4200,2019-12-16,0.0000,50.2667,49.3200,49.4000,1.0000,389725
49.1800,49.1800,2019-12-13,0.0000,50.2000,49.1250,50.2000,1.0000,737626
50.1500,50.1500,2019-12-12,0.0000,50.4500,49.6100,49.9700,1.0000,582229
49.9900,49.9900,2019-12-11,0.0000,51.1800,49.9000,50.8900,1.0000,472782
50.8400,50.8400,2019-12-10,0.0000,52.0000,50.6700,51.5200,1.0000,393580
