adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
11.5400,11.5400,2017-03-21,0.0000,11.5400,11.5400,11.5400,1.0000,0
11.5400,11.5400,2017-03-20,0.0000,11.5400,11.5400,11.5400,1.0000,0
11.5400,11.5400,2017-03-17,0.0000,11.5400,11.5400,11.5400,1.0000,0
11.5400,11.5400,2017-03-16,0.0000,11.5400,11.5400,11.5400,1.0000,0
11.5400,11.5400,2017-03-15,0.0000,11.5400,11.5400,11.5400,1.0000,0
11.5400,11.5400,2017-03-14,0.0000,11.5400,11.5400,11.5400,1.0000,0
11.5400,11.5400,2017-03-13,0.0000,11.5400,11.5300,11.5300,1.0000,4726353
11.5300,11.5300,2017-03-10,0.0000,11.5300,11.5100,11.5200,1.0000,3934018
11.5300,11.5300,2017-03-09,0.0000,11.5400,11.5000,11.5000,1.0000,6391871
11.5000,11.5000,2017-03-08,0.0000,11.5200,11.4900,11.5000,1.0000,33312682
10.8700,10.8700,2017-03-07,0.0000,10.8900,10.8300,10.8700,1.0000,2345397
10.8700,10.8700,2017-03-06,0.0000,10.9000,10.8000,10.8500,1.0000,1515668
10.8200,10.8200,2017-03-03,0.0000,10.9100,10.8100,10.8700,1.0000,1260819
10.8300,10.8300,2017-03-02,0.0000,10.9000,10.6800,10.7200,1.0000,2573713
10.6900,10.6900,2017-03-01,0.0000,10.9500,10.4800,10.5000,1.0000,3638454
10.5000,10.5000,2017-02-28,0.0000,10.5100,10.4000,10.4300,1.0000,1905485
10.4700,10.4700,2017-02-27,0.0000,10.5300,10.3700,10.4900,1.0000,3423583
10.4900,10.4900,2017-02-24,0.0000,10.5300,10.1900,10.2100,1.0000,4776289
10.2000,10.2000,2017-02-23,0.0000,10.2900,10.2000,10.2400,1.0000,685485
10.2300,10.2300,2017-02-22,0.0000,10.3000,10.1900,10.3000,1.0000,1722606
10.3100,10.3100,2017-02-21,0.0000,10.3100,10.1400,10.1600,1.0000,1876219
10.2100,10.2100,2017-02-17,0.0000,10.2550,10.1300,10.1300,1.0000,717627
10.1800,10.1800,2017-02-16,0.0000,10.2200,10.1670,10.1800,1.0000,261001
10.2300,10.2300,2017-02-15,0.0000,10.2900,10.1300,10.2900,1.0000,954884
10.2000,10.2000,2017-02-14,0.0000,10.2200,10.0607,10.1200,1.0000,654058
10.1600,10.1600,2017-02-13,0.0000,10.2000,10.0600,10.0600,1.0000,566598
10.1300,10.1300,2017-02-10,0.0000,10.1600,10.0200,10.1200,1.0000,717768
10.1200,10.1200,2017-02-09,0.0000,10.1400,10.0400,10.0900,1.0000,773766
10.0900,10.0900,2017-02-08,0.0000,10.1400,9.8600,9.9200,1.0000,758175
