adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
1.0000,1.0000,2020-05-12,0.0000,1.0000,1.0000,1.0000,1.0000,12
1.0000,1.0000,2020-05-11,0.0000,1.0000,1.0000,1.0000,1.0000,8
1.0000,1.0000,2020-05-08,0.0000,1.0000,0.5100,0.5100,1.0000,1600
0.9500,0.9500,2020-05-07,0.0000,0.9500,0.5100,0.9250,1.0000,451
1.0000,1.0000,2020-05-05,0.0000,1.0000,0.5700,0.6600,1.0000,856
0.8000,0.8000,2020-05-04,0.0000,0.8000,0.8000,0.8000,1.0000,1735
0.9599,0.9599,2020-05-01,0.0000,1.0900,0.8500,1.0900,1.0000,3381
1.2000,1.2000,2020-04-30,0.0000,1.3200,1.1100,1.3200,1.0000,3483
1.9000,1.9000,2020-04-29,0.0000,1.9000,1.9000,1.9000,1.0000,168
1.5000,1.5000,2020-04-28,0.0000,1.5000,1.5000,1.5000,1.0000,730
1.1200,1.1200,2020-04-27,0.0000,1.5000,1.1200,1.5000,1.0000,1971
1.1800,1.1800,2020-04-24,0.0000,1.6500,1.1800,1.2500,1.0000,7236
1.1200,1.1200,2020-04-23,0.0000,1.1200,0.8100,1.0000,1.0000,3020
1.2175,1.2175,2020-04-22,0.0000,1.6000,1.0000,1.0000,1.0000,8341
1.0000,1.0000,2020-04-21,0.0000,1.0500,0.6800,0.6800,1.0000,10662
0.3500,0.3500,2020-04-20,0.0000,0.4000,0.3250,0.3250,1.0000,5573
0.2750,0.2750,2020-04-17,0.0000,0.2750,0.2750,0.2750,1.0000,317
0.0025,0.0025,2020-04-16,0.0000,0.0049,0.0016,0.0039,1.0000,1100595
0.0048,0.0048,2020-04-15,0.0000,0.0053,0.0039,0.0045,1.0000,382324
0.0045,0.0045,2020-04-14,0.0000,0.0060,0.0045,0.0060,1.0000,351000
0.0050,0.0050,2020-04-13,0.0000,0.0060,0.0050,0.0060,1.0000,311000
0.0050,0.0050,2020-04-09,0.0000,0.0050,0.0045,0.0045,1.0000,500000
0.0053,0.0053,2020-04-08,0.0000,0.0053,0.0045,0.0045,1.0000,242000
0.0048,0.0048,2020-04-07,0.0000,0.0048,0.0048,0.0048,1.0000,200000
0.0050,0.0050,2020-04-06,0.0000,0.0075,0.0050,0.0075,1.0000,77500
0.0055,0.0055,2020-04-03,0.0000,0.0055,0.0055,0.0055,1.0000,200
0.0050,0.0050,2020-04-02,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2020-04-01,0.0000,0.0050,0.0050,0.0050,1.0000,2084
0.0055,0.0055,2020-03-31,0.0000,0.0073,0.0055,0.0066,1.0000,56098
0.0045,0.0045,2020-03-30,0.0000,0.0080,0.0045,0.0064,1.0000,1314100
0.0069,0.0069,2020-03-27,0.0000,0.0070,0.0050,0.0070,1.0000,203334
