adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
7.3200,7.3200,2020-05-12,0.0000,7.4200,7.2700,7.2700,1.0000,140042
7.2500,7.2500,2020-05-11,0.0000,7.3600,7.2270,7.2270,1.0000,112726
7.5100,7.5100,2020-05-08,0.0000,7.6100,7.4800,7.6100,1.0000,129130
7.4725,7.4725,2020-05-07,0.0000,7.6100,7.3500,7.6100,1.0000,170767
7.4100,7.4100,2020-05-06,0.0000,7.4700,7.3900,7.4300,1.0000,140851
7.4350,7.4350,2020-05-05,0.0000,7.4800,7.3900,7.3900,1.0000,122370
7.3400,7.3400,2020-05-04,0.0000,7.4400,7.2900,7.4400,1.0000,161064
7.3600,7.3600,2020-05-01,0.0000,7.5200,7.2700,7.2700,1.0000,134936
7.3110,7.3110,2020-04-30,0.0000,7.5100,7.2500,7.3413,1.0000,111296
7.5700,7.5700,2020-04-29,0.0000,7.7200,7.4600,7.5900,1.0000,113322
7.4760,7.4760,2020-04-28,0.0000,7.5400,7.4000,7.4000,1.0000,137698
7.5600,7.5600,2020-04-27,0.0000,7.6000,7.4500,7.4500,1.0000,281566
7.4600,7.4600,2020-04-24,0.0000,7.6450,7.1500,7.1500,1.0000,164482
7.5400,7.5400,2020-04-23,0.0000,7.6700,7.4000,7.4000,1.0000,131999
7.5450,7.5450,2020-04-22,0.0000,7.6900,7.4500,7.6900,1.0000,132992
7.3400,7.3400,2020-04-21,0.0000,7.4900,7.2100,7.2100,1.0000,205588
7.5400,7.5400,2020-04-20,0.0000,7.7300,7.5000,7.7300,1.0000,233095
7.6600,7.6600,2020-04-17,0.0000,7.7800,7.5200,7.5200,1.0000,138509
7.6800,7.6800,2020-04-16,0.0000,7.7600,7.3800,7.3800,1.0000,288883
7.6500,7.6500,2020-04-15,0.0000,7.7600,7.2500,7.2500,1.0000,151310
7.4060,7.4060,2020-04-14,0.0000,7.6310,7.3875,7.6310,1.0000,275149
7.4150,7.4150,2020-04-13,0.0000,7.7390,6.9200,6.9200,1.0000,224599
7.4100,7.4100,2020-04-09,0.0000,7.7400,7.3500,7.3500,1.0000,165069
7.5500,7.5500,2020-04-08,0.0000,7.8300,7.2400,7.2400,1.0000,228023
7.6700,7.6700,2020-04-07,0.0000,8.1200,7.6100,8.1200,1.0000,237509
7.6900,7.6900,2020-04-06,0.0000,7.7300,7.2700,7.2700,1.0000,369887
7.3800,7.3800,2020-04-03,0.0000,7.5400,7.3200,7.3200,1.0000,205544
7.3220,7.3220,2020-04-02,0.0000,7.4700,7.0800,7.4000,1.0000,213800
7.1400,7.1400,2020-04-01,0.0000,7.5200,6.9500,7.5200,1.0000,202962
7.4000,7.4000,2020-03-31,0.0000,7.9000,7.0000,7.9000,1.0000,176902
7.3970,7.3970,2020-03-30,0.0000,7.5565,7.1600,7.1600,1.0000,217691
7.1880,7.1880,2020-03-27,0.0000,7.2500,6.4500,6.5740,1.0000,214209
7.1600,7.1600,2020-03-26,0.0000,7.1800,6.4200,6.4200,1.0000,273658
6.5400,6.5400,2020-03-25,0.0000,7.2500,6.0900,7.2500,1.0000,190009
6.7350,6.7350,2020-03-24,0.0000,6.9300,6.0800,6.0800,1.0000,226433
6.4000,6.4000,2020-03-23,0.0000,7.1400,6.1800,6.1800,1.0000,397485
6.7500,6.7500,2020-03-20,0.0000,7.1100,6.2800,6.4875,1.0000,285091
6.7700,6.7700,2020-03-19,0.0000,7.0600,6.4000,6.5425,1.0000,273719
6.6400,6.6400,2020-03-18,0.0000,7.0200,5.9900,5.9900,1.0000,294986
6.2300,6.2300,2020-03-17,0.0000,6.2500,5.7300,5.7300,1.0000,355605
5.6900,5.6900,2020-03-16,0.0000,5.8800,5.2000,5.2000,1.0000,339096
6.0300,6.0300,2020-03-13,0.0000,6.2500,5.8200,5.9300,1.0000,352431
6.0060,6.0060,2020-03-12,0.0000,6.2400,5.8700,6.1355,1.0000,661552
6.7100,6.7100,2020-03-11,0.0000,6.7500,6.4000,6.4000,1.0000,161553
6.8700,6.8700,2020-03-10,0.0000,6.8700,6.5700,6.7200,1.0000,286288
6.5500,6.5500,2020-03-09,0.0000,6.7000,6.4000,6.4000,1.0000,125042
6.6700,6.6700,2020-03-06,0.0000,6.7300,6.4100,6.4100,1.0000,197137
6.5800,6.5800,2020-03-05,0.0000,6.5800,6.4625,6.4625,1.0000,215937
6.4000,6.4000,2020-03-04,0.0000,6.4700,6.1600,6.1600,1.0000,314723
6.4640,6.4640,2020-03-03,0.0000,6.5700,6.3800,6.5400,1.0000,243900
6.6300,6.6300,2020-03-02,0.0000,6.8300,6.3100,6.3100,1.0000,214493
6.4000,6.4000,2020-02-28,0.0000,6.4900,6.2900,6.2900,1.0000,201066
6.7500,6.7500,2020-02-27,0.0000,6.9500,6.5000,6.9500,1.0000,168557
6.9450,6.9450,2020-02-26,0.0000,7.0200,6.7200,6.7200,1.0000,216670
6.7320,6.7320,2020-02-25,0.0000,6.8000,6.5600,6.5600,1.0000,341956
6.7800,6.7800,2020-02-24,0.0000,6.8800,6.5900,6.5900,1.0000,116225
6.8800,6.8800,2020-02-21,0.0000,7.0200,6.7600,7.0200,1.0000,304389
7.0900,7.0900,2020-02-20,0.0000,7.1300,7.0600,7.0900,1.0000,209383
7.1700,7.1700,2020-02-19,0.0000,7.2100,7.1400,7.2055,1.0000,74322
7.1500,7.1500,2020-02-18,0.0000,7.2700,7.0300,7.0300,1.0000,121293
7.0400,7.0400,2020-02-14,0.0000,7.1000,6.9600,7.1000,1.0000,83267
7.0800,7.0800,2020-02-13,0.0000,7.0800,6.8300,6.8300,1.0000,87207
6.7700,6.7700,2020-02-12,0.0000,6.7700,6.6403,6.6900,1.0000,916894
6.9950,6.9950,2020-02-11,0.0000,7.0900,6.9700,7.0900,1.0000,68338
6.9660,6.9660,2020-02-10,0.0000,7.0500,6.8950,6.8950,1.0000,71311
6.5600,6.5600,2020-02-07,0.0000,6.6400,6.5000,6.5200,1.0000,109862
6.8050,6.8050,2020-02-06,0.0000,6.8400,6.7600,6.8350,1.0000,77158
6.8590,6.8590,2020-02-05,0.0000,6.9900,6.8200,6.9900,1.0000,127426
7.0030,7.0030,2020-02-04,0.0000,7.1300,6.9900,7.1300,1.0000,150741
6.9600,6.9600,2020-02-03,0.0000,7.0200,6.9600,7.0200,1.0000,84552
6.8630,6.8630,2020-01-31,0.0000,6.9200,6.7200,6.7200,1.0000,135191
6.9050,6.9050,2020-01-30,0.0000,6.9900,6.6900,6.6900,1.0000,120290
6.9400,6.9400,2020-01-29,0.0000,6.9400,6.9000,6.9150,1.0000,117019
6.8050,6.8050,2020-01-28,0.0000,6.8300,6.7450,6.7550,1.0000,112062
6.7900,6.7900,2020-01-27,0.0000,6.8300,6.7300,6.7300,1.0000,295686
6.7800,6.7800,2020-01-24,0.0000,6.8500,6.7400,6.8100,1.0000,149512
6.7900,6.7900,2020-01-23,0.0000,6.8030,6.7400,6.8030,1.0000,95874
6.6800,6.6800,2020-01-22,0.0000,6.7300,6.6500,6.7300,1.0000,208032
6.6915,6.6915,2020-01-21,0.0000,6.8000,6.6915,6.8000,1.0000,107835
6.8000,6.8000,2020-01-17,0.0000,6.8300,6.7400,6.7400,1.0000,102645
6.9300,6.9300,2020-01-16,0.0000,6.9300,6.8700,6.8820,1.0000,461208
6.9300,6.9300,2020-01-15,0.0000,7.0000,6.9300,7.0000,1.0000,169054
7.0250,7.0250,2020-01-14,0.0000,7.0600,6.9900,7.0600,1.0000,293578
6.9500,6.9500,2020-01-13,0.0000,6.9500,6.8600,6.8600,1.0000,296755
6.9300,6.9300,2020-01-10,0.0000,7.0900,6.9100,7.0900,1.0000,2525933
6.9550,6.9550,2020-01-09,0.0000,6.9600,6.8648,6.9200,1.0000,3302201
6.9000,6.9000,2020-01-08,0.0000,6.9100,6.8400,6.8900,1.0000,1029358
6.8400,6.8400,2020-01-07,0.0000,6.8800,6.7400,6.8800,1.0000,1116279
6.8360,6.8360,2020-01-06,0.0000,6.8900,6.7600,6.7600,1.0000,4286983
6.8650,6.8650,2020-01-03,0.0000,6.8900,6.6000,6.6000,1.0000,69782
6.8900,6.8900,2020-01-02,0.0000,6.9800,6.6000,6.6000,1.0000,98239
6.8300,6.8300,2019-12-31,0.0000,6.9230,6.8000,6.8000,1.0000,64967
6.8600,6.8600,2019-12-30,0.0000,6.9300,6.7800,6.9300,1.0000,1943807
6.8100,6.8100,2019-12-27,0.0000,6.8400,6.7800,6.8400,1.0000,355990
6.8500,6.8500,2019-12-26,0.0000,6.9100,6.7000,6.7000,1.0000,41069
6.8900,6.8900,2019-12-24,0.0000,6.9700,6.8100,6.8170,1.0000,179489
6.8400,6.8400,2019-12-23,0.0000,6.8500,6.6100,6.6100,1.0000,120978
6.8200,6.8200,2019-12-20,0.0000,6.8800,6.7600,6.8800,1.0000,244994
6.8030,6.8030,2019-12-19,0.0000,6.8550,6.7500,6.7500,1.0000,4654025
6.7900,6.7900,2019-12-18,0.0000,6.8600,6.7800,6.7800,1.0000,174509
6.8500,6.8500,2019-12-17,0.0000,6.8700,6.6700,6.6700,1.0000,110685
6.6800,6.6800,2019-12-16,0.0000,6.7200,6.5400,6.5400,1.0000,55345
6.5700,6.5700,2019-12-13,0.0000,6.5900,6.3700,6.4690,1.0000,60207
6.5375,6.5375,2019-12-12,0.0000,6.5700,6.4900,6.4900,1.0000,59829
6.4450,6.4450,2019-12-11,0.0000,6.5500,6.4100,6.5500,1.0000,77145
6.4200,6.4200,2019-12-10,0.0000,6.4700,6.2500,6.2500,1.0000,104700
6.3600,6.3600,2019-12-09,0.0000,6.4100,6.2400,6.2400,1.0000,99556
6.4000,6.4000,2019-12-06,0.0000,6.4800,6.3500,6.3500,1.0000,140731
6.3560,6.3560,2019-12-05,0.0000,6.5300,6.3000,6.3100,1.0000,107674
6.5920,6.5920,2019-12-04,0.0000,6.6100,6.5300,6.5300,1.0000,68815
6.6700,6.6700,2019-12-03,0.0000,6.6700,6.4600,6.4600,1.0000,48114
6.5900,6.5900,2019-12-02,0.0000,6.6100,6.5400,6.5700,1.0000,98323
6.5600,6.5600,2019-11-29,0.0000,6.6100,6.4600,6.4600,1.0000,53791
6.4900,6.4900,2019-11-27,0.0000,6.5500,6.3600,6.3600,1.0000,105680
6.4300,6.4300,2019-11-26,0.0000,6.6000,6.4100,6.6000,1.0000,82566
6.4700,6.4700,2019-11-25,0.0000,6.5100,6.4300,6.4300,1.0000,55736
6.4400,6.4400,2019-11-22,0.0000,6.4955,6.4100,6.4955,1.0000,53311
6.4600,6.4600,2019-11-21,0.0000,6.5000,6.3800,6.3800,1.0000,80378
6.4290,6.4290,2019-11-20,0.0000,6.4700,6.3000,6.3000,1.0000,383191
6.2950,6.2950,2019-11-19,0.0000,6.3110,6.2060,6.2060,1.0000,291577
6.3340,6.3340,2019-11-18,0.0000,6.3400,6.1700,6.1700,1.0000,152498
6.3200,6.3200,2019-11-15,0.0000,6.3500,6.2800,6.3430,1.0000,55654
6.3100,6.3100,2019-11-14,0.0000,6.3400,6.1600,6.3000,1.0000,67558
6.2700,6.2700,2019-11-13,0.0000,6.3800,6.1400,6.1400,1.0000,58455
6.1800,6.1800,2019-11-12,0.0000,6.2100,6.1730,6.1730,1.0000,99494
6.2400,6.2400,2019-11-11,0.0000,6.3800,6.2200,6.2600,1.0000,112181
6.6100,6.6100,2019-11-08,0.0000,6.7200,6.5350,6.7200,1.0000,45530
6.7700,6.7700,2019-11-07,0.0000,6.8100,6.7200,6.7620,1.0000,42328
6.7800,6.7800,2019-11-06,0.0000,6.8000,6.7400,6.7750,1.0000,33544
6.7730,6.7730,2019-11-05,0.0000,6.8100,6.6900,6.6900,1.0000,30479
6.8600,6.8600,2019-11-04,0.0000,6.8900,6.8200,6.8300,1.0000,49971
6.8400,6.8400,2019-11-01,0.0000,6.9500,6.8130,6.8280,1.0000,39271
6.8100,6.8100,2019-10-31,0.0000,6.9400,6.7100,6.9400,1.0000,84638
6.8700,6.8700,2019-10-30,0.0000,6.8900,6.8100,6.8260,1.0000,46731
6.6600,6.6600,2019-10-29,0.0000,6.6920,6.6200,6.6920,1.0000,38685
