adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0062,0.0062,2018-05-08,0.0000,0.0062,0.0062,0.0062,1.0000,32220
0.0078,0.0078,2018-04-30,0.0000,0.0078,0.0078,0.0078,1.0000,117
0.0062,0.0062,2018-03-13,0.0000,0.0062,0.0062,0.0062,1.0000,12044
0.0062,0.0062,2018-03-09,0.0000,0.0063,0.0062,0.0063,1.0000,100000
0.0063,0.0063,2018-02-28,0.0000,0.0063,0.0063,0.0063,1.0000,3000
0.0078,0.0078,2018-02-02,0.0000,0.0078,0.0078,0.0078,1.0000,8000
0.0094,0.0094,2018-01-29,0.0000,0.0094,0.0053,0.0053,1.0000,18000
0.0094,0.0094,2018-01-24,0.0000,0.0094,0.0079,0.0079,1.0000,30000
0.0065,0.0065,2018-01-22,0.0000,0.0065,0.0065,0.0065,1.0000,1000
0.0050,0.0050,2017-12-18,0.0000,0.0050,0.0050,0.0050,1.0000,250
0.0050,0.0050,2017-12-15,0.0000,0.0050,0.0050,0.0050,1.0000,1550
0.0060,0.0060,2017-12-08,0.0000,0.0060,0.0060,0.0060,1.0000,50000
0.0061,0.0061,2017-12-07,0.0000,0.0061,0.0061,0.0061,1.0000,1000
0.0050,0.0050,2017-12-06,0.0000,0.0050,0.0050,0.0050,1.0000,34000
0.0050,0.0050,2017-12-05,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-12-04,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-12-01,0.0000,0.0050,0.0050,0.0050,1.0000,40000
0.0050,0.0050,2017-11-30,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-29,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-28,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-27,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-24,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-22,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-21,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-20,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-17,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-16,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-15,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-14,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-13,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-10,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-09,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-08,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-07,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-06,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0050,0.0050,2017-11-03,0.0000,0.0050,0.0050,0.0050,1.0000,0
