adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0450,0.0450,2020-05-12,0.0000,0.0650,0.0350,0.0350,1.0000,13892
0.0400,0.0400,2020-05-11,0.0000,0.0650,0.0335,0.0650,1.0000,9282
0.0350,0.0350,2020-05-08,0.0000,0.0370,0.0350,0.0370,1.0000,25942
0.0400,0.0400,2020-05-07,0.0000,0.0699,0.0360,0.0699,1.0000,3982
0.0699,0.0699,2020-05-06,0.0000,0.0700,0.0699,0.0700,1.0000,3080
0.0699,0.0699,2020-05-05,0.0000,0.0700,0.0350,0.0350,1.0000,5924
0.0350,0.0350,2020-05-04,0.0000,0.0499,0.0300,0.0300,1.0000,20723
0.0700,0.0700,2020-05-01,0.0000,0.0700,0.0350,0.0350,1.0000,12890
0.0700,0.0700,2020-04-30,0.0000,0.0700,0.0360,0.0360,1.0000,4739
0.0330,0.0330,2020-04-29,0.0000,0.0700,0.0326,0.0700,1.0000,33890
0.0400,0.0400,2020-04-28,0.0000,0.0400,0.0370,0.0370,1.0000,9535
0.0350,0.0350,2020-04-27,0.0000,0.0500,0.0300,0.0300,1.0000,55006
0.0326,0.0326,2020-04-24,0.0000,0.0400,0.0326,0.0400,1.0000,609
0.0400,0.0400,2020-04-23,0.0000,0.0410,0.0400,0.0410,1.0000,49950
0.0410,0.0410,2020-04-22,0.0000,0.0700,0.0410,0.0700,1.0000,12818
0.0400,0.0400,2020-04-21,0.0000,0.0500,0.0400,0.0500,1.0000,530
0.0400,0.0400,2020-04-20,0.0000,0.0400,0.0400,0.0400,1.0000,4359
0.0400,0.0400,2020-04-17,0.0000,0.0700,0.0400,0.0675,1.0000,27150
0.0700,0.0700,2020-04-16,0.0000,0.0800,0.0400,0.0800,1.0000,34496
0.0720,0.0720,2020-04-15,0.0000,0.0720,0.0375,0.0710,1.0000,15659
0.0400,0.0400,2020-04-14,0.0000,0.0720,0.0400,0.0400,1.0000,8517
0.0400,0.0400,2020-04-13,0.0000,0.0630,0.0325,0.0325,1.0000,54812
0.0310,0.0310,2020-04-09,0.0000,0.0400,0.0300,0.0400,1.0000,139946
0.0400,0.0400,2020-04-08,0.0000,0.0400,0.0400,0.0400,1.0000,2249
0.0599,0.0599,2020-04-07,0.0000,0.0800,0.0400,0.0800,1.0000,20118
0.0720,0.0720,2020-04-06,0.0000,0.0800,0.0300,0.0350,1.0000,57002
0.0300,0.0300,2020-04-03,0.0000,0.0780,0.0200,0.0200,1.0000,8697
0.0300,0.0300,2020-04-02,0.0000,0.0680,0.0210,0.0210,1.0000,34609
0.0300,0.0300,2020-04-01,0.0000,0.0800,0.0300,0.0800,1.0000,1346
0.0300,0.0300,2020-03-31,0.0000,0.0400,0.0300,0.0400,1.0000,1126
0.0300,0.0300,2020-03-30,0.0000,0.0400,0.0210,0.0210,1.0000,10110
0.0380,0.0380,2020-03-27,0.0000,0.0800,0.0300,0.0300,1.0000,6966
0.0400,0.0400,2020-03-26,0.0000,0.0500,0.0400,0.0400,1.0000,18006
0.0400,0.0400,2020-03-25,0.0000,0.0430,0.0380,0.0380,1.0000,2190
0.0380,0.0380,2020-03-24,0.0000,0.0800,0.0350,0.0350,1.0000,14371
0.0380,0.0380,2020-03-23,0.0000,0.0800,0.0350,0.0375,1.0000,8103
0.0800,0.0800,2020-03-20,0.0000,0.0875,0.0300,0.0300,1.0000,25898
0.0400,0.0400,2020-03-19,0.0000,0.0400,0.0350,0.0350,1.0000,2004
0.0400,0.0400,2020-03-18,0.0000,0.0900,0.0145,0.0145,1.0000,46283
0.0400,0.0400,2020-03-17,0.0000,0.0500,0.0350,0.0350,1.0000,9455
0.0350,0.0350,2020-03-16,0.0000,0.1000,0.0350,0.1000,1.0000,26055
0.0740,0.0740,2020-03-13,0.0000,0.0750,0.0400,0.0401,1.0000,9234
0.0310,0.0310,2020-03-12,0.0000,0.0800,0.0290,0.0290,1.0000,11640
0.0800,0.0800,2020-03-11,0.0000,0.0800,0.0400,0.0400,1.0000,1700
0.0400,0.0400,2020-03-10,0.0000,0.1000,0.0270,0.1000,1.0000,10176
0.0890,0.0890,2020-03-09,0.0000,0.0899,0.0200,0.0200,1.0000,42879
0.0500,0.0500,2020-03-06,0.0000,0.0949,0.0300,0.0600,1.0000,19040
0.0500,0.0500,2020-03-05,0.0000,0.0600,0.0270,0.0300,1.0000,57350
0.0550,0.0550,2020-03-04,0.0000,0.0700,0.0220,0.0220,1.0000,120257
0.0300,0.0300,2020-03-03,0.0000,0.0400,0.0200,0.0200,1.0000,58181
0.0300,0.0300,2020-03-02,0.0000,0.0600,0.0220,0.0600,1.0000,109898
0.0300,0.0300,2020-02-28,0.0000,0.0600,0.0202,0.0600,1.0000,137855
0.0600,0.0600,2020-02-27,0.0000,0.0600,0.0300,0.0600,1.0000,66758
0.0100,0.0100,2020-02-26,0.0000,0.0600,0.0100,0.0500,1.0000,921014
0.0500,0.0500,2020-02-25,0.0000,0.0500,0.0500,0.0500,1.0000,657
0.0510,0.0510,2020-02-24,0.0000,0.0510,0.0500,0.0500,1.0000,5844
0.0500,0.0500,2020-02-21,0.0000,0.0600,0.0500,0.0500,1.0000,5290
0.0500,0.0500,2020-02-20,0.0000,0.0501,0.0500,0.0501,1.0000,3003
0.0500,0.0500,2020-02-19,0.0000,0.0600,0.0500,0.0500,1.0000,32291
0.0500,0.0500,2020-02-18,0.0000,0.1000,0.0500,0.0500,1.0000,10010
0.0500,0.0500,2020-02-14,0.0000,0.0500,0.0500,0.0500,1.0000,1460
0.0500,0.0500,2020-02-13,0.0000,0.0600,0.0500,0.0500,1.0000,7651
0.0512,0.0512,2020-02-12,0.0000,0.1000,0.0500,0.0500,1.0000,7930
0.0500,0.0500,2020-02-11,0.0000,0.0500,0.0500,0.0500,1.0000,4050
0.0510,0.0510,2020-02-10,0.0000,0.0510,0.0510,0.0510,1.0000,267
0.0500,0.0500,2020-02-07,0.0000,0.1000,0.0500,0.0500,1.0000,8393
0.0510,0.0510,2020-02-06,0.0000,0.0900,0.0500,0.0500,1.0000,5213
0.0500,0.0500,2020-02-05,0.0000,0.0600,0.0500,0.0500,1.0000,7346
0.0510,0.0510,2020-02-04,0.0000,0.0700,0.0500,0.0600,1.0000,12391
0.0500,0.0500,2020-02-03,0.0000,0.1000,0.0500,0.0500,1.0000,7426
0.0500,0.0500,2020-01-31,0.0000,0.0700,0.0500,0.0700,1.0000,23995
0.0700,0.0700,2020-01-30,0.0000,0.0700,0.0600,0.0600,1.0000,1830
0.0600,0.0600,2020-01-29,0.0000,0.0600,0.0600,0.0600,1.0000,10413
0.0600,0.0600,2020-01-28,0.0000,0.0700,0.0600,0.0600,1.0000,3940
0.0600,0.0600,2020-01-27,0.0000,0.0700,0.0600,0.0600,1.0000,7052
0.0600,0.0600,2020-01-24,0.0000,0.0700,0.0600,0.0600,1.0000,3414
0.0700,0.0700,2020-01-23,0.0000,0.0700,0.0600,0.0700,1.0000,4500
0.0700,0.0700,2020-01-22,0.0000,0.0700,0.0650,0.0650,1.0000,2402
0.0600,0.0600,2020-01-21,0.0000,0.1000,0.0500,0.1000,1.0000,17553
0.0600,0.0600,2020-01-17,0.0000,0.1000,0.0475,0.0475,1.0000,12534
0.0625,0.0625,2020-01-16,0.0000,0.1000,0.0450,0.0750,1.0000,163809
0.0600,0.0600,2020-01-15,0.0000,0.0749,0.0400,0.0425,1.0000,43008
0.0410,0.0410,2020-01-14,0.0000,0.0410,0.0400,0.0400,1.0000,766
0.0400,0.0400,2020-01-13,0.0000,0.0700,0.0400,0.0700,1.0000,8960
0.0407,0.0407,2020-01-10,0.0000,0.0500,0.0400,0.0400,1.0000,17341
0.0425,0.0425,2020-01-09,0.0000,0.0500,0.0400,0.0400,1.0000,12554
0.0405,0.0405,2020-01-08,0.0000,0.0450,0.0400,0.0400,1.0000,46721
0.0500,0.0500,2020-01-07,0.0000,0.0700,0.0500,0.0500,1.0000,22018
0.0500,0.0500,2020-01-06,0.0000,0.0850,0.0450,0.0450,1.0000,15005
0.0450,0.0450,2020-01-03,0.0000,0.0880,0.0450,0.0450,1.0000,10860
0.0460,0.0460,2020-01-02,0.0000,0.0880,0.0400,0.0400,1.0000,14120
0.0625,0.0625,2019-12-31,0.0000,0.0625,0.0400,0.0450,1.0000,61153
0.0600,0.0600,2019-12-30,0.0000,0.0900,0.0400,0.0400,1.0000,208347
0.0430,0.0430,2019-12-27,0.0000,0.0510,0.0405,0.0405,1.0000,27232
0.0450,0.0450,2019-12-26,0.0000,0.0900,0.0405,0.0500,1.0000,68880
0.0510,0.0510,2019-12-24,0.0000,0.0650,0.0450,0.0450,1.0000,7189
0.1000,0.1000,2019-12-23,0.0000,0.1000,0.0405,0.0500,1.0000,55843
0.0600,0.0600,2019-12-20,0.0000,0.1000,0.0500,0.1000,1.0000,80947
0.1000,0.1000,2019-12-19,0.0000,0.1000,0.0500,0.0600,1.0000,23068
0.0500,0.0500,2019-12-18,0.0000,0.0700,0.0500,0.0550,1.0000,56715
0.0550,0.0550,2019-12-17,0.0000,0.1000,0.0500,0.0500,1.0000,64370
0.0600,0.0600,2019-12-16,0.0000,0.0800,0.0500,0.0600,1.0000,145224
0.0800,0.0800,2019-12-13,0.0000,0.1000,0.0600,0.1000,1.0000,9547
0.0600,0.0600,2019-12-12,0.0000,0.0625,0.0600,0.0600,1.0000,19043
