adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.7450,0.7450,2020-05-12,0.0000,0.7900,0.7400,0.7700,1.0000,338095
0.7900,0.7900,2020-05-11,0.0000,0.8000,0.7689,0.7900,1.0000,206961
0.7978,0.7978,2020-05-08,0.0000,0.8200,0.7800,0.8000,1.0000,309174
0.7932,0.7932,2020-05-07,0.0000,0.8000,0.7551,0.7700,1.0000,407657
0.7800,0.7800,2020-05-06,0.0000,0.8000,0.7600,0.8000,1.0000,268701
0.7968,0.7968,2020-05-05,0.0000,0.8000,0.7700,0.7800,1.0000,512734
0.7795,0.7795,2020-05-04,0.0000,0.7967,0.7600,0.7800,1.0000,290279
0.7515,0.7515,2020-05-01,0.0000,0.7724,0.7311,0.7410,1.0000,291792
0.7758,0.7758,2020-04-30,0.0000,0.8000,0.7414,0.8000,1.0000,446883
0.7800,0.7800,2020-04-29,0.0000,0.7800,0.7150,0.7150,1.0000,891738
0.7068,0.7068,2020-04-28,0.0000,0.7120,0.6800,0.6900,1.0000,214638
0.6951,0.6951,2020-04-27,0.0000,0.7100,0.6900,0.7100,1.0000,195715
0.7100,0.7100,2020-04-24,0.0000,0.7200,0.6800,0.6950,1.0000,382353
0.6931,0.6931,2020-04-23,0.0000,0.7220,0.6650,0.6799,1.0000,695305
0.6454,0.6454,2020-04-22,0.0000,0.6489,0.6300,0.6400,1.0000,306177
0.6117,0.6117,2020-04-21,0.0000,0.6400,0.5902,0.6200,1.0000,257293
0.6409,0.6409,2020-04-20,0.0000,0.6496,0.6000,0.6300,1.0000,254279
0.6217,0.6217,2020-04-17,0.0000,0.6495,0.6003,0.6300,1.0000,391964
0.6376,0.6376,2020-04-16,0.0000,0.6593,0.6003,0.6328,1.0000,125931
0.6329,0.6329,2020-04-15,0.0000,0.6616,0.6000,0.6200,1.0000,246768
0.6500,0.6500,2020-04-14,0.0000,0.6949,0.6230,0.6765,1.0000,456701
0.6484,0.6484,2020-04-13,0.0000,0.6500,0.5633,0.5700,1.0000,706525
0.5632,0.5632,2020-04-09,0.0000,0.5697,0.5200,0.5400,1.0000,414708
0.5022,0.5022,2020-04-08,0.0000,0.5100,0.4802,0.4924,1.0000,103552
0.5048,0.5048,2020-04-07,0.0000,0.5367,0.4900,0.5100,1.0000,213208
0.5179,0.5179,2020-04-06,0.0000,0.5200,0.4900,0.5000,1.0000,236306
0.4800,0.4800,2020-04-03,0.0000,0.5100,0.4500,0.5000,1.0000,271774
0.4958,0.4958,2020-04-02,0.0000,0.5100,0.4700,0.4700,1.0000,243761
0.4691,0.4691,2020-04-01,0.0000,0.4850,0.4500,0.4700,1.0000,143556
0.4663,0.4663,2020-03-31,0.0000,0.4799,0.4480,0.4796,1.0000,292304
0.4852,0.4852,2020-03-30,0.0000,0.5090,0.4700,0.5000,1.0000,201422
0.5072,0.5072,2020-03-27,0.0000,0.5400,0.5000,0.5400,1.0000,160355
0.5390,0.5390,2020-03-26,0.0000,0.5800,0.5300,0.5300,1.0000,281997
0.5492,0.5492,2020-03-25,0.0000,0.5500,0.5000,0.5200,1.0000,347694
0.5077,0.5077,2020-03-24,0.0000,0.5458,0.5000,0.5200,1.0000,331760
0.4409,0.4409,2020-03-23,0.0000,0.4800,0.3700,0.4500,1.0000,478751
0.4660,0.4660,2020-03-20,0.0000,0.5200,0.4600,0.5109,1.0000,262398
0.4866,0.4866,2020-03-19,0.0000,0.4898,0.4420,0.4738,1.0000,286617
0.4600,0.4600,2020-03-18,0.0000,0.4990,0.4380,0.4686,1.0000,485506
0.4517,0.4517,2020-03-17,0.0000,0.4880,0.3983,0.4000,1.0000,531670
0.3977,0.3977,2020-03-16,0.0000,0.4000,0.3700,0.4000,1.0000,940222
0.3720,0.3720,2020-03-13,0.0000,0.4676,0.3600,0.4010,1.0000,1212474
0.4304,0.4304,2020-03-12,0.0000,0.5300,0.4000,0.5065,1.0000,756235
0.5700,0.5700,2020-03-11,0.0000,0.6289,0.5600,0.6289,1.0000,293313
0.6350,0.6350,2020-03-10,0.0000,0.6499,0.6050,0.6200,1.0000,480945
0.6070,0.6070,2020-03-09,0.0000,0.6500,0.6051,0.6200,1.0000,444452
0.6565,0.6565,2020-03-06,0.0000,0.6815,0.6006,0.6760,1.0000,563187
0.6847,0.6847,2020-03-05,0.0000,0.6900,0.6750,0.6900,1.0000,161311
0.6875,0.6875,2020-03-04,0.0000,0.6900,0.6800,0.6900,1.0000,175990
0.6751,0.6751,2020-03-03,0.0000,0.7600,0.6679,0.7600,1.0000,581111
0.6662,0.6662,2020-03-02,0.0000,0.7400,0.6500,0.7200,1.0000,330104
0.5800,0.5800,2020-02-28,0.0000,0.6325,0.4601,0.6100,1.0000,1383153
0.6800,0.6800,2020-02-27,0.0000,0.7850,0.6000,0.7850,1.0000,857666
0.7784,0.7784,2020-02-26,0.0000,0.8400,0.7735,0.8190,1.0000,363625
0.8124,0.8124,2020-02-25,0.0000,0.8600,0.7900,0.7900,1.0000,472522
0.7947,0.7947,2020-02-24,0.0000,0.8750,0.7500,0.8700,1.0000,781301
0.8285,0.8285,2020-02-21,0.0000,0.8500,0.7740,0.7980,1.0000,612752
0.7740,0.7740,2020-02-20,0.0000,0.7900,0.7124,0.7250,1.0000,410521
0.7145,0.7145,2020-02-19,0.0000,0.7210,0.7000,0.7100,1.0000,173498
0.6950,0.6950,2020-02-18,0.0000,0.7095,0.6754,0.7000,1.0000,199767
0.6950,0.6950,2020-02-14,0.0000,0.6950,0.6500,0.6500,1.0000,162732
0.6568,0.6568,2020-02-13,0.0000,0.6585,0.6450,0.6465,1.0000,94893
0.6453,0.6453,2020-02-12,0.0000,0.6760,0.6450,0.6630,1.0000,156918
0.6692,0.6692,2020-02-11,0.0000,0.6730,0.6630,0.6700,1.0000,74324
0.6695,0.6695,2020-02-10,0.0000,0.6800,0.6600,0.6600,1.0000,68159
0.6651,0.6651,2020-02-07,0.0000,0.6799,0.6601,0.6750,1.0000,78241
0.6711,0.6711,2020-02-06,0.0000,0.7106,0.6551,0.7000,1.0000,191298
0.6680,0.6680,2020-02-05,0.0000,0.6791,0.6580,0.6580,1.0000,60776
0.6610,0.6610,2020-02-04,0.0000,0.6900,0.6581,0.6900,1.0000,145013
0.6798,0.6798,2020-02-03,0.0000,0.6848,0.6701,0.6848,1.0000,86564
0.6795,0.6795,2020-01-31,0.0000,0.6899,0.6599,0.6599,1.0000,102227
0.6654,0.6654,2020-01-30,0.0000,0.7000,0.6600,0.7000,1.0000,131178
0.6654,0.6654,2020-01-29,0.0000,0.6832,0.6560,0.6600,1.0000,107024
0.6650,0.6650,2020-01-28,0.0000,0.6942,0.6621,0.6776,1.0000,149466
0.6904,0.6904,2020-01-27,0.0000,0.7200,0.6612,0.6800,1.0000,313700
0.6900,0.6900,2020-01-24,0.0000,0.6950,0.6594,0.6594,1.0000,193301
0.6650,0.6650,2020-01-23,0.0000,0.6720,0.6500,0.6500,1.0000,157328
0.6670,0.6670,2020-01-22,0.0000,0.6698,0.6500,0.6698,1.0000,64792
0.6692,0.6692,2020-01-21,0.0000,0.6741,0.6500,0.6500,1.0000,188712
0.6585,0.6585,2020-01-17,0.0000,0.6851,0.6500,0.6700,1.0000,342232
0.6700,0.6700,2020-01-16,0.0000,0.6845,0.6650,0.6700,1.0000,161664
0.6780,0.6780,2020-01-15,0.0000,0.6950,0.6706,0.6950,1.0000,235720
0.6835,0.6835,2020-01-14,0.0000,0.6850,0.6751,0.6800,1.0000,144293
0.6800,0.6800,2020-01-13,0.0000,0.7100,0.6700,0.7100,1.0000,187551
0.7051,0.7051,2020-01-10,0.0000,0.7294,0.7025,0.7029,1.0000,192606
0.7178,0.7178,2020-01-09,0.0000,0.7700,0.7178,0.7700,1.0000,116130
0.7150,0.7150,2020-01-08,0.0000,0.7870,0.7010,0.7626,1.0000,338789
0.7872,0.7872,2020-01-07,0.0000,0.8200,0.7811,0.8000,1.0000,251077
0.7850,0.7850,2020-01-06,0.0000,0.8000,0.7450,0.7600,1.0000,477528
0.7310,0.7310,2020-01-03,0.0000,0.7699,0.7205,0.7610,1.0000,254184
0.7491,0.7491,2020-01-02,0.0000,0.7500,0.7301,0.7500,1.0000,134849
0.7250,0.7250,2019-12-31,0.0000,0.7495,0.7162,0.7209,1.0000,156636
0.7153,0.7153,2019-12-30,0.0000,0.7600,0.7060,0.7300,1.0000,256430
0.7200,0.7200,2019-12-27,0.0000,0.7600,0.7200,0.7550,1.0000,290794
0.7645,0.7645,2019-12-26,0.0000,0.7820,0.7200,0.7230,1.0000,429169
0.7099,0.7099,2019-12-24,0.0000,0.7100,0.6550,0.6550,1.0000,262468
0.6500,0.6500,2019-12-23,0.0000,0.6800,0.6500,0.6600,1.0000,364670
0.6599,0.6599,2019-12-20,0.0000,0.7000,0.6597,0.7000,1.0000,272982
0.6616,0.6616,2019-12-19,0.0000,0.6999,0.6511,0.6901,1.0000,268025
0.6997,0.6997,2019-12-18,0.0000,0.7199,0.6901,0.6999,1.0000,81312
0.6920,0.6920,2019-12-17,0.0000,0.7400,0.6900,0.7252,1.0000,348772
0.7309,0.7309,2019-12-16,0.0000,0.7625,0.7250,0.7500,1.0000,224987
