adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
24.7500,24.7500,2020-05-08,0.0000,24.7500,24.7500,24.7500,1.0000,33
24.7500,24.7500,2020-04-29,0.0000,24.7500,24.7500,24.7500,1.0000,6
24.7500,24.7500,2020-04-27,0.0000,24.7500,24.7500,24.7500,1.0000,474
24.3000,24.3000,2020-04-22,0.0000,24.3000,24.3000,24.3000,1.0000,112
24.3000,24.3000,2020-04-21,0.0000,24.3000,24.3000,24.3000,1.0000,185
24.1500,24.1500,2020-04-20,0.0000,24.1500,24.1500,24.1500,1.0000,97
24.1500,24.1500,2020-04-15,0.0000,24.1500,24.1500,24.1500,1.0000,37
24.1500,24.1500,2020-04-01,0.0000,24.1500,24.1500,24.1500,1.0000,3
24.1500,24.1500,2020-03-27,0.0000,24.1500,24.1500,24.1500,1.0000,2
24.1500,24.1500,2020-03-26,0.0000,24.1500,24.1500,24.1500,1.0000,144
21.8200,21.8200,2020-03-25,0.0000,21.8200,21.8200,21.8200,1.0000,69
21.8200,21.8200,2020-03-24,0.0000,21.8200,21.8200,21.8200,1.0000,83
21.8200,21.8200,2020-03-23,0.0000,21.8200,21.8200,21.8200,1.0000,206
22.9600,22.9600,2020-03-20,0.0000,22.9600,22.9600,22.9600,1.0000,37
22.9600,22.9600,2020-03-19,0.0000,22.9600,22.9600,22.9600,1.0000,1000
25.4000,25.4000,2020-03-18,0.0000,25.4000,25.4000,25.4000,1.0000,49
25.4000,25.4000,2020-03-17,0.0000,25.4000,25.4000,25.4000,1.0000,42
25.4000,25.4000,2020-03-16,0.0000,25.4000,25.4000,25.4000,1.0000,36
25.4000,25.4000,2020-03-12,0.0000,25.4000,25.4000,25.4000,1.0000,8
25.4000,25.4000,2020-03-11,0.0000,25.4000,25.4000,25.4000,1.0000,206
27.1000,27.1000,2020-03-09,0.0000,27.1000,27.1000,27.1000,1.0000,43
27.1000,27.1000,2020-03-06,0.0000,27.1000,27.1000,27.1000,1.0000,7
27.1000,27.1000,2020-03-04,0.0000,27.1000,27.1000,27.1000,1.0000,64
27.1000,27.1000,2020-03-03,0.0000,27.1000,27.1000,27.1000,1.0000,100
26.0900,26.0900,2020-03-02,0.0000,27.8000,26.0900,27.8000,1.0000,477
28.3500,28.3500,2020-02-28,0.0000,28.3500,28.3500,28.3500,1.0000,10
28.3500,28.3500,2020-02-26,0.0000,28.3500,28.3500,28.3500,1.0000,180
29.2500,29.2500,2020-02-25,0.0000,29.2500,29.2500,29.2500,1.0000,127
29.2500,29.2500,2020-02-24,0.0000,29.2500,29.2500,29.2500,1.0000,12
29.2500,29.2500,2020-02-21,0.0000,29.4015,29.2500,29.4015,1.0000,2393
30.1500,30.1500,2020-02-14,0.0000,30.1500,30.1500,30.1500,1.0000,182
30.1000,30.1000,2020-02-12,0.0000,30.1000,30.1000,30.1000,1.0000,28
30.1000,30.1000,2020-02-11,0.0000,30.1000,30.1000,30.1000,1.0000,12
30.1000,30.1000,2020-02-07,0.0000,30.1000,30.1000,30.1000,1.0000,35
30.1000,30.1000,2020-02-06,0.0000,30.1000,30.1000,30.1000,1.0000,391
30.5951,30.5951,2020-01-31,0.0000,30.5951,30.5951,30.5951,1.0000,11
30.5951,30.5951,2020-01-30,0.5998,30.5951,30.5951,30.5951,1.0000,13
30.6001,31.2000,2020-01-27,0.0000,31.2000,31.2000,31.2000,1.0000,15
30.6001,31.2000,2020-01-24,0.0000,31.2000,31.2000,31.2000,1.0000,7
30.6001,31.2000,2020-01-23,0.0000,31.2000,31.2000,31.2000,1.0000,137
31.7770,32.4000,2020-01-21,0.0000,32.4000,32.4000,32.4000,1.0000,26
31.7770,32.4000,2020-01-14,0.0000,32.4000,32.4000,32.4000,1.0000,3
31.7770,32.4000,2020-01-10,0.0000,32.4000,32.4000,32.4000,1.0000,227
31.7770,32.4000,2020-01-09,0.0000,32.4000,32.4000,32.4000,1.0000,674
32.9049,33.5500,2020-01-07,0.0000,33.5500,33.5500,33.5500,1.0000,7
32.9049,33.5500,2020-01-06,0.0000,33.5500,33.5500,33.5500,1.0000,86
32.9049,33.5500,2020-01-02,0.0000,33.5500,33.5500,33.5500,1.0000,65
32.9049,33.5500,2019-12-18,0.0000,33.5500,33.5500,33.5500,1.0000,14
32.9049,33.5500,2019-12-16,0.0000,33.5500,33.5500,33.5500,1.0000,511
32.0712,32.7000,2019-12-13,0.0000,32.7000,32.7000,32.7000,1.0000,119
29.8155,30.4000,2019-12-10,0.0000,30.4000,30.4000,30.4000,1.0000,33
29.8155,30.4000,2019-12-09,0.0000,30.4000,30.4000,30.4000,1.0000,39
29.8155,30.4000,2019-12-06,0.0000,30.4000,30.4000,30.4000,1.0000,110
29.8155,30.4000,2019-12-03,0.0000,30.4000,30.4000,30.4000,1.0000,33
29.8155,30.4000,2019-11-26,0.0000,30.4000,30.4000,30.4000,1.0000,92
29.8155,30.4000,2019-11-25,0.0000,30.4000,30.4000,30.4000,1.0000,5
29.8155,30.4000,2019-11-22,0.0000,30.4000,30.4000,30.4000,1.0000,12
29.8155,30.4000,2019-11-21,0.0000,30.4000,30.4000,30.4000,1.0000,26
29.8155,30.4000,2019-11-18,0.0000,30.4000,30.4000,30.4000,1.0000,186
28.9818,29.5500,2019-11-12,0.0000,29.5500,29.5500,29.5500,1.0000,14
28.9818,29.5500,2019-11-05,0.0000,29.5500,29.5500,29.5500,1.0000,126
