adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
4.7400,4.7400,2020-05-12,0.0000,4.9755,4.6100,4.9300,1.0000,153470
4.9100,4.9100,2020-05-11,0.0000,5.0000,4.7600,4.8700,1.0000,104949
4.8900,4.8900,2020-05-08,0.0000,5.1200,4.8100,5.0000,1.0000,110781
4.9500,4.9500,2020-05-07,0.0000,5.0100,4.7700,4.7900,1.0000,75937
4.7700,4.7700,2020-05-06,0.0000,5.0900,4.7200,4.9300,1.0000,103040
4.8000,4.8000,2020-05-05,0.0000,5.0000,4.5700,4.7000,1.0000,204237
4.7000,4.7000,2020-05-04,0.0000,4.9270,4.4124,4.4400,1.0000,104127
4.5300,4.5300,2020-05-01,0.0000,4.7513,4.4000,4.6700,1.0000,153160
4.8500,4.8500,2020-04-30,0.0000,5.3000,4.7500,5.1000,1.0000,188753
5.0900,5.0900,2020-04-29,0.0000,5.3400,4.8100,4.8600,1.0000,231788
4.8100,4.8100,2020-04-28,0.0000,4.9300,4.6200,4.9300,1.0000,83661
4.8000,4.8000,2020-04-27,0.0000,4.9500,4.6700,4.7500,1.0000,133887
4.7100,4.7100,2020-04-24,0.0000,4.7500,4.5600,4.6000,1.0000,51723
4.6000,4.6000,2020-04-23,0.0000,4.7400,4.5112,4.5400,1.0000,68327
4.5000,4.5000,2020-04-22,0.0000,4.6400,4.3000,4.5600,1.0000,93436
4.5400,4.5400,2020-04-21,0.0000,4.7135,4.5200,4.6900,1.0000,130047
4.6700,4.6700,2020-04-20,0.0000,4.7200,4.1500,4.2000,1.0000,203516
4.2200,4.2200,2020-04-17,0.0000,4.3250,4.0600,4.2200,1.0000,89701
4.1200,4.1200,2020-04-16,0.0000,4.1900,3.9500,4.1600,1.0000,136931
4.1300,4.1300,2020-04-15,0.0000,4.2500,4.0100,4.1800,1.0000,108090
4.2400,4.2400,2020-04-14,0.0000,4.3900,4.1500,4.3900,1.0000,104579
4.3100,4.3100,2020-04-13,0.0000,4.4000,4.0900,4.3500,1.0000,109991
4.3600,4.3600,2020-04-09,0.0000,4.4000,4.1000,4.1900,1.0000,220144
4.0700,4.0700,2020-04-08,0.0000,4.1500,3.9000,3.9600,1.0000,101607
3.9600,3.9600,2020-04-07,0.0000,4.2500,3.9000,4.2400,1.0000,147320
4.1000,4.1000,2020-04-06,0.0000,4.2400,3.9500,4.1000,1.0000,74988
3.9400,3.9400,2020-04-03,0.0000,4.1000,3.8000,3.9700,1.0000,82634
3.9800,3.9800,2020-04-02,0.0000,4.1900,3.8000,3.9100,1.0000,142935
4.0000,4.0000,2020-04-01,0.0000,4.2510,3.9300,4.1400,1.0000,145110
4.2600,4.2600,2020-03-31,0.0000,4.4400,4.1000,4.2100,1.0000,94127
4.2400,4.2400,2020-03-30,0.0000,4.2500,4.0200,4.1700,1.0000,172340
4.1800,4.1800,2020-03-27,0.0000,4.3000,4.0000,4.2000,1.0000,102627
4.2500,4.2500,2020-03-26,0.0000,4.5000,4.1800,4.3100,1.0000,246714
4.2200,4.2200,2020-03-25,0.0000,4.4500,4.0000,4.2500,1.0000,234899
4.1000,4.1000,2020-03-24,0.0000,4.1900,3.5000,3.5000,1.0000,393060
3.3600,3.3600,2020-03-23,0.0000,3.6224,3.2500,3.5800,1.0000,242251
3.5800,3.5800,2020-03-20,0.0000,3.9900,3.5500,3.7600,1.0000,218997
3.6400,3.6400,2020-03-19,0.0000,3.8316,3.3500,3.5000,1.0000,262987
3.5400,3.5400,2020-03-18,0.0000,4.0000,3.5000,3.8800,1.0000,255489
4.1400,4.1400,2020-03-17,0.0000,4.2500,3.6500,3.8900,1.0000,283446
3.8800,3.8800,2020-03-16,0.0000,4.6750,3.8000,4.3600,1.0000,374695
4.7500,4.7500,2020-03-13,0.0000,5.2500,4.7500,4.8500,1.0000,278904
4.7500,4.7500,2020-03-12,0.0000,4.8800,3.9947,4.8800,1.0000,623146
5.0600,5.0600,2020-03-11,0.0000,5.5000,4.9100,5.4400,1.0000,378957
5.7600,5.7600,2020-03-10,0.0000,6.0000,5.3500,5.8800,1.0000,359345
5.6700,5.6700,2020-03-09,0.0000,6.0000,5.5500,5.7000,1.0000,313697
6.1800,6.1800,2020-03-06,0.0000,6.2800,5.9900,6.1500,1.0000,201963
6.2800,6.2800,2020-03-05,0.0000,6.4400,6.1400,6.2700,1.0000,164113
6.4400,6.4400,2020-03-04,0.0000,6.5400,6.2200,6.2900,1.0000,131430
6.2400,6.2400,2020-03-03,0.0000,6.5800,6.1100,6.3700,1.0000,163743
6.3200,6.3200,2020-03-02,0.0000,6.5000,5.9900,5.9900,1.0000,227557
5.8800,5.8800,2020-02-28,0.0000,6.0650,5.6500,6.0000,1.0000,405696
6.2900,6.2900,2020-02-27,0.0000,6.2900,5.6500,5.9500,1.0000,340585
6.2900,6.2900,2020-02-26,0.0000,6.4000,6.0100,6.0500,1.0000,416124
5.9500,5.9500,2020-02-25,0.0000,6.9499,5.5700,6.8500,1.0000,728282
6.8600,6.8600,2020-02-24,0.0000,7.3500,6.7650,7.2100,1.0000,450628
7.5900,7.5900,2020-02-21,0.0000,7.5945,7.1600,7.5100,1.0000,337728
7.5000,7.5000,2020-02-20,0.0000,7.6600,7.1200,7.5000,1.0000,472425
7.4800,7.4800,2020-02-19,0.0000,7.6700,6.9376,6.9900,1.0000,574447
6.9200,6.9200,2020-02-18,0.0000,6.9702,6.6100,6.7500,1.0000,160011
6.7500,6.7500,2020-02-14,0.0000,7.0500,6.7200,6.9700,1.0000,194797
6.9500,6.9500,2020-02-13,0.0000,7.0800,6.8000,6.9300,1.0000,207104
6.9100,6.9100,2020-02-12,0.0000,6.9900,6.7701,6.8900,1.0000,116588
6.8000,6.8000,2020-02-11,0.0000,7.0900,6.7800,7.0900,1.0000,195890
7.0800,7.0800,2020-02-10,0.0000,7.1900,6.8537,6.9300,1.0000,354551
6.9300,6.9300,2020-02-07,0.0000,6.9500,6.5800,6.8000,1.0000,207053
6.7800,6.7800,2020-02-06,0.0000,6.9500,6.6100,6.6100,1.0000,176429
6.5800,6.5800,2020-02-05,0.0000,6.7500,6.3500,6.4300,1.0000,193761
6.4300,6.4300,2020-02-04,0.0000,6.6901,6.2000,6.6300,1.0000,318499
6.5200,6.5200,2020-02-03,0.0000,6.9343,6.5000,6.9000,1.0000,293258
6.6700,6.6700,2020-01-31,0.0000,7.0400,6.5800,6.9600,1.0000,352220
7.0000,7.0000,2020-01-30,0.0000,7.1500,6.9000,7.0400,1.0000,154851
7.0900,7.0900,2020-01-29,0.0000,7.2400,6.8000,7.2400,1.0000,444241
7.0000,7.0000,2020-01-28,0.0000,7.2200,6.8000,6.8900,1.0000,405928
6.8000,6.8000,2020-01-27,0.0000,7.1500,6.7000,6.9900,1.0000,467241
7.1000,7.1000,2020-01-24,0.0000,7.2500,6.9000,7.0500,1.0000,508530
6.9950,6.9950,2020-01-23,0.0000,7.3000,6.6500,7.2900,1.0000,668993
7.2700,7.2700,2020-01-22,0.0000,7.8700,7.1400,7.2400,1.0000,1598736
7.0500,7.0500,2020-01-21,0.0000,7.2000,6.5000,7.0000,1.0000,1762526
5.9900,5.9900,2020-01-17,0.0000,6.0400,5.6624,5.8300,1.0000,135762
5.7900,5.7900,2020-01-16,0.0000,5.8800,5.6300,5.7300,1.0000,94207
5.7100,5.7100,2020-01-15,0.0000,5.7500,5.5300,5.5300,1.0000,120724
5.5700,5.5700,2020-01-14,0.0000,5.7700,5.2800,5.7600,1.0000,263309
5.8200,5.8200,2020-01-13,0.0000,6.0100,5.6954,6.0000,1.0000,152647
5.9000,5.9000,2020-01-10,0.0000,6.1000,5.7600,6.0800,1.0000,97578
6.0500,6.0500,2020-01-09,0.0000,6.1800,5.6500,5.7200,1.0000,204714
5.6800,5.6800,2020-01-08,0.0000,5.9700,5.6000,5.9000,1.0000,206934
5.8900,5.8900,2020-01-07,0.0000,6.1000,5.7600,6.0000,1.0000,245865
5.7750,5.7750,2020-01-06,0.0000,6.2400,5.7000,6.0900,1.0000,335289
6.2600,6.2600,2020-01-03,0.0000,6.4200,6.1200,6.2800,1.0000,171228
6.3600,6.3600,2020-01-02,0.0000,6.5000,6.1501,6.4000,1.0000,202246
6.3900,6.3900,2019-12-31,0.0000,6.5000,6.2950,6.4800,1.0000,137144
6.4700,6.4700,2019-12-30,0.0000,6.5900,6.1200,6.5200,1.0000,237024
6.4000,6.4000,2019-12-27,0.0000,6.8000,6.3700,6.7900,1.0000,232218
6.7600,6.7600,2019-12-26,0.0000,6.8900,6.6300,6.7600,1.0000,210733
6.7600,6.7600,2019-12-24,0.0000,6.7600,6.5200,6.6700,1.0000,150304
6.7000,6.7000,2019-12-23,0.0000,6.7500,6.5058,6.7500,1.0000,285013
6.4900,6.4900,2019-12-20,0.0000,6.7500,6.2600,6.3400,1.0000,284439
6.3800,6.3800,2019-12-19,0.0000,6.5700,6.2100,6.4600,1.0000,221324
6.4600,6.4600,2019-12-18,0.0000,6.7400,6.1300,6.7400,1.0000,271237
6.2900,6.2900,2019-12-17,0.0000,6.5300,5.8000,6.5300,1.0000,371607
6.5300,6.5300,2019-12-16,0.0000,6.7600,6.3000,6.7600,1.0000,338418
6.6000,6.6000,2019-12-13,0.0000,6.8900,6.2239,6.4000,1.0000,507362
6.1000,6.1000,2019-12-12,0.0000,6.5500,5.8100,6.5500,1.0000,575548
6.4900,6.4900,2019-12-11,0.0000,6.9800,6.1300,6.8000,1.0000,1063721
6.4000,6.4000,2019-12-10,0.0000,6.6000,5.9100,6.0000,1.0000,886641
5.8900,5.8900,2019-12-09,0.0000,6.0400,5.8000,6.0400,1.0000,383211
5.7000,5.7000,2019-12-06,0.0000,6.0799,5.5600,5.8900,1.0000,441391
5.7300,5.7300,2019-12-05,0.0000,5.8500,5.3600,5.4800,1.0000,533043
5.3000,5.3000,2019-12-04,0.0000,6.0000,5.1400,5.3000,1.0000,933083
5.0500,5.0500,2019-12-03,0.0000,5.2000,4.2500,4.3000,1.0000,600463
4.3100,4.3100,2019-12-02,0.0000,4.6100,4.2700,4.6100,1.0000,113825
4.5700,4.5700,2019-11-29,0.0000,4.6900,4.5100,4.6700,1.0000,45800
4.6300,4.6300,2019-11-27,0.0000,4.9000,4.5100,4.9000,1.0000,92380
4.7900,4.7900,2019-11-26,0.0000,4.9800,4.4400,4.9500,1.0000,271027
4.8350,4.8350,2019-11-25,0.0000,4.8500,4.4000,4.4900,1.0000,240504
4.4100,4.4100,2019-11-22,0.0000,4.5232,4.2600,4.3000,1.0000,208910
4.2200,4.2200,2019-11-21,0.0000,4.3311,4.1700,4.2000,1.0000,111003
4.1500,4.1500,2019-11-20,0.0000,4.2700,3.8100,3.8100,1.0000,194628
3.8100,3.8100,2019-11-19,0.0000,4.1000,3.6700,4.0000,1.0000,180204
3.9900,3.9900,2019-11-18,0.0000,4.4436,3.9300,4.4000,1.0000,159335
4.3500,4.3500,2019-11-15,0.0000,4.7000,4.3200,4.3800,1.0000,275282
4.3100,4.3100,2019-11-14,0.0000,4.4100,3.8500,3.8500,1.0000,259748
3.8500,3.8500,2019-11-13,0.0000,3.9400,3.7900,3.7900,1.0000,89622
3.7800,3.7800,2019-11-12,0.0000,3.9000,3.5100,3.5600,1.0000,255900
3.5600,3.5600,2019-11-11,0.0000,3.5900,3.3300,3.5900,1.0000,168735
3.6000,3.6000,2019-11-08,0.0000,3.7000,3.4000,3.4200,1.0000,309228
3.3900,3.3900,2019-11-07,0.0000,3.3900,3.1900,3.1900,1.0000,80605
3.2200,3.2200,2019-11-06,0.0000,3.4100,3.0700,3.4100,1.0000,156070
3.4200,3.4200,2019-11-05,0.0000,3.6000,3.3500,3.4900,1.0000,89252
3.5000,3.5000,2019-11-04,0.0000,3.6769,3.4500,3.5800,1.0000,90775
3.5200,3.5200,2019-11-01,0.0000,3.9000,3.5100,3.9000,1.0000,139671
3.9300,3.9300,2019-10-31,0.0000,4.0400,3.5955,3.7000,1.0000,122106
3.6900,3.6900,2019-10-30,0.0000,3.7200,3.4700,3.6900,1.0000,92140
3.7000,3.7000,2019-10-29,0.0000,3.7300,3.4000,3.4600,1.0000,91948
3.4600,3.4600,2019-10-28,0.0000,3.5300,3.4400,3.4500,1.0000,46469
3.4400,3.4400,2019-10-25,0.0000,3.5400,3.4200,3.5100,1.0000,36298
3.5250,3.5250,2019-10-24,0.0000,3.6150,3.5000,3.6000,1.0000,32782
3.5600,3.5600,2019-10-23,0.0000,3.6628,3.5000,3.6600,1.0000,60028
3.6000,3.6000,2019-10-22,0.0000,3.7600,3.5700,3.7600,1.0000,59823
3.7500,3.7500,2019-10-21,0.0000,3.7500,3.6000,3.6700,1.0000,43515
3.5900,3.5900,2019-10-18,0.0000,3.6000,3.4000,3.4500,1.0000,67303
3.4500,3.4500,2019-10-17,0.0000,3.6300,3.2900,3.5500,1.0000,131492
3.5200,3.5200,2019-10-16,0.0000,4.0000,3.4900,4.0000,1.0000,124409
3.8700,3.8700,2019-10-15,0.0000,4.0673,3.6100,3.6100,1.0000,111415
3.4700,3.4700,2019-10-14,0.0000,3.5200,3.4100,3.4700,1.0000,76284
3.3900,3.3900,2019-10-11,0.0000,3.6400,3.3600,3.6000,1.0000,124120
3.6100,3.6100,2019-10-10,0.0000,3.7000,3.5000,3.6800,1.0000,55667
3.6700,3.6700,2019-10-09,0.0000,3.7500,3.6200,3.7100,1.0000,33827
3.6600,3.6600,2019-10-08,0.0000,3.7736,3.6500,3.7600,1.0000,47581
3.7600,3.7600,2019-10-07,0.0000,4.0100,3.7500,4.0100,1.0000,115428
4.0100,4.0100,2019-10-04,0.0000,4.0300,3.8600,3.9600,1.0000,45306
3.9500,3.9500,2019-10-03,0.0000,3.9900,3.8500,3.9600,1.0000,46867
3.9000,3.9000,2019-10-02,0.0000,3.9499,3.8500,3.9300,1.0000,39801
3.9400,3.9400,2019-10-01,0.0000,4.1300,3.9000,4.0900,1.0000,47754
4.0800,4.0800,2019-09-30,0.0000,4.1000,3.8700,3.9900,1.0000,76451
3.9800,3.9800,2019-09-27,0.0000,4.1000,3.9700,4.0800,1.0000,65622
4.0500,4.0500,2019-09-26,0.0000,4.1700,4.0500,4.1700,1.0000,79678
4.1700,4.1700,2019-09-25,0.0000,4.2500,4.1000,4.1700,1.0000,37539
4.1900,4.1900,2019-09-24,0.0000,4.3000,4.1000,4.3000,1.0000,43522
4.2900,4.2900,2019-09-23,0.0000,4.3000,4.1300,4.2400,1.0000,58174
4.2400,4.2400,2019-09-20,0.0000,4.4500,4.0900,4.3500,1.0000,134383
4.3400,4.3400,2019-09-19,0.0000,4.4200,4.2500,4.3400,1.0000,113936
4.3300,4.3300,2019-09-18,0.0000,4.4500,4.1600,4.2700,1.0000,104827
4.2600,4.2600,2019-09-17,0.0000,4.2990,4.1500,4.1900,1.0000,62978
4.1600,4.1600,2019-09-16,0.0000,4.3000,4.1000,4.1200,1.0000,49396
4.1500,4.1500,2019-09-13,0.0000,4.3100,4.1200,4.3100,1.0000,74146
4.2900,4.2900,2019-09-12,0.0000,4.4500,4.1500,4.4400,1.0000,40472
4.4200,4.4200,2019-09-11,0.0000,4.5800,4.0200,4.1800,1.0000,84778
4.1700,4.1700,2019-09-10,0.0000,4.1900,4.0523,4.0800,1.0000,29709
4.1000,4.1000,2019-09-09,0.0000,4.4600,4.1000,4.3600,1.0000,70643
4.3400,4.3400,2019-09-06,0.0000,4.5773,4.2500,4.3000,1.0000,142520
4.2500,4.2500,2019-09-05,0.0000,4.3900,4.0200,4.0400,1.0000,318574
3.9900,3.9900,2019-09-04,0.0000,4.2100,3.8600,4.0100,1.0000,81738
4.0100,4.0100,2019-09-03,0.0000,4.1800,3.9000,4.1500,1.0000,112895
4.1500,4.1500,2019-08-30,0.0000,4.2000,3.7200,3.9000,1.0000,123138
4.0000,4.0000,2019-08-29,0.0000,4.0100,3.6800,3.7300,1.0000,153542
3.8300,3.8300,2019-08-28,0.0000,3.9200,3.7700,3.8200,1.0000,136269
3.8700,3.8700,2019-08-27,0.0000,4.1339,3.8100,4.1200,1.0000,154996
4.0900,4.0900,2019-08-26,0.0000,4.2000,3.9700,4.2000,1.0000,68818
4.1400,4.1400,2019-08-23,0.0000,4.3000,4.0900,4.2200,1.0000,66760
4.2200,4.2200,2019-08-22,0.0000,4.5177,4.1700,4.4600,1.0000,38968
4.4500,4.4500,2019-08-21,0.0000,4.6700,4.3000,4.4600,1.0000,212282
4.3800,4.3800,2019-08-20,0.0000,4.4990,4.2600,4.4400,1.0000,58623
4.4400,4.4400,2019-08-19,0.0000,4.8600,4.2850,4.2900,1.0000,184365
4.2300,4.2300,2019-08-16,0.0000,4.3447,4.1000,4.2100,1.0000,57813
4.1850,4.1850,2019-08-15,0.0000,4.3400,4.1200,4.3400,1.0000,68983
4.3600,4.3600,2019-08-14,0.0000,4.4600,4.2500,4.4600,1.0000,96666
4.5000,4.5000,2019-08-13,0.0000,4.6100,4.4500,4.4800,1.0000,79797
4.4500,4.4500,2019-08-12,0.0000,4.6700,4.4200,4.5000,1.0000,181945
4.4800,4.4800,2019-08-09,0.0000,4.6500,4.2500,4.2600,1.0000,158699
4.2650,4.2650,2019-08-08,0.0000,4.2800,4.0000,4.0300,1.0000,108017
4.0400,4.0400,2019-08-07,0.0000,4.2400,3.9700,4.1400,1.0000,92614
4.1200,4.1200,2019-08-06,0.0000,4.3300,3.9100,4.3300,1.0000,197137
