adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
36.7930,36.7930,2020-05-12,0.0000,36.7930,36.7930,36.7930,1.0000,0
36.7930,36.7930,2020-05-11,0.0000,36.7930,36.7930,36.7930,1.0000,0
36.7930,36.7930,2020-05-08,0.0000,36.7930,36.7930,36.7930,1.0000,0
34.4339,34.4339,2020-05-07,0.0000,34.4339,34.4339,34.4339,1.0000,213
34.4339,34.4339,2020-05-06,0.0000,34.4339,34.4339,34.4339,1.0000,969
36.7930,36.7930,2020-05-05,0.0000,36.7930,36.7930,36.7930,1.0000,0
36.7930,36.7930,2020-05-04,0.0000,36.7930,36.7930,36.7930,1.0000,0
34.5360,34.5360,2020-05-01,0.0000,34.5360,34.5360,34.5360,1.0000,38
34.5360,34.5360,2020-04-30,0.0000,34.5360,34.5360,34.5360,1.0000,400
34.5360,34.5360,2020-04-29,0.0000,34.5360,34.5360,34.5360,1.0000,0
36.7929,36.7929,2020-04-28,0.0000,36.7929,36.7929,36.7929,1.0000,4078
34.5360,34.5360,2020-04-27,0.0000,34.5360,34.5360,34.5360,1.0000,50
34.5360,34.5360,2020-04-24,0.0000,34.5360,34.5360,34.5360,1.0000,105
34.5360,34.5360,2020-04-23,0.0000,34.5360,34.5360,34.5360,1.0000,550
34.0000,34.0000,2020-04-22,0.0000,34.0000,34.0000,34.0000,1.0000,1105
33.1530,33.1530,2020-04-21,0.0000,33.1530,33.1530,33.1530,1.0000,0
33.1530,33.1530,2020-04-20,0.0000,33.1530,33.1530,33.1530,1.0000,0
33.1530,33.1530,2020-04-17,0.0000,33.1530,33.1530,33.1530,1.0000,0
33.1530,33.1530,2020-04-16,0.0000,33.1530,33.1530,33.1530,1.0000,0
33.1533,33.1533,2020-04-15,0.0000,33.1533,33.1533,33.1533,1.0000,5911
34.7416,34.7416,2020-04-14,0.0000,34.7416,34.7416,34.7416,1.0000,271
37.0000,37.0000,2020-04-13,0.0000,37.0000,37.0000,37.0000,1.0000,0
37.0000,37.0000,2020-04-09,0.0000,37.0000,36.9100,36.9100,1.0000,97256
35.1800,35.1800,2020-04-08,0.0000,35.1800,35.1800,35.1800,1.0000,2405
31.1258,31.1258,2020-04-07,0.0000,33.7024,31.1258,33.7024,1.0000,106560
32.0179,32.0179,2020-04-06,0.0000,32.0179,32.0179,32.0179,1.0000,3060
30.3693,30.3693,2020-04-03,0.0000,30.8000,30.3693,30.8000,1.0000,293
