adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
2.6900,2.6900,2020-05-12,0.0000,2.7700,2.5500,2.7200,1.0000,238643
2.6600,2.6600,2020-05-11,0.0000,2.7500,2.5338,2.5700,1.0000,399779
2.5600,2.5600,2020-05-08,0.0000,2.6500,2.3301,2.3900,1.0000,260756
2.3800,2.3800,2020-05-07,0.0000,2.4900,2.3400,2.4900,1.0000,127112
2.4700,2.4700,2020-05-06,0.0000,2.4900,2.1801,2.2600,1.0000,299227
2.2500,2.2500,2020-05-05,0.0000,2.3400,2.0900,2.1000,1.0000,192838
2.0700,2.0700,2020-05-04,0.0000,2.1300,1.8700,1.8700,1.0000,188329
1.8700,1.8700,2020-05-01,0.0000,2.1000,1.8500,2.1000,1.0000,149200
2.1100,2.1100,2020-04-30,0.0000,2.2300,2.0200,2.1900,1.0000,135367
2.1700,2.1700,2020-04-29,0.0000,2.2300,2.1700,2.2000,1.0000,130725
2.2000,2.2000,2020-04-28,0.0000,2.2400,2.1200,2.2000,1.0000,113287
2.1600,2.1600,2020-04-27,0.0000,2.2900,2.0500,2.1900,1.0000,194318
2.1800,2.1800,2020-04-24,0.0000,2.3900,2.1800,2.2300,1.0000,255550
2.2000,2.2000,2020-04-23,0.0000,2.2400,2.1377,2.1500,1.0000,83160
2.1500,2.1500,2020-04-22,0.0000,2.2500,2.1300,2.2100,1.0000,159421
2.1700,2.1700,2020-04-21,0.0000,2.2200,1.9400,1.9500,1.0000,283531
1.9800,1.9800,2020-04-20,0.0000,2.0500,1.9100,2.0500,1.0000,88324
2.0500,2.0500,2020-04-17,0.0000,2.0800,1.9700,2.0000,1.0000,99045
1.9500,1.9500,2020-04-16,0.0000,2.0000,1.9101,1.9400,1.0000,85583
1.9100,1.9100,2020-04-15,0.0000,1.9900,1.8713,1.9000,1.0000,51852
1.9400,1.9400,2020-04-14,0.0000,2.0800,1.8501,2.0300,1.0000,96141
1.9900,1.9900,2020-04-13,0.0000,2.0500,1.7600,1.9300,1.0000,174461
1.9500,1.9500,2020-04-09,0.0000,2.0000,1.7000,1.9000,1.0000,313679
1.8300,1.8300,2020-04-08,0.0000,1.8300,1.6400,1.6500,1.0000,146620
1.6100,1.6100,2020-04-07,0.0000,1.6600,1.4200,1.5000,1.0000,202401
1.4100,1.4100,2020-04-06,0.0000,1.4900,1.3500,1.3800,1.0000,153119
1.3600,1.3600,2020-04-03,0.0000,1.4100,1.3000,1.3100,1.0000,116308
1.3500,1.3500,2020-04-02,0.0000,1.4600,1.3300,1.4000,1.0000,103360
1.4100,1.4100,2020-04-01,0.0000,1.4700,1.3300,1.4300,1.0000,200408
1.4800,1.4800,2020-03-31,0.0000,1.5000,1.3800,1.4300,1.0000,125641
1.3700,1.3700,2020-03-30,0.0000,1.3900,1.3000,1.3100,1.0000,95489
1.3200,1.3200,2020-03-27,0.0000,1.3900,1.2600,1.3700,1.0000,253145
1.3600,1.3600,2020-03-26,0.0000,1.3800,1.2100,1.2100,1.0000,246817
1.2000,1.2000,2020-03-25,0.0000,1.2200,1.0800,1.0800,1.0000,658342
1.0600,1.0600,2020-03-24,0.0000,1.1400,1.0500,1.1100,1.0000,168212
1.0800,1.0800,2020-03-23,0.0000,1.0900,0.9700,1.0700,1.0000,321070
1.0300,1.0300,2020-03-20,0.0000,1.1800,0.9573,1.1200,1.0000,484078
1.0400,1.0400,2020-03-19,0.0000,1.0900,1.0000,1.0300,1.0000,663360
1.0300,1.0300,2020-03-18,0.0000,1.2400,1.0200,1.2400,1.0000,233833
1.2500,1.2500,2020-03-17,0.0000,1.2600,1.1200,1.1500,1.0000,293927
1.1400,1.1400,2020-03-16,0.0000,1.2200,1.0900,1.1500,1.0000,441503
1.1900,1.1900,2020-03-13,0.0000,1.3856,1.1800,1.3700,1.0000,895685
1.3100,1.3100,2020-03-12,0.0000,1.5450,1.1000,1.5200,1.0000,552514
1.6600,1.6600,2020-03-11,0.0000,1.8700,1.6200,1.6700,1.0000,261244
1.7700,1.7700,2020-03-10,0.0000,2.0400,1.5500,1.9400,1.0000,262330
1.8900,1.8900,2020-03-09,0.0000,2.0500,1.8000,2.0400,1.0000,383660
2.1200,2.1200,2020-03-06,0.0000,2.2000,2.1200,2.1300,1.0000,170298
2.1500,2.1500,2020-03-05,0.0000,2.2850,2.0500,2.1800,1.0000,1012739
2.2300,2.2300,2020-03-04,0.0000,2.2800,1.9700,2.0300,1.0000,376274
1.9700,1.9700,2020-03-03,0.0000,2.1600,1.9000,2.1300,1.0000,241123
1.9600,1.9600,2020-03-02,0.0000,2.0400,1.8900,2.0100,1.0000,158108
1.9500,1.9500,2020-02-28,0.0000,2.0300,1.8500,1.9100,1.0000,340859
1.9900,1.9900,2020-02-27,0.0000,2.0300,1.8000,1.9200,1.0000,296791
1.9600,1.9600,2020-02-26,0.0000,2.0982,1.9200,2.0100,1.0000,455520
2.0100,2.0100,2020-02-25,0.0000,2.1700,1.9600,2.1000,1.0000,566577
2.1200,2.1200,2020-02-24,0.0000,2.2000,2.0600,2.0900,1.0000,157715
2.1500,2.1500,2020-02-21,0.0000,2.2000,2.0934,2.1300,1.0000,369693
2.1300,2.1300,2020-02-20,0.0000,2.2400,2.0700,2.2000,1.0000,474916
2.2100,2.2100,2020-02-19,0.0000,2.4600,2.1300,2.3500,1.0000,344113
2.3200,2.3200,2020-02-18,0.0000,2.4300,2.2800,2.4100,1.0000,158609
2.3800,2.3800,2020-02-14,0.0000,2.4500,2.3100,2.3900,1.0000,175230
2.3900,2.3900,2020-02-13,0.0000,2.5000,2.3200,2.4100,1.0000,408397
2.4100,2.4100,2020-02-12,0.0000,2.5297,2.3800,2.5100,1.0000,171252
2.5000,2.5000,2020-02-11,0.0000,2.5800,2.4800,2.5200,1.0000,111687
2.5000,2.5000,2020-02-10,0.0000,2.5600,2.4600,2.5100,1.0000,201906
2.5400,2.5400,2020-02-07,0.0000,2.6399,2.5100,2.6100,1.0000,123848
2.5900,2.5900,2020-02-06,0.0000,2.6200,2.5100,2.5500,1.0000,117149
2.5400,2.5400,2020-02-05,0.0000,2.5800,2.5000,2.5600,1.0000,272541
2.5000,2.5000,2020-02-04,0.0000,2.5500,2.4500,2.4600,1.0000,144622
2.4300,2.4300,2020-02-03,0.0000,2.4800,2.3900,2.4000,1.0000,282782
2.3900,2.3900,2020-01-31,0.0000,2.5700,2.3100,2.5500,1.0000,252256
2.5300,2.5300,2020-01-30,0.0000,2.5783,2.5100,2.5500,1.0000,161234
2.5100,2.5100,2020-01-29,0.0000,2.6200,2.5000,2.5100,1.0000,244202
2.4600,2.4600,2020-01-28,0.0000,2.5700,2.3700,2.3700,1.0000,1200884
2.3700,2.3700,2020-01-27,0.0000,2.5200,2.3700,2.4100,1.0000,448650
2.4300,2.4300,2020-01-24,0.0000,2.6700,2.4300,2.6300,1.0000,187070
2.6300,2.6300,2020-01-23,0.0000,2.7164,2.5800,2.6600,1.0000,172012
2.6600,2.6600,2020-01-22,0.0000,2.6900,2.5300,2.6600,1.0000,177480
2.5700,2.5700,2020-01-21,0.0000,2.5900,2.4200,2.4600,1.0000,171560
2.4900,2.4900,2020-01-17,0.0000,2.6300,2.4700,2.4900,1.0000,384032
2.4800,2.4800,2020-01-16,0.0000,2.7000,2.4400,2.6600,1.0000,391175
2.6400,2.6400,2020-01-15,0.0000,2.6900,2.5900,2.5900,1.0000,173177
2.5900,2.5900,2020-01-14,0.0000,2.6300,2.5600,2.5600,1.0000,125224
2.5900,2.5900,2020-01-13,0.0000,2.8000,2.5600,2.7800,1.0000,407390
2.7300,2.7300,2020-01-10,0.0000,2.7400,2.5400,2.6000,1.0000,304991
2.5700,2.5700,2020-01-09,0.0000,2.6500,2.5100,2.5800,1.0000,1001486
2.5800,2.5800,2020-01-08,0.0000,2.8200,2.5200,2.8000,1.0000,983797
2.8000,2.8000,2020-01-07,0.0000,2.8900,2.7700,2.8800,1.0000,238978
2.8600,2.8600,2020-01-06,0.0000,2.9000,2.7500,2.8000,1.0000,246607
2.8300,2.8300,2020-01-03,0.0000,2.8500,2.7600,2.7600,1.0000,578843
2.8000,2.8000,2020-01-02,0.0000,2.9300,2.7500,2.9300,1.0000,323905
2.8600,2.8600,2019-12-31,0.0000,2.9300,2.7800,2.9000,1.0000,347745
2.8400,2.8400,2019-12-30,0.0000,2.9300,2.7600,2.7900,1.0000,523307
2.7800,2.7800,2019-12-27,0.0000,2.8500,2.7300,2.8500,1.0000,401168
2.7800,2.7800,2019-12-26,0.0000,2.9300,2.7600,2.9100,1.0000,325233
