adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
26.4980,26.4980,2020-04-29,0.0000,26.4980,26.4980,26.4980,1.0000,633
26.4980,26.4980,2020-04-28,0.0000,26.4980,26.4980,26.4980,1.0000,3000
25.3379,25.3379,2020-04-20,0.0000,25.3379,25.3379,25.3379,1.0000,7421
24.3668,24.3668,2020-03-23,0.0000,24.3668,24.3668,24.3668,1.0000,3276
24.2967,24.2967,2020-03-20,0.0000,24.2967,24.2967,24.2967,1.0000,2000
24.1041,24.1041,2020-03-19,0.0000,24.1041,24.1041,24.1041,1.0000,500
25.2711,25.2711,2020-03-17,0.0000,25.2711,25.2711,25.2711,1.0000,2722
26.1991,26.1991,2020-03-16,0.0000,26.1991,26.1991,26.1991,1.0000,7288
26.7539,26.7539,2020-03-13,0.0000,26.7539,26.7539,26.7539,1.0000,12690
26.6714,26.6714,2020-03-12,0.0000,28.6519,26.6714,28.6519,1.0000,34438
28.7561,28.7561,2020-03-11,0.0000,28.7561,28.7561,28.7561,1.0000,8678
28.7816,28.7816,2020-03-10,0.0000,28.7816,28.7816,28.7816,1.0000,4610
29.0892,29.0892,2020-03-09,0.0000,29.0892,29.0892,29.0892,1.0000,40028
28.7892,28.7892,2020-03-06,0.0000,28.7892,28.7892,28.7892,1.0000,2000
28.8087,28.8087,2020-03-04,0.0000,28.8087,28.8087,28.8087,1.0000,15600
28.8862,28.8862,2020-03-03,0.0000,28.8862,28.4002,28.4002,1.0000,11432
27.3197,27.3197,2020-02-28,0.0000,27.3197,27.3197,27.3197,1.0000,8515
27.7074,27.7074,2020-02-27,0.0000,27.7074,27.7074,27.7074,1.0000,4177
28.3163,28.3163,2020-02-26,0.0000,28.3163,28.3163,28.3163,1.0000,20000
28.3163,28.3163,2020-02-25,0.0000,28.3163,28.3163,28.3163,1.0000,2000
28.2642,28.2642,2020-02-24,0.0000,28.2642,28.2642,28.2642,1.0000,3793
28.1549,28.1549,2020-02-20,0.0000,28.1549,28.1549,28.1549,1.0000,1271
28.1679,28.1679,2020-02-18,0.0000,28.1679,28.1679,28.1679,1.0000,2416
28.4204,28.4204,2020-02-11,0.0000,28.4204,28.4204,28.4204,1.0000,2633
28.5193,28.5193,2020-02-07,0.0000,28.5193,28.5193,28.5193,1.0000,206
28.6546,28.6546,2020-02-05,0.0000,28.6546,28.6546,28.6546,1.0000,300
28.5299,28.5299,2020-02-04,0.0000,28.5299,28.5299,28.5299,1.0000,2900
