adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
9.0500,9.0500,2020-05-12,0.0000,9.0500,9.0500,9.0500,1.0000,1
9.0500,9.0500,2020-05-11,0.0000,9.0500,9.0500,9.0500,1.0000,100
9.1400,9.1400,2020-05-08,0.0000,9.1400,9.1400,9.1400,1.0000,100
7.9700,7.9700,2020-05-07,0.0000,7.9700,7.9700,7.9700,1.0000,0
7.9685,7.9685,2020-05-06,0.0000,7.9685,7.9685,7.9685,1.0000,114
8.3400,8.3400,2020-05-05,0.0000,8.3400,8.3400,8.3400,1.0000,0
8.3400,8.3400,2020-05-04,0.0000,8.3400,8.3400,8.3400,1.0000,0
8.3400,8.3400,2020-05-01,0.0000,8.3400,8.3400,8.3400,1.0000,0
8.3400,8.3400,2020-04-30,0.0000,8.3400,8.3360,8.3360,1.0000,314
7.5600,7.5600,2020-04-29,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-28,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-27,0.0000,7.5600,7.5600,7.5600,1.0000,27
7.5600,7.5600,2020-04-24,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-23,0.0000,7.5600,7.5600,7.5600,1.0000,3
7.5600,7.5600,2020-04-22,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-21,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-20,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-17,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-16,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-15,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-14,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-13,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-09,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-08,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-07,0.0000,7.5600,7.5600,7.5600,1.0000,35
7.5600,7.5600,2020-04-06,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-03,0.0000,7.5600,7.5600,7.5600,1.0000,0
7.5600,7.5600,2020-04-02,0.0000,7.5600,7.5600,7.5600,1.0000,0
