adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.4300,0.4300,2020-05-12,0.0000,0.4599,0.4200,0.4599,1.0000,476026
0.4500,0.4500,2020-05-11,0.0000,0.4625,0.4300,0.4300,1.0000,1011922
0.4200,0.4200,2020-05-08,0.0000,0.4400,0.4000,0.4179,1.0000,1609576
0.4200,0.4200,2020-05-07,0.0000,0.4300,0.4000,0.4284,1.0000,311887
0.4100,0.4100,2020-05-06,0.0000,0.4500,0.4018,0.4500,1.0000,600465
0.4407,0.4407,2020-05-05,0.0000,0.4800,0.4310,0.4560,1.0000,688335
0.4553,0.4553,2020-05-04,0.0000,0.4600,0.4200,0.4600,1.0000,646876
0.4599,0.4599,2020-05-01,0.0000,0.4600,0.3780,0.3890,1.0000,2608057
0.4218,0.4218,2020-04-30,0.0000,0.4300,0.4016,0.4195,1.0000,1160751
0.4199,0.4199,2020-04-29,0.0000,0.4400,0.4011,0.4400,1.0000,523438
0.4173,0.4173,2020-04-28,0.0000,0.4500,0.4000,0.4500,1.0000,434628
0.4030,0.4030,2020-04-27,0.0000,0.4270,0.3802,0.3900,1.0000,1264244
0.3800,0.3800,2020-04-24,0.0000,0.3980,0.3400,0.3400,1.0000,2283443
0.3448,0.3448,2020-04-23,0.0000,0.3700,0.3301,0.3700,1.0000,408713
0.3532,0.3532,2020-04-22,0.0000,0.3799,0.3411,0.3700,1.0000,534162
0.3599,0.3599,2020-04-21,0.0000,0.3900,0.3400,0.3900,1.0000,581216
0.3800,0.3800,2020-04-20,0.0000,0.3830,0.3500,0.3500,1.0000,753467
0.3500,0.3500,2020-04-17,0.0000,0.3600,0.3400,0.3460,1.0000,359927
0.3421,0.3421,2020-04-16,0.0000,0.3700,0.3400,0.3550,1.0000,429000
0.3551,0.3551,2020-04-15,0.0000,0.3780,0.3351,0.3520,1.0000,671192
0.3460,0.3460,2020-04-14,0.0000,0.3500,0.3270,0.3400,1.0000,409935
0.3370,0.3370,2020-04-13,0.0000,0.3440,0.3111,0.3200,1.0000,248274
0.3220,0.3220,2020-04-09,0.0000,0.3400,0.3100,0.3340,1.0000,400786
0.3306,0.3306,2020-04-08,0.0000,0.3400,0.3163,0.3283,1.0000,275269
0.3275,0.3275,2020-04-07,0.0000,0.3450,0.3180,0.3319,1.0000,555677
0.3300,0.3300,2020-04-06,0.0000,0.3817,0.3100,0.3150,1.0000,2638241
0.3160,0.3160,2020-04-03,0.0000,0.3231,0.3001,0.3125,1.0000,428394
0.3125,0.3125,2020-04-02,0.0000,0.3300,0.3125,0.3200,1.0000,354547
0.3186,0.3186,2020-04-01,0.0000,0.3390,0.3000,0.3258,1.0000,541027
0.3269,0.3269,2020-03-31,0.0000,0.3500,0.3045,0.3082,1.0000,807491
0.3094,0.3094,2020-03-30,0.0000,0.3143,0.3000,0.3101,1.0000,373695
0.3140,0.3140,2020-03-27,0.0000,0.3149,0.2775,0.3010,1.0000,531661
0.2930,0.2930,2020-03-26,0.0000,0.3250,0.2850,0.3193,1.0000,672528
