adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.1086,0.1086,2020-05-12,0.0000,0.1170,0.1030,0.1030,1.0000,211543
0.1300,0.1300,2020-05-11,0.0000,0.1300,0.1051,0.1051,1.0000,11132
0.1100,0.1100,2020-05-08,0.0000,0.1320,0.1100,0.1320,1.0000,4870
0.1200,0.1200,2020-05-07,0.0000,0.1340,0.1020,0.1340,1.0000,6611
0.1171,0.1171,2020-05-06,0.0000,0.1171,0.1100,0.1100,1.0000,5500
0.1100,0.1100,2020-05-05,0.0000,0.1353,0.1100,0.1250,1.0000,6352
0.1410,0.1410,2020-05-04,0.0000,0.1410,0.1020,0.1020,1.0000,27035
0.1101,0.1101,2020-05-01,0.0000,0.1101,0.1100,0.1100,1.0000,2150
0.1147,0.1147,2020-04-30,0.0000,0.1520,0.1100,0.1310,1.0000,11950
0.1200,0.1200,2020-04-29,0.0000,0.1290,0.1150,0.1150,1.0000,24500
0.1150,0.1150,2020-04-28,0.0000,0.1325,0.1150,0.1325,1.0000,19034
0.1270,0.1270,2020-04-27,0.0000,0.1400,0.1270,0.1400,1.0000,6457
0.1270,0.1270,2020-04-24,0.0000,0.1270,0.1120,0.1120,1.0000,2900
0.1000,0.1000,2020-04-23,0.0000,0.1400,0.1000,0.1400,1.0000,30600
0.1100,0.1100,2020-04-22,0.0000,0.1100,0.1000,0.1000,1.0000,19648
0.1260,0.1260,2020-04-21,0.0000,0.1440,0.0990,0.1440,1.0000,5300
0.1185,0.1185,2020-04-20,0.0000,0.1445,0.1060,0.1060,1.0000,42022
0.1315,0.1315,2020-04-17,0.0000,0.1315,0.1200,0.1200,1.0000,4894
0.1101,0.1101,2020-04-16,0.0000,0.1129,0.1000,0.1129,1.0000,16316
0.1110,0.1110,2020-04-15,0.0000,0.1395,0.1110,0.1265,1.0000,7894
0.1130,0.1130,2020-04-14,0.0000,0.1306,0.1130,0.1158,1.0000,28525
0.1060,0.1060,2020-04-13,0.0000,0.1470,0.1060,0.1060,1.0000,8870
0.1150,0.1150,2020-04-09,0.0000,0.1200,0.1150,0.1200,1.0000,23687
0.1000,0.1000,2020-04-08,0.0000,0.1000,0.1000,0.1000,1.0000,22256
0.1200,0.1200,2020-04-07,0.0000,0.1200,0.1130,0.1150,1.0000,6150
0.1200,0.1200,2020-04-06,0.0000,0.1200,0.1062,0.1120,1.0000,31775
0.1070,0.1070,2020-04-03,0.0000,0.1230,0.1070,0.1230,1.0000,7301
0.1330,0.1330,2020-04-02,0.0000,0.1330,0.1020,0.1020,1.0000,4500
0.0910,0.0910,2020-04-01,0.0000,0.1200,0.0910,0.1200,1.0000,8550
0.1200,0.1200,2020-03-31,0.0000,0.1200,0.0800,0.1000,1.0000,133525
0.0770,0.0770,2020-03-30,0.0000,0.0800,0.0770,0.0800,1.0000,25580
0.0884,0.0884,2020-03-27,0.0000,0.1050,0.0884,0.1050,1.0000,21300
0.1050,0.1050,2020-03-26,0.0000,0.1050,0.0820,0.1030,1.0000,62710
0.0799,0.0799,2020-03-25,0.0000,0.1102,0.0669,0.0980,1.0000,65050
0.0925,0.0925,2020-03-24,0.0000,0.0975,0.0859,0.0930,1.0000,4419
0.0804,0.0804,2020-03-23,0.0000,0.0900,0.0804,0.0900,1.0000,32320
0.0920,0.0920,2020-03-20,0.0000,0.1000,0.0920,0.0951,1.0000,34463
0.0906,0.0906,2020-03-19,0.0000,0.1040,0.0750,0.0750,1.0000,24932
0.0906,0.0906,2020-03-18,0.0000,0.1050,0.0900,0.0980,1.0000,23830
0.1050,0.1050,2020-03-17,0.0000,0.1180,0.0978,0.1180,1.0000,27205
0.1180,0.1180,2020-03-16,0.0000,0.1180,0.0800,0.0800,1.0000,45522
0.1000,0.1000,2020-03-13,0.0000,0.1400,0.0970,0.1400,1.0000,17674
0.1000,0.1000,2020-03-12,0.0000,0.1234,0.0757,0.0974,1.0000,67203
0.1050,0.1050,2020-03-11,0.0000,0.1156,0.1050,0.1156,1.0000,55400
0.1389,0.1389,2020-03-10,0.0000,0.1499,0.1179,0.1499,1.0000,22623
0.1193,0.1193,2020-03-09,0.0000,0.1560,0.1143,0.1560,1.0000,22067
0.1542,0.1542,2020-03-06,0.0000,0.1560,0.1450,0.1500,1.0000,21416
0.1520,0.1520,2020-03-05,0.0000,0.1545,0.1420,0.1420,1.0000,11404
0.1371,0.1371,2020-03-04,0.0000,0.1670,0.1371,0.1389,1.0000,22500
0.1370,0.1370,2020-03-03,0.0000,0.1675,0.1370,0.1390,1.0000,8034
0.1359,0.1359,2020-03-02,0.0000,0.1409,0.1320,0.1320,1.0000,25900
0.1500,0.1500,2020-02-28,0.0000,0.1600,0.1235,0.1351,1.0000,70034
0.1700,0.1700,2020-02-27,0.0000,0.1700,0.1570,0.1570,1.0000,1271
0.1665,0.1665,2020-02-26,0.0000,0.1685,0.1630,0.1630,1.0000,10220
0.1710,0.1710,2020-02-25,0.0000,0.1816,0.1700,0.1700,1.0000,12420
0.1700,0.1700,2020-02-24,0.0000,0.1760,0.1700,0.1760,1.0000,9610
0.1701,0.1701,2020-02-21,0.0000,0.1980,0.1680,0.1980,1.0000,7505
0.1975,0.1975,2020-02-20,0.0000,0.1975,0.1700,0.1700,1.0000,19501
0.1952,0.1952,2020-02-19,0.0000,0.2100,0.1930,0.1930,1.0000,44800
0.1840,0.1840,2020-02-18,0.0000,0.2200,0.1840,0.1840,1.0000,27872
0.1670,0.1670,2020-02-14,0.0000,0.1900,0.1670,0.1900,1.0000,7378
0.1900,0.1900,2020-02-13,0.0000,0.1900,0.1740,0.1836,1.0000,11444
0.1650,0.1650,2020-02-12,0.0000,0.1825,0.1650,0.1825,1.0000,20424
0.1850,0.1850,2020-02-11,0.0000,0.1950,0.1681,0.1950,1.0000,4200
0.1760,0.1760,2020-02-10,0.0000,0.2000,0.1760,0.1760,1.0000,17150
0.1850,0.1850,2020-02-07,0.0000,0.1851,0.1850,0.1850,1.0000,6800
0.1801,0.1801,2020-02-06,0.0000,0.2270,0.1791,0.2270,1.0000,11353
0.2190,0.2190,2020-02-05,0.0000,0.2190,0.2190,0.2190,1.0000,1012
0.1980,0.1980,2020-02-04,0.0000,0.1997,0.1860,0.1997,1.0000,22416
0.2019,0.2019,2020-02-03,0.0000,0.2137,0.2019,0.2137,1.0000,4431
0.1920,0.1920,2020-01-31,0.0000,0.2239,0.1920,0.1920,1.0000,21385
0.2050,0.2050,2020-01-30,0.0000,0.2050,0.1977,0.1977,1.0000,1836
0.2205,0.2205,2020-01-29,0.0000,0.2300,0.2200,0.2223,1.0000,44047
0.2008,0.2008,2020-01-28,0.0000,0.2020,0.1878,0.1973,1.0000,11231
0.2010,0.2010,2020-01-27,0.0000,0.2045,0.1720,0.1815,1.0000,20696
0.2000,0.2000,2020-01-24,0.0000,0.2210,0.1871,0.2100,1.0000,8117
0.2100,0.2100,2020-01-23,0.0000,0.2240,0.2000,0.2240,1.0000,18883
0.2240,0.2240,2020-01-22,0.0000,0.2410,0.2240,0.2250,1.0000,8900
