adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
1.0000,1.0000,2018-04-20,0.0000,1.0000,1.0000,1.0000,1.0000,0
1.0000,1.0000,2018-04-19,0.0000,1.0600,0.9900,1.0500,1.0000,1102905
1.0500,1.0500,2018-04-18,0.0000,1.0600,1.0500,1.0500,1.0000,206616
1.0500,1.0500,2018-04-17,0.0000,1.0600,1.0400,1.0500,1.0000,201258
1.0600,1.0600,2018-04-16,0.0000,1.0700,1.0300,1.0350,1.0000,6851
1.0320,1.0320,2018-04-13,0.0000,1.0500,1.0200,1.0200,1.0000,19121
1.0300,1.0300,2018-04-12,0.0000,1.0500,1.0200,1.0300,1.0000,60369
1.0300,1.0300,2018-04-11,0.0000,1.0500,1.0300,1.0500,1.0000,26497
1.0400,1.0400,2018-04-10,0.0000,1.0500,1.0200,1.0200,1.0000,23120
1.0200,1.0200,2018-04-09,0.0000,1.0500,1.0200,1.0300,1.0000,71227
1.0400,1.0400,2018-04-06,0.0000,1.0900,1.0300,1.0700,1.0000,78313
1.0600,1.0600,2018-04-05,0.0000,1.1000,1.0600,1.0600,1.0000,23265
1.0600,1.0600,2018-04-04,0.0000,1.1000,1.0300,1.1000,1.0000,153886
1.0800,1.0800,2018-04-03,0.0000,1.1400,1.0700,1.1200,1.0000,24410
1.1200,1.1200,2018-04-02,0.0000,1.1300,1.0800,1.1300,1.0000,7731
1.1500,1.1500,2018-03-29,0.0000,1.2000,1.1300,1.1500,1.0000,158621
1.1300,1.1300,2018-03-28,0.0000,1.2000,1.1300,1.1600,1.0000,160898
1.1200,1.1200,2018-03-27,0.0000,1.1400,1.1100,1.1200,1.0000,161029
1.1400,1.1400,2018-03-26,0.0000,1.1700,1.0900,1.1100,1.0000,674429
1.1000,1.1000,2018-03-23,0.0000,1.1500,1.0500,1.1100,1.0000,550046
1.1500,1.1500,2018-03-22,0.0000,1.1500,1.1100,1.1150,1.0000,5077
1.1200,1.1200,2018-03-21,0.0000,1.1600,1.1100,1.1200,1.0000,214943
1.1300,1.1300,2018-03-20,0.0000,1.1500,1.1100,1.1400,1.0000,13050
1.1100,1.1100,2018-03-19,0.0000,1.1700,1.1100,1.1700,1.0000,33942
1.1500,1.1500,2018-03-16,0.0000,1.1600,1.0700,1.1400,1.0000,308593
1.1500,1.1500,2018-03-15,0.0000,1.2500,1.1300,1.1500,1.0000,49398
1.1100,1.1100,2018-03-14,0.0000,1.1500,1.1000,1.1200,1.0000,8943
1.1300,1.1300,2018-03-13,0.0000,1.1400,1.0500,1.0650,1.0000,62082
1.0900,1.0900,2018-03-12,0.0000,1.0900,1.0600,1.0900,1.0000,12577
1.0700,1.0700,2018-03-09,0.0000,1.1100,1.0600,1.0650,1.0000,199621
1.0500,1.0500,2018-03-08,0.0000,1.0800,1.0500,1.0700,1.0000,101544
1.0700,1.0700,2018-03-07,0.0000,1.1200,1.0600,1.1200,1.0000,12503
1.0800,1.0800,2018-03-06,0.0000,1.1200,1.0600,1.1000,1.0000,65808
1.1100,1.1100,2018-03-05,0.0000,1.1200,1.0800,1.1000,1.0000,15651
1.1200,1.1200,2018-03-02,0.0000,1.1400,1.1200,1.1300,1.0000,12309
