adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.1059,0.1059,2020-05-12,0.0000,0.1100,0.1000,0.1100,1.0000,34155
0.1050,0.1050,2020-05-11,0.0000,0.1200,0.1050,0.1200,1.0000,29563
0.1150,0.1150,2020-05-08,0.0000,0.1175,0.1050,0.1150,1.0000,53470
0.1050,0.1050,2020-05-07,0.0000,0.1135,0.0810,0.0810,1.0000,240740
0.0902,0.0902,2020-05-06,0.0000,0.1100,0.0850,0.1100,1.0000,194775
0.1100,0.1100,2020-05-05,0.0000,0.1200,0.1000,0.1199,1.0000,102036
0.1100,0.1100,2020-05-04,0.0000,0.1250,0.0849,0.1000,1.0000,246415
0.0950,0.0950,2020-05-01,0.0000,0.0950,0.0540,0.0660,1.0000,118353
0.0659,0.0659,2020-04-30,0.0000,0.0660,0.0600,0.0660,1.0000,9850
0.0660,0.0660,2020-04-29,0.0000,0.0660,0.0530,0.0555,1.0000,76193
0.0650,0.0650,2020-04-28,0.0000,0.0650,0.0575,0.0650,1.0000,25745
0.0660,0.0660,2020-04-27,0.0000,0.0660,0.0525,0.0620,1.0000,4768
0.0660,0.0660,2020-04-24,0.0000,0.0660,0.0550,0.0575,1.0000,98064
0.0600,0.0600,2020-04-23,0.0000,0.0600,0.0565,0.0565,1.0000,4750
0.0600,0.0600,2020-04-22,0.0000,0.0600,0.0500,0.0510,1.0000,32400
0.0600,0.0600,2020-04-21,0.0000,0.0600,0.0500,0.0580,1.0000,46000
0.0600,0.0600,2020-04-20,0.0000,0.0660,0.0550,0.0620,1.0000,11266
0.0600,0.0600,2020-04-17,0.0000,0.0600,0.0600,0.0600,1.0000,2766
0.0600,0.0600,2020-04-16,0.0000,0.0600,0.0500,0.0500,1.0000,32406
0.0600,0.0600,2020-04-15,0.0000,0.0600,0.0500,0.0555,1.0000,29486
0.0600,0.0600,2020-04-14,0.0000,0.0600,0.0555,0.0555,1.0000,37075
0.0600,0.0600,2020-04-13,0.0000,0.0602,0.0589,0.0602,1.0000,3400
0.0600,0.0600,2020-04-09,0.0000,0.0600,0.0500,0.0520,1.0000,144900
0.0590,0.0590,2020-04-08,0.0000,0.0590,0.0590,0.0590,1.0000,3750
0.0590,0.0590,2020-04-07,0.0000,0.0590,0.0520,0.0520,1.0000,29864
0.0590,0.0590,2020-04-06,0.0000,0.0590,0.0520,0.0590,1.0000,49250
0.0590,0.0590,2020-04-03,0.0000,0.0590,0.0549,0.0549,1.0000,14806
