adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0061,0.0061,2020-05-12,0.0000,0.0066,0.0053,0.0066,1.0000,4350
0.0061,0.0061,2020-05-11,0.0000,0.0061,0.0060,0.0060,1.0000,8379
0.0061,0.0061,2020-05-08,0.0000,0.0066,0.0061,0.0066,1.0000,2800
0.0061,0.0061,2020-05-07,0.0000,0.0061,0.0053,0.0060,1.0000,36750
0.0060,0.0060,2020-05-06,0.0000,0.0060,0.0053,0.0060,1.0000,55100
0.0056,0.0056,2020-05-05,0.0000,0.0059,0.0050,0.0050,1.0000,15300
0.0056,0.0056,2020-05-04,0.0000,0.0061,0.0056,0.0061,1.0000,38859
0.0061,0.0061,2020-05-01,0.0000,0.0061,0.0057,0.0061,1.0000,2111
0.0053,0.0053,2020-04-30,0.0000,0.0053,0.0053,0.0053,1.0000,800
0.0059,0.0059,2020-04-29,0.0000,0.0059,0.0053,0.0053,1.0000,468
0.0061,0.0061,2020-04-28,0.0000,0.0061,0.0053,0.0061,1.0000,8140
0.0057,0.0057,2020-04-27,0.0000,0.0057,0.0053,0.0053,1.0000,525
0.0057,0.0057,2020-04-24,0.0000,0.0057,0.0057,0.0057,1.0000,110
0.0057,0.0057,2020-04-23,0.0000,0.0059,0.0053,0.0053,1.0000,3825
0.0061,0.0061,2020-04-22,0.0000,0.0061,0.0053,0.0053,1.0000,950
0.0062,0.0062,2020-04-21,0.0000,0.0065,0.0053,0.0065,1.0000,57295
0.0060,0.0060,2020-04-20,0.0000,0.0065,0.0053,0.0053,1.0000,9061
0.0065,0.0065,2020-04-17,0.0000,0.0065,0.0053,0.0053,1.0000,6850
0.0062,0.0062,2020-04-16,0.0000,0.0062,0.0059,0.0059,1.0000,1018
0.0065,0.0065,2020-04-15,0.0000,0.0065,0.0065,0.0065,1.0000,96
0.0065,0.0065,2020-04-14,0.0000,0.0065,0.0043,0.0046,1.0000,7639
0.0065,0.0065,2020-04-13,0.0000,0.0065,0.0043,0.0043,1.0000,4931
0.0062,0.0062,2020-04-09,0.0000,0.0065,0.0050,0.0057,1.0000,21900
0.0062,0.0062,2020-04-08,0.0000,0.0065,0.0043,0.0043,1.0000,11050
0.0054,0.0054,2020-04-07,0.0000,0.0056,0.0043,0.0049,1.0000,4725
0.0054,0.0054,2020-04-06,0.0000,0.0054,0.0043,0.0043,1.0000,874
0.0050,0.0050,2020-04-03,0.0000,0.0050,0.0050,0.0050,1.0000,0
0.0054,0.0054,2020-04-02,0.0000,0.0054,0.0044,0.0045,1.0000,124964
0.0058,0.0058,2020-04-01,0.0000,0.0058,0.0058,0.0058,1.0000,102
0.0044,0.0044,2020-03-31,0.0000,0.0061,0.0044,0.0048,1.0000,130282
0.0065,0.0065,2020-03-30,0.0000,0.0065,0.0065,0.0065,1.0000,10
0.0070,0.0070,2020-03-27,0.0000,0.0070,0.0070,0.0070,1.0000,0
0.0065,0.0065,2020-03-26,0.0000,0.0065,0.0049,0.0065,1.0000,2300
0.0049,0.0049,2020-03-25,0.0000,0.0065,0.0049,0.0065,1.0000,104347
0.0050,0.0050,2020-03-24,0.0000,0.0050,0.0045,0.0045,1.0000,950
0.0066,0.0066,2020-03-23,0.0000,0.0066,0.0056,0.0056,1.0000,7562
0.0066,0.0066,2020-03-20,0.0000,0.0066,0.0066,0.0066,1.0000,30000
0.0065,0.0065,2020-03-19,0.0000,0.0065,0.0055,0.0055,1.0000,15350
0.0067,0.0067,2020-03-18,0.0000,0.0067,0.0045,0.0045,1.0000,21010
0.0064,0.0064,2020-03-17,0.0000,0.0069,0.0045,0.0045,1.0000,6982
0.0070,0.0070,2020-03-16,0.0000,0.0079,0.0045,0.0045,1.0000,4698
0.0082,0.0082,2020-03-13,0.0000,0.0082,0.0053,0.0066,1.0000,23400
0.0061,0.0061,2020-03-12,0.0000,0.0061,0.0043,0.0055,1.0000,233300
0.0055,0.0055,2020-03-11,0.0000,0.0055,0.0055,0.0055,1.0000,10000
0.0055,0.0055,2020-03-10,0.0000,0.0055,0.0055,0.0055,1.0000,2500
0.0058,0.0058,2020-03-09,0.0000,0.0060,0.0055,0.0057,1.0000,9850
0.0060,0.0060,2020-03-06,0.0000,0.0065,0.0055,0.0055,1.0000,40982
0.0055,0.0055,2020-03-05,0.0000,0.0066,0.0055,0.0066,1.0000,2100
0.0066,0.0066,2020-03-04,0.0000,0.0066,0.0055,0.0055,1.0000,2000
0.0060,0.0060,2020-03-03,0.0000,0.0060,0.0060,0.0060,1.0000,134
0.0063,0.0063,2020-03-02,0.0000,0.0066,0.0055,0.0055,1.0000,7747
0.0066,0.0066,2020-02-28,0.0000,0.0067,0.0055,0.0056,1.0000,7950
0.0063,0.0063,2020-02-27,0.0000,0.0063,0.0055,0.0055,1.0000,24180
0.0069,0.0069,2020-02-26,0.0000,0.0069,0.0063,0.0063,1.0000,425
0.0070,0.0070,2020-02-25,0.0000,0.0070,0.0055,0.0055,1.0000,3000
0.0070,0.0070,2020-02-24,0.0000,0.0075,0.0055,0.0055,1.0000,28125
0.0082,0.0082,2020-02-21,0.0000,0.0082,0.0055,0.0055,1.0000,4264
0.0055,0.0055,2020-02-20,0.0000,0.0069,0.0055,0.0055,1.0000,2650
0.0080,0.0080,2020-02-19,0.0000,0.0080,0.0055,0.0055,1.0000,138646
0.0082,0.0082,2020-02-18,0.0000,0.0082,0.0069,0.0069,1.0000,32481
0.0069,0.0069,2020-02-14,0.0000,0.0083,0.0055,0.0083,1.0000,8043
0.0055,0.0055,2020-02-13,0.0000,0.0083,0.0055,0.0083,1.0000,4220
0.0083,0.0083,2020-02-12,0.0000,0.0083,0.0069,0.0069,1.0000,1200
0.0076,0.0076,2020-02-11,0.0000,0.0076,0.0059,0.0059,1.0000,3450
0.0076,0.0076,2020-02-10,0.0000,0.0076,0.0055,0.0061,1.0000,950
0.0076,0.0076,2020-02-07,0.0000,0.0076,0.0055,0.0069,1.0000,10200
0.0076,0.0076,2020-02-06,0.0000,0.0084,0.0056,0.0084,1.0000,30100
0.0077,0.0077,2020-02-05,0.0000,0.0078,0.0055,0.0055,1.0000,905
0.0083,0.0083,2020-02-04,0.0000,0.0083,0.0055,0.0055,1.0000,77085
0.0084,0.0084,2020-02-03,0.0000,0.0084,0.0065,0.0065,1.0000,63300
0.0076,0.0076,2020-01-31,0.0000,0.0076,0.0060,0.0076,1.0000,9700
0.0076,0.0076,2020-01-30,0.0000,0.0076,0.0070,0.0070,1.0000,200
0.0076,0.0076,2020-01-29,0.0000,0.0076,0.0065,0.0076,1.0000,1500
0.0076,0.0076,2020-01-28,0.0000,0.0076,0.0060,0.0076,1.0000,2360
0.0076,0.0076,2020-01-27,0.0000,0.0076,0.0060,0.0064,1.0000,3200
0.0077,0.0077,2020-01-24,0.0000,0.0080,0.0060,0.0064,1.0000,69380
0.0079,0.0079,2020-01-23,0.0000,0.0079,0.0070,0.0070,1.0000,3430
0.0077,0.0077,2020-01-22,0.0000,0.0077,0.0077,0.0077,1.0000,40
0.0077,0.0077,2020-01-21,0.0000,0.0080,0.0069,0.0070,1.0000,179891
0.0077,0.0077,2020-01-17,0.0000,0.0077,0.0060,0.0060,1.0000,48100
0.0079,0.0079,2020-01-16,0.0000,0.0081,0.0060,0.0060,1.0000,33600
0.0081,0.0081,2020-01-15,0.0000,0.0081,0.0081,0.0081,1.0000,15000
0.0060,0.0060,2020-01-14,0.0000,0.0081,0.0055,0.0055,1.0000,21488
0.0060,0.0060,2020-01-13,0.0000,0.0081,0.0060,0.0076,1.0000,53297
0.0076,0.0076,2020-01-10,0.0000,0.0076,0.0060,0.0064,1.0000,18900
0.0084,0.0084,2020-01-09,0.0000,0.0084,0.0074,0.0080,1.0000,52000
0.0080,0.0080,2020-01-08,0.0000,0.0106,0.0063,0.0063,1.0000,95400
0.0084,0.0084,2020-01-07,0.0000,0.0084,0.0084,0.0084,1.0000,79415
0.0084,0.0084,2020-01-06,0.0000,0.0084,0.0074,0.0084,1.0000,5315
0.0101,0.0101,2020-01-03,0.0000,0.0101,0.0101,0.0101,1.0000,3550
0.0102,0.0102,2020-01-02,0.0000,0.0110,0.0102,0.0110,1.0000,8020
0.0100,0.0100,2019-12-31,0.0000,0.0110,0.0061,0.0074,1.0000,129362
0.0110,0.0110,2019-12-30,0.0000,0.0110,0.0071,0.0081,1.0000,13793
0.0071,0.0071,2019-12-27,0.0000,0.0110,0.0071,0.0110,1.0000,10246
0.0071,0.0071,2019-12-26,0.0000,0.0071,0.0071,0.0071,1.0000,4416
0.0071,0.0071,2019-12-24,0.0000,0.0078,0.0071,0.0078,1.0000,103450
0.0078,0.0078,2019-12-23,0.0000,0.0115,0.0072,0.0072,1.0000,73340
0.0112,0.0112,2019-12-20,0.0000,0.0112,0.0083,0.0083,1.0000,625
0.0115,0.0115,2019-12-19,0.0000,0.0115,0.0071,0.0111,1.0000,30536
0.0111,0.0111,2019-12-18,0.0000,0.0111,0.0070,0.0085,1.0000,72855
0.0085,0.0085,2019-12-17,0.0000,0.0093,0.0066,0.0066,1.0000,2500
0.0095,0.0095,2019-12-16,0.0000,0.0095,0.0070,0.0070,1.0000,26608
0.0088,0.0088,2019-12-13,0.0000,0.0088,0.0066,0.0066,1.0000,7350
0.0097,0.0097,2019-12-12,0.0000,0.0097,0.0089,0.0090,1.0000,22498
0.0080,0.0080,2019-12-11,0.0000,0.0115,0.0063,0.0063,1.0000,78512
0.0113,0.0113,2019-12-10,0.0000,0.0113,0.0061,0.0061,1.0000,122992
0.0089,0.0089,2019-12-09,0.0000,0.0089,0.0075,0.0075,1.0000,950
0.0123,0.0123,2019-12-06,0.0000,0.0126,0.0070,0.0070,1.0000,3400
0.0126,0.0126,2019-12-05,0.0000,0.0126,0.0063,0.0071,1.0000,13732
0.0119,0.0119,2019-12-04,0.0000,0.0123,0.0076,0.0076,1.0000,8100
