adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.3090,0.3090,2020-05-12,0.0000,0.3100,0.2971,0.3073,1.0000,141366
0.3000,0.3000,2020-05-11,0.0000,0.3129,0.2900,0.3060,1.0000,140423
0.3125,0.3125,2020-05-08,0.0000,0.3260,0.3000,0.3260,1.0000,100930
0.3004,0.3004,2020-05-07,0.0000,0.3300,0.3000,0.3200,1.0000,183611
0.3254,0.3254,2020-05-06,0.0000,0.3370,0.3068,0.3370,1.0000,249058
0.3230,0.3230,2020-05-05,0.0000,0.3390,0.3100,0.3200,1.0000,434471
0.3247,0.3247,2020-05-04,0.0000,0.3400,0.3010,0.3069,1.0000,275871
0.3230,0.3230,2020-05-01,0.0000,0.3300,0.3020,0.3157,1.0000,191789
0.3265,0.3265,2020-04-30,0.0000,0.3390,0.3000,0.3390,1.0000,345553
0.3206,0.3206,2020-04-29,0.0000,0.3233,0.3000,0.3100,1.0000,334547
0.3033,0.3033,2020-04-28,0.0000,0.3120,0.2849,0.2849,1.0000,191092
0.3000,0.3000,2020-04-27,0.0000,0.3200,0.2901,0.3100,1.0000,196895
0.3140,0.3140,2020-04-24,0.0000,0.3340,0.3000,0.3175,1.0000,152304
0.3128,0.3128,2020-04-23,0.0000,0.3233,0.2875,0.3010,1.0000,448381
0.2888,0.2888,2020-04-22,0.0000,0.3000,0.2630,0.2850,1.0000,292606
0.2776,0.2776,2020-04-21,0.0000,0.2943,0.2320,0.2830,1.0000,262416
0.2700,0.2700,2020-04-20,0.0000,0.3040,0.2500,0.2745,1.0000,281082
0.2959,0.2959,2020-04-17,0.0000,0.3050,0.2811,0.2922,1.0000,222251
0.2900,0.2900,2020-04-16,0.0000,0.3323,0.2820,0.3164,1.0000,282492
0.3201,0.3201,2020-04-15,0.0000,0.3790,0.3200,0.3620,1.0000,280327
0.3620,0.3620,2020-04-14,0.0000,0.3800,0.3500,0.3700,1.0000,424834
0.3640,0.3640,2020-04-13,0.0000,0.4043,0.3515,0.3700,1.0000,404468
0.3600,0.3600,2020-04-09,0.0000,0.3780,0.3458,0.3780,1.0000,476385
0.3550,0.3550,2020-04-08,0.0000,0.3750,0.3400,0.3690,1.0000,478493
0.3483,0.3483,2020-04-07,0.0000,0.3850,0.3198,0.3500,1.0000,570701
0.3350,0.3350,2020-04-06,0.0000,0.4900,0.3200,0.4900,1.0000,694811
0.3200,0.3200,2020-04-03,0.0000,0.3210,0.3200,0.3200,1.0000,15400
0.3000,0.3000,2020-04-02,0.0000,0.3000,0.3000,0.3000,1.0000,1589
0.3200,0.3200,2020-04-01,0.0000,0.3200,0.3109,0.3109,1.0000,12900
0.3192,0.3192,2020-03-31,0.0000,0.3198,0.2959,0.2959,1.0000,13101
0.2800,0.2800,2020-03-30,0.0000,0.2800,0.2800,0.2800,1.0000,2500
0.2395,0.2395,2020-03-27,0.0000,0.2395,0.2395,0.2395,1.0000,29
0.2395,0.2395,2020-03-26,0.0000,0.2395,0.2395,0.2395,1.0000,2520
0.2500,0.2500,2020-03-17,0.0000,0.2500,0.2500,0.2500,1.0000,3000
0.2645,0.2645,2020-03-13,0.0000,0.2645,0.2645,0.2645,1.0000,500
0.2897,0.2897,2020-03-12,0.0000,0.2897,0.2897,0.2897,1.0000,955
0.3400,0.3400,2020-03-11,0.0000,0.3400,0.2900,0.2900,1.0000,34000
0.3004,0.3004,2020-03-10,0.0000,0.3377,0.3000,0.3377,1.0000,23500
0.3000,0.3000,2020-03-09,0.0000,0.3400,0.3000,0.3400,1.0000,10000
0.3516,0.3516,2020-03-06,0.0000,0.3516,0.3400,0.3400,1.0000,1700
0.3300,0.3300,2020-03-05,0.0000,0.3300,0.3300,0.3300,1.0000,1000
0.3316,0.3316,2020-03-02,0.0000,0.3316,0.3316,0.3316,1.0000,500
0.3000,0.3000,2020-02-28,0.0000,0.3000,0.3000,0.3000,1.0000,1500
0.3300,0.3300,2020-02-27,0.0000,0.3300,0.3300,0.3300,1.0000,2000
0.3200,0.3200,2020-02-25,0.0000,0.3200,0.3200,0.3200,1.0000,2500
0.3322,0.3322,2020-02-14,0.0000,0.3360,0.3322,0.3360,1.0000,2500
0.3300,0.3300,2020-02-13,0.0000,0.3300,0.3300,0.3300,1.0000,1000
0.3078,0.3078,2020-02-12,0.0000,0.3078,0.3078,0.3078,1.0000,1090
0.3200,0.3200,2020-02-11,0.0000,0.3200,0.3200,0.3200,1.0000,2500
0.3000,0.3000,2020-02-07,0.0000,0.3000,0.3000,0.3000,1.0000,1500
0.3100,0.3100,2020-02-06,0.0000,0.3214,0.3100,0.3214,1.0000,1500
0.3000,0.3000,2020-02-04,0.0000,0.3000,0.3000,0.3000,1.0000,11000
0.3000,0.3000,2020-01-31,0.0000,0.3000,0.3000,0.3000,1.0000,7100
0.3000,0.3000,2020-01-30,0.0000,0.3000,0.3000,0.3000,1.0000,20000
0.3000,0.3000,2020-01-28,0.0000,0.3000,0.3000,0.3000,1.0000,9000
0.2734,0.2734,2020-01-23,0.0000,0.2734,0.2734,0.2734,1.0000,1200
0.2800,0.2800,2020-01-21,0.0000,0.2800,0.2800,0.2800,1.0000,2545
0.2780,0.2780,2020-01-17,0.0000,0.2780,0.2780,0.2780,1.0000,500
0.2470,0.2470,2020-01-16,0.0000,0.2470,0.2470,0.2470,1.0000,2500
0.2700,0.2700,2020-01-15,0.0000,0.2700,0.2700,0.2700,1.0000,2500
0.2700,0.2700,2020-01-13,0.0000,0.2700,0.2700,0.2700,1.0000,52500
0.2788,0.2788,2020-01-09,0.0000,0.2793,0.2788,0.2793,1.0000,1160
0.2700,0.2700,2020-01-06,0.0000,0.2700,0.2700,0.2700,1.0000,2500
0.2688,0.2688,2019-12-20,0.0000,0.2688,0.2688,0.2688,1.0000,1800
0.2593,0.2593,2019-12-18,0.0000,0.2593,0.2593,0.2593,1.0000,2500
0.2609,0.2609,2019-12-13,0.0000,0.2609,0.2609,0.2609,1.0000,1500
0.2783,0.2783,2019-12-12,0.0000,0.2808,0.2700,0.2808,1.0000,67939
0.2609,0.2609,2019-12-09,0.0000,0.2609,0.2600,0.2600,1.0000,3500
0.2872,0.2872,2019-12-05,0.0000,0.2872,0.2800,0.2800,1.0000,37200
0.2700,0.2700,2019-12-03,0.0000,0.2700,0.2700,0.2700,1.0000,2500
0.2700,0.2700,2019-11-21,0.0000,0.2700,0.2700,0.2700,1.0000,3500
0.2680,0.2680,2019-11-18,0.0000,0.2680,0.2680,0.2680,1.0000,2000
0.2200,0.2200,2019-11-11,0.0000,0.2250,0.2200,0.2250,1.0000,698
0.2500,0.2500,2019-11-05,0.0000,0.2500,0.2500,0.2500,1.0000,25000
0.2600,0.2600,2019-11-01,0.0000,0.2600,0.2600,0.2600,1.0000,25000
0.2600,0.2600,2019-10-31,0.0000,0.2600,0.2600,0.2600,1.0000,50000
0.2400,0.2400,2019-10-30,0.0000,0.2400,0.2392,0.2397,1.0000,5000
0.2500,0.2500,2019-10-29,0.0000,0.2603,0.2500,0.2603,1.0000,5000
0.2500,0.2500,2019-10-28,0.0000,0.2500,0.2500,0.2500,1.0000,6000
0.2200,0.2200,2019-10-25,0.0000,0.2200,0.2200,0.2200,1.0000,1740
0.2200,0.2200,2019-10-24,0.0000,0.2335,0.2200,0.2200,1.0000,6500
0.2200,0.2200,2019-10-23,0.0000,0.2200,0.2137,0.2137,1.0000,12500
0.2139,0.2139,2019-10-22,0.0000,0.2139,0.2139,0.2139,1.0000,5000
0.1897,0.1897,2019-10-16,0.0000,0.1897,0.1897,0.1897,1.0000,5500
0.1388,0.1388,2019-01-29,0.0000,0.1388,0.1388,0.1388,1.0000,240
0.1200,0.1200,2019-01-16,0.0000,0.1200,0.1200,0.1200,1.0000,500
0.1049,0.1049,2018-12-28,0.0000,0.1049,0.1049,0.1049,1.0000,1500
