adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0398,0.0398,2019-08-02,0.0000,0.0398,0.0351,0.0375,1.0000,182783
0.0400,0.0400,2019-08-01,0.0000,0.0400,0.0400,0.0400,1.0000,11250
0.0300,0.0300,2019-07-31,0.0000,0.0400,0.0300,0.0400,1.0000,15900
0.0330,0.0330,2019-07-30,0.0000,0.0406,0.0330,0.0406,1.0000,15920
0.0406,0.0406,2019-07-29,0.0000,0.0406,0.0318,0.0342,1.0000,65100
0.0355,0.0355,2019-07-26,0.0000,0.0400,0.0342,0.0400,1.0000,568742
0.0410,0.0410,2019-07-25,0.0000,0.0438,0.0410,0.0410,1.0000,32930
0.0400,0.0400,2019-07-24,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0430,0.0430,2019-07-23,0.0000,0.0430,0.0400,0.0415,1.0000,43099
0.0425,0.0425,2019-07-22,0.0000,0.0425,0.0399,0.0399,1.0000,25340
0.0472,0.0472,2019-07-19,0.0000,0.0472,0.0472,0.0472,1.0000,9700
0.0472,0.0472,2019-07-18,0.0000,0.0472,0.0410,0.0410,1.0000,36064
0.0440,0.0440,2019-07-17,0.0000,0.0472,0.0432,0.0468,1.0000,46500
0.0450,0.0450,2019-07-16,0.0000,0.0500,0.0416,0.0416,1.0000,18033
0.0420,0.0420,2019-07-15,0.0000,0.0500,0.0420,0.0500,1.0000,464161
0.0489,0.0489,2019-07-12,0.0000,0.0492,0.0460,0.0460,1.0000,104084
0.0490,0.0490,2019-07-11,0.0000,0.0490,0.0400,0.0450,1.0000,193819
0.0470,0.0470,2019-07-10,0.0000,0.0528,0.0470,0.0481,1.0000,501300
0.0500,0.0500,2019-07-09,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0548,0.0548,2019-07-08,0.0000,0.0548,0.0500,0.0548,1.0000,115799
0.0525,0.0525,2019-07-05,0.0000,0.0525,0.0500,0.0510,1.0000,572666
0.0491,0.0491,2019-07-03,0.0000,0.0500,0.0491,0.0500,1.0000,202020
0.0500,0.0500,2019-07-02,0.0000,0.0500,0.0486,0.0493,1.0000,946986
0.0500,0.0500,2019-07-01,0.0000,0.0519,0.0500,0.0500,1.0000,507000
0.0498,0.0498,2019-06-28,0.0000,0.0530,0.0496,0.0500,1.0000,626368
0.0525,0.0525,2019-06-27,0.0000,0.0525,0.0449,0.0449,1.0000,2839975
0.0420,0.0420,2019-06-26,0.0000,0.0468,0.0417,0.0468,1.0000,39488
0.0401,0.0401,2019-06-25,0.0000,0.0490,0.0393,0.0401,1.0000,392842
0.0419,0.0419,2019-06-24,0.0000,0.0450,0.0401,0.0401,1.0000,959000
0.0420,0.0420,2019-06-21,0.0000,0.0428,0.0380,0.0400,1.0000,970477
0.0400,0.0400,2019-06-20,0.0000,0.0400,0.0371,0.0375,1.0000,115442
0.0375,0.0375,2019-06-19,0.0000,0.0380,0.0370,0.0372,1.0000,800500
0.0374,0.0374,2019-06-18,0.0000,0.0385,0.0374,0.0385,1.0000,1800
0.0385,0.0385,2019-06-17,0.0000,0.0399,0.0324,0.0388,1.0000,914505
0.0362,0.0362,2019-06-14,0.0000,0.0383,0.0321,0.0383,1.0000,3364138
0.0250,0.0250,2019-06-13,0.0000,0.0250,0.0170,0.0170,1.0000,7900
0.0200,0.0200,2019-06-12,0.0000,0.0250,0.0200,0.0214,1.0000,580500
