adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
8.4500,8.4500,2017-02-03,0.0000,8.4500,8.4500,8.4500,1.0000,0
8.4500,8.4500,2017-02-02,0.0000,8.4500,8.4500,8.4500,1.0000,0
8.4500,8.4500,2017-02-01,0.0000,8.4500,8.4500,8.4500,1.0000,0
8.4500,8.4500,2017-01-31,0.0000,8.4500,8.4500,8.4500,1.0000,0
8.4500,8.4500,2017-01-30,0.0000,8.4500,8.4500,8.4500,1.0000,0
8.4500,8.4500,2017-01-27,0.0000,8.4500,8.4500,8.4500,1.0000,0
8.4500,8.4500,2017-01-26,0.0000,8.5500,8.3500,8.4000,1.0000,2258382
8.4000,8.4000,2017-01-25,0.0000,8.7000,8.3750,8.6000,1.0000,1078343
8.5000,8.5000,2017-01-24,0.0000,8.6000,8.3100,8.3500,1.0000,1651860
8.3500,8.3500,2017-01-23,0.0000,8.4250,8.3000,8.4000,1.0000,755973
8.3500,8.3500,2017-01-20,0.0000,8.4500,8.3000,8.3500,1.0000,1314236
8.4000,8.4000,2017-01-19,0.0000,8.4500,8.3500,8.4000,1.0000,671918
8.5250,8.5250,2017-01-18,0.0000,8.5500,8.3000,8.4500,1.0000,1114509
8.4000,8.4000,2017-01-17,0.0000,8.4500,8.2750,8.3000,1.0000,1044049
8.4000,8.4000,2017-01-13,0.0000,8.4500,8.2500,8.3000,1.0000,796161
8.3000,8.3000,2017-01-12,0.0000,8.3500,8.1500,8.2500,1.0000,584941
8.3000,8.3000,2017-01-11,0.0000,8.3500,8.2000,8.2500,1.0000,605423
8.2500,8.2500,2017-01-10,0.0000,8.3000,8.2000,8.2000,1.0000,810406
8.2500,8.2500,2017-01-09,0.0000,8.3317,8.1000,8.1500,1.0000,959193
8.1500,8.1500,2017-01-06,0.0000,8.2500,8.1000,8.2500,1.0000,1789012
8.3000,8.3000,2017-01-05,0.0000,8.4000,8.1500,8.2500,1.0000,1330844
8.3500,8.3500,2017-01-04,0.0000,8.4000,8.2500,8.4000,1.0000,812280
8.4000,8.4000,2017-01-03,0.0000,8.4923,8.2500,8.3000,1.0000,667563
8.2500,8.2500,2016-12-30,0.0000,8.4000,8.2250,8.4000,1.0000,863678
8.4500,8.4500,2016-12-29,0.0000,8.5000,8.3000,8.4500,1.0000,1191347
8.4500,8.4500,2016-12-28,0.0000,8.5500,8.3500,8.5500,1.0000,690752
8.5000,8.5000,2016-12-27,0.0000,8.5500,8.3500,8.3500,1.0000,633019
8.4000,8.4000,2016-12-23,0.0000,8.4000,8.2500,8.2500,1.0000,482847
8.3000,8.3000,2016-12-22,0.0000,8.6500,8.1500,8.6000,1.0000,1310056
8.6000,8.6000,2016-12-21,0.0000,8.6000,8.4750,8.5500,1.0000,1249055
8.5500,8.5500,2016-12-20,0.0000,8.6000,8.5000,8.5000,1.0000,2651020
8.4500,8.4500,2016-12-19,0.0000,8.6000,8.4000,8.5500,1.0000,3252363
8.5500,8.5500,2016-12-16,0.0000,8.9000,8.5000,8.8500,1.0000,2280531
8.9000,8.9000,2016-12-15,0.0000,8.9000,8.3500,8.4000,1.0000,2744053
8.4000,8.4000,2016-12-14,0.0000,8.6000,8.3000,8.6000,1.0000,2702590
8.6000,8.6000,2016-12-13,0.0000,8.7000,8.4500,8.6500,1.0000,3907476
8.6000,8.6000,2016-12-12,0.0000,8.7500,8.5250,8.6000,1.0000,1717777
8.7000,8.7000,2016-12-09,0.0000,9.0500,8.6000,8.9500,1.0000,1734662
9.0500,9.0500,2016-12-08,0.0000,9.0500,8.8000,8.9500,1.0000,1212464
9.0000,9.0000,2016-12-07,0.0000,9.0500,8.6500,8.6500,1.0000,1045540
8.7000,8.7000,2016-12-06,0.0000,8.7750,8.5500,8.6500,1.0000,706540
8.7500,8.7500,2016-12-05,0.0000,8.7500,8.4500,8.5500,1.0000,799990
8.4000,8.4000,2016-12-02,0.0000,8.4500,8.2000,8.2000,1.0000,1466795
8.3000,8.3000,2016-12-01,0.0000,8.8500,8.1000,8.8000,1.0000,2564565
8.7500,8.7500,2016-11-30,0.0000,8.8500,8.6000,8.7000,1.0000,1504741
8.6000,8.6000,2016-11-29,0.0000,8.7000,8.4750,8.5500,1.0000,1466654
8.6000,8.6000,2016-11-28,0.0000,8.6250,8.3500,8.5000,1.0000,1523678
8.5000,8.5000,2016-11-25,0.0000,8.5500,8.3000,8.4000,1.0000,714438
8.4500,8.4500,2016-11-23,0.0000,8.4500,8.0500,8.0500,1.0000,2494416
8.1500,8.1500,2016-11-22,0.0000,8.2000,8.0500,8.1500,1.0000,3384240
8.1000,8.1000,2016-11-21,0.0000,8.2500,7.9500,8.1000,1.0000,10079267
7.2500,7.2500,2016-11-18,0.0000,7.4000,7.2000,7.3000,1.0000,541386
7.2500,7.2500,2016-11-17,0.0000,7.6000,7.1500,7.5500,1.0000,1148271
7.6000,7.6000,2016-11-16,0.0000,7.6500,7.4000,7.4000,1.0000,272400
7.5000,7.5000,2016-11-15,0.0000,7.5500,7.3750,7.5000,1.0000,459861
7.4500,7.4500,2016-11-14,0.0000,7.6000,7.3250,7.5500,1.0000,572719
7.5500,7.5500,2016-11-11,0.0000,7.6000,7.2818,7.4500,1.0000,827742
7.5000,7.5000,2016-11-10,0.0000,7.6600,7.2500,7.6500,1.0000,500038
7.6000,7.6000,2016-11-09,0.0000,7.6000,6.9500,7.1500,1.0000,569280
7.3000,7.3000,2016-11-08,0.0000,7.4000,7.2000,7.4000,1.0000,245187
7.3500,7.3500,2016-11-07,0.0000,7.4000,7.2500,7.3000,1.0000,277011
7.2500,7.2500,2016-11-04,0.0000,7.4000,7.1500,7.2000,1.0000,372686
7.2000,7.2000,2016-11-03,0.0000,7.4000,7.1000,7.4000,1.0000,412129
7.3500,7.3500,2016-11-02,0.0000,7.4500,7.1500,7.4000,1.0000,471244
7.4000,7.4000,2016-11-01,0.0000,7.4000,7.0500,7.3500,1.0000,438533
7.4000,7.4000,2016-10-31,0.0000,7.6000,7.0500,7.0500,1.0000,1555642
7.0000,7.0000,2016-10-28,0.0000,7.0385,6.2357,6.2500,1.0000,2411384
5.9400,5.9400,2016-10-27,0.0000,6.1800,5.9400,6.1200,1.0000,407543
6.0300,6.0300,2016-10-26,0.0000,6.1000,5.8800,5.8800,1.0000,406836
5.9300,5.9300,2016-10-25,0.0000,6.0400,5.9000,6.0000,1.0000,453355
5.9800,5.9800,2016-10-24,0.0000,6.0600,5.9200,5.9700,1.0000,338886
5.9300,5.9300,2016-10-21,0.0000,5.9300,5.8100,5.8400,1.0000,234325
5.8900,5.8900,2016-10-20,0.0000,5.9400,5.8200,5.8700,1.0000,298381
5.8700,5.8700,2016-10-19,0.0000,5.9500,5.8400,5.9000,1.0000,374582
5.9200,5.9200,2016-10-18,0.0000,6.1309,5.9100,6.0500,1.0000,279486
6.0600,6.0600,2016-10-17,0.0000,6.1300,5.9900,6.0700,1.0000,533361
6.0800,6.0800,2016-10-14,0.0000,6.3900,6.0800,6.2100,1.0000,223876
6.1900,6.1900,2016-10-13,0.0000,6.4100,6.1800,6.3300,1.0000,249893
6.4100,6.4100,2016-10-12,0.0000,6.6799,6.3050,6.4700,1.0000,349231
6.5000,6.5000,2016-10-11,0.0000,6.7300,6.4200,6.7300,1.0000,383817
6.7800,6.7800,2016-10-10,0.0000,6.8901,6.7550,6.8500,1.0000,203430
6.7900,6.7900,2016-10-07,0.0000,6.9900,6.7700,6.9800,1.0000,322485
6.9900,6.9900,2016-10-06,0.0000,7.0500,6.9200,6.9900,1.0000,222032
7.0400,7.0400,2016-10-05,0.0000,7.0900,6.9900,7.0000,1.0000,622406
6.9900,6.9900,2016-10-04,0.0000,7.0800,6.9500,7.0000,1.0000,302252
6.9900,6.9900,2016-10-03,0.0000,7.0200,6.9300,6.9300,1.0000,355555
6.9500,6.9500,2016-09-30,0.0000,6.9900,6.9000,6.9400,1.0000,633218
6.8900,6.8900,2016-09-29,0.0000,7.0300,6.8600,6.9900,1.0000,376387
6.9900,6.9900,2016-09-28,0.0000,7.0200,6.9599,6.9700,1.0000,236449
6.9700,6.9700,2016-09-27,0.0000,6.9800,6.7400,6.7800,1.0000,205488
6.8200,6.8200,2016-09-26,0.0000,6.9100,6.8000,6.9100,1.0000,191380
6.9100,6.9100,2016-09-23,0.0000,7.0600,6.9100,7.0100,1.0000,305453
7.0000,7.0000,2016-09-22,0.0000,7.0900,6.8500,7.0000,1.0000,220802
7.0300,7.0300,2016-09-21,0.0000,7.0400,6.8500,6.9300,1.0000,313956
6.8800,6.8800,2016-09-20,0.0000,7.0000,6.8600,7.0000,1.0000,290802
6.9400,6.9400,2016-09-19,0.0000,7.0600,6.9300,7.0200,1.0000,394975
6.9600,6.9600,2016-09-16,0.0000,7.0800,6.9000,7.0600,1.0000,517613
7.0400,7.0400,2016-09-15,0.0000,7.0700,6.9300,6.9300,1.0000,295034
6.9000,6.9000,2016-09-14,0.0000,7.0600,6.8900,6.9800,1.0000,290155
6.9500,6.9500,2016-09-13,0.0000,7.0600,6.8800,7.0300,1.0000,408549
7.1000,7.1000,2016-09-12,0.0000,7.1000,6.9000,6.9600,1.0000,378905
7.0200,7.0200,2016-09-09,0.0000,7.1500,6.9300,7.1200,1.0000,610518
7.1600,7.1600,2016-09-08,0.0000,7.1800,7.0300,7.1200,1.0000,206607
7.1600,7.1600,2016-09-07,0.0000,7.1800,7.0600,7.1700,1.0000,524964
7.1500,7.1500,2016-09-06,0.0000,7.2011,7.0350,7.1500,1.0000,610349
7.1600,7.1600,2016-09-02,0.0000,7.1700,7.0500,7.1200,1.0000,260442
7.0600,7.0600,2016-09-01,0.0000,7.0800,6.9300,7.0700,1.0000,387580
6.9800,6.9800,2016-08-31,0.0000,7.1200,6.9250,7.0900,1.0000,283003
7.0700,7.0700,2016-08-30,0.0000,7.1450,7.0300,7.0300,1.0000,267598
7.0100,7.0100,2016-08-29,0.0000,7.1200,7.0000,7.0500,1.0000,307846
7.0500,7.0500,2016-08-26,0.0000,7.1700,7.0300,7.1500,1.0000,323073
7.1200,7.1200,2016-08-25,0.0000,7.1700,7.0300,7.0600,1.0000,209558
7.1200,7.1200,2016-08-24,0.0000,7.2500,7.1050,7.1700,1.0000,241094
7.1900,7.1900,2016-08-23,0.0000,7.2550,7.1700,7.2000,1.0000,527105
7.1800,7.1800,2016-08-22,0.0000,7.2150,7.1000,7.1100,1.0000,184723
7.1200,7.1200,2016-08-19,0.0000,7.2300,7.0900,7.1100,1.0000,255608
7.1100,7.1100,2016-08-18,0.0000,7.1900,7.0700,7.0900,1.0000,244202
7.1100,7.1100,2016-08-17,0.0000,7.1400,7.0000,7.0500,1.0000,424967
7.0700,7.0700,2016-08-16,0.0000,7.1400,6.9100,7.1100,1.0000,627850
7.1900,7.1900,2016-08-15,0.0000,7.2800,7.1560,7.2000,1.0000,334935
7.1700,7.1700,2016-08-12,0.0000,7.2100,7.0700,7.0700,1.0000,298219
7.1100,7.1100,2016-08-11,0.0000,7.1300,6.9950,7.1000,1.0000,400067
7.0600,7.0600,2016-08-10,0.0000,7.1000,6.9800,7.0500,1.0000,340360
7.0600,7.0600,2016-08-09,0.0000,7.0800,6.9507,6.9900,1.0000,326328
6.9700,6.9700,2016-08-08,0.0000,7.0000,6.9100,6.9500,1.0000,387651
6.9500,6.9500,2016-08-05,0.0000,7.0000,6.8200,6.8200,1.0000,414285
6.8000,6.8000,2016-08-04,0.0000,6.8400,6.5600,6.7000,1.0000,332996
6.7300,6.7300,2016-08-03,0.0000,6.7400,6.5500,6.6800,1.0000,320562
6.6900,6.6900,2016-08-02,0.0000,6.7500,6.5500,6.6900,1.0000,768938
6.7100,6.7100,2016-08-01,0.0000,6.8100,6.5155,6.5400,1.0000,909624
6.5800,6.5800,2016-07-29,0.0000,6.7700,6.5700,6.6300,1.0000,834199
6.7100,6.7100,2016-07-28,0.0000,6.9800,6.3500,6.5200,1.0000,1737682
7.2100,7.2100,2016-07-27,0.0000,7.2500,7.0700,7.2300,1.0000,494592
7.1900,7.1900,2016-07-26,0.0000,7.2500,7.1000,7.1200,1.0000,569539
7.1300,7.1300,2016-07-25,0.0000,7.1800,7.0400,7.0700,1.0000,385188
7.0600,7.0600,2016-07-22,0.0000,7.1700,7.0200,7.0600,1.0000,434611
7.0500,7.0500,2016-07-21,0.0000,7.1900,6.9700,7.1100,1.0000,505894
7.1000,7.1000,2016-07-20,0.0000,7.1450,6.8786,6.9200,1.0000,769543
6.9100,6.9100,2016-07-19,0.0000,6.9400,6.7100,6.7800,1.0000,429874
6.9000,6.9000,2016-07-18,0.0000,6.9500,6.5700,6.7800,1.0000,296546
6.7700,6.7700,2016-07-15,0.0000,6.8500,6.7050,6.8400,1.0000,240308
6.7900,6.7900,2016-07-14,0.0000,6.8300,6.6428,6.7900,1.0000,314982
6.7100,6.7100,2016-07-13,0.0000,6.7900,6.5950,6.7400,1.0000,247567
6.7200,6.7200,2016-07-12,0.0000,6.7450,6.6400,6.6800,1.0000,279730
6.6100,6.6100,2016-07-11,0.0000,6.6400,6.5100,6.5200,1.0000,298324
6.5000,6.5000,2016-07-08,0.0000,6.5300,6.3400,6.4100,1.0000,447077
6.3200,6.3200,2016-07-07,0.0000,6.4000,6.2550,6.3000,1.0000,154970
6.2800,6.2800,2016-07-06,0.0000,6.3300,6.0700,6.1700,1.0000,167780
6.2400,6.2400,2016-07-05,0.0000,6.3400,6.1600,6.3000,1.0000,208739
6.3600,6.3600,2016-07-01,0.0000,6.4500,6.2800,6.4300,1.0000,428541
6.4200,6.4200,2016-06-30,0.0000,6.4500,6.1438,6.1800,1.0000,733597
6.2000,6.2000,2016-06-29,0.0000,6.3100,6.0800,6.2000,1.0000,406167
6.0700,6.0700,2016-06-28,0.0000,6.2600,5.9700,5.9800,1.0000,512596
5.8900,5.8900,2016-06-27,0.0000,6.3000,5.8300,6.0900,1.0000,747644
6.1900,6.1900,2016-06-24,0.0000,6.4100,6.0800,6.2300,1.0000,2465162
6.5900,6.5900,2016-06-23,0.0000,6.6100,6.5250,6.6000,1.0000,377509
6.5200,6.5200,2016-06-22,0.0000,6.7000,6.5200,6.6400,1.0000,184887
6.6100,6.6100,2016-06-21,0.0000,6.6400,6.5500,6.5900,1.0000,245132
6.5700,6.5700,2016-06-20,0.0000,6.7100,6.5500,6.5800,1.0000,339077
6.4800,6.4800,2016-06-17,0.0000,6.5900,6.3700,6.5500,1.0000,687787
6.5600,6.5600,2016-06-16,0.0000,6.6000,6.3800,6.5300,1.0000,272306
6.5700,6.5700,2016-06-15,0.0000,6.6300,6.5000,6.5200,1.0000,509208
6.5200,6.5200,2016-06-14,0.0000,6.5750,6.4836,6.5100,1.0000,486412
6.5300,6.5300,2016-06-13,0.0000,6.6800,6.5100,6.5300,1.0000,340703
6.5500,6.5500,2016-06-10,0.0000,6.7050,6.5400,6.6000,1.0000,275272
6.7100,6.7100,2016-06-09,0.0000,6.7900,6.5882,6.7500,1.0000,426529
6.7900,6.7900,2016-06-08,0.0000,6.8300,6.7000,6.8200,1.0000,294472
6.8200,6.8200,2016-06-07,0.0000,6.9500,6.6600,6.6600,1.0000,252902
6.8600,6.8600,2016-06-06,0.0000,6.9200,6.7900,6.7900,1.0000,415867
6.7800,6.7800,2016-06-03,0.0000,6.9500,6.6900,6.8300,1.0000,518348
6.8300,6.8300,2016-06-02,0.0000,6.9400,6.6600,6.6600,1.0000,611923
6.6600,6.6600,2016-06-01,0.0000,6.7500,6.5100,6.5800,1.0000,717003
6.5800,6.5800,2016-05-31,0.0000,6.7200,6.5700,6.6000,1.0000,725503
6.5800,6.5800,2016-05-27,0.0000,6.6201,6.5100,6.6000,1.0000,411415
6.5800,6.5800,2016-05-26,0.0000,6.6100,6.5500,6.5800,1.0000,328199
6.5800,6.5800,2016-05-25,0.0000,6.6300,6.5000,6.5800,1.0000,468814
6.5800,6.5800,2016-05-24,0.0000,6.6400,6.3400,6.3400,1.0000,648600
6.3400,6.3400,2016-05-23,0.0000,6.3600,6.1800,6.2000,1.0000,578048
6.1800,6.1800,2016-05-20,0.0000,6.2100,6.0400,6.0400,1.0000,301679
5.9900,5.9900,2016-05-19,0.0000,6.2400,5.9600,6.1500,1.0000,204337
6.1800,6.1800,2016-05-18,0.0000,6.2400,5.8188,5.8600,1.0000,484585
5.8800,5.8800,2016-05-17,0.0000,6.1700,5.7700,6.1700,1.0000,796181
6.2100,6.2100,2016-05-16,0.0000,6.3000,6.0800,6.1200,1.0000,365963
6.0800,6.0800,2016-05-13,0.0000,6.1500,6.0400,6.0500,1.0000,215080
6.0800,6.0800,2016-05-12,0.0000,6.2500,5.9900,6.2200,1.0000,357735
6.2000,6.2000,2016-05-11,0.0000,6.2900,6.1500,6.1800,1.0000,453953
6.1900,6.1900,2016-05-10,0.0000,6.2100,6.0800,6.1600,1.0000,259278
6.1100,6.1100,2016-05-09,0.0000,6.1700,6.0300,6.1000,1.0000,345065
6.0900,6.0900,2016-05-06,0.0000,6.1250,5.9300,5.9300,1.0000,314812
5.9900,5.9900,2016-05-05,0.0000,6.1100,5.9200,6.0800,1.0000,440046
6.0200,6.0200,2016-05-04,0.0000,6.2200,5.9800,6.1700,1.0000,389886
6.2100,6.2100,2016-05-03,0.0000,6.4000,6.1300,6.3700,1.0000,662357
6.3600,6.3600,2016-05-02,0.0000,6.4000,6.2000,6.2400,1.0000,835144
6.2400,6.2400,2016-04-29,0.0000,6.3000,5.6400,5.7400,1.0000,970801
6.3200,6.3200,2016-04-28,0.0000,6.5500,6.2400,6.5000,1.0000,669015
6.5100,6.5100,2016-04-27,0.0000,6.5600,6.3400,6.3900,1.0000,334485
6.4100,6.4100,2016-04-26,0.0000,6.5800,6.2100,6.2700,1.0000,592101
6.2200,6.2200,2016-04-25,0.0000,6.4400,6.1500,6.4100,1.0000,380611
6.4100,6.4100,2016-04-22,0.0000,6.5000,6.2400,6.2400,1.0000,376441
6.2500,6.2500,2016-04-21,0.0000,6.3800,6.2100,6.3500,1.0000,302952
6.3600,6.3600,2016-04-20,0.0000,6.4500,6.2300,6.2300,1.0000,266515
6.2500,6.2500,2016-04-19,0.0000,6.3500,6.2300,6.3400,1.0000,257416
6.3100,6.3100,2016-04-18,0.0000,6.3400,6.1700,6.2800,1.0000,477519
6.2800,6.2800,2016-04-15,0.0000,6.4400,6.2500,6.4300,1.0000,270693
6.4700,6.4700,2016-04-14,0.0000,6.5900,6.3600,6.5200,1.0000,234862
6.5800,6.5800,2016-04-13,0.0000,6.6000,6.4000,6.4100,1.0000,441223
6.3900,6.3900,2016-04-12,0.0000,6.4600,6.2100,6.3000,1.0000,290533
6.2800,6.2800,2016-04-11,0.0000,6.5500,6.2500,6.3900,1.0000,298774
6.3400,6.3400,2016-04-08,0.0000,6.5800,6.2800,6.4500,1.0000,279006
6.4100,6.4100,2016-04-07,0.0000,6.4850,6.0800,6.4100,1.0000,285874
6.4700,6.4700,2016-04-06,0.0000,6.4800,6.2200,6.3400,1.0000,333194
6.3500,6.3500,2016-04-05,0.0000,6.4900,6.3200,6.3300,1.0000,326759
6.3700,6.3700,2016-04-04,0.0000,6.6400,6.3300,6.5300,1.0000,392504
6.5400,6.5400,2016-04-01,0.0000,6.5600,6.3300,6.3900,1.0000,356356
6.4600,6.4600,2016-03-31,0.0000,6.5300,6.3800,6.5300,1.0000,458505
6.5500,6.5500,2016-03-30,0.0000,6.6000,6.5000,6.5900,1.0000,571651
6.5500,6.5500,2016-03-29,0.0000,6.5900,6.3000,6.3600,1.0000,396001
6.4300,6.4300,2016-03-28,0.0000,6.4900,6.2900,6.4000,1.0000,453977
6.3900,6.3900,2016-03-24,0.0000,6.4000,6.1500,6.2000,1.0000,366062
6.2700,6.2700,2016-03-23,0.0000,6.5500,6.2500,6.5000,1.0000,370562
6.5000,6.5000,2016-03-22,0.0000,6.5400,6.2600,6.4100,1.0000,452898
6.4100,6.4100,2016-03-21,0.0000,6.4900,6.1600,6.4400,1.0000,430269
6.4800,6.4800,2016-03-18,0.0000,6.6000,6.2000,6.2800,1.0000,905890
6.2400,6.2400,2016-03-17,0.0000,6.3100,6.0400,6.1200,1.0000,511093
6.1400,6.1400,2016-03-16,0.0000,6.1400,5.8611,5.9500,1.0000,519172
5.9900,5.9900,2016-03-15,0.0000,6.0600,5.8200,6.0400,1.0000,578802
6.0400,6.0400,2016-03-14,0.0000,6.2200,6.0000,6.2200,1.0000,342782
6.2200,6.2200,2016-03-11,0.0000,6.2200,5.8682,5.9000,1.0000,768678
5.8800,5.8800,2016-03-10,0.0000,6.0450,5.7400,6.0000,1.0000,550198
5.9600,5.9600,2016-03-09,0.0000,6.1300,5.6639,5.7100,1.0000,817674
5.7000,5.7000,2016-03-08,0.0000,6.0700,5.6900,6.0100,1.0000,507056
6.0500,6.0500,2016-03-07,0.0000,6.0999,5.9300,6.0000,1.0000,415754
6.0300,6.0300,2016-03-04,0.0000,6.1900,5.9900,6.1600,1.0000,508675
6.1300,6.1300,2016-03-03,0.0000,6.1900,5.9800,5.9900,1.0000,416064
6.0000,6.0000,2016-03-02,0.0000,6.0700,5.9200,5.9400,1.0000,283722
5.9300,5.9300,2016-03-01,0.0000,5.9800,5.7600,5.8400,1.0000,316870
5.7800,5.7800,2016-02-29,0.0000,5.9200,5.6600,5.6600,1.0000,573779
5.6600,5.6600,2016-02-26,0.0000,5.6700,5.5500,5.5500,1.0000,434300
5.5000,5.5000,2016-02-25,0.0000,5.7400,5.2550,5.7100,1.0000,366059
5.6800,5.6800,2016-02-24,0.0000,5.6900,5.4350,5.5800,1.0000,368582
5.6500,5.6500,2016-02-23,0.0000,5.7000,5.5100,5.5700,1.0000,487837
5.5900,5.5900,2016-02-22,0.0000,5.6300,5.4100,5.4800,1.0000,535007
5.3800,5.3800,2016-02-19,0.0000,5.5000,5.3500,5.3900,1.0000,391321
5.4000,5.4000,2016-02-18,0.0000,5.5400,5.2450,5.3000,1.0000,760317
5.2900,5.2900,2016-02-17,0.0000,5.5000,5.2100,5.3800,1.0000,1112025
5.3600,5.3600,2016-02-16,0.0000,5.3900,5.1900,5.2000,1.0000,605167
5.1500,5.1500,2016-02-12,0.0000,5.2720,5.0874,5.2300,1.0000,291445
5.1700,5.1700,2016-02-11,0.0000,5.2100,4.9300,5.0000,1.0000,431621
5.0800,5.0800,2016-02-10,0.0000,5.3400,5.0700,5.2100,1.0000,1112287
5.1500,5.1500,2016-02-09,0.0000,5.2500,5.0500,5.1600,1.0000,583314
5.2500,5.2500,2016-02-08,0.0000,5.3000,5.1300,5.2500,1.0000,662946
5.2900,5.2900,2016-02-05,0.0000,5.4500,5.2616,5.4500,1.0000,621186
5.4800,5.4800,2016-02-04,0.0000,5.5250,5.3400,5.3400,1.0000,467536
5.3500,5.3500,2016-02-03,0.0000,5.4600,5.2900,5.4300,1.0000,602007
5.4000,5.4000,2016-02-02,0.0000,5.4600,5.3100,5.4000,1.0000,692440
5.5100,5.5100,2016-02-01,0.0000,5.5600,5.2950,5.4900,1.0000,488990
5.5600,5.5600,2016-01-29,0.0000,5.5600,4.9600,5.2500,1.0000,1188746
5.5300,5.5300,2016-01-28,0.0000,5.7100,5.4600,5.6700,1.0000,539864
5.6100,5.6100,2016-01-27,0.0000,5.8100,5.5200,5.7600,1.0000,622893
5.8100,5.8100,2016-01-26,0.0000,5.8500,5.6200,5.7600,1.0000,373394
5.7400,5.7400,2016-01-25,0.0000,5.8200,5.6400,5.8000,1.0000,446554
5.8100,5.8100,2016-01-22,0.0000,5.8599,5.5200,5.6700,1.0000,476755
5.5800,5.5800,2016-01-21,0.0000,5.7850,5.4000,5.5300,1.0000,697457
5.5300,5.5300,2016-01-20,0.0000,5.5900,5.0700,5.1000,1.0000,717361
5.2100,5.2100,2016-01-19,0.0000,5.4200,5.0500,5.4000,1.0000,671760
5.3000,5.3000,2016-01-15,0.0000,5.3300,5.1200,5.2400,1.0000,750149
5.4800,5.4800,2016-01-14,0.0000,5.6000,5.2200,5.3200,1.0000,443843
5.2900,5.2900,2016-01-13,0.0000,5.6400,5.2750,5.5300,1.0000,413355
5.5200,5.5200,2016-01-12,0.0000,5.7700,5.4200,5.5600,1.0000,406695
5.4800,5.4800,2016-01-11,0.0000,5.6850,5.3200,5.5900,1.0000,929551
5.5650,5.5650,2016-01-08,0.0000,6.0400,5.5600,5.9300,1.0000,1001717
5.8900,5.8900,2016-01-07,0.0000,6.0600,5.8300,5.9500,1.0000,659722
6.1000,6.1000,2016-01-06,0.0000,6.4200,6.0500,6.0700,1.0000,531047
6.1900,6.1900,2016-01-05,0.0000,6.2100,6.0400,6.1700,1.0000,507861
6.1200,6.1200,2016-01-04,0.0000,6.2580,6.0800,6.2000,1.0000,473427
6.3700,6.3700,2015-12-31,0.0000,6.6010,6.3400,6.5400,1.0000,573992
6.5700,6.5700,2015-12-30,0.0000,6.8700,6.5400,6.8600,1.0000,434176
6.8600,6.8600,2015-12-29,0.0000,6.9600,6.5100,6.5100,1.0000,768854
6.4800,6.4800,2015-12-28,0.0000,6.5200,6.3500,6.4700,1.0000,329531
6.4700,6.4700,2015-12-24,0.0000,6.5900,6.4400,6.5200,1.0000,199316
6.5100,6.5100,2015-12-23,0.0000,6.5600,6.4400,6.4900,1.0000,306226
6.4700,6.4700,2015-12-22,0.0000,6.4900,6.3300,6.3800,1.0000,360247
6.3800,6.3800,2015-12-21,0.0000,6.4400,6.3000,6.4100,1.0000,327252
6.3400,6.3400,2015-12-18,0.0000,6.4750,6.2800,6.3900,1.0000,1522617
6.4300,6.4300,2015-12-17,0.0000,6.5550,6.4100,6.4700,1.0000,532647
6.4300,6.4300,2015-12-16,0.0000,6.6366,6.1700,6.4100,1.0000,741226
6.4000,6.4000,2015-12-15,0.0000,6.5850,6.3650,6.5000,1.0000,660938
6.5100,6.5100,2015-12-14,0.0000,6.5800,6.4400,6.5700,1.0000,656149
6.5800,6.5800,2015-12-11,0.0000,6.7800,6.5000,6.5600,1.0000,598938
6.6800,6.6800,2015-12-10,0.0000,6.9200,6.5800,6.7600,1.0000,735145
6.7600,6.7600,2015-12-09,0.0000,7.2950,6.6650,7.0800,1.0000,886586
7.0900,7.0900,2015-12-08,0.0000,7.1900,6.9700,7.1300,1.0000,981647
7.2800,7.2800,2015-12-07,0.0000,7.4800,7.0900,7.4800,1.0000,709793
7.4900,7.4900,2015-12-04,0.0000,7.6400,7.3300,7.3600,1.0000,992615
7.3800,7.3800,2015-12-03,0.0000,7.4480,7.1300,7.4100,1.0000,453254
7.3300,7.3300,2015-12-02,0.0000,7.4400,7.2400,7.3200,1.0000,453385
7.3100,7.3100,2015-12-01,0.0000,7.4050,7.2600,7.3100,1.0000,528292
7.3200,7.3200,2015-11-30,0.0000,7.4450,7.2700,7.2700,1.0000,617247
7.2800,7.2800,2015-11-27,0.0000,7.3600,7.2500,7.3600,1.0000,236123
7.2700,7.2700,2015-11-25,0.0000,7.3500,7.2200,7.2800,1.0000,482672
7.2800,7.2800,2015-11-24,0.0000,7.4750,7.1100,7.1300,1.0000,995991
7.1400,7.1400,2015-11-23,0.0000,7.3100,7.0800,7.2900,1.0000,522154
7.3300,7.3300,2015-11-20,0.0000,7.4700,7.2100,7.3800,1.0000,689390
7.3300,7.3300,2015-11-19,0.0000,7.6000,7.3000,7.5800,1.0000,1037350
7.5400,7.5400,2015-11-18,0.0000,7.6800,7.2500,7.2600,1.0000,1378699
