adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.7299,0.7299,2020-05-12,0.0000,0.7500,0.7150,0.7150,1.0000,127790
0.7102,0.7102,2020-05-11,0.0000,0.7399,0.7050,0.7050,1.0000,133871
0.7050,0.7050,2020-05-08,0.0000,0.7796,0.7000,0.7236,1.0000,403627
0.7490,0.7490,2020-05-07,0.0000,0.7999,0.7236,0.7500,1.0000,224368
0.7800,0.7800,2020-05-06,0.0000,0.8500,0.7400,0.8000,1.0000,481704
0.8311,0.8311,2020-05-05,0.0000,0.8399,0.7100,0.7650,1.0000,527391
0.8501,0.8501,2020-05-04,0.0000,0.8600,0.6500,0.7000,1.0000,2291546
0.8500,0.8500,2020-05-01,0.0000,1.7200,0.7500,0.7500,1.0000,42636703
0.5800,0.5800,2020-04-30,0.0000,0.6100,0.5700,0.6100,1.0000,77809
0.6199,0.6199,2020-04-29,0.0000,0.6199,0.5701,0.5800,1.0000,78544
0.5701,0.5701,2020-04-28,0.0000,0.5779,0.5520,0.5779,1.0000,40573
0.5725,0.5725,2020-04-27,0.0000,0.5769,0.5520,0.5600,1.0000,37136
0.5600,0.5600,2020-04-24,0.0000,0.5770,0.5406,0.5600,1.0000,28388
0.5698,0.5698,2020-04-23,0.0000,0.5798,0.5600,0.5729,1.0000,34395
0.5650,0.5650,2020-04-22,0.0000,0.5700,0.5406,0.5411,1.0000,21002
0.5495,0.5495,2020-04-21,0.0000,0.5899,0.5450,0.5610,1.0000,51493
0.5599,0.5599,2020-04-20,0.0000,0.5900,0.5551,0.5603,1.0000,59632
0.5810,0.5810,2020-04-17,0.0000,0.5999,0.5600,0.5985,1.0000,46577
0.5700,0.5700,2020-04-16,0.0000,0.6000,0.5600,0.5750,1.0000,34169
0.5999,0.5999,2020-04-15,0.0000,0.6169,0.5701,0.6169,1.0000,28066
0.6092,0.6092,2020-04-14,0.0000,0.6296,0.5700,0.6148,1.0000,118692
0.6102,0.6102,2020-04-13,0.0000,0.6319,0.5639,0.5895,1.0000,168166
0.5500,0.5500,2020-04-09,0.0000,0.5998,0.5303,0.5700,1.0000,59718
0.5750,0.5750,2020-04-08,0.0000,0.5750,0.5303,0.5689,1.0000,78408
0.5690,0.5690,2020-04-07,0.0000,0.5700,0.5303,0.5400,1.0000,62412
0.5399,0.5399,2020-04-06,0.0000,0.5695,0.5012,0.5012,1.0000,85681
0.5008,0.5008,2020-04-03,0.0000,0.5370,0.4900,0.4900,1.0000,101206
0.5200,0.5200,2020-04-02,0.0000,0.5800,0.5050,0.5713,1.0000,76616
0.5400,0.5400,2020-04-01,0.0000,0.6398,0.5135,0.5300,1.0000,201382
0.5200,0.5200,2020-03-31,0.0000,0.5700,0.5053,0.5579,1.0000,58017
0.5580,0.5580,2020-03-30,0.0000,0.5700,0.5051,0.5700,1.0000,67617
0.5500,0.5500,2020-03-27,0.0000,0.5500,0.5051,0.5250,1.0000,178616
0.5000,0.5000,2020-03-26,0.0000,0.5400,0.4820,0.5300,1.0000,162257
0.5300,0.5300,2020-03-25,0.0000,0.5800,0.5100,0.5500,1.0000,247511
0.5801,0.5801,2020-03-24,0.0000,0.6800,0.5129,0.6800,1.0000,290881
0.6800,0.6800,2020-03-23,0.0000,0.7000,0.5400,0.6400,1.0000,557212
