adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
1.2800,1.2800,2020-05-12,0.0000,1.3300,1.2800,1.3112,1.0000,209688
1.3000,1.3000,2020-05-11,0.0000,1.3000,1.2500,1.2650,1.0000,88050
1.2800,1.2800,2020-05-08,0.0000,1.3100,1.2699,1.2700,1.0000,124802
1.2649,1.2649,2020-05-07,0.0000,1.2694,1.1700,1.1756,1.0000,165720
1.1567,1.1567,2020-05-06,0.0000,1.1900,1.1310,1.1900,1.0000,68367
1.1890,1.1890,2020-05-05,0.0000,1.1890,1.1101,1.1500,1.0000,134568
1.1305,1.1305,2020-05-04,0.0000,1.1470,1.0820,1.0820,1.0000,179239
1.0700,1.0700,2020-05-01,0.0000,1.0800,1.0100,1.0400,1.0000,65410
1.0400,1.0400,2020-04-30,0.0000,1.0936,1.0400,1.0900,1.0000,89416
1.0815,1.0815,2020-04-29,0.0000,1.1100,1.0522,1.0871,1.0000,130130
1.0700,1.0700,2020-04-28,0.0000,1.0969,1.0400,1.0400,1.0000,123784
1.0906,1.0906,2020-04-27,0.0000,1.1000,0.9957,1.0300,1.0000,265209
1.0100,1.0100,2020-04-24,0.0000,1.1000,0.9949,1.1000,1.0000,114264
1.0400,1.0400,2020-04-23,0.0000,1.0901,1.0300,1.0364,1.0000,269639
1.0200,1.0200,2020-04-22,0.0000,1.0200,0.9815,1.0100,1.0000,222885
0.9500,0.9500,2020-04-21,0.0000,0.9572,0.8895,0.8895,1.0000,64012
0.9503,0.9503,2020-04-20,0.0000,0.9770,0.9184,0.9184,1.0000,244292
0.9306,0.9306,2020-04-17,0.0000,0.9669,0.9049,0.9049,1.0000,84727
0.9510,0.9510,2020-04-16,0.0000,1.0000,0.9251,0.9692,1.0000,90837
0.9399,0.9399,2020-04-15,0.0000,1.0000,0.8882,1.0000,1.0000,274709
1.0000,1.0000,2020-04-14,0.0000,1.0990,0.9800,1.0700,1.0000,571895
0.9800,0.9800,2020-04-13,0.0000,0.9996,0.8748,0.9660,1.0000,530290
0.8241,0.8241,2020-04-09,0.0000,0.8373,0.7846,0.7846,1.0000,270913
0.7500,0.7500,2020-04-08,0.0000,0.7500,0.7100,0.7500,1.0000,37766
0.7181,0.7181,2020-04-07,0.0000,0.7750,0.7151,0.7750,1.0000,200940
0.7499,0.7499,2020-04-06,0.0000,0.7650,0.7200,0.7200,1.0000,318805
0.7200,0.7200,2020-04-03,0.0000,0.7200,0.6900,0.7000,1.0000,46806
0.7039,0.7039,2020-04-02,0.0000,0.7317,0.6774,0.6774,1.0000,422015
0.6698,0.6698,2020-04-01,0.0000,0.7600,0.6565,0.7550,1.0000,226739
0.7650,0.7650,2020-03-31,0.0000,0.7799,0.7250,0.7403,1.0000,75951
0.7550,0.7550,2020-03-30,0.0000,0.8108,0.7200,0.8000,1.0000,55312
0.7500,0.7500,2020-03-27,0.0000,0.7529,0.7300,0.7500,1.0000,44893
0.7664,0.7664,2020-03-26,0.0000,0.8200,0.7544,0.8100,1.0000,179435
0.7919,0.7919,2020-03-25,0.0000,0.8210,0.7458,0.8210,1.0000,101050
0.7709,0.7709,2020-03-24,0.0000,0.7950,0.7542,0.7810,1.0000,264622
0.6879,0.6879,2020-03-23,0.0000,0.7079,0.6400,0.6419,1.0000,382332
0.6505,0.6505,2020-03-20,0.0000,0.7198,0.6400,0.7198,1.0000,72316
0.7690,0.7690,2020-03-19,0.0000,0.8163,0.6321,0.7589,1.0000,59556
0.7370,0.7370,2020-03-18,0.0000,0.8310,0.6800,0.8300,1.0000,151240
0.7914,0.7914,2020-03-17,0.0000,0.8200,0.6814,0.7258,1.0000,74180
0.7040,0.7040,2020-03-16,0.0000,0.7347,0.5520,0.6008,1.0000,417808
0.7020,0.7020,2020-03-13,0.0000,0.7697,0.6492,0.7697,1.0000,170478
0.7508,0.7508,2020-03-12,0.0000,0.8110,0.5321,0.5321,1.0000,159369
0.8406,0.8406,2020-03-11,0.0000,0.9250,0.8168,0.9250,1.0000,78877
0.9380,0.9380,2020-03-10,0.0000,0.9758,0.8746,0.9758,1.0000,80399
0.9787,0.9787,2020-03-09,0.0000,1.0721,0.9200,1.0721,1.0000,83774
1.0800,1.0800,2020-03-06,0.0000,1.1200,0.9929,1.0900,1.0000,194975
1.0700,1.0700,2020-03-05,0.0000,1.0809,0.9850,0.9850,1.0000,63220
0.9651,0.9651,2020-03-04,0.0000,1.0100,0.9651,1.0000,1.0000,18008
0.9740,0.9740,2020-03-03,0.0000,1.0200,0.9300,0.9300,1.0000,108145
0.9302,0.9302,2020-03-02,0.0000,1.0200,0.9200,0.9336,1.0000,78996
0.9591,0.9591,2020-02-28,0.0000,0.9750,0.8500,0.9425,1.0000,272021
1.0300,1.0300,2020-02-27,0.0000,1.1371,1.0100,1.1371,1.0000,364592
1.1293,1.1293,2020-02-26,0.0000,1.1800,1.1200,1.1800,1.0000,207893
1.1800,1.1800,2020-02-25,0.0000,1.2400,1.1600,1.1850,1.0000,136478
1.1900,1.1900,2020-02-24,0.0000,1.2400,1.1800,1.1983,1.0000,162612
1.1600,1.1600,2020-02-21,0.0000,1.2110,1.1500,1.1500,1.0000,166601
1.1800,1.1800,2020-02-20,0.0000,1.2195,1.1700,1.2195,1.0000,50326
1.2100,1.2100,2020-02-19,0.0000,1.2200,1.2000,1.2158,1.0000,26771
1.2000,1.2000,2020-02-18,0.0000,1.2200,1.1521,1.1600,1.0000,96417
1.1505,1.1505,2020-02-14,0.0000,1.1700,1.1400,1.1500,1.0000,48403
1.1500,1.1500,2020-02-13,0.0000,1.1700,1.1500,1.1700,1.0000,33700
1.1600,1.1600,2020-02-12,0.0000,1.2067,1.1500,1.1950,1.0000,32976
1.2000,1.2000,2020-02-11,0.0000,1.2100,1.1824,1.2000,1.0000,45993
1.2249,1.2249,2020-02-10,0.0000,1.2400,1.1800,1.2000,1.0000,26770
1.2000,1.2000,2020-02-07,0.0000,1.2100,1.2000,1.2000,1.0000,5160
1.2496,1.2496,2020-02-06,0.0000,1.2500,1.1805,1.1805,1.0000,45103
1.2000,1.2000,2020-02-05,0.0000,1.2100,1.1647,1.1800,1.0000,25200
1.1800,1.1800,2020-02-04,0.0000,1.2800,1.1700,1.2800,1.0000,121992
1.2783,1.2783,2020-02-03,0.0000,1.3500,1.2700,1.3500,1.0000,33788
1.3500,1.3500,2020-01-31,0.0000,1.3500,1.2900,1.3200,1.0000,27655
1.3000,1.3000,2020-01-30,0.0000,1.3100,1.2500,1.2500,1.0000,54180
1.2400,1.2400,2020-01-29,0.0000,1.2795,1.2300,1.2400,1.0000,36655
1.2600,1.2600,2020-01-28,0.0000,1.2900,1.2400,1.2859,1.0000,41833
1.2800,1.2800,2020-01-27,0.0000,1.3400,1.2600,1.3400,1.0000,60186
1.3200,1.3200,2020-01-24,0.0000,1.3400,1.3000,1.3000,1.0000,19861
1.2921,1.2921,2020-01-23,0.0000,1.3600,1.2700,1.3500,1.0000,100565
1.3300,1.3300,2020-01-22,0.0000,1.3500,1.3300,1.3327,1.0000,37524
1.3300,1.3300,2020-01-21,0.0000,1.3500,1.3013,1.3445,1.0000,112334
1.2900,1.2900,2020-01-17,0.0000,1.4486,1.2900,1.4486,1.0000,290968
1.4893,1.4893,2020-01-16,0.0000,1.5000,1.4634,1.4700,1.0000,40470
1.4900,1.4900,2020-01-15,0.0000,1.5341,1.4900,1.5200,1.0000,120115
1.5080,1.5080,2020-01-14,0.0000,1.5700,1.5000,1.5163,1.0000,20713
1.5321,1.5321,2020-01-13,0.0000,1.6100,1.5321,1.5990,1.0000,25663
1.5800,1.5800,2020-01-10,0.0000,1.5800,1.5015,1.5200,1.0000,32290
1.5100,1.5100,2020-01-09,0.0000,1.6400,1.5000,1.6400,1.0000,118540
1.6376,1.6376,2020-01-08,0.0000,1.6600,1.6000,1.6400,1.0000,106171
1.6900,1.6900,2020-01-07,0.0000,1.7055,1.5893,1.6000,1.0000,70636
1.5600,1.5600,2020-01-06,0.0000,1.5850,1.5300,1.5699,1.0000,47014
1.5050,1.5050,2020-01-03,0.0000,1.5800,1.5000,1.5300,1.0000,57700
1.5213,1.5213,2020-01-02,0.0000,1.5800,1.4500,1.4500,1.0000,39958
1.4901,1.4901,2019-12-31,0.0000,1.5100,1.4700,1.4800,1.0000,54722
1.4768,1.4768,2019-12-30,0.0000,1.5000,1.4300,1.4300,1.0000,82063
1.4300,1.4300,2019-12-27,0.0000,1.4743,1.4100,1.4478,1.0000,35909
1.4950,1.4950,2019-12-26,0.0000,1.5300,1.4200,1.4200,1.0000,19280
1.4100,1.4100,2019-12-24,0.0000,1.4200,1.3300,1.3500,1.0000,50444
1.3200,1.3200,2019-12-23,0.0000,1.3600,1.3200,1.3313,1.0000,41024
1.3000,1.3000,2019-12-20,0.0000,1.3500,1.3000,1.3500,1.0000,31715
1.3395,1.3395,2019-12-19,0.0000,1.3600,1.3300,1.3400,1.0000,25540
1.3600,1.3600,2019-12-18,0.0000,1.3700,1.3450,1.3700,1.0000,9662
1.3600,1.3600,2019-12-17,0.0000,1.3700,1.3500,1.3700,1.0000,21450
1.3800,1.3800,2019-12-16,0.0000,1.3800,1.3400,1.3536,1.0000,23388
1.3500,1.3500,2019-12-13,0.0000,1.4200,1.3500,1.4100,1.0000,53423
1.4100,1.4100,2019-12-12,0.0000,1.4600,1.3900,1.4500,1.0000,49150
1.4264,1.4264,2019-12-11,0.0000,1.4500,1.4100,1.4200,1.0000,14500
1.4200,1.4200,2019-12-10,0.0000,1.4435,1.4000,1.4000,1.0000,11360
1.4000,1.4000,2019-12-09,0.0000,1.4100,1.3600,1.3952,1.0000,18249
1.3897,1.3897,2019-12-06,0.0000,1.4150,1.3800,1.3800,1.0000,21926
1.4800,1.4800,2019-12-05,0.0000,1.4989,1.4600,1.4619,1.0000,28547
1.4851,1.4851,2019-12-04,0.0000,1.4900,1.4400,1.4900,1.0000,11091
1.4800,1.4800,2019-12-03,0.0000,1.5000,1.4600,1.4600,1.0000,73233
1.4579,1.4579,2019-12-02,0.0000,1.4579,1.2945,1.2945,1.0000,28176
1.3750,1.3750,2019-11-29,0.0000,1.3879,1.3289,1.3289,1.0000,14400
1.2893,1.2893,2019-11-27,0.0000,1.2900,1.2776,1.2900,1.0000,5500
1.3100,1.3100,2019-11-26,0.0000,1.3100,1.2695,1.2770,1.0000,12316
1.2713,1.2713,2019-11-25,0.0000,1.3384,1.2713,1.3384,1.0000,82172
1.3300,1.3300,2019-11-22,0.0000,1.3400,1.2917,1.3200,1.0000,5325
1.3100,1.3100,2019-11-21,0.0000,1.3800,1.3100,1.3800,1.0000,9472
1.3895,1.3895,2019-11-20,0.0000,1.3900,1.3200,1.3200,1.0000,60384
1.3400,1.3400,2019-11-19,0.0000,1.3800,1.2800,1.2800,1.0000,56860
1.3300,1.3300,2019-11-18,0.0000,1.3300,1.3050,1.3200,1.0000,23921
1.3200,1.3200,2019-11-15,0.0000,1.3595,1.3000,1.3500,1.0000,62230
1.3600,1.3600,2019-11-14,0.0000,1.3900,1.3600,1.3600,1.0000,12638
1.3700,1.3700,2019-11-13,0.0000,1.4000,1.3700,1.3800,1.0000,42344
1.3788,1.3788,2019-11-12,0.0000,1.3788,1.2845,1.3300,1.0000,54866
1.3300,1.3300,2019-11-11,0.0000,1.3300,1.2500,1.2600,1.0000,160930
1.2600,1.2600,2019-11-08,0.0000,1.3600,1.2400,1.3600,1.0000,98368
1.4000,1.4000,2019-11-07,0.0000,1.4600,1.3900,1.4500,1.0000,64615
1.4800,1.4800,2019-11-06,0.0000,1.5500,1.4792,1.5237,1.0000,58050
1.5550,1.5550,2019-11-05,0.0000,1.5800,1.5500,1.5700,1.0000,18504
1.6200,1.6200,2019-11-04,0.0000,1.6600,1.6200,1.6200,1.0000,8950
1.6500,1.6500,2019-11-01,0.0000,1.6500,1.6381,1.6400,1.0000,9871
1.6400,1.6400,2019-10-31,0.0000,1.6400,1.6130,1.6326,1.0000,8647
1.5708,1.5708,2019-10-30,0.0000,1.6000,1.5563,1.5800,1.0000,10510
1.5727,1.5727,2019-10-29,0.0000,1.5900,1.5147,1.5569,1.0000,92856
1.6460,1.6460,2019-10-28,0.0000,1.6700,1.6300,1.6700,1.0000,16050
1.6600,1.6600,2019-10-25,0.0000,1.7367,1.6575,1.7291,1.0000,115351
1.6595,1.6595,2019-10-24,0.0000,1.6600,1.6150,1.6150,1.0000,36502
1.6300,1.6300,2019-10-23,0.0000,1.6600,1.6200,1.6600,1.0000,48396
1.6400,1.6400,2019-10-22,0.0000,1.6400,1.5900,1.6279,1.0000,4676
1.6365,1.6365,2019-10-21,0.0000,1.6700,1.6100,1.6700,1.0000,11246
1.6600,1.6600,2019-10-18,0.0000,1.7095,1.6501,1.6980,1.0000,59367
1.6700,1.6700,2019-10-17,0.0000,1.7000,1.5800,1.5800,1.0000,26160
1.6100,1.6100,2019-10-16,0.0000,1.6100,1.5100,1.5100,1.0000,14809
1.5700,1.5700,2019-10-15,0.0000,1.5929,1.5600,1.5600,1.0000,13600
1.5700,1.5700,2019-10-14,0.0000,1.5700,1.5700,1.5700,1.0000,1000
1.6000,1.6000,2019-10-11,0.0000,1.6300,1.5800,1.5800,1.0000,9045
1.6100,1.6100,2019-10-10,0.0000,1.6300,1.6000,1.6200,1.0000,25786
1.6500,1.6500,2019-10-09,0.0000,1.6700,1.6343,1.6700,1.0000,13001
1.6500,1.6500,2019-10-08,0.0000,1.6600,1.6400,1.6600,1.0000,8004
1.6400,1.6400,2019-10-07,0.0000,1.7344,1.6400,1.7344,1.0000,14197
1.6900,1.6900,2019-10-04,0.0000,1.7000,1.6600,1.6800,1.0000,12019
1.6895,1.6895,2019-10-03,0.0000,1.7300,1.6800,1.6900,1.0000,43888
1.6427,1.6427,2019-10-02,0.0000,1.6550,1.6300,1.6345,1.0000,4400
1.6100,1.6100,2019-10-01,0.0000,1.6100,1.5100,1.5718,1.0000,32050
1.6000,1.6000,2019-09-30,0.0000,1.6900,1.5600,1.6900,1.0000,35080
1.7200,1.7200,2019-09-27,0.0000,1.7300,1.6600,1.6600,1.0000,11650
1.6900,1.6900,2019-09-26,0.0000,1.7200,1.6804,1.7000,1.0000,11601
1.7500,1.7500,2019-09-25,0.0000,1.7600,1.7185,1.7600,1.0000,14424
1.8300,1.8300,2019-09-24,0.0000,1.8500,1.7700,1.8101,1.0000,117971
1.8095,1.8095,2019-09-23,0.0000,1.8200,1.7900,1.8000,1.0000,56300
1.7500,1.7500,2019-09-20,0.0000,1.7790,1.7495,1.7500,1.0000,7590
1.7100,1.7100,2019-09-19,0.0000,1.7552,1.7000,1.7300,1.0000,12557
1.7232,1.7232,2019-09-18,0.0000,1.7400,1.7000,1.7264,1.0000,7325
1.7700,1.7700,2019-09-17,0.0000,1.7700,1.7000,1.7000,1.0000,2117
1.7776,1.7776,2019-09-16,0.0000,1.7890,1.7650,1.7865,1.0000,29575
