adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
9.3900,9.3900,2020-05-12,0.0000,9.7770,9.2200,9.5800,1.0000,23871
9.6600,9.6600,2020-05-11,0.0000,9.8907,9.3750,9.6000,1.0000,15277
9.6848,9.6848,2020-05-08,0.0000,9.7000,9.2500,9.5000,1.0000,17856
9.4300,9.4300,2020-05-07,0.0000,9.7165,9.1246,9.2700,1.0000,6370
9.2700,9.2700,2020-05-06,0.0000,9.4200,9.0500,9.4200,1.0000,6345
9.1700,9.1700,2020-05-05,0.0000,9.5315,9.1700,9.1900,1.0000,7374
9.0462,9.0462,2020-05-04,0.0000,9.3500,8.9300,9.2700,1.0000,18077
9.3300,9.3300,2020-05-01,0.0000,9.5000,9.1250,9.5000,1.0000,5427
9.4800,9.4800,2020-04-30,0.0000,10.0800,9.4200,10.0800,1.0000,10063
9.8582,9.8582,2020-04-29,0.0000,9.9597,9.5135,9.7909,1.0000,14312
9.4700,9.4700,2020-04-28,0.0000,9.7400,9.4000,9.4900,1.0000,6539
9.4900,9.4900,2020-04-27,0.0000,9.6000,9.2601,9.6000,1.0000,6738
9.3000,9.3000,2020-04-24,0.0000,9.4500,9.0500,9.2500,1.0000,7712
9.2400,9.2400,2020-04-23,0.0000,9.5535,9.1600,9.2800,1.0000,4875
9.4200,9.4200,2020-04-22,0.0000,9.9400,9.3500,9.6650,1.0000,10082
9.1800,9.1800,2020-04-21,0.0000,9.4500,9.0000,9.1440,1.0000,1215
9.5550,9.5550,2020-04-20,0.0000,9.9360,9.2075,9.3600,1.0000,2809
9.6800,9.6800,2020-04-17,0.0000,9.7234,9.0700,9.2527,1.0000,6732
9.4800,9.4800,2020-04-16,0.0000,9.7240,9.4800,9.6030,1.0000,5668
9.6000,9.6000,2020-04-15,0.0000,9.7050,9.4600,9.5000,1.0000,13952
9.9900,9.9900,2020-04-14,0.0000,10.1700,9.5000,9.5000,1.0000,12163
9.1307,9.1307,2020-04-13,0.0000,9.8390,9.1307,9.8390,1.0000,2272
9.4100,9.4100,2020-04-09,0.0000,10.0000,9.0600,9.1400,1.0000,17774
8.8800,8.8800,2020-04-08,0.0000,9.2500,8.8600,8.9900,1.0000,10302
8.8000,8.8000,2020-04-07,0.0000,9.3500,8.7500,8.8800,1.0000,18464
