adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.2500,0.2500,2020-05-12,0.0000,0.2700,0.2500,0.2700,1.0000,4500
0.2750,0.2750,2020-05-11,0.0000,0.2750,0.2500,0.2500,1.0000,6585
0.2500,0.2500,2020-05-05,0.0000,0.3000,0.2500,0.3000,1.0000,5203
0.3000,0.3000,2020-04-29,0.0000,0.3000,0.3000,0.3000,1.0000,278
0.3000,0.3000,2020-04-24,0.0000,0.3000,0.3000,0.3000,1.0000,2563
0.3300,0.3300,2020-04-23,0.0000,0.3300,0.2980,0.2980,1.0000,4371
0.2640,0.2640,2020-04-22,0.0000,0.2670,0.2640,0.2670,1.0000,3000
0.2640,0.2640,2020-04-21,0.0000,0.2640,0.2640,0.2640,1.0000,3030
0.2900,0.2900,2020-04-20,0.0000,0.2900,0.2900,0.2900,1.0000,200
0.2500,0.2500,2020-04-17,0.0000,0.2500,0.2500,0.2500,1.0000,2000
0.2500,0.2500,2020-04-16,0.0000,0.2500,0.2500,0.2500,1.0000,1000
0.2500,0.2500,2020-04-15,0.0000,0.2500,0.2500,0.2500,1.0000,400
0.2600,0.2600,2020-04-14,0.0000,0.3500,0.2600,0.3500,1.0000,1725
0.2600,0.2600,2020-04-13,0.0000,0.2600,0.2600,0.2600,1.0000,45
0.2600,0.2600,2020-04-07,0.0000,0.2600,0.2600,0.2600,1.0000,2500
0.2500,0.2500,2020-04-06,0.0000,0.2500,0.2400,0.2400,1.0000,1162
0.2160,0.2160,2020-03-27,0.0000,0.3500,0.2160,0.3500,1.0000,1211
0.3500,0.3500,2020-03-26,0.0000,0.3500,0.3500,0.3500,1.0000,1000
0.3500,0.3500,2020-03-25,0.0000,0.3500,0.2000,0.2000,1.0000,17250
0.1550,0.1550,2020-03-24,0.0000,0.1550,0.1550,0.1550,1.0000,500
0.1500,0.1500,2020-03-20,0.0000,0.1500,0.1500,0.1500,1.0000,20900
0.1500,0.1500,2020-03-19,0.0000,0.1500,0.1500,0.1500,1.0000,1405
0.1500,0.1500,2020-03-18,0.0000,0.1500,0.1500,0.1500,1.0000,1200
0.2400,0.2400,2020-03-17,0.0000,0.2400,0.2400,0.2400,1.0000,300
0.2500,0.2500,2020-03-16,0.0000,0.2550,0.2500,0.2550,1.0000,1165
0.2800,0.2800,2020-03-13,0.0000,0.2800,0.2800,0.2800,1.0000,357
0.2800,0.2800,2020-03-12,0.0000,0.2800,0.2800,0.2800,1.0000,1300
0.2800,0.2800,2020-03-11,0.0000,0.3100,0.2800,0.3100,1.0000,4350
0.3400,0.3400,2020-03-10,0.0000,0.3400,0.3400,0.3400,1.0000,3900
0.3000,0.3000,2020-03-09,0.0000,0.3000,0.2500,0.3000,1.0000,2300
0.3100,0.3100,2020-03-06,0.0000,0.3100,0.3100,0.3100,1.0000,344
0.2900,0.2900,2020-03-04,0.0000,0.2900,0.2900,0.2900,1.0000,1
0.2900,0.2900,2020-03-02,0.0000,0.2900,0.2900,0.2900,1.0000,537
0.3012,0.3012,2020-02-28,0.0000,0.3012,0.3000,0.3000,1.0000,1341
0.4000,0.4000,2020-02-27,0.0000,0.4000,0.4000,0.4000,1.0000,4595
0.4200,0.4200,2020-02-26,0.0000,0.4200,0.4200,0.4200,1.0000,23
0.4200,0.4200,2020-02-25,0.0000,0.4200,0.4200,0.4200,1.0000,8150
0.3990,0.3990,2020-02-24,0.0000,0.4200,0.3990,0.4200,1.0000,31689
0.3500,0.3500,2020-02-20,0.0000,0.4100,0.3500,0.4020,1.0000,2296
0.4170,0.4170,2020-02-19,0.0000,0.4400,0.4170,0.4400,1.0000,3949
0.4170,0.4170,2020-02-13,0.0000,0.4600,0.4170,0.4600,1.0000,1200
0.4000,0.4000,2020-02-12,0.0000,0.4600,0.3900,0.3900,1.0000,10170
0.4650,0.4650,2020-02-11,0.0000,0.4650,0.4500,0.4500,1.0000,10600
0.4800,0.4800,2020-02-10,0.0000,0.4800,0.4800,0.4800,1.0000,1000
0.3700,0.3700,2020-02-07,0.0000,0.3700,0.3700,0.3700,1.0000,217
0.4800,0.4800,2020-02-06,0.0000,0.4800,0.4300,0.4300,1.0000,5799
0.4300,0.4300,2020-02-05,0.0000,0.4600,0.4300,0.4600,1.0000,30000
0.4300,0.4300,2020-02-03,0.0000,0.4500,0.4300,0.4500,1.0000,15000
0.4600,0.4600,2020-01-29,0.0000,0.4600,0.4500,0.4500,1.0000,43050
0.4400,0.4400,2020-01-28,0.0000,0.4400,0.4400,0.4400,1.0000,100
0.4740,0.4740,2020-01-27,0.0000,0.4740,0.4740,0.4740,1.0000,208
0.4800,0.4800,2020-01-24,0.0000,0.4800,0.4800,0.4800,1.0000,10000
0.4800,0.4800,2020-01-23,0.0000,0.5000,0.4800,0.5000,1.0000,6000
0.4900,0.4900,2020-01-21,0.0000,0.4900,0.4900,0.4900,1.0000,5150
0.4900,0.4900,2020-01-17,0.0000,0.4900,0.4900,0.4900,1.0000,1000
0.4800,0.4800,2020-01-16,0.0000,0.4900,0.4800,0.4900,1.0000,7850
0.5000,0.5000,2020-01-15,0.0000,0.5000,0.4850,0.5000,1.0000,1691
0.4710,0.4710,2020-01-13,0.0000,0.4900,0.4200,0.4200,1.0000,2050
0.4200,0.4200,2020-01-10,0.0000,0.4900,0.4200,0.4900,1.0000,1312
0.4712,0.4712,2020-01-09,0.0000,0.5000,0.4712,0.5000,1.0000,1600
0.4300,0.4300,2020-01-03,0.0000,0.4300,0.4300,0.4300,1.0000,78
0.4300,0.4300,2019-12-30,0.0000,0.4300,0.4300,0.4300,1.0000,3700
0.4300,0.4300,2019-12-27,0.0000,0.4300,0.4300,0.4300,1.0000,3244
0.5000,0.5000,2019-12-26,0.0000,0.5000,0.5000,0.5000,1.0000,25560
0.4900,0.4900,2019-12-23,0.0000,0.4900,0.4900,0.4900,1.0000,1000
0.4700,0.4700,2019-12-20,0.0000,0.4700,0.4700,0.4700,1.0000,175
0.4200,0.4200,2019-12-19,0.0000,0.4200,0.4200,0.4200,1.0000,8000
0.4200,0.4200,2019-12-17,0.0000,0.4200,0.4200,0.4200,1.0000,1362
0.5000,0.5000,2019-12-16,0.0000,0.5000,0.5000,0.5000,1.0000,1402
0.5000,0.5000,2019-12-13,0.0000,0.5200,0.5000,0.5100,1.0000,9245
0.4400,0.4400,2019-12-11,0.0000,0.4500,0.4400,0.4500,1.0000,6120
0.4600,0.4600,2019-12-10,0.0000,0.4600,0.4600,0.4600,1.0000,1000
