adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.1800,0.1800,2020-05-12,0.0000,0.2200,0.0800,0.1000,1.0000,1658
0.1000,0.1000,2020-05-11,0.0000,0.1000,0.1000,0.1000,1.0000,170
0.1900,0.1900,2020-05-07,0.0000,0.2000,0.0100,0.0100,1.0000,26085
0.2000,0.2000,2020-05-06,0.0000,0.2400,0.1900,0.2400,1.0000,3839
0.2000,0.2000,2020-05-05,0.0000,0.2289,0.1400,0.1400,1.0000,9323
0.1500,0.1500,2020-05-04,0.0000,0.2490,0.0060,0.2490,1.0000,36288
0.0030,0.0030,2020-05-01,0.0000,0.0030,0.0003,0.0003,1.0000,25798
0.2501,0.2501,2020-04-15,0.0000,0.2900,0.2500,0.2900,1.0000,52786
0.2900,0.2900,2020-04-14,0.0000,0.2900,0.2800,0.2800,1.0000,19968
0.2800,0.2800,2020-04-13,0.0000,0.3100,0.2405,0.3100,1.0000,47043
0.3100,0.3100,2020-04-09,0.0000,0.3300,0.2800,0.2800,1.0000,72302
0.2900,0.2900,2020-04-08,0.0000,0.3100,0.2362,0.2947,1.0000,146058
0.2240,0.2240,2020-04-07,0.0000,0.2350,0.2105,0.2300,1.0000,215799
0.2350,0.2350,2020-04-06,0.0000,0.2875,0.2200,0.2875,1.0000,126382
0.2500,0.2500,2020-04-03,0.0000,0.2800,0.2250,0.2800,1.0000,77673
0.2750,0.2750,2020-04-02,0.0000,0.3000,0.2350,0.2800,1.0000,92911
0.2800,0.2800,2020-04-01,0.0000,0.3300,0.2751,0.3150,1.0000,118625
0.3260,0.3260,2020-03-31,0.0000,0.3650,0.3150,0.3600,1.0000,51498
0.3250,0.3250,2020-03-30,0.0000,0.4600,0.3150,0.3650,1.0000,249416
0.3350,0.3350,2020-03-27,0.0000,0.3700,0.2900,0.3700,1.0000,61746
0.3400,0.3400,2020-03-26,0.0000,0.4230,0.2900,0.3410,1.0000,97155
0.3101,0.3101,2020-03-25,0.0000,0.5550,0.2850,0.5174,1.0000,342093
0.5150,0.5150,2020-03-24,0.0000,0.6900,0.2352,0.3000,1.0000,1006193
0.2470,0.2470,2020-03-23,0.0000,0.2900,0.2400,0.2900,1.0000,36788
0.2205,0.2205,2020-03-20,0.0000,0.2500,0.2205,0.2500,1.0000,21246
0.2500,0.2500,2020-03-19,0.0000,0.2500,0.2400,0.2500,1.0000,24561
0.2400,0.2400,2020-03-18,0.0000,0.2990,0.2202,0.2477,1.0000,56668
0.2500,0.2500,2020-03-17,0.0000,0.2900,0.2400,0.2660,1.0000,53132
0.3000,0.3000,2020-03-16,0.0000,0.3300,0.2520,0.3300,1.0000,57181
0.2700,0.2700,2020-03-13,0.0000,0.3500,0.2500,0.3150,1.0000,59590
0.3340,0.3340,2020-03-12,0.0000,0.3500,0.3000,0.3499,1.0000,65724
0.3500,0.3500,2020-03-11,0.0000,0.3800,0.3000,0.3800,1.0000,30094
0.3800,0.3800,2020-03-10,0.0000,0.3900,0.3300,0.3500,1.0000,24104
0.3500,0.3500,2020-03-09,0.0000,0.3600,0.2660,0.3500,1.0000,88158
0.3500,0.3500,2020-03-06,0.0000,0.3500,0.3000,0.3500,1.0000,64629
0.3700,0.3700,2020-03-05,0.0000,0.3850,0.3350,0.3725,1.0000,59866
0.3975,0.3975,2020-03-04,0.0000,0.5100,0.3110,0.5100,1.0000,83087
0.5099,0.5099,2020-03-03,0.0000,0.9000,0.4020,0.8750,1.0000,107752
0.8500,0.8500,2020-03-02,0.0000,1.1100,0.8200,0.8200,1.0000,166579
0.8000,0.8000,2020-02-28,0.0000,0.8400,0.6000,0.6200,1.0000,328052
0.5000,0.5000,2020-02-27,0.0000,0.6000,0.3100,0.3200,1.0000,631720
0.3200,0.3200,2020-02-26,0.0000,0.3500,0.3000,0.3500,1.0000,37622
0.3450,0.3450,2020-02-25,0.0000,0.3500,0.3450,0.3450,1.0000,32020
0.3000,0.3000,2020-02-24,0.0000,0.3999,0.3000,0.3050,1.0000,12490
0.4390,0.4390,2020-02-21,0.0000,0.5000,0.3060,0.5000,1.0000,18513
0.5000,0.5000,2020-02-20,0.0000,0.6000,0.4500,0.6000,1.0000,14848
0.6700,0.6700,2020-02-19,0.0000,0.7700,0.5100,0.7700,1.0000,38838
0.7500,0.7500,2020-02-18,0.0000,0.8200,0.4610,0.4610,1.0000,32300
0.4500,0.4500,2020-02-14,0.0000,0.4500,0.2800,0.2900,1.0000,25575
0.2900,0.2900,2020-02-13,0.0000,0.2900,0.2400,0.2700,1.0000,11101
0.2700,0.2700,2020-02-12,0.0000,0.2900,0.2550,0.2800,1.0000,9860
0.2000,0.2000,2020-02-11,0.0000,0.2500,0.2000,0.2400,1.0000,9740
0.2105,0.2105,2020-02-10,0.0000,0.2400,0.2105,0.2400,1.0000,1500
0.2300,0.2300,2020-02-07,0.0000,0.2700,0.2300,0.2500,1.0000,6100
0.2800,0.2800,2020-02-06,0.0000,0.2800,0.2650,0.2650,1.0000,14487
0.2800,0.2800,2020-02-05,0.0000,0.2900,0.2500,0.2745,1.0000,14375
0.2500,0.2500,2020-02-04,0.0000,0.2500,0.1980,0.2000,1.0000,78487
0.1980,0.1980,2020-02-03,0.0000,0.1980,0.1700,0.1700,1.0000,33949
0.1400,0.1400,2020-01-31,0.0000,0.1400,0.1400,0.1400,1.0000,77
0.1400,0.1400,2020-01-30,0.0000,0.1900,0.1361,0.1550,1.0000,30929
0.1550,0.1550,2020-01-29,0.0000,0.1550,0.1535,0.1550,1.0000,8800
0.1555,0.1555,2020-01-28,0.0000,0.1750,0.1555,0.1750,1.0000,27700
0.1750,0.1750,2020-01-27,0.0000,0.1755,0.1675,0.1751,1.0000,35855
0.1760,0.1760,2020-01-24,0.0000,0.1760,0.1760,0.1760,1.0000,5400
0.1900,0.1900,2020-01-23,0.0000,0.2200,0.1860,0.2200,1.0000,27026
0.2450,0.2450,2020-01-21,0.0000,0.2500,0.2300,0.2500,1.0000,8390
0.2500,0.2500,2020-01-17,0.0000,0.2540,0.2500,0.2540,1.0000,1005
0.2540,0.2540,2020-01-16,0.0000,0.2540,0.2420,0.2420,1.0000,2000
0.2530,0.2530,2020-01-15,0.0000,0.2980,0.2200,0.2200,1.0000,12908
0.2400,0.2400,2020-01-14,0.0000,0.2400,0.2400,0.2400,1.0000,5291
0.2590,0.2590,2020-01-13,0.0000,0.3074,0.2000,0.3074,1.0000,9700
0.2650,0.2650,2020-01-10,0.0000,0.3050,0.2200,0.3050,1.0000,1860
0.1850,0.1850,2020-01-09,0.0000,0.2400,0.1850,0.2400,1.0000,14361
0.2400,0.2400,2020-01-08,0.0000,0.2500,0.2400,0.2500,1.0000,10600
0.2700,0.2700,2020-01-07,0.0000,0.2700,0.2350,0.2700,1.0000,8509
0.2600,0.2600,2020-01-06,0.0000,0.2600,0.2600,0.2600,1.0000,2611
0.3074,0.3074,2020-01-03,0.0000,0.3074,0.2800,0.2800,1.0000,9960
0.2800,0.2800,2020-01-02,0.0000,0.2800,0.2700,0.2800,1.0000,8650
0.2840,0.2840,2019-12-30,0.0000,0.2850,0.2620,0.2850,1.0000,11880
0.2790,0.2790,2019-12-26,0.0000,0.2890,0.2225,0.2330,1.0000,19668
0.2400,0.2400,2019-12-24,0.0000,0.2500,0.1800,0.2500,1.0000,5330
0.2750,0.2750,2019-12-23,0.0000,0.2750,0.2750,0.2750,1.0000,1000
0.2750,0.2750,2019-12-20,0.0000,0.2750,0.2500,0.2750,1.0000,55343
0.3000,0.3000,2019-12-19,0.0000,0.3800,0.2750,0.3800,1.0000,41133
0.3800,0.3800,2019-12-18,0.0000,0.3800,0.3800,0.3800,1.0000,4000
0.4010,0.4010,2019-12-16,0.0000,0.4010,0.4010,0.4010,1.0000,6004
0.5000,0.5000,2019-12-13,0.0000,0.5000,0.5000,0.5000,1.0000,40
0.5000,0.5000,2019-12-12,0.0000,0.5000,0.4901,0.4901,1.0000,1500
0.5000,0.5000,2019-12-11,0.0000,0.5000,0.4201,0.4201,1.0000,4000
0.4201,0.4201,2019-12-10,0.0000,0.5200,0.4201,0.5200,1.0000,8700
0.4250,0.4250,2019-12-06,0.0000,0.4500,0.4250,0.4500,1.0000,2645
0.4201,0.4201,2019-12-05,0.0000,0.4500,0.4201,0.4300,1.0000,15500
0.5100,0.5100,2019-12-04,0.0000,0.5100,0.5100,0.5100,1.0000,206
0.5300,0.5300,2019-12-02,0.0000,0.5300,0.4100,0.4100,1.0000,4100
0.5700,0.5700,2019-11-29,0.0000,0.5700,0.5700,0.5700,1.0000,800
0.5780,0.5780,2019-11-27,0.0000,0.5780,0.4500,0.4500,1.0000,4100
0.4500,0.4500,2019-11-25,0.0000,0.4500,0.4500,0.4500,1.0000,2540
0.5800,0.5800,2019-11-22,0.0000,0.5800,0.4510,0.5300,1.0000,7305
0.6000,0.6000,2019-11-20,0.0000,0.6000,0.5800,0.5800,1.0000,4100
0.5800,0.5800,2019-11-19,0.0000,0.6000,0.5394,0.6000,1.0000,15564
0.5980,0.5980,2019-11-18,0.0000,0.6000,0.5980,0.6000,1.0000,4200
0.5999,0.5999,2019-11-15,0.0000,0.6000,0.5210,0.6000,1.0000,7679
0.5550,0.5550,2019-11-14,0.0000,0.6800,0.5500,0.6800,1.0000,29300
0.6000,0.6000,2019-11-13,0.0000,0.6500,0.6000,0.6150,1.0000,5055
0.5610,0.5610,2019-11-12,0.0000,0.6700,0.5600,0.6200,1.0000,34986
0.5500,0.5500,2019-11-11,0.0000,0.6200,0.5500,0.5500,1.0000,4496
0.6500,0.6500,2019-11-08,0.0000,0.6500,0.6000,0.6000,1.0000,7000
0.5900,0.5900,2019-11-06,0.0000,0.5900,0.5700,0.5700,1.0000,4235
0.5100,0.5100,2019-11-05,0.0000,0.5100,0.5100,0.5100,1.0000,73
0.5100,0.5100,2019-11-04,0.0000,0.5500,0.4891,0.5500,1.0000,2204
0.5500,0.5500,2019-11-01,0.0000,0.5500,0.5110,0.5110,1.0000,3400
0.6000,0.6000,2019-10-31,0.0000,0.6000,0.6000,0.6000,1.0000,1794
0.6600,0.6600,2019-10-30,0.0000,0.8200,0.6600,0.6600,1.0000,3002
0.6200,0.6200,2019-10-29,0.0000,0.6600,0.6200,0.6600,1.0000,7425
0.6488,0.6488,2019-10-28,0.0000,0.9000,0.6200,0.9000,1.0000,6679
0.6200,0.6200,2019-10-25,0.0000,0.6370,0.6200,0.6200,1.0000,7200
0.6200,0.6200,2019-10-24,0.0000,0.6200,0.5100,0.5534,1.0000,30030
0.5270,0.5270,2019-10-23,0.0000,0.5301,0.5200,0.5300,1.0000,7410
0.5501,0.5501,2019-10-22,0.0000,0.5785,0.5501,0.5785,1.0000,2500
