adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0800,0.0800,2019-10-14,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-10-11,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-10-10,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-10-09,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-10-08,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-10-07,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-10-04,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-10-03,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-10-02,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-10-01,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-30,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-27,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-26,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-25,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-24,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-23,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-20,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-19,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-18,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-17,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-16,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-13,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-12,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-11,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-10,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-09,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-06,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-05,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-04,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-09-03,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-08-30,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-08-29,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-08-28,0.0000,0.0800,0.0800,0.0800,1.0000,0
0.0800,0.0800,2019-08-27,0.0000,0.0800,0.0659,0.0659,1.0000,20000
0.0799,0.0799,2019-08-26,0.0000,0.0799,0.0799,0.0799,1.0000,600
0.0400,0.0400,2019-08-23,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-08-22,0.0000,0.0400,0.0400,0.0400,1.0000,6250
0.0400,0.0400,2019-08-21,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-08-20,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0352,0.0352,2019-08-19,0.0000,0.0352,0.0352,0.0352,1.0000,1670
0.0400,0.0400,2019-08-15,0.0000,0.0400,0.0400,0.0400,1.0000,100
0.0352,0.0352,2019-08-14,0.0000,0.0352,0.0352,0.0352,1.0000,145
0.0400,0.0400,2019-08-13,0.0000,0.0400,0.0400,0.0400,1.0000,4000
0.0400,0.0400,2019-08-12,0.0000,0.0400,0.0400,0.0400,1.0000,4000
0.0400,0.0400,2019-08-09,0.0000,0.0400,0.0400,0.0400,1.0000,4000
0.0400,0.0400,2019-08-08,0.0000,0.0400,0.0400,0.0400,1.0000,4000
0.0400,0.0400,2019-08-07,0.0000,0.0400,0.0400,0.0400,1.0000,4000
0.0351,0.0351,2019-08-06,0.0000,0.0351,0.0351,0.0351,1.0000,4034
0.0400,0.0400,2019-08-05,0.0000,0.0400,0.0400,0.0400,1.0000,49300
0.0400,0.0400,2019-08-02,0.0000,0.0400,0.0400,0.0400,1.0000,49300
0.0400,0.0400,2019-08-01,0.0000,0.0400,0.0400,0.0400,1.0000,49300
0.0400,0.0400,2019-07-31,0.0000,0.0400,0.0400,0.0400,1.0000,49300
0.0400,0.0400,2019-07-30,0.0000,0.0400,0.0400,0.0400,1.0000,49300
0.0400,0.0400,2019-07-29,0.0000,0.0400,0.0400,0.0400,1.0000,49300
0.0400,0.0400,2019-07-26,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0351,0.0351,2019-07-25,0.0000,0.0360,0.0351,0.0360,1.0000,49250
0.0400,0.0400,2019-07-24,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-23,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-22,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0350,0.0350,2019-07-19,0.0000,0.0350,0.0350,0.0350,1.0000,215
0.0400,0.0400,2019-07-18,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-17,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-16,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-15,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-12,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-11,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-10,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-09,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-08,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-05,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-03,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-07-02,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0350,0.0350,2019-07-01,0.0000,0.0350,0.0350,0.0350,1.0000,750
0.0400,0.0400,2019-06-28,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-06-27,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-06-26,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-06-25,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-06-24,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-06-21,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-06-18,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-06-17,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2019-06-14,0.0000,0.0400,0.0400,0.0400,1.0000,0
