adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
4.2600,4.2600,2019-10-21,0.0000,4.2600,4.2600,4.2600,1.0000,3
4.2600,4.2600,2019-09-04,0.0000,4.2600,4.2600,4.2600,1.0000,1000
4.2600,4.2600,2019-08-06,0.0000,4.2600,4.2600,4.2600,1.0000,5
4.2600,4.2600,2019-03-29,0.0000,4.2600,4.2600,4.2600,1.0000,1750
10.5832,10.5832,2019-01-03,0.0000,10.5832,10.5832,10.5832,1.0000,10
10.5832,10.5832,2018-12-12,0.0000,10.5832,10.5832,10.5832,1.0000,10
10.5832,10.5832,2018-11-15,0.0000,10.5832,10.5832,10.5832,1.0000,10
10.5832,10.5832,2018-09-27,0.0000,10.5832,10.5832,10.5832,1.0000,4000
11.7600,11.7600,2018-02-06,0.0000,11.7600,11.7600,11.7600,1.0000,10
11.7600,11.7600,2017-10-06,0.0000,11.7600,11.7600,11.7600,1.0000,2500
11.1010,11.1010,2017-09-20,0.0000,11.1010,11.1010,11.1010,1.0000,1500
