adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.9091,0.9091,2020-05-12,0.0000,0.9293,0.8757,0.8757,1.0000,6354
0.9000,0.9000,2020-05-11,0.0000,0.9061,0.8289,0.9000,1.0000,36562
0.9745,0.9745,2020-05-08,0.0000,1.0506,0.9745,0.9994,1.0000,80413
0.9907,0.9907,2020-05-07,0.0000,0.9907,0.8400,0.8400,1.0000,32074
0.8375,0.8375,2020-05-06,0.0000,0.8689,0.7991,0.8260,1.0000,12810
0.8425,0.8425,2020-05-05,0.0000,0.8425,0.7858,0.8298,1.0000,18480
0.8153,0.8153,2020-05-04,0.0000,0.8962,0.8108,0.8962,1.0000,5814
0.8962,0.8962,2020-05-01,0.0000,0.9475,0.8600,0.9412,1.0000,13418
0.9612,0.9612,2020-04-30,0.0000,0.9612,0.9250,0.9250,1.0000,5301
0.9227,0.9227,2020-04-29,0.0000,0.9400,0.8957,0.9076,1.0000,42275
0.8100,0.8100,2020-04-28,0.0000,0.8560,0.8100,0.8300,1.0000,63355
0.8100,0.8100,2020-04-27,0.0000,0.8200,0.7845,0.7910,1.0000,40143
0.7846,0.7846,2020-04-24,0.0000,0.7990,0.7558,0.7558,1.0000,58237
0.7500,0.7500,2020-04-23,0.0000,0.8117,0.6974,0.6974,1.0000,37437
0.6700,0.6700,2020-04-22,0.0000,0.6741,0.6700,0.6741,1.0000,4560
0.6822,0.6822,2020-04-21,0.0000,0.6822,0.6808,0.6808,1.0000,400
0.7113,0.7113,2020-04-20,0.0000,0.7113,0.6914,0.7100,1.0000,16343
0.7174,0.7174,2020-04-17,0.0000,0.7174,0.7151,0.7151,1.0000,14169
0.7136,0.7136,2020-04-16,0.0000,0.7136,0.7000,0.7000,1.0000,899
0.7100,0.7100,2020-04-14,0.0000,0.7240,0.6795,0.6795,1.0000,13911
0.7100,0.7100,2020-04-13,0.0000,0.7271,0.6677,0.7246,1.0000,151597
0.7357,0.7357,2020-04-09,0.0000,0.7357,0.7066,0.7066,1.0000,4460
0.7034,0.7034,2020-04-08,0.0000,0.7038,0.6710,0.7035,1.0000,16583
0.6811,0.6811,2020-04-07,0.0000,0.7150,0.6811,0.7129,1.0000,20400
0.6918,0.6918,2020-04-06,0.0000,0.7350,0.6473,0.6640,1.0000,29200
0.6631,0.6631,2020-04-03,0.0000,0.6640,0.6109,0.6640,1.0000,18500
0.6746,0.6746,2020-04-02,0.0000,0.6746,0.5299,0.6000,1.0000,128700
0.5465,0.5465,2020-04-01,0.0000,0.5468,0.5459,0.5459,1.0000,5285
0.6115,0.6115,2020-03-31,0.0000,0.6639,0.5549,0.5549,1.0000,11050
0.6480,0.6480,2020-03-30,0.0000,0.6480,0.6480,0.6480,1.0000,400
0.6940,0.6940,2020-03-27,0.0000,0.6940,0.5961,0.6136,1.0000,12835
0.6268,0.6268,2020-03-26,0.0000,0.6355,0.6268,0.6355,1.0000,2093
0.6211,0.6211,2020-03-25,0.0000,0.6450,0.5992,0.6089,1.0000,19400
0.6027,0.6027,2020-03-24,0.0000,0.6027,0.5582,0.5582,1.0000,790
0.5775,0.5775,2020-03-23,0.0000,0.5775,0.5775,0.5775,1.0000,1005
0.5843,0.5843,2020-03-20,0.0000,0.5948,0.5843,0.5948,1.0000,5631
0.5700,0.5700,2020-03-19,0.0000,0.5874,0.4090,0.4090,1.0000,57900
0.4293,0.4293,2020-03-18,0.0000,0.4481,0.4169,0.4481,1.0000,39375
0.4965,0.4965,2020-03-17,0.0000,0.4973,0.4644,0.4927,1.0000,41949
0.5100,0.5100,2020-03-16,0.0000,0.5432,0.4129,0.4129,1.0000,29258
0.5263,0.5263,2020-03-13,0.0000,0.6000,0.4844,0.5683,1.0000,91144
0.5798,0.5798,2020-03-12,0.0000,0.6546,0.5700,0.5700,1.0000,73689
0.6937,0.6937,2020-03-11,0.0000,0.7184,0.6937,0.6940,1.0000,4028
0.6980,0.6980,2020-03-10,0.0000,0.7329,0.6800,0.7300,1.0000,9305
0.7284,0.7284,2020-03-09,0.0000,0.7308,0.5690,0.7162,1.0000,39269
0.7804,0.7804,2020-03-06,0.0000,0.8000,0.7804,0.7900,1.0000,10643
0.8081,0.8081,2020-03-05,0.0000,0.8480,0.8081,0.8480,1.0000,11552
0.8340,0.8340,2020-03-04,0.0000,0.8400,0.8100,0.8225,1.0000,10766
0.8279,0.8279,2020-03-03,0.0000,0.8800,0.8279,0.8800,1.0000,5480
0.8700,0.8700,2020-03-02,0.0000,0.8964,0.8700,0.8800,1.0000,11996
0.8508,0.8508,2020-02-28,0.0000,0.8613,0.8508,0.8549,1.0000,14820
1.0000,1.0000,2020-02-27,0.0000,1.0000,0.8500,0.8628,1.0000,6791
0.8900,0.8900,2020-02-26,0.0000,0.9218,0.8800,0.8982,1.0000,42930
0.9689,0.9689,2020-02-25,0.0000,0.9689,0.9689,0.9689,1.0000,123
0.9689,0.9689,2020-02-24,0.0000,1.0281,0.9689,1.0281,1.0000,2300
1.0118,1.0118,2020-02-21,0.0000,1.0186,0.9490,0.9490,1.0000,16091
0.9800,0.9800,2020-02-20,0.0000,1.0348,0.9754,1.0348,1.0000,29645
1.0400,1.0400,2020-02-19,0.0000,1.0500,1.0100,1.0500,1.0000,66709
1.0355,1.0355,2020-02-18,0.0000,1.0364,0.9480,1.0056,1.0000,27936
1.0500,1.0500,2020-02-14,0.0000,1.1000,1.0100,1.0300,1.0000,66940
1.0682,1.0682,2020-02-13,0.0000,1.1192,1.0400,1.0400,1.0000,9224
1.0664,1.0664,2020-02-12,0.0000,1.1128,1.0300,1.0500,1.0000,73927
1.0355,1.0355,2020-02-11,0.0000,1.0600,0.8800,0.8800,1.0000,52910
0.8829,0.8829,2020-02-10,0.0000,0.9100,0.8803,0.8803,1.0000,21373
0.8700,0.8700,2020-02-07,0.0000,0.8800,0.8700,0.8769,1.0000,4539
