adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
17.0400,17.0400,2020-05-12,0.0000,17.5500,17.0000,17.4300,1.0000,61080
17.2800,17.2800,2020-05-11,0.0000,17.3800,17.1150,17.1150,1.0000,75759
17.7600,17.7600,2020-05-08,0.0000,17.7700,17.3760,17.5200,1.0000,62512
17.3600,17.3600,2020-05-07,0.0000,17.5600,17.2500,17.4400,1.0000,70523
16.7000,16.7000,2020-05-06,0.0000,16.9800,16.7000,16.7575,1.0000,68068
16.9000,16.9000,2020-05-05,0.0000,17.1700,16.5300,16.5300,1.0000,244857
17.0400,17.0400,2020-05-04,0.0000,17.0500,16.7000,16.8380,1.0000,85510
17.5600,17.5600,2020-05-01,0.0000,17.6400,16.4300,16.4300,1.0000,170848
17.7350,17.7350,2020-04-30,0.0000,17.9500,17.4900,17.7100,1.0000,382466
18.2950,18.2950,2020-04-29,0.0000,18.3400,17.7120,17.7300,1.0000,44555
17.5850,17.5850,2020-04-28,0.0000,17.8100,17.2300,17.4300,1.0000,111889
16.9950,16.9950,2020-04-27,0.0000,17.1900,16.4800,16.4800,1.0000,109307
16.4700,16.4700,2020-04-24,0.0000,16.5100,15.7900,15.7900,1.0000,231822
16.7200,16.7200,2020-04-23,0.0000,17.0800,16.5700,16.6500,1.0000,411370
16.9700,16.9700,2020-04-22,0.0000,17.1450,16.7900,16.9900,1.0000,115504
17.3150,17.3150,2020-04-21,0.0000,17.7500,17.1600,17.2150,1.0000,95256
18.1250,18.1250,2020-04-20,0.0000,18.5500,18.0800,18.1700,1.0000,92473
18.9500,18.9500,2020-04-17,0.0000,18.9600,18.3200,18.5300,1.0000,87694
17.7600,17.7600,2020-04-16,0.0000,17.8400,17.2700,17.2700,1.0000,72039
17.9100,17.9100,2020-04-15,0.0000,18.1400,17.4600,17.8200,1.0000,110535
18.5500,18.5500,2020-04-14,0.0000,18.7100,18.2600,18.3725,1.0000,177202
18.4300,18.4300,2020-04-13,0.0000,18.6900,18.0000,18.0000,1.0000,95631
18.3300,18.3300,2020-04-09,0.0000,18.7400,17.7900,17.7900,1.0000,175011
18.1900,18.1900,2020-04-08,0.0000,18.2300,17.6600,17.8400,1.0000,93010
17.2400,17.2400,2020-04-07,0.0000,17.7500,17.2400,17.3900,1.0000,140668
16.7400,16.7400,2020-04-06,0.0000,16.8400,16.4400,16.5970,1.0000,141235
15.4996,15.4996,2020-04-03,0.0000,15.9060,15.1900,15.1900,1.0000,86813
15.8700,15.8700,2020-04-02,0.0000,16.1200,15.5100,15.6500,1.0000,76936
15.6100,15.6100,2020-04-01,0.0000,15.7000,14.8900,14.8900,1.0000,157370
16.5200,16.5200,2020-03-31,0.0000,16.8600,16.2800,16.5000,1.0000,165739
16.7400,16.7400,2020-03-30,0.0000,16.7400,15.8475,15.8800,1.0000,194832
16.4900,16.4900,2020-03-27,0.0000,16.9500,16.1200,16.4200,1.0000,534891
17.1650,17.1650,2020-03-26,0.0000,17.2900,16.1100,16.2100,1.0000,909361
16.1300,16.1300,2020-03-25,0.0000,16.5200,15.6525,16.1225,1.0000,537078
14.8200,14.8200,2020-03-24,0.0000,15.1400,13.4600,13.4600,1.0000,233056
12.6100,12.6100,2020-03-23,0.0000,13.2100,12.4200,12.9000,1.0000,234861
13.2400,13.2400,2020-03-20,0.0000,14.4500,12.9000,14.0200,1.0000,342846
13.4352,13.4352,2020-03-19,0.0000,13.7400,12.3100,12.4125,1.0000,218400
12.7000,12.7000,2020-03-18,0.0000,13.8300,12.5000,13.3000,1.0000,211091
15.2800,15.2800,2020-03-17,0.0000,15.3490,14.6300,14.8400,1.0000,187451
14.7590,14.7590,2020-03-16,0.0000,15.6900,14.7400,15.4400,1.0000,132079
18.4900,18.4900,2020-03-13,0.0000,18.5200,17.0400,18.4350,1.0000,311201
17.6500,17.6500,2020-03-12,0.0000,17.6500,16.5500,16.9700,1.0000,262132
18.6900,18.6900,2020-03-11,0.0000,19.2050,18.4900,19.0950,1.0000,271066
20.8300,20.8300,2020-03-10,0.0000,20.8300,19.3400,20.3600,1.0000,144724
19.3100,19.3100,2020-03-09,0.0000,20.4600,19.3100,19.7300,1.0000,82872
21.3300,21.3300,2020-03-06,0.0000,21.4500,20.8500,20.8800,1.0000,299662
21.4500,21.4500,2020-03-05,0.0000,21.9700,21.4400,21.7000,1.0000,391878
22.6800,22.6800,2020-03-04,0.0000,22.6800,21.8300,21.8300,1.0000,819832
21.6700,21.6700,2020-03-03,0.0000,22.4500,21.5500,22.1200,1.0000,108827
21.9900,21.9900,2020-03-02,0.0000,22.0200,20.9800,21.4000,1.0000,191293
21.7200,21.7200,2020-02-28,0.0000,21.9100,20.9500,21.0300,1.0000,215126
21.3800,21.3800,2020-02-27,0.0000,22.3600,21.2400,21.2400,1.0000,504590
22.5600,22.5600,2020-02-26,0.0000,23.1200,22.3600,22.4000,1.0000,219569
22.5000,22.5000,2020-02-25,0.0000,23.4000,22.4500,23.3200,1.0000,460202
23.5100,23.5100,2020-02-24,0.0000,23.7600,23.2900,23.3000,1.0000,519553
24.6095,24.6095,2020-02-21,0.0000,24.7700,24.3900,24.5700,1.0000,666223
25.3000,25.3000,2020-02-20,0.0000,25.4400,24.9400,24.9400,1.0000,25632
26.4900,26.4900,2020-02-19,0.0000,26.5300,26.3300,26.3750,1.0000,29722
26.1400,26.1400,2020-02-18,0.0000,26.3400,26.1200,26.2000,1.0000,31924
26.4400,26.4400,2020-02-14,0.0000,26.8250,26.3800,26.7600,1.0000,21820
26.8450,26.8450,2020-02-13,0.0000,27.0300,26.6800,26.6800,1.0000,21315
27.0000,27.0000,2020-02-12,0.0000,27.0500,26.7200,26.7200,1.0000,34393
26.1400,26.1400,2020-02-11,0.0000,26.3300,26.0500,26.1400,1.0000,20149
26.2550,26.2550,2020-02-10,0.0000,26.3700,26.0300,26.0770,1.0000,22091
26.2600,26.2600,2020-02-07,0.0000,26.4500,26.0750,26.0750,1.0000,63106
26.5200,26.5200,2020-02-06,0.0000,26.7600,26.5200,26.7300,1.0000,18873
26.9300,26.9300,2020-02-05,0.0000,27.1700,26.8400,27.1700,1.0000,33418
26.8200,26.8200,2020-02-04,0.0000,26.8800,26.6500,26.8300,1.0000,17854
26.2100,26.2100,2020-02-03,0.0000,26.3300,25.8200,26.1800,1.0000,24080
26.0800,26.0800,2020-01-31,0.0000,26.3700,26.0100,26.3700,1.0000,41666
27.1000,27.1000,2020-01-30,0.0000,27.1000,26.3000,26.3350,1.0000,24885
