adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
15.2700,15.2700,2020-05-12,0.0000,16.5350,15.2300,16.2100,1.0000,130542
16.1500,16.1500,2020-05-11,0.0000,17.2800,16.0600,16.6200,1.0000,204483
16.9500,16.9500,2020-05-08,0.0000,17.1750,16.5450,16.8000,1.0000,289406
16.3000,16.3000,2020-05-07,0.0000,16.8700,16.2200,16.5400,1.0000,204898
16.2500,16.2500,2020-05-06,0.0000,17.2450,16.2200,16.8400,1.0000,120647
16.8600,16.8600,2020-05-05,0.0000,18.5300,16.7650,17.8700,1.0000,170228
17.4500,17.4500,2020-05-04,0.0000,17.5200,17.0000,17.5200,1.0000,212134
17.7500,17.7500,2020-05-01,0.0000,18.9200,17.3700,17.8900,1.0000,292880
18.4200,18.4200,2020-04-30,0.0000,19.0000,18.2800,18.6200,1.0000,222456
19.1950,19.1950,2020-04-29,0.0000,19.7000,17.9000,18.7400,1.0000,360932
17.7400,17.7400,2020-04-28,0.0000,18.2300,17.1929,18.0700,1.0000,120904
17.3500,17.3500,2020-04-27,0.0000,17.5300,16.4800,16.6600,1.0000,223397
16.4400,16.4400,2020-04-24,0.0000,16.6400,16.0500,16.2000,1.0000,88088
16.1800,16.1800,2020-04-23,0.2200,16.5750,15.9500,16.1500,1.0000,168381
16.0123,16.2300,2020-04-22,0.0000,16.6607,16.1400,16.5500,1.0000,165912
15.9432,16.1600,2020-04-21,0.0000,16.4700,15.8000,15.8100,1.0000,141338
16.2589,16.4800,2020-04-20,0.0000,16.9500,16.1400,16.1900,1.0000,101427
16.4168,16.6400,2020-04-17,0.0000,16.8800,16.1400,16.4600,1.0000,292336
15.5091,15.7200,2020-04-16,0.0000,16.3800,15.4200,16.2300,1.0000,229585
16.0320,16.2500,2020-04-15,0.0000,16.7700,16.1600,16.7100,1.0000,163815
17.2850,17.5200,2020-04-14,0.0000,19.0500,17.0500,18.7600,1.0000,179661
17.8868,18.1300,2020-04-13,0.0000,19.5000,17.8000,19.1000,1.0000,224163
18.9424,19.2000,2020-04-09,0.0000,21.1600,18.1500,19.6200,1.0000,309559
16.4266,16.6500,2020-04-08,0.0000,16.8300,16.3100,16.6300,1.0000,233607
16.1405,16.3600,2020-04-07,0.0000,17.9100,15.9500,17.0400,1.0000,286812
16.2392,16.4600,2020-04-06,0.0000,16.5200,15.4900,16.1400,1.0000,232931
15.1540,15.3600,2020-04-03,0.0000,16.2000,14.9700,15.7600,1.0000,115782
15.7854,16.0000,2020-04-02,0.0000,16.6000,15.4400,15.7800,1.0000,223179
15.7459,15.9600,2020-04-01,0.0000,16.7000,15.8200,16.3600,1.0000,230801
16.8805,17.1100,2020-03-31,0.0000,17.1400,16.3300,16.5300,1.0000,262583
16.4266,16.6500,2020-03-30,0.0000,16.7100,15.8600,16.5800,1.0000,191655
16.1701,16.3900,2020-03-27,0.0000,17.0250,15.2600,15.7000,1.0000,172808
16.5154,16.7400,2020-03-26,0.0000,16.8000,15.2350,15.3000,1.0000,210292
14.9862,15.1900,2020-03-25,0.0000,15.7500,14.7500,15.6900,1.0000,176445
15.3907,15.6000,2020-03-24,0.0000,16.2800,14.7400,15.2500,1.0000,199026
14.1871,14.3800,2020-03-23,0.0000,14.5400,13.1000,14.2300,1.0000,212232
13.9799,14.1700,2020-03-20,0.0000,15.9500,13.7600,15.4200,1.0000,310887
15.1934,15.4000,2020-03-19,0.0000,15.7850,11.0000,14.1100,1.0000,336248
14.0786,14.2700,2020-03-18,0.0000,16.8200,13.9000,16.5100,1.0000,305911
17.2356,17.4700,2020-03-17,0.0000,17.6500,15.5000,16.0600,1.0000,289942
15.6768,15.8900,2020-03-16,0.0000,17.1000,15.8900,15.9000,1.0000,249726
17.4922,17.7300,2020-03-13,0.0000,17.7600,16.4900,16.9600,1.0000,246479
15.7262,15.9400,2020-03-12,0.0000,17.2700,14.4600,17.2700,1.0000,436834
17.8473,18.0900,2020-03-11,0.0000,19.0000,17.8700,18.7700,1.0000,201144
18.9227,19.1800,2020-03-10,0.0000,19.2300,17.8200,18.7100,1.0000,187975
17.8276,18.0700,2020-03-09,0.0000,20.1500,17.7200,19.6100,1.0000,277430
20.5703,20.8500,2020-03-06,0.0000,21.1500,20.0200,20.1900,1.0000,199793
20.8465,21.1300,2020-03-05,0.0000,21.8200,20.9000,21.4800,1.0000,159964
21.5076,21.8000,2020-03-04,0.0000,22.0900,21.5300,22.0900,1.0000,331601
21.5569,21.8500,2020-03-03,0.0000,22.8900,21.7000,22.7000,1.0000,192182
22.6421,22.9500,2020-03-02,0.0000,23.0100,21.8500,21.9500,1.0000,194251
21.7739,22.0700,2020-02-28,0.0000,22.4900,21.5100,22.0500,1.0000,261029
22.4054,22.7100,2020-02-27,0.0000,23.7500,22.6600,23.5200,1.0000,195378
23.6386,23.9600,2020-02-26,0.0000,24.4654,23.9000,24.1800,1.0000,57642
23.7471,24.0700,2020-02-25,0.0000,24.8588,23.9600,24.7600,1.0000,115877
24.4772,24.8100,2020-02-24,0.0000,25.0300,24.7200,24.9500,1.0000,70174
25.2467,25.5900,2020-02-21,0.0000,25.8000,25.4400,25.7700,1.0000,52570
25.4144,25.7600,2020-02-20,0.0000,25.8700,25.5100,25.6100,1.0000,51410
25.3552,25.7000,2020-02-19,0.0000,25.9400,25.6600,25.8700,1.0000,59441
25.5032,25.8500,2020-02-18,0.0000,25.8500,25.5100,25.7200,1.0000,128081
25.3947,25.7400,2020-02-14,0.0000,26.1000,25.7200,26.0500,1.0000,36346
25.7104,26.0600,2020-02-13,0.0000,26.0600,25.8100,25.8100,1.0000,47419
25.5427,25.8900,2020-02-12,0.0000,26.2600,25.8550,26.2100,1.0000,77338
25.6414,25.9900,2020-02-11,0.0000,26.2300,25.8900,25.9200,1.0000,160445
25.5328,25.8800,2020-02-10,0.0000,25.9100,25.6900,25.7600,1.0000,47055
25.5328,25.8800,2020-02-07,0.0000,26.0400,25.7700,25.8200,1.0000,83345
25.5920,25.9400,2020-02-06,0.0000,26.5400,25.9400,26.3600,1.0000,78597
25.9077,26.2600,2020-02-05,0.0000,26.3300,25.9168,25.9350,1.0000,108116
25.3158,25.6600,2020-02-04,0.0000,25.8500,25.5500,25.5500,1.0000,103205
24.9409,25.2800,2020-02-03,0.0000,25.5300,25.0700,25.3800,1.0000,145609
25.1579,25.5000,2020-01-31,0.0000,26.0000,25.4600,25.9900,1.0000,133523
25.7597,26.1100,2020-01-30,0.0000,26.1100,23.8206,24.2000,1.0000,118120
25.6315,25.9800,2020-01-29,0.0000,27.1300,25.9500,26.9400,1.0000,146137
26.1642,26.5200,2020-01-28,0.0000,26.9400,26.4700,26.8700,1.0000,70515
26.3024,26.6600,2020-01-27,0.0000,26.7900,26.0000,26.3800,1.0000,120194
26.3714,26.7300,2020-01-24,0.0000,27.0000,26.5385,26.9600,1.0000,67513
26.6181,26.9800,2020-01-23,0.2200,27.0900,26.6000,26.8800,1.0000,142232
26.6181,27.2000,2020-01-22,0.0000,27.3600,27.1300,27.3100,1.0000,98486
26.6279,27.2100,2020-01-21,0.0000,27.3800,27.1000,27.1300,1.0000,153114
26.7844,27.3700,2020-01-17,0.0000,27.7600,27.3400,27.7600,1.0000,97992
26.9312,27.5200,2020-01-16,0.0000,27.5800,27.3100,27.3100,1.0000,87195
