adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
61.5000,61.5000,2017-09-28,0.0000,61.5000,61.5000,61.5000,1.0000,0
61.5000,61.5000,2017-09-27,0.0000,61.5000,61.5000,61.5000,1.0000,0
61.5000,61.5000,2017-09-26,0.0000,61.5000,61.5000,61.5000,1.0000,0
61.5000,61.5000,2017-09-25,0.0000,61.5000,61.4800,61.4800,1.0000,4022057
61.4700,61.4700,2017-09-22,0.0000,61.4900,61.4600,61.4700,1.0000,2330605
61.4700,61.4700,2017-09-21,0.0000,61.4800,61.4500,61.4700,1.0000,1277215
61.4500,61.4500,2017-09-20,0.0000,61.4700,61.3800,61.4100,1.0000,2033896
61.3800,61.3800,2017-09-19,0.0000,61.4000,61.3500,61.3500,1.0000,1226219
61.3400,61.3400,2017-09-18,0.0000,61.4100,61.3100,61.3400,1.0000,1169190
61.3100,61.3100,2017-09-15,0.0000,61.3600,61.3100,61.3400,1.0000,1517860
61.3300,61.3300,2017-09-14,0.0000,61.3700,61.3200,61.3200,1.0000,671607
61.3000,61.3000,2017-09-13,0.0000,61.3600,61.3000,61.3400,1.0000,1289778
61.3500,61.3500,2017-09-12,0.0000,61.3800,61.3000,61.3700,1.0000,901689
61.3500,61.3500,2017-09-11,0.0000,61.3600,61.2100,61.2400,1.0000,2599520
60.9300,60.9300,2017-09-08,0.0000,61.0800,60.7900,61.0600,1.0000,1832258
61.0600,61.0600,2017-09-07,0.0000,61.2100,59.5600,61.1700,1.0000,17542503
53.4400,53.4400,2017-09-06,0.0000,53.7500,52.5200,52.7800,1.0000,482096
52.6500,52.6500,2017-09-05,0.0000,53.8900,52.5000,53.7100,1.0000,465371
53.7500,53.7500,2017-09-01,0.0000,53.9800,53.6200,53.8300,1.0000,280499
53.7000,53.7000,2017-08-31,0.0000,54.0000,53.4000,53.4000,1.0000,454789
53.4900,53.4900,2017-08-30,0.0000,54.1000,53.3500,54.0000,1.0000,238895
54.0900,54.0900,2017-08-29,0.0000,54.2000,53.5900,53.7300,1.0000,126774
54.0000,54.0000,2017-08-28,0.0000,54.6000,53.7600,54.6000,1.0000,186564
54.4800,54.4800,2017-08-25,0.0000,54.8400,53.8600,53.9900,1.0000,474642
54.0200,54.0200,2017-08-24,0.0000,54.1500,53.7400,54.0000,1.0000,216674
53.7200,53.7200,2017-08-23,0.0000,54.0000,52.9400,53.0700,1.0000,350668
53.3800,53.3800,2017-08-22,0.0000,53.5000,52.7600,52.9000,1.0000,247927
52.7500,52.7500,2017-08-21,0.0000,52.8700,52.2300,52.2500,1.0000,369925
52.3900,52.3900,2017-08-18,0.0000,52.4100,51.9500,52.3000,1.0000,305953
52.4200,52.4200,2017-08-17,0.0000,53.0100,52.2700,52.7600,1.0000,252352
52.8000,52.8000,2017-08-16,0.0000,53.2400,52.5100,52.7400,1.0000,1684532
52.7500,52.7500,2017-08-15,0.0000,53.5000,50.3500,53.0100,1.0000,2562483
53.7200,53.7200,2017-08-14,0.0000,53.7700,53.3300,53.7700,1.0000,220016
53.6100,53.6100,2017-08-11,0.0000,54.0500,52.7700,53.9500,1.0000,700377
53.8400,53.8400,2017-08-10,0.0000,54.0000,53.5900,53.7600,1.0000,453396
53.8200,53.8200,2017-08-09,0.0000,54.3800,53.7400,53.9500,1.0000,547345
54.1700,54.1700,2017-08-08,0.0000,54.5300,53.7200,53.9700,1.0000,608743
53.7100,53.7100,2017-08-07,0.0000,53.7300,52.1100,52.2200,1.0000,797630
52.3400,52.3400,2017-08-04,0.0000,53.2200,52.0600,53.2000,1.0000,1568184
53.1700,53.1700,2017-08-03,0.0000,56.3700,53.0800,55.7300,1.0000,3503434
56.3100,56.3100,2017-08-02,0.0000,56.8500,56.2300,56.6800,1.0000,905556
56.6800,56.6800,2017-08-01,0.0000,57.0500,56.2300,56.9700,1.0000,1002445
56.9800,56.9800,2017-07-31,0.0000,58.2100,56.8100,58.1500,1.0000,988105
58.0600,58.0600,2017-07-28,0.0000,58.2800,58.0400,58.1600,1.0000,510614
58.2500,58.2500,2017-07-27,0.0000,58.2900,57.9000,58.1900,1.0000,539894
58.0700,58.0700,2017-07-26,0.0000,58.3600,57.9700,58.1000,1.0000,419332
58.0800,58.0800,2017-07-25,0.0000,58.2400,57.8500,57.9500,1.0000,713326
57.7600,57.7600,2017-07-24,0.0000,58.1500,57.5500,57.7000,1.0000,1023644
58.2700,58.2700,2017-07-21,0.0000,58.7400,58.1000,58.6100,1.0000,509253
58.4500,58.4500,2017-07-20,0.0000,59.3400,58.3500,59.2000,1.0000,1007607
59.2000,59.2000,2017-07-19,0.0000,59.4200,59.1000,59.3000,1.0000,521717
59.2500,59.2500,2017-07-18,0.0000,59.7700,59.1200,59.7500,1.0000,1116784
59.7600,59.7600,2017-07-17,0.0000,59.9400,59.6800,59.8500,1.0000,356665
59.8100,59.8100,2017-07-14,0.0000,60.0900,59.7500,60.0000,1.0000,473937
60.0000,60.0000,2017-07-13,0.0000,60.0500,59.8800,60.0500,1.0000,570786
60.0300,60.0300,2017-07-12,0.0000,60.0700,59.8700,59.9000,1.0000,719280
59.8700,59.8700,2017-07-11,0.0000,59.9600,59.7200,59.8300,1.0000,754459
59.7900,59.7900,2017-07-10,0.0000,60.0000,59.7600,59.7600,1.0000,1117329
59.7600,59.7600,2017-07-07,0.0000,59.8300,59.6400,59.8300,1.0000,830049
59.7100,59.7100,2017-07-06,0.0000,59.8850,59.4900,59.6100,1.0000,810641
59.7000,59.7000,2017-07-05,0.0000,60.1500,59.6500,60.1000,1.0000,2981731
59.4500,59.4500,2017-07-03,0.0000,59.5800,59.2600,59.5400,1.0000,428553
59.4200,59.4200,2017-06-30,0.0000,59.7600,59.0000,59.4500,1.0000,1839574
59.6000,59.6000,2017-06-29,0.0000,60.0000,57.8000,58.0700,1.0000,2872341
58.1100,58.1100,2017-06-28,0.0000,58.4800,58.0000,58.0500,1.0000,410926
58.0400,58.0400,2017-06-27,0.0000,58.0700,57.5800,57.7800,1.0000,715593
57.6100,57.6100,2017-06-26,0.0000,57.9300,57.1900,57.8900,1.0000,779812
57.3900,57.3900,2017-06-23,0.0000,57.4100,57.0000,57.0500,1.0000,532064
57.0800,57.0800,2017-06-22,0.0000,57.3200,56.7500,57.1400,1.0000,414281
57.1500,57.1500,2017-06-21,0.0000,57.4600,56.6300,57.1000,1.0000,423527
57.1900,57.1900,2017-06-20,0.0000,57.4400,57.1100,57.4400,1.0000,211357
57.4500,57.4500,2017-06-19,0.0000,57.5000,56.9100,57.2000,1.0000,424089
57.1300,57.1300,2017-06-16,0.0000,57.1500,56.5100,56.7300,1.0000,637140
56.9300,56.9300,2017-06-15,0.0000,56.9500,56.3100,56.6400,1.0000,460914
56.8500,56.8500,2017-06-14,0.0000,57.0900,55.7600,56.5500,1.0000,605282
56.3900,56.3900,2017-06-13,0.0000,57.0600,56.1600,56.3000,1.0000,577535
56.1700,56.1700,2017-06-12,0.0000,56.5200,55.8700,55.9500,1.0000,423078
56.0200,56.0200,2017-06-09,0.0000,56.8300,55.9400,56.3800,1.0000,344960
56.4200,56.4200,2017-06-08,0.0000,57.1400,53.5000,54.8900,1.0000,1671151
54.9300,54.9300,2017-06-07,0.0000,54.9300,54.2500,54.4800,1.0000,461807
54.5000,54.5000,2017-06-06,0.0000,54.5900,53.5500,53.8700,1.0000,340890
54.0700,54.0700,2017-06-05,0.0000,54.3700,53.7000,53.9300,1.0000,447084
53.5300,53.5300,2017-06-02,0.0000,53.6700,53.2500,53.3000,1.0000,201568
53.5000,53.5000,2017-06-01,0.0000,53.7300,52.7500,52.7500,1.0000,361108
52.8300,52.8300,2017-05-31,0.0000,53.3200,52.6000,53.2400,1.0000,395503
53.1500,53.1500,2017-05-30,0.0000,53.4000,53.0500,53.1100,1.0000,192621
