adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0067,0.0067,2020-05-08,0.0000,0.0067,0.0067,0.0067,1.0000,150
0.0162,0.0162,2020-05-04,0.0000,0.0162,0.0162,0.0162,1.0000,2000
0.0217,0.0217,2020-04-24,0.0000,0.0217,0.0217,0.0217,1.0000,2
0.0217,0.0217,2020-04-21,0.0000,0.0217,0.0217,0.0217,1.0000,9
0.0217,0.0217,2020-04-09,0.0000,0.0217,0.0217,0.0217,1.0000,5
0.0217,0.0217,2020-04-07,0.0000,0.0217,0.0217,0.0217,1.0000,48
0.0217,0.0217,2020-04-03,0.0000,0.0217,0.0217,0.0217,1.0000,50
0.0217,0.0217,2020-03-20,0.0000,0.0217,0.0180,0.0180,1.0000,50100
0.0204,0.0204,2020-03-19,0.0000,0.0204,0.0204,0.0204,1.0000,88
0.0204,0.0204,2020-03-05,0.0000,0.0204,0.0204,0.0204,1.0000,780
0.0206,0.0206,2020-02-14,0.0000,0.0206,0.0206,0.0206,1.0000,300
0.0283,0.0283,2020-02-10,0.0000,0.0283,0.0283,0.0283,1.0000,300
0.0033,0.0033,2019-12-31,0.0000,0.0033,0.0033,0.0033,1.0000,111
0.0093,0.0093,2019-10-10,0.0000,0.0093,0.0093,0.0093,1.0000,40
0.0093,0.0093,2019-09-13,0.0000,0.0093,0.0093,0.0093,1.0000,30944
0.0073,0.0073,2019-08-29,0.0000,0.0073,0.0073,0.0073,1.0000,208
0.0072,0.0072,2019-05-17,0.0000,0.0072,0.0072,0.0072,1.0000,200
0.0200,0.0200,2019-04-04,0.0000,0.0200,0.0200,0.0200,1.0000,20
0.0200,0.0200,2019-01-28,0.0000,0.0200,0.0200,0.0200,1.0000,2300
0.0228,0.0228,2019-01-15,0.0000,0.0228,0.0228,0.0228,1.0000,100
0.0060,0.0060,2018-12-17,0.0000,0.0060,0.0060,0.0060,1.0000,100
0.0189,0.0189,2018-11-23,0.0000,0.0189,0.0189,0.0189,1.0000,700
0.0220,0.0220,2018-10-31,0.0000,0.0220,0.0220,0.0220,1.0000,7777
0.0240,0.0240,2018-09-13,0.0000,0.0240,0.0240,0.0240,1.0000,208
0.0240,0.0240,2018-07-10,0.0000,0.0240,0.0240,0.0240,1.0000,4167
0.0251,0.0251,2018-04-26,0.0000,0.0251,0.0251,0.0251,1.0000,1000
0.0197,0.0197,2018-04-18,0.0000,0.0197,0.0197,0.0197,1.0000,303
0.0178,0.0178,2018-02-20,0.0000,0.0178,0.0178,0.0178,1.0000,250
0.0290,0.0290,2018-02-13,0.0000,0.0290,0.0290,0.0290,1.0000,35750
0.0320,0.0320,2018-01-23,0.0000,0.0320,0.0320,0.0320,1.0000,9000
0.0301,0.0301,2017-12-07,0.0000,0.0301,0.0301,0.0301,1.0000,830
