adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.1700,0.1700,2020-05-12,0.0000,0.1799,0.1500,0.1500,1.0000,11818
0.1600,0.1600,2020-05-11,0.0000,0.1750,0.1455,0.1455,1.0000,153359
0.1420,0.1420,2020-05-08,0.0000,0.1600,0.1400,0.1600,1.0000,66818
0.1410,0.1410,2020-05-07,0.0000,0.1600,0.1410,0.1450,1.0000,7400
0.1650,0.1650,2020-05-06,0.0000,0.1700,0.1460,0.1700,1.0000,54501
0.1700,0.1700,2020-05-05,0.0000,0.1700,0.1400,0.1400,1.0000,56463
0.1360,0.1360,2020-05-04,0.0000,0.1499,0.1320,0.1355,1.0000,64965
0.1400,0.1400,2020-05-01,0.0000,0.1599,0.1310,0.1400,1.0000,25650
0.1400,0.1400,2020-04-30,0.0000,0.1501,0.1400,0.1475,1.0000,114828
0.1500,0.1500,2020-04-29,0.0000,0.1599,0.1310,0.1310,1.0000,124103
0.1499,0.1499,2020-04-28,0.0000,0.1550,0.1351,0.1500,1.0000,96760
0.1414,0.1414,2020-04-27,0.0000,0.1599,0.1350,0.1350,1.0000,39709
0.1350,0.1350,2020-04-24,0.0000,0.1500,0.1325,0.1325,1.0000,8602
0.1500,0.1500,2020-04-23,0.0000,0.1500,0.1210,0.1500,1.0000,33515
0.1450,0.1450,2020-04-22,0.0000,0.1450,0.1400,0.1400,1.0000,75137
0.1400,0.1400,2020-04-21,0.0000,0.1480,0.1200,0.1301,1.0000,161604
0.1301,0.1301,2020-04-20,0.0000,0.1501,0.1301,0.1500,1.0000,305308
0.1450,0.1450,2020-04-17,0.0000,0.1549,0.1391,0.1450,1.0000,18584
0.1550,0.1550,2020-04-16,0.0000,0.1600,0.1350,0.1600,1.0000,110433
0.1500,0.1500,2020-04-15,0.0000,0.1698,0.1400,0.1550,1.0000,66831
0.1500,0.1500,2020-04-14,0.0000,0.1600,0.1360,0.1360,1.0000,30644
0.1600,0.1600,2020-04-13,0.0000,0.1700,0.1250,0.1700,1.0000,27975
0.1426,0.1426,2020-04-09,0.0000,0.1600,0.1210,0.1410,1.0000,126825
0.1410,0.1410,2020-04-08,0.0000,0.1690,0.1410,0.1690,1.0000,42201
0.1411,0.1411,2020-04-07,0.0000,0.1700,0.1411,0.1680,1.0000,17902
0.1500,0.1500,2020-04-06,0.0000,0.1500,0.1400,0.1400,1.0000,82327
0.1425,0.1425,2020-04-03,0.0000,0.1500,0.1102,0.1102,1.0000,42750
0.1550,0.1550,2020-04-02,0.0000,0.1550,0.1500,0.1500,1.0000,16665
0.1500,0.1500,2020-04-01,0.0000,0.1500,0.1400,0.1410,1.0000,53031
0.1320,0.1320,2020-03-31,0.0000,0.1949,0.1310,0.1949,1.0000,235705
0.2000,0.2000,2020-03-30,0.0000,0.2000,0.1725,0.1725,1.0000,18002
0.1700,0.1700,2020-03-27,0.0000,0.1800,0.1700,0.1700,1.0000,10278
