adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
38.1702,38.1702,2020-05-12,0.0000,38.1702,38.1702,38.1702,1.0000,354
38.8110,38.8110,2020-05-11,0.0000,39.1500,38.8110,39.1500,1.0000,637
39.1465,39.1465,2020-05-08,0.0000,39.5000,38.5925,38.5925,1.0000,913
38.5500,38.5500,2020-05-07,0.0000,39.2300,38.0200,39.2300,1.0000,4057
38.5000,38.5000,2020-05-06,0.0000,39.0900,38.4425,38.8900,1.0000,973
37.6940,37.6940,2020-05-05,0.0000,37.6940,37.6940,37.6940,1.0000,216
37.7105,37.7105,2020-05-04,0.0000,37.7105,37.7105,37.7105,1.0000,84
37.7105,37.7105,2020-05-01,0.0000,37.7105,37.7105,37.7105,1.0000,181
37.7105,37.7105,2020-04-30,0.0000,37.8470,36.9300,37.8470,1.0000,2397
39.7500,39.7500,2020-04-29,0.0000,39.7500,37.6900,37.6925,1.0000,504
37.9400,37.9400,2020-04-28,0.0000,38.9700,37.9400,38.9700,1.0000,2724
37.1200,37.1200,2020-04-27,0.0000,38.8000,37.1200,38.8000,1.0000,794
37.7400,37.7400,2020-04-24,0.0000,38.0305,36.5400,37.2540,1.0000,3685
38.4550,38.4550,2020-04-23,0.0000,39.4100,38.0000,38.0000,1.0000,3732
36.7700,36.7700,2020-04-22,0.0000,37.5805,36.7300,37.5805,1.0000,4528
37.3200,37.3200,2020-04-21,0.0000,38.0340,37.3200,38.0340,1.0000,2142
39.7500,39.7500,2020-04-20,0.0000,40.2675,39.0545,39.0545,1.0000,1478
38.0300,38.0300,2020-04-17,0.0000,39.1100,37.0100,37.7170,1.0000,902
37.3300,37.3300,2020-04-16,0.0000,37.6520,36.4225,36.4225,1.0000,1756
39.2900,39.2900,2020-04-15,0.0000,39.2900,37.0600,37.2600,1.0000,1245
39.8305,39.8305,2020-04-14,0.0000,40.5000,39.4700,40.0000,1.0000,1505
37.7500,37.7500,2020-04-13,0.0000,40.1900,37.7500,39.9900,1.0000,1496
40.3900,40.3900,2020-04-09,0.0000,40.3900,38.3200,40.3900,1.0000,1658
40.4100,40.4100,2020-04-08,0.0000,40.4100,36.4700,36.4700,1.0000,3319
38.7800,38.7800,2020-04-07,0.0000,38.8545,38.7800,38.8200,1.0000,1478
37.8700,37.8700,2020-04-06,0.0000,39.5300,36.7200,39.5300,1.0000,4050
36.8100,36.8100,2020-04-03,0.0000,37.9075,36.8100,37.9075,1.0000,657
38.0700,38.0700,2020-04-02,0.0000,38.1200,36.4030,36.4030,1.0000,1296
36.1430,36.1430,2020-04-01,0.0000,36.5900,35.5200,35.5200,1.0000,794
35.6500,35.6500,2020-03-31,0.0000,36.4000,35.6500,36.4000,1.0000,432
36.4720,36.4720,2020-03-30,0.0000,36.8200,34.5300,34.5300,1.0000,1262
36.5700,36.5700,2020-03-27,0.0000,36.5700,36.1230,36.1230,1.0000,778
35.8200,35.8200,2020-03-26,0.0000,35.8200,35.4540,35.6975,1.0000,1217
32.4700,32.4700,2020-03-25,0.0000,32.4700,31.4700,31.4700,1.0000,741
25.5000,25.5000,2020-03-24,0.0000,26.6950,25.4700,26.6950,1.0000,1588
27.3900,27.3900,2020-03-23,0.0000,29.3500,26.1100,26.2900,1.0000,1568
27.2700,27.2700,2020-03-20,0.0000,28.4600,27.1700,28.0130,1.0000,1901
26.3800,26.3800,2020-03-19,0.0000,27.7500,26.3700,26.6895,1.0000,2219
27.9000,27.9000,2020-03-18,0.0000,33.1000,27.8900,30.4750,1.0000,1292
31.5300,31.5300,2020-03-17,0.0000,31.5300,30.7700,30.9610,1.0000,1083
32.0000,32.0000,2020-03-16,0.0000,33.6600,31.6700,31.8590,1.0000,1370
33.9500,33.9500,2020-03-13,0.0000,35.1675,33.7500,35.1675,1.0000,2037
34.3400,34.3400,2020-03-12,0.0000,36.4400,34.2900,34.2900,1.0000,6264
37.3400,37.3400,2020-03-11,0.0000,37.6980,37.2900,37.6980,1.0000,1003
37.4000,37.4000,2020-03-10,0.0000,37.4000,37.4000,37.4000,1.0000,209
37.4000,37.4000,2020-03-09,0.0000,37.4000,37.4000,37.4000,1.0000,443
41.3900,41.3900,2020-03-06,0.0000,41.3900,40.5000,40.5000,1.0000,660
41.8600,41.8600,2020-03-05,0.0000,41.8600,40.6200,41.3600,1.0000,805
42.8400,42.8400,2020-03-04,0.0000,42.8900,42.8400,42.8900,1.0000,880
41.4700,41.4700,2020-03-03,0.0000,41.7300,41.4700,41.6000,1.0000,1625
41.1300,41.1300,2020-03-02,0.0000,42.1500,41.1300,42.1500,1.0000,1653
39.1600,39.1600,2020-02-28,0.0000,39.1600,39.1600,39.1600,1.0000,499
40.0800,40.0800,2020-02-27,0.0000,40.7900,40.0800,40.3100,1.0000,1083
41.2600,41.2600,2020-02-26,0.0000,41.2600,41.2600,41.2600,1.0000,252
41.2600,41.2600,2020-02-25,0.0000,41.6900,41.2600,41.6900,1.0000,654
41.3800,41.3800,2020-02-24,0.0000,42.1000,41.3800,42.1000,1.0000,1084
44.3275,44.3275,2020-02-21,0.0000,44.3275,44.0880,44.0880,1.0000,329
43.4400,43.4400,2020-02-20,0.0000,44.5800,43.4400,44.5800,1.0000,1263
43.0100,43.0100,2020-02-19,0.0000,43.0100,43.0100,43.0100,1.0000,118
43.0100,43.0100,2020-02-18,0.0000,44.4500,43.0100,43.3700,1.0000,877
44.5375,44.5375,2020-02-14,0.0000,44.5375,44.5375,44.5375,1.0000,378
43.7300,43.7300,2020-02-13,0.0000,43.7300,43.7300,43.7300,1.0000,338
43.7300,43.7300,2020-02-12,0.0000,43.7300,43.7300,43.7300,1.0000,173
43.7300,43.7300,2020-02-11,0.0000,43.7300,43.3800,43.3800,1.0000,843
42.5500,42.5500,2020-02-10,0.0000,42.5500,42.5500,42.5500,1.0000,295
42.5500,42.5500,2020-02-07,0.0000,42.5500,42.0025,42.0025,1.0000,1020
43.2500,43.2500,2020-02-06,0.0000,43.2500,43.2500,43.2500,1.0000,605
40.9100,40.9100,2020-02-05,0.0000,41.0600,40.9100,41.0600,1.0000,515
40.8500,40.8500,2020-02-04,0.0000,40.8500,40.8500,40.8500,1.0000,341
38.4100,38.4100,2020-02-03,0.0000,38.4100,38.4100,38.4100,1.0000,488
40.0500,40.0500,2020-01-31,0.0000,40.4400,40.0500,40.4375,1.0000,2313
42.5200,42.5200,2020-01-30,0.0000,42.5200,42.5175,42.5175,1.0000,518
43.4680,43.4680,2020-01-29,0.0000,43.4680,43.4680,43.4680,1.0000,439
43.5950,43.5950,2020-01-28,0.0000,43.5950,43.5950,43.5950,1.0000,378
43.7100,43.7100,2020-01-27,0.0000,43.7100,43.5900,43.5900,1.0000,1856
45.7700,45.7700,2020-01-24,0.0000,45.7700,45.7700,45.7700,1.0000,174
45.2000,45.2000,2020-01-23,0.0000,45.2500,45.2000,45.2500,1.0000,12760
46.4500,46.4500,2020-01-22,0.0000,46.4500,46.1360,46.1360,1.0000,1035
45.6500,45.6500,2020-01-21,0.0000,45.6500,45.1500,45.5500,1.0000,2334
47.3800,47.3800,2020-01-17,0.0000,47.3800,47.0000,47.0700,1.0000,3628
46.5340,46.5340,2020-01-16,0.0000,47.1000,45.8700,47.1000,1.0000,12764
46.9400,46.9400,2020-01-15,0.0000,46.9400,46.9400,46.9400,1.0000,263
46.9400,46.9400,2020-01-14,0.0000,46.9400,46.9400,46.9400,1.0000,364
46.7000,46.7000,2020-01-13,0.0000,46.9000,46.1500,46.7500,1.0000,4422
47.3300,47.3300,2020-01-10,0.0000,47.3300,46.9460,46.9460,1.0000,4218
