adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
4.6800,4.6800,2020-05-12,0.0000,4.6800,4.6800,4.6800,1.0000,0
4.6800,4.6800,2020-05-11,0.0000,4.6800,4.6800,4.6800,1.0000,0
4.6800,4.6800,2020-05-08,0.0000,4.6800,4.6800,4.6800,1.0000,0
4.6800,4.6800,2020-05-07,0.0000,4.6800,4.6800,4.6800,1.0000,0
4.6800,4.6800,2020-05-06,0.0000,4.6800,4.6800,4.6800,1.0000,400
4.6600,4.6600,2020-05-05,0.0000,4.6600,4.6600,4.6600,1.0000,30
4.6600,4.6600,2020-05-04,0.0000,4.6600,4.6600,4.6600,1.0000,0
4.6600,4.6600,2020-05-01,0.0000,4.6600,4.6600,4.6600,1.0000,0
4.6600,4.6600,2020-04-30,0.0000,4.6600,4.6600,4.6600,1.0000,2000
4.6500,4.6500,2020-04-29,0.0000,4.6500,4.6500,4.6500,1.0000,0
4.6500,4.6500,2020-04-28,0.0000,4.6500,4.6000,4.6000,1.0000,844
4.5500,4.5500,2020-04-27,0.0000,4.5860,4.5160,4.5160,1.0000,5700
4.4500,4.4500,2020-04-24,0.0000,4.4500,4.4500,4.4500,1.0000,2500
4.4500,4.4500,2020-04-23,0.0000,4.4500,4.4500,4.4500,1.0000,0
4.4500,4.4500,2020-04-22,0.0000,4.4500,4.4500,4.4500,1.0000,49
4.4500,4.4500,2020-04-21,0.0000,4.4500,4.4500,4.4500,1.0000,560
4.4500,4.4500,2020-04-20,0.0000,4.4500,4.4500,4.4500,1.0000,100
4.5300,4.5300,2020-04-17,0.0000,4.5300,4.5300,4.5300,1.0000,0
4.5300,4.5300,2020-04-16,0.0000,4.5300,4.5300,4.5300,1.0000,1000
4.5300,4.5300,2020-04-15,0.0000,4.5300,4.5300,4.5300,1.0000,0
4.5300,4.5300,2020-04-14,0.0000,4.5300,4.5300,4.5300,1.0000,82
4.5300,4.5300,2020-04-13,0.0000,4.5300,4.5300,4.5300,1.0000,0
4.5300,4.5300,2020-04-09,0.0000,4.5300,4.5300,4.5300,1.0000,23500
4.5300,4.5300,2020-04-08,0.0000,4.5300,4.1500,4.1500,1.0000,17762
4.3000,4.3000,2020-04-07,0.0000,4.3000,4.3000,4.3000,1.0000,0
4.3000,4.3000,2020-04-06,0.0000,4.3000,4.3000,4.3000,1.0000,0
4.3000,4.3000,2020-04-03,0.0000,4.3000,4.3000,4.3000,1.0000,500
4.2750,4.2750,2020-04-02,0.0000,4.2750,4.2750,4.2750,1.0000,2500
4.3500,4.3500,2020-04-01,0.0000,4.3500,4.3500,4.3500,1.0000,27438
4.3500,4.3500,2020-03-31,0.0000,4.3500,4.3500,4.3500,1.0000,40020
4.3500,4.3500,2020-03-30,0.0000,4.3500,4.3500,4.3500,1.0000,423
4.4200,4.4200,2020-03-27,0.0000,4.4200,4.4200,4.4200,1.0000,1050
4.4200,4.4200,2020-03-26,0.0000,4.4201,4.4200,4.4201,1.0000,700
4.4000,4.4000,2020-03-25,0.0000,4.4000,4.4000,4.4000,1.0000,0
4.4000,4.4000,2020-03-24,0.0000,4.4000,4.4000,4.4000,1.0000,1200
3.8800,3.8800,2020-03-23,0.0000,4.1350,3.8800,3.9106,1.0000,5272
3.8800,3.8800,2020-03-20,0.0000,3.8800,3.8800,3.8800,1.0000,0
3.8800,3.8800,2020-03-19,0.0000,3.8800,3.8800,3.8800,1.0000,4420
3.8940,3.8940,2020-03-18,0.0000,4.1860,3.8940,4.1000,1.0000,37227
4.3000,4.3000,2020-03-17,0.0000,4.3500,4.1000,4.1000,1.0000,18400
4.1200,4.1200,2020-03-16,0.0000,4.1200,4.1200,4.1200,1.0000,100
4.5200,4.5200,2020-03-13,0.0000,4.5200,4.4200,4.4200,1.0000,80600
4.6200,4.6200,2020-03-12,0.0000,4.6200,4.6200,4.6200,1.0000,20015
4.6200,4.6200,2020-03-11,0.0000,4.6200,4.6200,4.6200,1.0000,1518
4.6400,4.6400,2020-03-10,0.0000,4.6400,4.5500,4.5500,1.0000,1500
4.4600,4.4600,2020-03-09,0.0000,4.5500,4.4600,4.5500,1.0000,600
4.6900,4.6900,2020-03-06,0.0000,4.6900,4.6900,4.6900,1.0000,15000
4.6900,4.6900,2020-03-05,0.0000,4.6900,4.6900,4.6900,1.0000,0
4.6900,4.6900,2020-03-04,0.0000,4.6900,4.6900,4.6900,1.0000,700
4.6900,4.6900,2020-03-03,0.0000,4.6900,4.6900,4.6900,1.0000,1000
4.6514,4.6514,2020-03-02,0.0000,4.6514,4.6514,4.6514,1.0000,928
4.7700,4.7700,2020-02-28,0.0000,4.7700,4.7700,4.7700,1.0000,200
4.8050,4.8050,2020-02-27,0.0000,4.8050,4.8050,4.8050,1.0000,2190
4.5700,4.5700,2020-02-26,0.0000,4.5700,4.5700,4.5700,1.0000,250000
4.5700,4.5700,2020-02-25,0.0000,4.5700,4.5700,4.5700,1.0000,0
4.5700,4.5700,2020-02-24,0.0000,4.8200,4.5700,4.8200,1.0000,2200
4.8600,4.8600,2020-02-21,0.0000,4.8600,4.8600,4.8600,1.0000,23500
4.8600,4.8600,2020-02-20,0.0000,4.8600,4.8600,4.8600,1.0000,500
4.9500,4.9500,2020-02-19,0.0000,4.9500,4.9500,4.9500,1.0000,1010
4.9000,4.9000,2020-02-18,0.0000,4.9400,4.9000,4.9400,1.0000,1300
4.9000,4.9000,2020-02-14,0.0000,4.9000,4.9000,4.9000,1.0000,0
4.9000,4.9000,2020-02-13,0.0000,4.9000,4.9000,4.9000,1.0000,0
4.9000,4.9000,2020-02-12,0.0000,4.9000,4.9000,4.9000,1.0000,0
4.9000,4.9000,2020-02-11,0.0000,4.9000,4.9000,4.9000,1.0000,0
4.9000,4.9000,2020-02-10,0.0000,4.9000,4.9000,4.9000,1.0000,1100
4.9850,4.9850,2020-02-07,0.0000,4.9850,4.8800,4.8800,1.0000,903
5.0450,5.0450,2020-02-06,0.0000,5.0450,5.0450,5.0450,1.0000,1000
4.9400,4.9400,2020-02-05,0.0000,4.9400,4.9400,4.9400,1.0000,500
4.9100,4.9100,2020-02-04,0.0000,4.9100,4.9000,4.9100,1.0000,10200
5.0600,5.0600,2020-02-03,0.0000,5.0600,5.0600,5.0600,1.0000,0
5.0600,5.0600,2020-01-31,0.0000,5.0600,5.0600,5.0600,1.0000,0
5.0600,5.0600,2020-01-30,0.0000,5.0600,5.0600,5.0600,1.0000,100
5.0600,5.0600,2020-01-29,0.0000,5.0600,5.0600,5.0600,1.0000,15000
5.3200,5.3200,2020-01-28,0.0000,5.3200,5.3200,5.3200,1.0000,0
5.3200,5.3200,2020-01-27,0.0000,5.3200,5.3200,5.3200,1.0000,0
5.3200,5.3200,2020-01-24,0.0000,5.3200,5.3200,5.3200,1.0000,0
5.3200,5.3200,2020-01-23,0.0000,5.3200,5.3200,5.3200,1.0000,0
5.3200,5.3200,2020-01-22,0.0000,5.3200,5.3200,5.3200,1.0000,0
5.3200,5.3200,2020-01-21,0.0000,5.3200,5.3200,5.3200,1.0000,0
5.3150,5.3150,2020-01-17,0.0000,5.3150,5.3150,5.3150,1.0000,1060
5.1700,5.1700,2020-01-16,0.0000,5.1700,5.1700,5.1700,1.0000,0
5.1700,5.1700,2020-01-15,0.0000,5.1700,5.1700,5.1700,1.0000,380
5.2700,5.2700,2020-01-14,0.0000,5.2700,5.2700,5.2700,1.0000,0
5.2700,5.2700,2020-01-13,0.0000,5.2700,5.2700,5.2700,1.0000,0
5.2700,5.2700,2020-01-10,0.0000,5.2700,5.2700,5.2700,1.0000,0
5.2740,5.2740,2020-01-09,0.0000,5.2740,5.2740,5.2740,1.0000,678
5.1700,5.1700,2020-01-08,0.0000,5.1700,5.1700,5.1700,1.0000,0
5.1700,5.1700,2020-01-07,0.0000,5.2100,5.1700,5.2100,1.0000,3200
5.3000,5.3000,2020-01-06,0.0000,5.3000,5.3000,5.3000,1.0000,100
5.1700,5.1700,2020-01-03,0.0000,5.1700,5.1700,5.1700,1.0000,15500
5.0500,5.0500,2020-01-02,0.0000,5.0500,5.0500,5.0500,1.0000,2000
5.0500,5.0500,2019-12-31,0.0000,5.0500,5.0500,5.0500,1.0000,0
5.0500,5.0500,2019-12-30,0.0000,5.0500,5.0500,5.0500,1.0000,0
5.0500,5.0500,2019-12-27,0.0000,5.0500,5.0500,5.0500,1.0000,0
5.0500,5.0500,2019-12-26,0.0000,5.0500,5.0500,5.0500,1.0000,0
5.0500,5.0500,2019-12-24,0.0000,5.0500,5.0500,5.0500,1.0000,0
5.0500,5.0500,2019-12-23,0.0000,5.1400,5.0500,5.1400,1.0000,5000
5.0300,5.0300,2019-12-20,0.0000,5.0300,5.0300,5.0300,1.0000,0
5.0300,5.0300,2019-12-19,0.0000,5.0300,5.0300,5.0300,1.0000,3390
4.9300,4.9300,2019-12-18,0.0000,4.9300,4.9300,4.9300,1.0000,21
4.9300,4.9300,2019-12-17,0.0000,4.9300,4.9300,4.9300,1.0000,0
4.9300,4.9300,2019-12-16,0.0000,4.9300,4.9300,4.9300,1.0000,524
4.8000,4.8000,2019-12-13,0.0000,4.8000,4.8000,4.8000,1.0000,0
4.8000,4.8000,2019-12-12,0.0000,4.8000,4.8000,4.8000,1.0000,200
4.8000,4.8000,2019-12-11,0.0000,4.8000,4.8000,4.8000,1.0000,0
4.8000,4.8000,2019-12-10,0.0000,4.8000,4.8000,4.8000,1.0000,270
4.8000,4.8000,2019-12-09,0.0000,4.8000,4.8000,4.8000,1.0000,0
4.8000,4.8000,2019-12-06,0.0000,4.8000,4.8000,4.8000,1.0000,0
4.8000,4.8000,2019-12-05,0.0000,4.8000,4.8000,4.8000,1.0000,300
4.8300,4.8300,2019-12-04,0.0000,4.8300,4.8300,4.8300,1.0000,0
4.8300,4.8300,2019-12-03,0.0000,4.8300,4.8300,4.8300,1.0000,0
4.8300,4.8300,2019-12-02,0.0000,4.8300,4.8300,4.8300,1.0000,200
4.9300,4.9300,2019-11-29,0.0000,4.9300,4.9300,4.9300,1.0000,3000
5.0000,5.0000,2019-11-27,0.0000,5.0000,4.9600,5.0000,1.0000,14308
4.9100,4.9100,2019-11-26,0.0000,4.9400,4.9100,4.9400,1.0000,10700
5.0100,5.0100,2019-11-25,0.0000,5.0100,5.0100,5.0100,1.0000,0
5.0100,5.0100,2019-11-22,0.0000,5.0100,5.0100,5.0100,1.0000,0
5.0100,5.0100,2019-11-21,0.0000,5.0100,5.0100,5.0100,1.0000,0
5.0100,5.0100,2019-11-20,0.0000,5.0100,5.0100,5.0100,1.0000,0
5.0100,5.0100,2019-11-19,0.0000,5.0100,5.0100,5.0100,1.0000,0
5.0100,5.0100,2019-11-18,0.0000,5.0100,5.0100,5.0100,1.0000,0
5.0100,5.0100,2019-11-15,0.0000,5.0100,5.0100,5.0100,1.0000,0
5.0100,5.0100,2019-11-14,0.0000,5.0100,5.0100,5.0100,1.0000,0
5.0100,5.0100,2019-11-13,0.0000,5.0100,5.0100,5.0100,1.0000,0
5.0100,5.0100,2019-11-12,0.0000,5.0100,5.0100,5.0100,1.0000,0
