adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
14.9900,14.9900,2020-05-12,0.0000,14.9900,14.8000,14.8000,1.0000,1012
14.6100,14.6100,2020-05-11,0.0000,14.9500,14.1200,14.1200,1.0000,7336
15.2000,15.2000,2020-05-08,0.0000,15.6000,14.9000,15.6000,1.0000,4362
15.6000,15.6000,2020-05-07,0.0000,15.7400,14.9400,14.9400,1.0000,13894
14.7400,14.7400,2020-05-06,0.0000,14.8200,14.5400,14.5400,1.0000,6692
14.2930,14.2930,2020-05-05,0.0000,14.3500,14.0000,14.0000,1.0000,2030
14.0100,14.0100,2020-05-04,0.0000,14.2000,13.8000,13.8000,1.0000,2358
14.0520,14.0520,2020-05-01,0.0000,14.1700,13.9000,14.1700,1.0000,1190
14.3100,14.3100,2020-04-30,0.0000,15.0000,14.1800,15.0000,1.0000,4743
14.0000,14.0000,2020-04-29,0.0000,14.0000,13.7400,13.7400,1.0000,7162
13.5900,13.5900,2020-04-28,0.0000,13.7900,13.5900,13.7900,1.0000,2774
13.4950,13.4950,2020-04-27,0.0000,13.4950,13.3700,13.3700,1.0000,1776
13.1300,13.1300,2020-04-24,0.0000,13.1300,13.0800,13.0800,1.0000,358
12.9100,12.9100,2020-04-23,0.0000,13.1200,12.6800,12.6800,1.0000,8181
13.8900,13.8900,2020-04-22,0.0000,13.9100,13.5100,13.5100,1.0000,3749
13.0850,13.0850,2020-04-21,0.0000,13.7500,13.0000,13.7500,1.0000,15975
14.3200,14.3200,2020-04-20,0.0000,14.5600,13.9500,13.9500,1.0000,8673
14.1100,14.1100,2020-04-17,0.0000,14.1800,13.7300,14.0000,1.0000,8438
13.6000,13.6000,2020-04-16,0.0000,13.6000,13.1380,13.3180,1.0000,6211
12.7000,12.7000,2020-04-15,0.0000,12.9450,12.5600,12.9450,1.0000,4180
13.4000,13.4000,2020-04-14,0.0000,13.4000,13.1600,13.1600,1.0000,3733
12.8000,12.8000,2020-04-13,0.0000,13.6000,12.3014,13.6000,1.0000,6158
12.8300,12.8300,2020-04-09,0.0000,12.8300,12.5300,12.7600,1.0000,6100
12.6000,12.6000,2020-04-08,0.0000,12.6000,12.6000,12.6000,1.0000,1311
12.7700,12.7700,2020-04-07,0.0000,12.8740,12.5000,12.5000,1.0000,9484
12.3000,12.3000,2020-04-06,0.0000,12.4370,11.8200,11.8200,1.0000,10527
11.3300,11.3300,2020-04-03,0.0000,11.5600,11.1200,11.4300,1.0000,4775
11.9800,11.9800,2020-04-02,0.0000,11.9800,11.6000,11.6000,1.0000,16240
11.8620,11.8620,2020-04-01,0.0000,12.0000,11.5000,11.7650,1.0000,11758
12.0000,12.0000,2020-03-31,0.0000,12.0000,11.4830,11.5000,1.0000,2540
11.6500,11.6500,2020-03-30,0.0000,11.8000,11.2500,11.2500,1.0000,3265
11.4400,11.4400,2020-03-27,0.0000,11.8100,10.8500,10.9000,1.0000,32301
10.9500,10.9500,2020-03-26,0.0000,11.1000,10.9000,11.1000,1.0000,10150
11.0000,11.0000,2020-03-25,0.0000,11.5000,10.2100,10.2100,1.0000,13479
10.9500,10.9500,2020-03-24,0.0000,11.3900,10.4100,11.2800,1.0000,148316
9.1900,9.1900,2020-03-23,0.0000,9.2200,8.8800,8.8800,1.0000,10323
8.9630,8.9630,2020-03-20,0.0000,9.2000,7.4000,9.1000,1.0000,8890
8.7000,8.7000,2020-03-19,0.0000,8.8499,7.9000,8.0000,1.0000,28325
8.1000,8.1000,2020-03-18,0.0000,8.1000,7.6000,8.1000,1.0000,14759
8.9720,8.9720,2020-03-17,0.0000,8.9720,8.7000,8.9500,1.0000,12194
8.3900,8.3900,2020-03-16,0.0000,9.1500,7.8200,9.0000,1.0000,22074
9.3000,9.3000,2020-03-13,0.0000,9.7700,8.7000,9.4500,1.0000,3583
9.2800,9.2800,2020-03-12,0.0000,9.8000,8.2500,9.8000,1.0000,56052
9.7800,9.7800,2020-03-11,0.0000,10.5500,9.7750,10.5500,1.0000,22576
11.0000,11.0000,2020-03-10,0.0000,11.2400,10.7300,10.9400,1.0000,14826
